Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,42.18,42.18,41.830002,41.84,29100,41.84
2015-12-30,42.700001,42.700001,42.23,42.259998,32400,42.259998
2015-12-29,42.630001,42.98,42.630001,42.91,71100,42.91
2015-12-28,42.380001,42.490002,42.23,42.459999,61700,42.459999
2015-12-24,42.189999,42.50,42.16,42.349998,34300,42.349998
2015-12-23,41.450001,42.290001,41.450001,42.240002,108400,42.240002
2015-12-22,41.209999,41.34,40.970001,41.259998,82000,41.259998
2015-12-21,41.799999,41.880001,41.02,41.299999,114700,41.299999
2015-12-18,41.830002,41.950001,41.41,41.459999,169300,41.459999
2015-12-17,42.43,42.580002,42.220001,42.450001,270800,42.450001
2015-12-16,41.860001,42.040001,41.43,41.849998,94300,41.849998
2015-12-15,41.189999,41.720001,41.18,41.459999,70400,41.459999
2015-12-14,40.950001,41.310001,40.650002,40.98,87000,40.98
2015-12-11,41.560001,41.709999,41.119999,41.25,181200,41.25
2015-12-10,41.860001,42.00,41.650002,41.66,101500,41.66
2015-12-09,41.459999,41.709999,41.220001,41.349998,102400,41.349998
2015-12-08,41.82,41.98,41.59,41.630001,153000,41.630001
2015-12-07,41.669998,42.360001,41.450001,42.16,279500,42.16
2015-12-04,40.959999,41.459999,40.93,41.389999,80000,41.389999
2015-12-03,41.150002,41.529999,40.880001,41.049999,136000,41.049999
2015-12-02,41.490002,41.59,41.080002,41.220001,84800,41.220001
2015-12-01,41.549999,41.619999,41.369999,41.580002,79200,41.580002
2015-11-30,41.34,41.48,41.150002,41.200001,112000,41.200001
2015-11-27,41.580002,41.900002,41.52,41.790001,73700,41.790001
2015-11-25,40.950001,41.310001,40.869999,41.169998,387900,41.169998
2015-11-24,40.880001,40.950001,40.419998,40.75,488900,40.75
2015-11-23,42.00,42.130001,41.650002,41.91,166500,41.91
2015-11-20,42.459999,42.66,42.130001,42.16,127800,42.16
2015-11-19,42.50,42.57,42.189999,42.419998,128400,42.419998
2015-11-18,42.48,42.66,42.189999,42.630001,231300,42.630001
2015-11-17,42.709999,42.970001,42.639999,42.779999,252000,42.779999
2015-11-16,42.25,42.509998,42.130001,42.509998,115900,42.509998
2015-11-13,42.259998,42.810001,42.259998,42.639999,202700,42.639999
2015-11-12,43.279999,43.419998,43.029999,43.049999,77300,43.049999
2015-11-11,43.790001,44.029999,43.669998,43.84,162300,43.84
2015-11-10,42.82,42.950001,42.720001,42.889999,197000,42.889999
2015-11-09,43.299999,43.330002,42.799999,42.900002,180300,42.900002
2015-11-06,44.299999,44.380001,43.919998,44.299999,111900,44.299999
2015-11-05,44.00,44.380001,43.52,44.189999,257800,44.189999
2015-11-04,43.970001,44.049999,43.200001,43.540001,331500,43.540001
2015-11-03,45.200001,45.220001,44.75,44.900002,104900,44.900002
2015-11-02,45.75,45.849998,45.619999,45.720001,96300,45.720001
2015-10-30,44.82,45.290001,44.779999,44.93,80800,44.93
2015-10-29,44.790001,44.959999,44.349998,44.68,137600,44.68
2015-10-28,43.52,44.07,43.220001,43.68,159500,43.68
2015-10-27,43.220001,43.34,42.889999,42.98,97800,42.98
2015-10-26,43.130001,43.360001,43.110001,43.279999,94200,43.279999
2015-10-23,42.849998,43.27,42.82,43.130001,100300,43.130001
2015-10-22,42.139999,42.349998,41.889999,42.25,133900,42.25
2015-10-21,42.639999,42.779999,42.150002,42.310001,81800,42.310001
2015-10-20,42.580002,42.580002,42.209999,42.310001,89000,42.310001
2015-10-19,42.57,42.639999,42.360001,42.560001,56900,42.560001
2015-10-16,41.91,42.279999,41.869999,42.279999,171100,42.279999
2015-10-15,41.509998,41.970001,41.50,41.900002,112600,41.900002
2015-10-14,40.84,41.02,40.509998,40.709999,76900,40.709999
2015-10-13,40.919998,41.099998,40.77,40.82,98200,40.82
2015-10-12,41.23,41.59,41.23,41.389999,91000,41.389999
2015-10-09,41.470001,41.610001,41.27,41.470001,127200,41.470001
2015-10-08,40.799999,41.32,40.700001,41.279999,211200,41.279999
2015-10-07,40.200001,40.41,40.080002,40.380001,89700,40.380001
2015-10-06,40.25,40.360001,39.959999,40.150002,243300,40.150002
2015-10-05,40.169998,40.169998,39.869999,40.119999,92800,40.119999
2015-10-02,38.799999,39.439999,38.509998,39.439999,117600,39.439999
2015-10-01,38.880001,39.00,38.599998,39.00,84600,39.00
2015-09-30,39.139999,39.290001,38.689999,39.009998,90100,39.009998
2015-09-29,38.43,38.779999,38.110001,38.57,169500,38.57
2015-09-28,40.060001,40.060001,39.220001,39.310001,231800,39.310001
2015-09-25,40.080002,40.32,39.610001,39.639999,197700,39.639999
2015-09-24,39.439999,39.529999,39.07,39.360001,81100,39.360001
2015-09-23,39.759998,39.970001,39.48,39.790001,45800,39.790001
2015-09-22,39.619999,39.650002,39.27,39.459999,90300,39.459999
2015-09-21,40.900002,40.900002,40.34,40.509998,80800,40.509998
2015-09-18,40.00,40.25,39.740002,39.799999,150700,39.799999
2015-09-17,40.73,41.279999,40.650002,41.029999,103100,41.029999
2015-09-16,40.610001,40.700001,40.48,40.59,108500,40.59
2015-09-15,40.029999,40.310001,40.00,40.240002,90400,40.240002
2015-09-14,39.880001,40.209999,39.759998,39.919998,69200,39.919998
2015-09-11,39.619999,39.959999,39.529999,39.889999,93600,39.889999
2015-09-10,39.220001,39.779999,39.209999,39.619999,145500,39.619999
2015-09-09,39.810001,39.810001,38.860001,38.900002,75100,38.900002
2015-09-08,39.560001,39.669998,39.290001,39.52,220400,39.52
2015-09-04,37.919998,38.07,37.709999,37.93,92100,37.93
2015-09-03,38.689999,38.759998,38.200001,38.290001,118300,38.290001
2015-09-02,37.52,37.700001,37.310001,37.689999,72700,37.689999
2015-09-01,37.669998,37.810001,37.43,37.52,147100,37.52
2015-08-31,38.080002,38.330002,37.98,38.119999,101600,38.119999
2015-08-28,38.349998,38.380001,37.990002,38.150002,126600,38.150002
2015-08-27,38.330002,38.82,38.18,38.689999,93000,38.689999
2015-08-26,37.799999,38.169998,37.419998,38.169998,155900,38.169998
2015-08-25,38.540001,38.610001,37.689999,37.82,214000,37.82
2015-08-24,37.279999,38.619999,36.889999,37.77,376300,37.77
2015-08-21,39.130001,39.32,38.02,38.02,176400,38.02
2015-08-20,40.25,40.330002,39.490002,39.50,240700,39.50
2015-08-19,40.720001,41.07,40.50,40.91,69500,40.91
2015-08-18,40.98,41.02,40.810001,40.849998,104400,40.849998
2015-08-17,40.34,40.799999,40.259998,40.799999,129300,40.799999
2015-08-14,41.060001,41.299999,40.91,41.150002,78400,41.150002
2015-08-13,40.689999,40.830002,40.540001,40.779999,108100,40.779999
2015-08-12,40.810001,41.130001,40.650002,41.040001,137400,41.040001
2015-08-11,41.330002,41.330002,40.860001,41.029999,635500,41.029999
2015-08-10,41.400002,41.779999,41.369999,41.77,1101300,41.77
2015-08-07,41.040001,41.580002,40.93,41.560001,90100,41.560001
2015-08-06,41.880001,41.900002,41.560001,41.849998,445600,41.849998
2015-08-05,41.509998,41.799999,41.400002,41.759998,114900,41.759998
2015-08-04,42.080002,42.200001,41.810001,41.93,69400,41.93
2015-08-03,42.130001,42.189999,41.709999,41.950001,94900,41.950001
2015-07-31,41.220001,41.310001,40.84,40.900002,97600,40.900002
2015-07-30,40.41,41.169998,39.740002,41.040001,427400,41.040001
2015-07-29,43.290001,43.349998,42.959999,43.16,90700,43.16
2015-07-28,43.02,43.439999,42.91,43.380001,63100,43.380001
2015-07-27,43.34,43.34,42.889999,43.130001,237400,43.130001
2015-07-24,43.830002,43.959999,43.209999,43.279999,57100,43.279999
2015-07-23,43.959999,43.98,43.669998,43.700001,72700,43.700001
2015-07-22,43.849998,44.009998,43.689999,44.009998,140200,44.009998
2015-07-21,43.959999,43.990002,43.779999,43.830002,90400,43.830002
2015-07-20,44.290001,44.290001,44.060001,44.09,93200,44.09
2015-07-17,43.790001,43.84,43.540001,43.68,169900,43.68
2015-07-16,43.560001,43.810001,43.509998,43.700001,171700,43.700001
2015-07-15,43.509998,43.52,43.09,43.18,97700,43.18
2015-07-14,43.040001,43.310001,42.880001,43.200001,95900,43.200001
2015-07-13,42.68,42.849998,42.57,42.73,101200,42.73
2015-07-10,42.599998,42.93,42.50,42.799999,275900,42.799999
2015-07-09,41.240002,41.490002,41.029999,41.080002,103100,41.080002
2015-07-08,40.59,40.740002,40.369999,40.50,58800,40.50
2015-07-07,40.389999,40.779999,39.810001,40.68,166000,40.68
2015-07-06,40.470001,40.900002,40.43,40.619999,318100,40.619999
2015-07-02,41.400002,41.490002,41.209999,41.360001,71800,41.360001
2015-07-01,41.369999,41.529999,41.18,41.419998,295000,41.419998
2015-06-30,42.009998,42.009998,41.310001,41.59,226400,41.59
2015-06-29,42.290001,42.529999,41.790001,41.849998,192900,41.849998
2015-06-26,43.040001,43.360001,42.709999,43.009998,102100,43.009998
2015-06-25,43.240002,43.529999,43.00,43.389999,108000,43.389999
2015-06-24,43.110001,43.419998,43.00,43.279999,758600,43.279999
2015-06-23,43.139999,43.290001,43.110001,43.18,121100,43.18
2015-06-22,43.200001,43.540001,43.110001,43.110001,230500,43.110001
2015-06-19,42.34,42.599998,42.130001,42.549999,239300,42.549999
2015-06-18,42.41,43.450001,42.400002,43.09,125700,43.09
2015-06-17,41.990002,42.27,41.869999,42.189999,157400,42.189999
2015-06-16,41.82,42.349998,41.810001,42.23,83700,42.23
2015-06-15,41.59,42.139999,41.580002,42.110001,183300,42.110001
2015-06-12,42.049999,42.400002,41.880001,42.200001,146800,42.200001
2015-06-11,43.02,43.110001,42.540001,42.790001,89200,42.790001
2015-06-10,42.610001,42.98,42.360001,42.900002,194400,42.900002
2015-06-09,42.200001,42.459999,42.02,42.299999,244300,42.299999
2015-06-08,42.599998,42.889999,42.439999,42.82,70200,42.82
2015-06-05,42.779999,42.98,42.57,42.889999,170000,42.889999
2015-06-04,43.91,44.34,43.540001,43.669998,113800,43.669998
2015-06-03,43.599998,44.240002,43.599998,44.029999,173200,44.029999
2015-06-02,42.669998,43.02,42.529999,42.900002,87000,42.900002
2015-06-01,42.549999,42.759998,42.099998,42.700001,85900,42.700001
2015-05-29,43.18,43.240002,42.599998,42.779999,135800,42.779999
2015-05-28,43.220001,43.439999,43.060001,43.34,169900,43.34
2015-05-27,41.93,42.529999,41.93,42.400002,133800,42.400002
2015-05-26,42.540001,42.59,42.060001,42.25,164800,42.25
2015-05-22,43.360001,43.400002,43.16,43.220001,82400,43.220001
2015-05-21,43.549999,43.740002,43.540001,43.68,61400,43.68
2015-05-20,43.290001,43.549999,43.169998,43.439999,98300,43.439999
2015-05-19,43.549999,43.84,43.419998,43.68,78500,43.68
