Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.50,13.56,13.33,13.34,851800,13.212953
2015-12-30,13.72,13.72,13.53,13.56,691700,13.430858
2015-12-29,13.63,13.73,13.55,13.73,703900,13.599238
2015-12-28,13.53,13.58,13.35,13.56,652000,13.430858
2015-12-24,13.50,13.67,13.50,13.58,315000,13.450667
2015-12-23,13.44,13.54,13.38,13.52,756700,13.391239
2015-12-22,13.40,13.42,13.18,13.38,1000800,13.252572
2015-12-21,13.31,13.43,13.17,13.35,1443300,13.222858
2015-12-18,13.34,13.35,13.01,13.25,10606300,13.12381
2015-12-17,13.51,13.66,13.33,13.46,2573100,13.33181
2015-12-16,13.52,13.60,13.21,13.46,1813100,13.33181
2015-12-15,13.15,13.46,13.14,13.39,1563200,13.262477
2015-12-14,13.03,13.20,12.89,13.05,1600700,12.925714
2015-12-11,12.99,13.22,12.92,13.02,1602600,12.896
2015-12-10,13.39,13.48,13.29,13.36,1462500,13.232762
2015-12-09,13.68,13.73,13.27,13.38,1432900,13.252572
2015-12-08,13.76,13.90,13.60,13.71,1428300,13.579429
2015-12-07,14.19,14.28,13.78,13.87,1422800,13.737905
2015-12-04,14.07,14.28,14.01,14.23,1128100,14.094476
2015-12-03,14.35,14.40,14.00,14.03,1782200,13.896381
2015-12-02,14.61,14.61,14.23,14.24,966500,14.104381
2015-12-01,14.59,14.66,14.42,14.57,694200,14.431238
2015-11-30,14.54,14.59,14.46,14.52,762700,14.381715
2015-11-27,14.46,14.55,14.35,14.48,447800,14.342095
2015-11-25,14.56,14.62,14.45,14.56,623100,14.302476
2015-11-24,14.30,14.59,14.30,14.56,846900,14.302476
2015-11-23,14.36,14.52,14.36,14.43,763100,14.174776
2015-11-20,14.33,14.45,14.25,14.37,950900,14.115837
2015-11-19,14.37,14.42,14.19,14.26,771400,14.007782
2015-11-18,14.23,14.37,14.05,14.37,889000,14.115837
2015-11-17,14.15,14.34,14.06,14.15,818000,13.899727
2015-11-16,13.86,14.13,13.74,14.11,719800,13.860435
2015-11-13,13.96,14.10,13.85,13.89,617600,13.644327
2015-11-12,14.29,14.31,14.04,14.06,672900,13.81132
2015-11-11,14.51,14.57,14.33,14.39,840300,14.135483
2015-11-10,14.40,14.51,14.28,14.43,716600,14.174776
2015-11-09,14.54,14.57,14.30,14.39,932800,14.135483
2015-11-06,14.25,14.54,14.19,14.48,1439800,14.223891
2015-11-05,13.83,14.12,13.79,14.05,851600,13.801497
2015-11-04,13.85,13.91,13.74,13.83,735600,13.585388
2015-11-03,13.67,13.88,13.62,13.82,1044600,13.575564
2015-11-02,13.53,13.80,13.49,13.75,1154400,13.506803
2015-10-30,13.73,13.80,13.39,13.47,1258200,13.231755
2015-10-29,13.86,14.04,13.77,13.80,1203600,13.555918
2015-10-28,13.37,13.90,13.37,13.90,1149800,13.654149
2015-10-27,13.35,13.58,13.27,13.34,1177100,13.104054
2015-10-26,13.61,13.69,13.42,13.48,934700,13.241578
2015-10-23,13.38,13.69,13.21,13.65,1136700,13.408571
2015-10-22,13.21,13.58,13.02,13.35,1731700,13.113878
2015-10-21,13.18,13.23,12.92,12.92,1072900,12.691483
2015-10-20,13.09,13.21,12.90,13.15,768500,12.917414
2015-10-19,13.01,13.14,12.95,13.05,538000,12.819184
2015-10-16,13.07,13.15,12.96,13.08,594300,12.848653
2015-10-15,12.88,13.04,12.76,13.04,870500,12.80936
2015-10-14,13.18,13.18,12.78,12.79,778000,12.563782
2015-10-13,13.22,13.43,13.16,13.20,809100,12.96653
2015-10-12,13.09,13.29,13.02,13.27,867200,13.035293
2015-10-09,13.30,13.37,13.08,13.10,915100,12.8683
2015-10-08,13.03,13.31,12.99,13.30,1395700,13.064762
2015-10-07,12.90,13.09,12.84,13.05,997900,12.819184
2015-10-06,12.87,12.93,12.73,12.82,1415600,12.593251
2015-10-05,12.68,12.93,12.68,12.91,873300,12.68166
2015-10-02,12.68,12.68,12.31,12.61,1305200,12.386966
2015-10-01,12.89,12.99,12.71,12.91,1316900,12.68166
2015-09-30,12.96,13.01,12.82,12.95,1402400,12.720952
2015-09-29,12.78,12.96,12.65,12.85,2523100,12.622721
2015-09-28,12.79,12.88,12.73,12.76,1630900,12.534313
2015-09-25,12.81,12.95,12.76,12.87,1500100,12.642367
2015-09-24,12.41,12.66,12.41,12.64,930700,12.416436
2015-09-23,12.51,12.66,12.46,12.54,867600,12.318204
2015-09-22,12.43,12.55,12.37,12.45,755800,12.229796
2015-09-21,12.41,12.67,12.41,12.59,1116900,12.36732
2015-09-18,12.50,12.57,12.32,12.36,2832400,12.141387
2015-09-17,13.01,13.14,12.64,12.69,1457800,12.465551
2015-09-16,12.97,13.04,12.88,13.02,908300,12.789715
2015-09-15,12.84,13.05,12.83,13.01,750600,12.779891
2015-09-14,12.81,12.93,12.76,12.80,1027300,12.573606
2015-09-11,12.71,12.83,12.65,12.82,712000,12.593251
2015-09-10,12.58,12.82,12.55,12.78,1176400,12.553959
2015-09-09,12.77,12.84,12.61,12.62,1113000,12.396789
2015-09-08,12.58,12.70,12.50,12.67,940900,12.445905
2015-09-04,12.23,12.43,12.22,12.38,840800,12.161034
2015-09-03,12.29,12.48,12.12,12.40,1012900,12.18068
2015-09-02,12.35,12.40,12.14,12.33,889300,12.111918
2015-09-01,12.30,12.40,12.12,12.18,1616700,11.964572
2015-08-31,12.45,12.59,12.39,12.56,1065500,12.337851
2015-08-28,12.38,12.56,12.26,12.48,1146100,12.259265
2015-08-27,12.58,12.69,12.43,12.54,1603800,12.200326
2015-08-26,12.30,12.44,12.10,12.44,2335400,12.103035
2015-08-25,12.65,12.65,12.00,12.03,1526800,11.704141
2015-08-24,12.40,12.76,12.22,12.26,3054700,11.927911
2015-08-21,12.72,13.06,12.65,12.95,2046500,12.59922
2015-08-20,13.10,13.15,12.98,12.98,1750100,12.628408
2015-08-19,13.32,13.40,13.23,13.24,1643900,12.881365
2015-08-18,13.37,13.40,13.18,13.36,1657500,12.998115
2015-08-17,13.22,13.44,13.13,13.33,1637300,12.968927
2015-08-14,13.16,13.32,13.12,13.31,1086600,12.94947
2015-08-13,13.06,13.23,13.04,13.16,1154200,12.803532
2015-08-12,13.20,13.22,12.92,13.09,1706600,12.735429
2015-08-11,13.27,13.39,13.18,13.24,1200900,12.881365
2015-08-10,13.46,13.51,13.39,13.42,1633800,13.05649
2015-08-07,13.40,13.50,13.30,13.37,2096600,13.007844
2015-08-06,13.52,13.55,13.36,13.48,1449500,13.114864
2015-08-05,13.36,13.56,13.30,13.47,3168100,13.105136
2015-08-04,13.86,13.98,13.25,13.27,6012200,12.910553
2015-08-03,13.79,13.85,13.65,13.79,1017000,13.416467
2015-07-31,13.80,13.87,13.69,13.79,1241200,13.416467
2015-07-30,13.79,13.88,13.71,13.80,1099300,13.426197
2015-07-29,13.78,13.86,13.69,13.83,1140900,13.455384
2015-07-28,13.95,13.95,13.67,13.79,1226300,13.416467
2015-07-27,13.85,13.88,13.68,13.82,1580700,13.445654
2015-07-24,14.25,14.27,14.01,14.01,1276000,13.630508
2015-07-23,14.69,14.69,14.21,14.25,1054000,13.864007
2015-07-22,14.40,14.62,14.37,14.54,661000,14.146152
2015-07-21,14.55,14.72,14.38,14.40,896900,14.009944
2015-07-20,14.49,14.60,14.35,14.55,798500,14.155881
2015-07-17,14.63,14.64,14.35,14.46,819900,14.068319
2015-07-16,14.69,14.80,14.62,14.64,712800,14.243444
2015-07-15,14.57,14.71,14.48,14.62,781400,14.223985
2015-07-14,14.44,14.57,14.40,14.53,545400,14.136423
2015-07-13,14.52,14.59,14.45,14.51,673800,14.116965
2015-07-10,14.42,14.50,14.29,14.41,930200,14.019673
2015-07-09,14.38,14.39,14.10,14.18,1092500,13.795904
2015-07-08,13.92,14.14,13.92,14.07,1015800,13.688883
2015-07-07,14.30,14.30,13.97,14.11,1338800,13.727799
2015-07-06,14.09,14.34,14.04,14.33,889600,13.94184
2015-07-02,14.54,14.54,14.18,14.28,661800,13.893194
2015-07-01,14.54,14.66,14.37,14.54,1107000,14.146152
2015-06-30,14.39,14.46,14.22,14.32,944600,13.932111
2015-06-29,14.37,14.56,14.19,14.21,1018800,13.825091
2015-06-26,14.50,14.61,14.43,14.58,1719200,14.185068
2015-06-25,14.37,14.49,14.29,14.41,771900,14.019673
2015-06-24,14.37,14.47,14.30,14.35,922000,13.961299
2015-06-23,14.30,14.45,14.28,14.43,570600,14.039132
2015-06-22,14.32,14.35,14.20,14.27,611800,13.883466
2015-06-19,14.10,14.21,14.05,14.17,1230800,13.786174
2015-06-18,14.04,14.14,13.90,14.13,865700,13.747258
2015-06-17,14.33,14.33,13.94,13.97,789900,13.591592
2015-06-16,14.08,14.28,14.04,14.26,788100,13.873737
2015-06-15,13.98,14.19,13.93,14.12,887800,13.737528
2015-06-12,14.08,14.14,14.00,14.14,624000,13.756987
2015-06-11,14.14,14.20,14.04,14.11,631100,13.727799
2015-06-10,14.06,14.22,13.99,14.15,1061000,13.766716
2015-06-09,13.89,14.03,13.77,13.93,998700,13.552675
2015-06-08,13.80,13.89,13.77,13.85,849400,13.474842
2015-06-05,13.75,13.84,13.68,13.78,1174700,13.406738
2015-06-04,13.69,13.75,13.57,13.62,447900,13.251072
2015-06-03,13.69,13.86,13.60,13.77,969800,13.39701
2015-06-02,13.46,13.69,13.35,13.62,832200,13.251072
2015-06-01,13.55,13.57,13.35,13.48,810900,13.114864
2015-05-29,13.57,13.58,13.38,13.49,970800,13.124593
2015-05-28,13.49,13.58,13.46,13.56,673200,13.192698
2015-05-27,13.53,13.67,13.43,13.64,595900,13.153781
2015-05-26,13.44,13.49,13.33,13.47,634400,12.989841
2015-05-22,13.59,13.71,13.50,13.51,513600,13.028415
2015-05-21,13.61,13.72,13.53,13.62,454700,13.134494
2015-05-20,13.71,13.71,13.55,13.65,766300,13.163424
2015-05-19,13.57,13.71,13.57,13.71,704400,13.221286
2015-05-18,13.33,13.58,13.26,13.55,614800,13.066989
2015-05-15,13.46,13.49,13.21,13.29,499400,12.816257
2015-05-14,13.50,13.53,13.41,13.48,778800,12.999484
2015-05-13,13.41,13.46,13.30,13.46,582300,12.980197
2015-05-12,13.40,13.50,13.24,13.43,748000,12.951267
2015-05-11,13.32,13.45,13.26,13.43,877700,12.951267
2015-05-08,13.25,13.32,13.09,13.31,1006500,12.835545
2015-05-07,13.05,13.28,13.00,13.16,890200,12.690891
2015-05-06,13.04,13.12,12.94,13.10,792200,12.63303
2015-05-05,13.07,13.19,12.97,13.01,768800,12.546239
2015-05-04,13.03,13.16,13.01,13.13,593400,12.661961
2015-05-01,13.31,13.32,13.00,13.04,1079900,12.575169
2015-04-30,13.22,13.29,13.08,13.27,2548200,12.796971
2015-04-29,13.20,13.38,13.15,13.26,674500,12.787327
2015-04-28,12.96,13.26,12.94,13.26,776400,12.787327
2015-04-27,13.12,13.19,12.89,12.97,969800,12.507664
2015-04-24,13.20,13.20,13.08,13.12,484500,12.652317
2015-04-23,13.30,13.30,13.08,13.19,615800,12.719821
2015-04-22,13.10,13.25,13.00,13.21,731000,12.739109
2015-04-21,13.20,13.28,13.11,13.11,338100,12.642673
2015-04-20,13.04,13.24,13.02,13.16,399200,12.690891
2015-04-17,13.15,13.21,12.98,13.00,622100,12.536595
2015-04-16,13.28,13.36,13.10,13.27,459400,12.796971
2015-04-15,13.13,13.37,13.08,13.29,633300,12.816257
2015-04-14,13.21,13.22,13.04,13.12,736200,12.652317
2015-04-13,13.13,13.31,13.01,13.26,423400,12.787327
2015-04-10,13.12,13.18,13.01,13.12,424800,12.652317
2015-04-09,13.10,13.12,12.89,13.07,577500,12.604099
2015-04-08,13.10,13.23,13.08,13.12,503200,12.652317
2015-04-07,13.10,13.24,13.06,13.13,376500,12.661961
2015-04-06,13.03,13.24,12.85,13.12,661700,12.652317
2015-04-02,13.12,13.22,13.10,13.18,767000,12.710179
2015-04-01,13.08,13.19,12.95,13.15,626500,12.681247
2015-03-31,13.04,13.17,13.00,13.14,562800,12.671605
2015-03-30,12.97,13.22,12.97,13.15,550900,12.681247
2015-03-27,12.95,12.98,12.82,12.90,525000,12.440159
2015-03-26,12.86,13.00,12.77,12.96,574400,12.498021
2015-03-25,13.20,13.21,12.89,12.89,646900,12.430516
2015-03-24,13.19,13.24,13.06,13.17,1072400,12.700535
2015-03-23,13.30,13.37,13.10,13.20,578100,12.729465
2015-03-20,13.05,13.31,13.04,13.31,1822500,12.835545
2015-03-19,13.04,13.05,12.83,12.99,972500,12.526951
2015-03-18,13.25,13.43,12.98,13.08,1110800,12.613743
2015-03-17,13.18,13.29,13.05,13.29,932400,12.816257
2015-03-16,13.40,13.40,13.21,13.24,821300,12.768039
2015-03-13,13.36,13.37,13.14,13.33,942400,12.854831
2015-03-12,13.06,13.41,13.00,13.39,1154600,12.912693
2015-03-11,12.86,12.96,12.78,12.96,673400,12.498021
2015-03-10,12.85,12.90,12.75,12.80,703500,12.343724
2015-03-09,12.96,13.05,12.93,13.00,510600,12.536595
2015-03-06,12.81,13.14,12.81,12.91,886900,12.449803
2015-03-05,12.81,12.85,12.62,12.83,548200,12.372655
2015-03-04,12.77,12.81,12.70,12.78,647900,12.324437
2015-03-03,12.92,12.96,12.79,12.84,511100,12.382298
2015-03-02,12.88,13.00,12.81,12.94,592800,12.478733
2015-02-27,12.85,12.95,12.83,12.83,650300,12.372655
2015-02-26,12.85,12.94,12.83,12.90,667300,12.440159
2015-02-25,13.10,13.11,12.90,12.97,836900,12.391942
2015-02-24,13.00,13.23,13.00,13.09,555100,12.506594
2015-02-23,12.93,13.03,12.90,13.03,625000,12.449268
2015-02-20,12.85,13.05,12.70,13.03,774100,12.449268
2015-02-19,12.82,12.93,12.74,12.88,535400,12.305953
2015-02-18,13.12,13.16,12.87,12.93,815700,12.353725
2015-02-17,13.08,13.20,13.02,13.19,583300,12.602137
2015-02-13,13.07,13.13,12.99,13.11,732100,12.525702
2015-02-12,12.91,13.04,12.83,13.04,534300,12.458822
2015-02-11,12.82,12.87,12.72,12.78,780200,12.21041
2015-02-10,12.84,12.90,12.65,12.82,709300,12.248627
2015-02-09,12.78,12.84,12.66,12.70,677300,12.133976
2015-02-06,12.81,12.99,12.72,12.85,979500,12.277291
2015-02-05,12.56,12.75,12.56,12.73,670400,12.162638
2015-02-04,12.53,12.64,12.48,12.49,477400,11.933335
2015-02-03,12.41,12.65,12.41,12.59,919200,12.028878
2015-02-02,12.08,12.35,11.93,12.32,1042000,11.770912
2015-01-30,12.12,12.19,11.99,12.00,1117800,11.465174
2015-01-29,12.06,12.26,12.00,12.25,824300,11.704032
2015-01-28,12.36,12.41,12.01,12.02,1408800,11.484283
2015-01-27,12.33,12.48,12.29,12.33,1249600,11.780466
2015-01-26,12.28,12.54,12.18,12.52,1104600,11.961999
2015-01-23,12.52,12.59,12.29,12.33,708000,11.780466
2015-01-22,12.34,12.61,12.02,12.59,1362800,12.028878
2015-01-21,11.90,12.06,11.82,11.89,1004500,11.360077
2015-01-20,11.98,12.01,11.82,11.91,1402500,11.379185
2015-01-16,11.85,12.08,11.85,11.98,1464200,11.446065
2015-01-15,12.09,12.11,11.88,11.91,858300,11.379185
2015-01-14,12.05,12.14,11.89,12.10,801600,11.560717
2015-01-13,12.38,12.55,12.12,12.22,1347400,11.675369
2015-01-12,12.33,12.42,12.19,12.31,694900,11.761358
2015-01-09,12.75,12.77,12.36,12.38,727500,11.828238
2015-01-08,12.56,12.77,12.46,12.77,1156600,12.200856
2015-01-07,12.52,12.56,12.34,12.40,1172600,11.847346
2015-01-06,12.71,12.78,12.29,12.37,1548300,11.818683
2015-01-05,13.05,13.07,12.70,12.71,800900,12.14353
2015-01-02,13.38,13.39,12.94,13.12,1022200,12.535257
2014-12-31,13.50,13.53,13.31,13.32,583500,12.726343
2014-12-30,13.44,13.54,13.37,13.42,549600,12.821886
2014-12-29,13.25,13.56,13.22,13.48,773200,12.879212
2014-12-26,13.32,13.32,13.21,13.23,307200,12.640354
2014-12-24,13.28,13.31,13.15,13.22,414500,12.6308
2014-12-23,13.10,13.36,13.07,13.32,1016500,12.726343
2014-12-22,13.01,13.08,12.93,13.07,808200,12.487485
2014-12-19,13.02,13.07,12.91,13.00,2332600,12.420605
2014-12-18,12.96,13.06,12.90,13.02,1030000,12.439714
2014-12-17,12.58,12.90,12.11,12.89,1342600,12.315508
2014-12-16,12.30,12.73,12.30,12.59,1592200,12.028878
2014-12-15,12.53,12.59,12.34,12.36,977800,11.809129
2014-12-12,12.41,12.60,12.41,12.46,708300,11.904672
2014-12-11,12.58,12.70,12.57,12.60,771100,12.038433
2014-12-10,12.92,12.97,12.54,12.55,1057700,11.990661
2014-12-09,12.64,13.03,12.58,12.98,1134400,12.401496
2014-12-08,12.87,13.06,12.76,12.83,799600,12.258182
2014-12-05,12.69,12.96,12.69,12.94,757200,12.363279
2014-12-04,12.65,12.68,12.57,12.66,572200,12.095758
2014-12-03,12.50,12.71,12.49,12.68,568000,12.114867
2014-12-02,12.43,12.64,12.43,12.50,533300,11.94289
2014-12-01,12.59,12.60,12.38,12.38,742400,11.828238
2014-11-28,12.88,12.90,12.58,12.59,453300,12.028878
2014-11-26,12.78,12.86,12.70,12.84,548100,12.267736
2014-11-25,12.91,12.95,12.83,12.93,403700,12.239073
2014-11-24,12.78,12.91,12.77,12.91,487300,12.220141
2014-11-21,13.02,13.02,12.72,12.76,493400,12.078157
2014-11-20,12.69,12.90,12.69,12.90,524800,12.210675
2014-11-19,12.88,12.88,12.68,12.73,501700,12.04976
