Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,53.57,54.599998,52.450001,52.50,108500,52.50
2015-12-30,54.41,54.709999,53.799999,53.900002,95600,53.900002
2015-12-29,54.330002,54.650002,53.549999,54.330002,119000,54.330002
2015-12-28,54.450001,54.610001,53.700001,54.00,109400,54.00
2015-12-24,54.650002,55.130001,54.189999,54.639999,56500,54.639999
2015-12-23,54.040001,54.84,53.77,54.57,126600,54.57
2015-12-22,53.34,53.810001,50.029999,53.759998,625500,53.759998
2015-12-21,54.119999,54.240002,53.02,53.560001,168000,53.560001
2015-12-18,54.970001,55.709999,53.66,53.740002,569300,53.740002
2015-12-17,57.740002,57.740002,55.689999,55.740002,195300,55.740002
2015-12-16,56.91,57.75,56.220001,57.490002,150500,57.490002
2015-12-15,56.50,56.799999,55.639999,56.48,189300,56.48
2015-12-14,57.00,57.23,56.00,56.27,132500,56.27
2015-12-11,57.57,58.09,56.709999,57.00,152300,57.00
2015-12-10,58.200001,58.939999,57.790001,58.360001,113000,58.360001
2015-12-09,59.110001,59.540001,57.73,58.119999,154000,58.119999
2015-12-08,58.189999,59.360001,57.860001,58.73,177300,58.73
2015-12-07,59.360001,59.630001,58.310001,58.59,189000,58.59
2015-12-04,58.650002,59.889999,58.389999,59.349998,310900,59.349998
2015-12-03,59.50,60.119999,58.52,58.59,210400,58.59
2015-12-02,60.27,60.57,59.049999,59.23,153400,59.23
2015-12-01,58.880001,61.060001,58.790001,60.25,544300,60.25
2015-11-30,58.00,58.459999,57.73,58.040001,159300,58.040001
2015-11-27,58.150002,58.619999,57.549999,57.75,120900,57.75
2015-11-25,56.950001,58.290001,56.950001,58.040001,221200,58.040001
2015-11-24,55.759998,57.009998,55.669998,56.950001,254600,56.950001
2015-11-23,54.759998,56.330002,54.75,56.189999,212500,56.189999
2015-11-20,54.41,55.310001,54.049999,54.93,188500,54.93
2015-11-19,54.93,55.00,53.84,54.029999,90000,54.029999
2015-11-18,55.16,55.290001,54.200001,55.25,150600,55.25
2015-11-17,54.900002,55.099998,54.099998,54.919998,192500,54.919998
2015-11-16,54.560001,55.029999,53.889999,54.950001,171900,54.950001
2015-11-13,53.849998,55.27,53.330002,54.139999,186000,54.139999
2015-11-12,56.220001,56.48,54.240002,54.259998,178200,54.259998
2015-11-11,56.889999,57.00,56.009998,56.700001,138800,56.700001
