Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.75,15.86,15.74,15.77,21700,15.219752
2015-12-30,15.90,15.94,15.72,15.83,49200,15.277658
2015-12-29,15.87,15.94,15.76,15.90,30600,15.345216
2015-12-28,15.62,15.79,15.62,15.76,27700,15.210101
2015-12-24,15.69,15.75,15.67,15.73,8500,15.181147
2015-12-23,15.57,15.71,15.51,15.70,20900,15.152194
2015-12-22,15.48,15.56,15.38,15.43,46200,14.891615
2015-12-21,15.50,15.68,15.36,15.40,14600,14.862662
2015-12-18,15.52,15.57,15.44,15.46,14600,14.920568
2015-12-17,15.72,15.79,15.52,15.62,28600,15.074986
2015-12-16,15.57,15.76,15.52,15.76,21400,15.210101
2015-12-15,15.26,15.57,15.26,15.54,24600,14.997777
2015-12-14,15.24,15.28,15.09,15.26,17800,14.727547
2015-12-11,15.34,15.61,15.24,15.24,21400,14.708244
2015-12-10,15.50,15.63,15.50,15.59,6800,15.046033
2015-12-09,15.57,15.74,15.46,15.47,15700,14.93022
2015-12-08,15.58,15.69,15.58,15.61,19100,15.065334
2015-12-07,15.86,15.86,15.69,15.74,22400,15.190798
2015-12-04,15.68,15.93,15.64,15.90,22200,15.345216
2015-12-03,15.85,15.85,15.59,15.65,19900,15.103939
2015-12-02,15.96,15.97,15.80,15.85,22000,15.296961
2015-12-01,15.85,16.030001,15.85,16.00,28400,15.441727
2015-11-30,15.88,15.88,15.78,15.82,28300,15.268007
2015-11-27,15.77,15.85,15.73,15.84,11400,15.28731
2015-11-25,15.77,15.87,15.76,15.83,25700,15.277658
2015-11-24,15.72,15.84,15.71,15.77,25200,15.219752
2015-11-23,15.74,15.87,15.74,15.77,56200,15.219752
2015-11-20,15.79,15.85,15.76,15.80,11800,15.248705
2015-11-19,15.70,15.79,15.70,15.71,13400,15.161845
2015-11-18,15.55,15.72,15.46,15.70,7300,15.152194
2015-11-17,15.47,15.58,15.43,15.47,13100,14.93022
2015-11-16,15.37,15.46,15.33,15.42,12700,14.881964
2015-11-13,15.60,15.64,15.44,15.46,7100,14.920568
2015-11-12,15.69,15.73,15.65,15.65,6700,15.103939
2015-11-11,15.87,15.89,15.76,15.82,12100,15.268007
2015-11-10,15.85,15.99,15.76,15.85,210800,15.296961
2015-11-09,16.469999,16.469999,16.23,16.309999,17500,15.272832
2015-11-06,16.43,16.51,16.299999,16.51,8700,15.460115
2015-11-05,16.469999,16.620001,16.35,16.440001,19100,15.394566
2015-11-04,16.50,16.52,16.440001,16.450001,17400,15.403931
2015-11-03,16.41,16.540001,16.34,16.530001,12400,15.478843
2015-11-02,16.24,16.450001,16.24,16.42,11900,15.375838
2015-10-30,16.18,16.33,16.18,16.25,7300,15.216648
2015-10-29,16.25,16.40,16.209999,16.23,16800,15.19792
2015-10-28,16.16,16.299999,16.139999,16.280001,14700,15.244741
2015-10-27,16.129999,16.200001,16.059999,16.18,16200,15.1511
2015-10-26,16.16,16.200001,16.16,16.190001,4400,15.160464
2015-10-23,16.10,16.219999,16.10,16.209999,36800,15.179191
2015-10-22,15.85,16.110001,15.85,16.10,19300,15.076187
2015-10-21,15.91,15.98,15.76,15.84,93100,14.832721
2015-10-20,15.87,15.99,15.84,15.87,11900,14.860813
2015-10-19,15.81,15.98,15.76,15.95,28400,14.935725
2015-10-16,15.79,15.84,15.76,15.80,13200,14.795264
2015-10-15,15.79,15.82,15.63,15.79,22000,14.7859
2015-10-14,15.77,15.89,15.62,15.68,22800,14.682895
2015-10-13,15.76,15.87,15.72,15.74,17200,14.739079
2015-10-12,15.68,16.01,15.68,15.88,13900,14.870177
