Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.50,7.55,7.46,7.50,104800,7.277027
2015-12-30,7.58,7.59,7.51,7.53,77700,7.306135
2015-12-29,7.56,7.63,7.56,7.58,70500,7.354649
2015-12-28,7.54,7.65,7.52,7.54,88600,7.315838
2015-12-24,7.60,7.66,7.55,7.55,50400,7.325541
2015-12-23,7.56,7.65,7.54,7.65,45700,7.422568
2015-12-22,7.51,7.55,7.48,7.51,181500,7.28673
2015-12-21,7.42,7.53,7.41,7.50,183900,7.277027
2015-12-18,7.52,7.55,7.38,7.38,197800,7.160595
2015-12-17,7.52,7.55,7.47,7.50,54800,7.277027
2015-12-16,7.38,7.53,7.37,7.52,196700,7.296432
2015-12-15,7.31,7.37,7.30,7.37,87500,7.150892
2015-12-14,7.35,7.38,7.18,7.21,358500,6.995649
2015-12-11,7.52,7.54,7.37,7.37,76800,7.150892
2015-12-10,7.67,7.69,7.61,7.62,107600,7.393459
2015-12-09,7.75,7.77,7.63,7.65,92900,7.422568
2015-12-08,8.00,8.05,7.96,8.03,101800,7.519594
2015-12-07,8.12,8.12,8.00,8.03,126500,7.519594
2015-12-04,8.05,8.12,8.05,8.12,98200,7.603874
2015-12-03,8.15,8.15,8.00,8.02,88100,7.510231
2015-12-02,8.14,8.15,8.11,8.14,68500,7.622603
2015-12-01,8.08,8.15,8.08,8.15,62200,7.631967
2015-11-30,8.12,8.12,8.05,8.07,82200,7.557052
2015-11-27,8.09,8.09,8.06,8.09,22800,7.575781
2015-11-25,8.10,8.10,8.02,8.07,70200,7.557052
2015-11-24,8.07,8.11,8.01,8.09,68400,7.575781
2015-11-23,8.09,8.17,8.09,8.13,100600,7.613238
2015-11-20,8.08,8.14,8.08,8.09,73800,7.575781
2015-11-19,8.06,8.07,8.01,8.07,40200,7.557052
2015-11-18,7.99,8.09,7.99,8.06,197000,7.547688
2015-11-17,8.09,8.09,7.99,7.99,38600,7.482137
2015-11-16,7.93,8.11,7.93,8.08,91900,7.566416
2015-11-13,8.03,8.04,7.95,7.96,47300,7.454044
2015-11-12,8.06,8.06,8.02,8.02,51900,7.510231
2015-11-11,8.14,8.14,8.08,8.10,55200,7.585145
2015-11-10,8.07,8.12,8.05,8.10,190200,7.585145
2015-11-09,8.30,8.30,8.07,8.12,262800,7.603874
2015-11-06,8.37,8.39,8.28,8.31,60400,7.781797
2015-11-05,8.42,8.43,8.36,8.37,70500,7.837983
2015-11-04,8.45,8.45,8.40,8.42,38000,7.884805
2015-11-03,8.38,8.43,8.36,8.41,37900,7.875441
2015-11-02,8.30,8.40,8.30,8.40,46200,7.866076
2015-10-30,8.31,8.33,8.26,8.31,19100,7.781797
2015-10-29,8.25,8.31,8.25,8.29,20300,7.763068
2015-10-28,8.22,8.29,8.21,8.29,36400,7.763068
2015-10-27,8.25,8.25,8.20,8.20,42800,7.678789
2015-10-26,8.29,8.30,8.24,8.26,34400,7.734975
2015-10-23,8.27,8.30,8.24,8.28,31900,7.753704
2015-10-22,8.09,8.21,8.09,8.21,30500,7.688153
2015-10-21,8.19,8.19,8.08,8.08,41700,7.566416
2015-10-20,8.14,8.16,8.10,8.16,41500,7.641331
2015-10-19,8.09,8.16,8.09,8.14,66200,7.622603
2015-10-16,8.07,8.16,8.06,8.16,54100,7.641331
2015-10-15,7.96,8.07,7.94,8.07,52900,7.557052
2015-10-14,7.98,8.02,7.91,7.95,60700,7.444679
2015-10-13,8.02,8.05,7.98,7.98,29500,7.472773
2015-10-12,8.00,8.08,8.00,8.08,31900,7.566416
2015-10-09,8.00,8.04,7.95,8.03,99800,7.519594
2015-10-08,7.91,8.00,7.88,8.00,34600,7.491501
2015-10-07,7.90,7.93,7.85,7.91,36200,7.407222
2015-10-06,7.74,7.84,7.74,7.82,43900,7.322943
2015-10-05,7.70,7.81,7.62,7.78,66200,7.285485
2015-10-02,7.48,7.62,7.44,7.61,57800,7.126291
2015-10-01,7.57,7.57,7.48,7.57,43400,7.088833
2015-09-30,7.55,7.57,7.49,7.53,62700,7.051376
2015-09-29,7.68,7.68,7.47,7.50,83400,7.023282
2015-09-28,7.85,7.86,7.66,7.68,84900,7.191841
2015-09-25,8.07,8.07,7.83,7.90,117000,7.397858
2015-09-24,7.94,8.02,7.90,8.02,144400,7.510231
2015-09-23,7.94,8.00,7.91,7.98,92300,7.472773
2015-09-22,7.90,7.93,7.82,7.93,84700,7.425951
2015-09-21,8.03,8.07,7.96,7.97,87500,7.463408
2015-09-18,7.90,7.98,7.90,7.94,77500,7.435315
2015-09-17,7.96,8.01,7.95,7.95,41700,7.444679
2015-09-16,7.90,7.99,7.84,7.99,30300,7.482137
2015-09-15,7.78,7.92,7.77,7.91,43700,7.407222
2015-09-14,7.86,7.88,7.78,7.78,61900,7.285485
2015-09-11,8.03,8.07,7.99,8.06,39000,7.341672
2015-09-10,8.06,8.11,8.03,8.06,46800,7.341672
2015-09-09,8.26,8.28,8.03,8.04,95800,7.323454
2015-09-08,8.07,8.21,8.07,8.21,140100,7.478303
2015-09-04,7.95,7.96,7.89,7.95,49700,7.241475
2015-09-03,8.00,8.04,7.96,8.01,87100,7.296128
2015-09-02,7.99,8.04,7.89,7.97,119900,7.259692
2015-09-01,7.93,7.94,7.77,7.84,126200,7.141279
2015-08-31,7.95,8.06,7.95,8.00,60300,7.287019
2015-08-28,8.03,8.07,8.03,8.05,93500,7.332563
2015-08-27,7.99,8.06,7.91,8.03,116500,7.314345
2015-08-26,7.78,7.93,7.70,7.92,132000,7.214149
2015-08-25,7.79,7.79,7.53,7.62,132900,6.940885
2015-08-24,7.43,7.44,7.39,7.44,207100,6.776928
2015-08-21,8.14,8.15,7.84,7.86,251300,7.159496
2015-08-20,8.41,8.44,8.02,8.27,162400,7.532956
2015-08-19,8.58,8.58,8.50,8.51,76800,7.751566
2015-08-18,8.66,8.68,8.60,8.62,83500,7.851763
2015-08-17,8.63,8.69,8.59,8.65,63700,7.879089
2015-08-14,8.56,8.68,8.56,8.63,95900,7.860872
2015-08-13,8.64,8.65,8.57,8.60,76500,7.833546
2015-08-12,8.62,8.64,8.53,8.60,92600,7.833546
2015-08-11,8.73,8.81,8.69,8.70,90900,7.924633
2015-08-10,8.79,8.89,8.79,8.86,32400,8.070373
2015-08-07,8.77,8.84,8.70,8.73,53000,7.951959
2015-08-06,8.90,8.97,8.80,8.82,123000,8.033938
2015-08-05,9.02,9.05,8.98,8.99,51600,8.188787
2015-08-04,9.00,9.04,8.93,8.97,52000,8.17057
2015-08-03,9.00,9.02,8.94,8.98,51100,8.179678
2015-07-31,9.03,9.04,8.99,8.99,51500,8.188787
2015-07-30,9.05,9.05,8.98,8.98,50700,8.179678
2015-07-29,8.99,9.08,8.99,9.06,35200,8.252549
2015-07-28,8.91,9.03,8.87,8.98,47900,8.179678
2015-07-27,9.07,9.07,8.87,8.87,96800,8.079482
2015-07-24,9.20,9.21,9.08,9.08,57800,8.270766
2015-07-23,9.25,9.25,9.18,9.20,33300,8.380071
2015-07-22,9.18,9.25,9.18,9.24,38700,8.416506
2015-07-21,9.23,9.24,9.19,9.24,61000,8.416506
2015-07-20,9.24,9.27,9.23,9.24,45800,8.416506
2015-07-17,9.35,9.35,9.22,9.26,183600,8.434724
2015-07-16,9.37,9.38,9.35,9.36,51300,8.525812
2015-07-15,9.37,9.38,9.30,9.31,49700,8.480268
2015-07-14,9.39,9.40,9.36,9.37,47000,8.534921
2015-07-13,9.32,9.39,9.30,9.38,52700,8.54403
2015-07-10,9.15,9.24,9.14,9.24,40800,8.416506
2015-07-09,9.18,9.20,9.06,9.06,42200,8.252549
2015-07-08,9.07,9.14,9.02,9.02,57900,8.216114
2015-07-07,9.17,9.25,9.08,9.24,73500,8.416506
2015-07-06,9.20,9.23,9.15,9.17,35600,8.352745
2015-07-02,9.28,9.28,9.23,9.24,49800,8.416506
2015-07-01,9.23,9.27,9.18,9.19,37500,8.370962
2015-06-30,9.19,9.20,9.10,9.17,69900,8.352745
2015-06-29,9.25,9.27,9.15,9.15,69600,8.334527
2015-06-26,9.35,9.37,9.31,9.35,70300,8.516704
2015-06-25,9.34,9.34,9.30,9.30,58700,8.47116
2015-06-24,9.28,9.33,9.26,9.31,89100,8.480268
2015-06-23,9.20,9.28,9.20,9.27,69700,8.443833
2015-06-22,9.28,9.31,9.23,9.23,89600,8.407397
2015-06-19,9.29,9.29,9.21,9.22,69100,8.398289
2015-06-18,9.23,9.30,9.22,9.26,103400,8.434724
2015-06-17,9.25,9.28,9.17,9.19,61600,8.370962
2015-06-16,9.24,9.26,9.21,9.22,50000,8.398289
2015-06-15,9.22,9.25,9.20,9.21,54100,8.38918
2015-06-12,9.30,9.30,9.24,9.27,34700,8.443833
2015-06-11,9.54,9.55,9.51,9.53,51600,8.480268
2015-06-10,9.47,9.54,9.46,9.52,80400,8.47137
2015-06-09,9.41,9.47,9.38,9.46,143900,8.417978
2015-06-08,9.47,9.47,9.41,9.43,68400,8.391283
2015-06-05,9.52,9.52,9.44,9.47,118000,8.426877
2015-06-04,9.47,9.52,9.45,9.48,81900,8.435775
2015-06-03,9.52,9.58,9.51,9.52,64300,8.47137
2015-06-02,9.51,9.52,9.47,9.49,96900,8.444674
2015-06-01,9.52,9.54,9.45,9.53,112700,8.480268
2015-05-29,9.53,9.54,9.47,9.51,70300,8.462471
2015-05-28,9.50,9.56,9.48,9.56,77500,8.506964
2015-05-27,9.41,9.52,9.41,9.52,72200,8.47137
2015-05-26,9.45,9.46,9.34,9.39,99500,8.355689
2015-05-22,9.48,9.48,9.40,9.42,45400,8.382384
2015-05-21,9.37,9.48,9.37,9.47,96000,8.426877
2015-05-20,9.32,9.39,9.27,9.39,77900,8.355689
2015-05-19,9.30,9.35,9.29,9.34,79300,8.311197
2015-05-18,9.23,9.32,9.22,9.29,73500,8.266704
2015-05-15,9.28,9.30,9.24,9.26,59200,8.240009
2015-05-14,9.18,9.29,9.18,9.29,42200,8.266704
2015-05-13,9.14,9.21,9.13,9.15,114400,8.142125
2015-05-12,9.15,9.17,9.09,9.13,72600,8.124328
2015-05-11,9.19,9.22,9.16,9.17,72100,8.159922
2015-05-08,9.23,9.30,9.20,9.22,102400,8.204415
2015-05-07,9.14,9.24,9.14,9.16,65200,8.151023
2015-05-06,9.22,9.27,9.15,9.16,89800,8.151023
2015-05-05,9.29,9.30,9.22,9.23,65400,8.213313
2015-05-04,9.32,9.33,9.27,9.30,114000,8.275603
2015-05-01,9.25,9.29,9.24,9.28,79200,8.257805
2015-04-30,9.32,9.32,9.24,9.25,75200,8.23111
2015-04-29,9.34,9.38,9.30,9.32,151900,8.293399
2015-04-28,9.33,9.43,9.30,9.39,81300,8.355689
2015-04-27,9.37,9.41,9.32,9.32,66000,8.293399
2015-04-24,9.39,9.39,9.34,9.35,63200,8.320095
2015-04-23,9.33,9.40,9.31,9.31,117300,8.284501
2015-04-22,9.37,9.37,9.30,9.31,50300,8.284501
2015-04-21,9.32,9.34,9.28,9.34,61400,8.311197
2015-04-20,9.29,9.36,9.27,9.27,80900,8.248907
2015-04-17,9.36,9.36,9.26,9.31,69400,8.284501
2015-04-16,9.39,9.43,9.39,9.42,33700,8.382384
2015-04-15,9.45,9.46,9.43,9.43,62900,8.391283
2015-04-14,9.42,9.45,9.36,9.43,38900,8.391283
2015-04-13,9.42,9.46,9.40,9.41,49600,8.373486
2015-04-10,9.40,9.43,9.37,9.43,123500,8.391283
2015-04-09,9.40,9.41,9.36,9.39,40800,8.355689
2015-04-08,9.35,9.40,9.35,9.39,27200,8.355689
2015-04-07,9.36,9.40,9.35,9.37,59800,8.337892
2015-04-06,9.30,9.40,9.25,9.40,50500,8.364587
2015-04-02,9.28,9.32,9.25,9.29,55600,8.266704
2015-04-01,9.27,9.29,9.20,9.26,55600,8.240009
2015-03-31,9.30,9.33,9.27,9.29,45100,8.266704
2015-03-30,9.35,9.40,9.35,9.35,65200,8.320095
2015-03-27,9.27,9.31,9.27,9.30,51100,8.275603
2015-03-26,9.33,9.33,9.22,9.26,135900,8.240009
2015-03-25,9.44,9.44,9.34,9.34,103800,8.311197
2015-03-24,9.43,9.44,9.38,9.41,69500,8.373486
2015-03-23,9.40,9.45,9.38,9.39,78600,8.355689
2015-03-20,9.47,9.52,9.39,9.40,74300,8.364587
2015-03-19,9.48,9.48,9.37,9.43,71300,8.391283
2015-03-18,9.28,9.44,9.26,9.43,78100,8.391283
2015-03-17,9.36,9.38,9.28,9.28,76100,8.257805
2015-03-16,9.44,9.46,9.37,9.38,106900,8.34679
2015-03-13,9.40,9.40,9.29,9.39,128500,8.355689
2015-03-12,9.56,9.64,9.56,9.59,70900,8.337892
2015-03-11,9.65,9.65,9.50,9.53,88300,8.285726
2015-03-10,9.65,9.65,9.46,9.61,148300,8.35528
2015-03-09,9.81,9.82,9.74,9.74,56600,8.468307
2015-03-06,9.85,9.86,9.76,9.77,68600,8.494391
2015-03-05,9.91,9.96,9.89,9.89,47300,8.598723
2015-03-04,9.86,9.93,9.82,9.92,64500,8.624806
2015-03-03,9.85,9.87,9.81,9.86,51900,8.57264
2015-03-02,9.86,9.91,9.86,9.89,53400,8.598723
2015-02-27,9.80,9.85,9.80,9.83,37000,8.546557
2015-02-26,9.81,9.84,9.79,9.82,42400,8.537862
2015-02-25,9.87,9.90,9.81,9.84,36800,8.555251
2015-02-24,9.79,9.90,9.79,9.89,49800,8.598723
2015-02-23,9.75,9.83,9.75,9.80,63000,8.520474
2015-02-20,9.78,9.89,9.76,9.80,86000,8.520474
2015-02-19,9.80,9.86,9.78,9.79,58400,8.511779
2015-02-18,9.88,9.90,9.82,9.83,56700,8.546557
2015-02-17,9.87,9.91,9.83,9.89,72900,8.598723
2015-02-13,9.77,9.86,9.75,9.85,38700,8.563946
2015-02-12,9.72,9.83,9.72,9.72,34900,8.450919
2015-02-11,9.67,9.73,9.67,9.71,39400,8.442224
2015-02-10,9.68,9.68,9.62,9.68,130400,8.416142
2015-02-09,9.66,9.68,9.58,9.58,96600,8.329198
2015-02-06,9.73,9.78,9.63,9.65,86700,8.390058
2015-02-05,9.70,9.80,9.69,9.71,140900,8.442224
2015-02-04,9.73,9.75,9.64,9.64,107000,8.381364
2015-02-03,9.68,9.78,9.65,9.73,103900,8.459613
2015-02-02,9.59,9.64,9.50,9.60,123500,8.346587
2015-01-30,9.67,9.77,9.53,9.56,86900,8.311809
2015-01-29,9.87,9.87,9.67,9.75,94700,8.477002
2015-01-28,10.00,10.05,9.80,9.84,100800,8.555251
2015-01-27,9.98,10.00,9.83,9.91,111500,8.616111
2015-01-26,10.04,10.04,9.98,9.98,91000,8.676972
2015-01-23,10.02,10.02,9.89,10.00,53100,8.694361
2015-01-22,9.95,10.00,9.92,9.96,62000,8.659583
2015-01-21,9.79,9.94,9.79,9.94,65300,8.642194
2015-01-20,9.79,9.84,9.71,9.83,63100,8.546557
2015-01-16,9.65,9.77,9.62,9.74,49400,8.468307
2015-01-15,9.83,9.83,9.65,9.69,74100,8.424835
2015-01-14,9.83,9.86,9.75,9.79,103400,8.511779
2015-01-13,9.88,10.15,9.86,9.90,241900,8.607417
2015-01-12,9.79,9.95,9.77,9.95,142600,8.650889
