Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,28.83,28.950001,28.290001,28.610001,277100,28.055304
2015-12-30,29.01,29.299999,28.620001,29.08,421100,28.516191
2015-12-29,28.74,29.27,28.67,29.10,303100,28.535804
2015-12-28,28.16,28.92,27.790001,28.68,331700,28.123947
2015-12-24,28.200001,28.459999,28.139999,28.309999,75600,27.76112
2015-12-23,27.68,28.280001,27.459999,28.25,211400,27.702283
2015-12-22,27.030001,27.549999,26.66,27.540001,388000,27.00605
2015-12-21,26.90,27.26,26.559999,26.940001,332700,26.417682
2015-12-18,26.790001,27.42,26.559999,26.83,1218000,26.309815
2015-12-17,27.549999,27.709999,26.950001,26.99,388100,26.466712
2015-12-16,26.67,27.700001,26.43,27.639999,282700,27.10411
2015-12-15,25.209999,26.42,24.92,26.290001,421100,25.780285
2015-12-14,25.620001,25.83,24.90,24.969999,484600,24.485876
2015-12-11,26.42,26.42,25.440001,25.629999,536700,25.13308
2015-12-10,26.60,27.00,26.52,26.860001,344100,26.339234
2015-12-09,26.299999,26.889999,26.299999,26.620001,378000,26.103887
2015-12-08,26.120001,26.42,25.709999,26.32,240200,25.809702
2015-12-07,26.209999,26.51,25.85,26.389999,246000,25.878345
2015-12-04,26.120001,26.530001,25.90,26.290001,309700,25.780285
2015-12-03,26.65,27.059999,26.120001,26.129999,443500,25.623386
2015-12-02,26.84,27.15,26.290001,26.48,347000,25.9666
2015-12-01,26.530001,27.09,26.33,26.790001,358600,26.270591
2015-11-30,26.219999,26.719999,26.17,26.51,283800,25.996019
2015-11-27,26.950001,27.07,26.620001,26.77,130600,25.809703
2015-11-25,26.27,27.08,26.24,26.98,289600,26.012169
2015-11-24,25.99,26.35,25.68,26.23,289500,25.289073
2015-11-23,26.65,26.870001,25.940001,26.190001,495800,25.250509
2015-11-20,26.040001,26.68,25.93,26.610001,484800,25.655442
2015-11-19,25.42,26.209999,25.139999,25.85,401800,24.922705
2015-11-18,25.02,25.48,24.76,25.450001,299600,24.537054
2015-11-17,25.50,25.50,24.879999,24.879999,386500,23.9875
2015-11-16,25.290001,25.559999,24.860001,25.49,236600,24.575618
2015-11-13,25.48,25.66,25.01,25.379999,230000,24.469564
2015-11-12,25.709999,25.98,25.440001,25.639999,317600,24.720237
2015-11-11,26.16,26.190001,25.540001,25.809999,240400,24.884139
2015-11-10,26.84,26.860001,25.889999,26.00,302100,25.067324
2015-11-09,27.98,27.99,26.959999,26.969999,313800,26.002527
2015-11-06,27.700001,28.360001,27.25,28.049999,343300,27.043785
2015-11-05,27.040001,27.58,26.809999,27.450001,238500,26.46531
2015-11-04,27.09,27.379999,26.77,26.950001,335600,25.983246
2015-11-03,26.85,27.450001,26.73,27.07,255900,26.09894
2015-11-02,25.82,26.92,25.82,26.92,327400,25.954321
2015-10-30,26.299999,26.459999,25.700001,25.82,362400,24.89378
2015-10-29,26.40,27.120001,26.24,26.309999,418000,25.366203
2015-10-28,25.51,26.48,25.35,26.43,804600,25.481899
2015-10-27,25.959999,26.15,24.389999,25.040001,1126300,24.141762
2015-10-26,25.83,26.76,25.83,26.280001,704400,25.33728
2015-10-23,26.139999,26.42,23.77,25.83,1429300,24.903422
2015-10-22,27.709999,28.76,27.59,28.34,257800,27.323383
2015-10-21,28.35,28.43,27.60,27.639999,265100,26.648493
2015-10-20,27.700001,28.209999,27.549999,28.17,219700,27.159481
2015-10-19,27.549999,27.700001,27.10,27.66,276800,26.667776
2015-10-16,27.790001,27.85,27.32,27.77,258600,26.773831
2015-10-15,27.219999,27.73,27.07,27.639999,258100,26.648493
2015-10-14,27.49,27.49,26.870001,27.120001,188400,26.147148
2015-10-13,27.549999,27.99,27.360001,27.43,165400,26.446027
2015-10-12,28.08,28.16,27.57,27.709999,347700,26.715982
2015-10-09,28.67,28.799999,28.23,28.25,157000,27.236611
2015-10-08,28.780001,28.870001,28.440001,28.629999,252700,27.602979
2015-10-07,28.209999,29.07,28.09,28.92,399000,27.882577
2015-10-06,28.65,28.82,27.690001,28.23,481500,27.217328
2015-10-05,28.32,28.98,27.940001,28.91,296000,27.872936
2015-10-02,27.719999,27.99,26.57,27.99,660200,26.985938
2015-10-01,28.48,28.559999,27.49,28.18,320400,27.169123
2015-09-30,28.65,28.65,28.030001,28.469999,274300,27.448719
2015-09-29,29.450001,29.450001,28.049999,28.219999,289200,27.207687
2015-09-28,30.51,30.530001,29.379999,29.40,214700,28.345358
2015-09-25,31.209999,31.27,30.629999,30.799999,255900,29.695137
2015-09-24,31.09,31.280001,30.639999,30.76,202000,29.656573
2015-09-23,31.73,31.83,31.290001,31.35,306000,30.225408
2015-09-22,31.59,31.74,31.379999,31.66,343500,30.524287
2015-09-21,31.690001,31.969999,31.450001,31.93,292500,30.784602
2015-09-18,31.389999,31.75,31.16,31.40,440100,30.273614
2015-09-17,32.610001,32.84,31.66,31.77,428600,30.630342
2015-09-16,32.880001,32.880001,32.34,32.650002,377500,31.478775
2015-09-15,32.82,33.00,32.580002,32.849998,355700,31.671598
2015-09-14,32.900002,33.049999,32.48,32.68,148800,31.507698
2015-09-11,33.110001,33.360001,32.700001,32.880001,153200,31.700524
