Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.77,4.99,4.52,4.67,630200,4.67
2015-12-30,4.76,4.95,4.75,4.84,377400,4.84
2015-12-29,5.27,5.27,4.87,4.96,310200,4.96
2015-12-28,5.57,5.61,5.13,5.15,292600,5.15
2015-12-24,5.65,5.83,5.48,5.61,185600,5.61
2015-12-23,5.31,5.68,5.23,5.64,375500,5.64
2015-12-22,4.66,5.28,4.59,5.18,405900,5.18
2015-12-21,4.78,4.84,4.50,4.65,460200,4.65
2015-12-18,4.87,5.05,4.52,4.78,1267800,4.78
2015-12-17,5.19,5.22,4.70,4.73,1081500,4.73
2015-12-16,5.59,5.86,5.17,5.20,355700,5.20
2015-12-15,5.53,5.72,5.45,5.65,345000,5.65
2015-12-14,5.43,5.48,5.02,5.38,435700,5.38
2015-12-11,5.12,5.44,4.92,5.43,541400,5.43
2015-12-10,4.88,5.19,4.79,5.12,644700,5.12
2015-12-09,4.79,5.18,4.62,4.85,336800,4.85
2015-12-08,5.02,5.08,4.50,4.73,658600,4.73
2015-12-07,5.00,5.25,4.73,5.02,622500,5.02
2015-12-04,5.20,5.31,4.81,5.10,603000,5.10
2015-12-03,5.44,5.69,5.29,5.30,372400,5.30
2015-12-02,6.00,6.02,5.36,5.43,499300,5.43
2015-12-01,6.45,6.54,5.89,5.98,428400,5.98
2015-11-30,5.32,6.55,5.25,6.47,787600,6.47
2015-11-27,5.28,5.44,5.20,5.25,151000,5.25
2015-11-25,5.39,5.59,5.26,5.34,458700,5.34
2015-11-24,5.34,5.81,5.34,5.50,509800,5.50
2015-11-23,5.64,5.83,5.12,5.20,435600,5.20
2015-11-20,5.36,5.82,5.36,5.74,1078600,5.74
2015-11-19,5.17,5.33,4.99,5.31,473300,5.31
2015-11-18,5.07,5.44,4.96,5.19,409800,5.19
2015-11-17,5.40,5.45,5.02,5.03,689900,5.03
2015-11-16,4.90,5.38,4.88,5.22,378200,5.22
2015-11-13,4.60,5.09,4.60,4.92,841400,4.92
2015-11-12,5.05,5.35,4.68,4.71,679500,4.71
2015-11-11,5.53,5.54,5.11,5.29,703200,5.29
