Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,42.759998,43.360001,42.369999,42.549999,366100,42.140668
2015-12-30,42.700001,43.450001,42.630001,43.029999,343700,42.61605
2015-12-29,42.75,42.970001,41.77,42.959999,287400,42.546723
2015-12-28,42.41,42.700001,41.84,42.41,298800,42.002015
2015-12-24,42.57,42.830002,42.41,42.669998,88700,42.259512
2015-12-23,41.450001,42.849998,41.450001,42.59,316100,42.180284
2015-12-22,39.919998,41.549999,39.919998,41.110001,416600,40.714522
2015-12-21,40.310001,40.779999,39.75,39.869999,435800,39.486449
2015-12-18,40.400002,40.439999,39.450001,40.169998,797400,39.783562
2015-12-17,41.16,41.470001,40.200001,40.400002,400000,40.011353
2015-12-16,41.029999,41.360001,40.50,41.209999,337900,40.813558
2015-12-15,40.310001,41.330002,40.18,40.779999,385800,40.387695
2015-12-14,39.150002,40.290001,37.950001,40.23,754000,39.842987
2015-12-11,42.139999,42.189999,40.950001,41.040001,348500,40.645196
2015-12-10,42.869999,43.68,42.580002,42.75,250900,41.962401
2015-12-09,42.18,43.150002,41.740002,42.869999,381800,42.080189
2015-12-08,42.369999,42.939999,41.43,42.119999,583600,41.344006
2015-12-07,44.439999,44.630001,42.560001,43.029999,339700,42.237241
2015-12-04,44.50,44.73,43.50,44.650002,381900,43.827398
2015-12-03,45.970001,46.130001,44.16,44.630001,229100,43.807766
2015-12-02,46.610001,47.080002,45.50,45.619999,253300,44.779524
2015-12-01,46.419998,46.790001,45.91,46.740002,253100,45.878893
2015-11-30,45.939999,46.549999,45.650002,46.299999,252800,45.446997
2015-11-27,46.080002,46.200001,45.77,45.93,57000,45.083815
2015-11-25,45.41,46.02,44.950001,46.00,253300,45.152525
2015-11-24,44.779999,45.48,44.509998,45.389999,224700,44.553762
2015-11-23,45.279999,46.00,44.889999,44.98,312900,44.151316
2015-11-20,46.57,46.57,45.32,45.349998,301000,44.514498
2015-11-19,46.110001,46.639999,45.84,46.41,191500,45.554971
2015-11-18,45.459999,46.209999,45.459999,46.09,200100,45.240867
2015-11-17,45.259998,45.810001,44.419998,45.00,207600,44.170948
2015-11-16,44.41,45.23,44.009998,45.139999,212200,44.308368
2015-11-13,44.25,44.880001,43.830002,44.419998,166200,43.601632
2015-11-12,44.799999,45.009998,44.23,44.419998,398500,43.601632
2015-11-11,45.779999,45.779999,44.900002,45.130001,302200,44.298554
