Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,53.299999,54.110001,52.93,53.689999,762300,53.689999
2015-12-30,53.73,54.299999,53.689999,54.080002,435700,54.080002
2015-12-29,53.82,54.369999,53.59,54.130001,486500,54.130001
2015-12-28,54.00,54.00,52.919998,53.580002,630000,53.580002
2015-12-24,53.84,54.599998,53.619999,54.080002,247600,54.080002
2015-12-23,52.959999,54.790001,52.639999,53.970001,921800,53.970001
2015-12-22,51.110001,52.900002,50.950001,52.439999,710800,52.439999
2015-12-21,51.080002,52.049999,50.57,50.77,640400,50.77
2015-12-18,52.130001,52.25,50.830002,50.84,1419500,50.84
2015-12-17,53.169998,53.599998,51.599998,52.220001,988400,52.220001
2015-12-16,52.23,54.150002,52.150002,53.029999,1267800,53.029999
2015-12-15,50.869999,51.759998,50.59,51.27,1366100,51.27
2015-12-14,50.779999,51.540001,50.07,50.279999,1928500,50.279999
2015-12-11,53.360001,53.459999,50.790001,51.209999,2018700,51.209999
2015-12-10,55.599998,56.290001,54.23,54.349998,831600,54.349998
2015-12-09,55.25,56.02,53.759998,55.50,1684600,55.50
2015-12-08,58.009998,58.009998,55.380001,55.619999,1208900,55.619999
2015-12-07,61.02,61.27,58.689999,58.900002,1269000,58.900002
2015-12-04,63.060001,63.060001,60.619999,61.02,1575500,61.02
2015-12-03,67.959999,68.059998,63.900002,64.610001,764100,64.610001
2015-12-02,69.540001,69.550003,66.910004,67.610001,716700,67.610001
2015-12-01,69.480003,70.360001,68.970001,69.940002,380600,69.940002
2015-11-30,70.550003,70.550003,69.07,69.269997,476000,69.269997
2015-11-27,70.080002,70.610001,69.419998,70.459999,164800,70.459999
2015-11-25,69.940002,70.489998,69.129997,70.040001,316300,70.040001
2015-11-24,69.75,70.559998,68.93,69.900002,386000,69.900002
2015-11-23,71.870003,72.339996,70.010002,70.080002,629500,70.080002
2015-11-20,72.489998,73.330002,71.790001,71.919998,1121400,71.919998
2015-11-19,70.75,72.760002,70.440002,72.540001,467900,72.540001
2015-11-18,69.730003,71.230003,68.959999,71.07,464200,71.07
2015-11-17,68.889999,69.599998,66.860001,68.849998,447800,68.849998
2015-11-16,68.110001,69.790001,67.889999,68.959999,856900,68.959999
2015-11-13,67.440002,68.760002,67.269997,67.989998,440100,67.989998
2015-11-12,67.650002,68.529999,67.190002,67.730003,417900,67.730003
2015-11-11,69.18,69.370003,67.690002,68.290001,441600,68.290001
2015-11-10,69.25,69.989998,68.269997,68.849998,392100,68.849998
2015-11-09,69.690002,69.75,66.459999,69.110001,791500,69.110001
2015-11-06,69.400002,70.290001,69.110001,69.860001,579400,69.860001
2015-11-05,69.760002,70.529999,69.25,69.669998,568300,69.669998
2015-11-04,69.349998,69.839996,68.760002,69.720001,648500,69.720001
2015-11-03,68.50,69.800003,68.300003,69.199997,1073800,69.199997
2015-11-02,67.580002,69.089996,67.059998,68.50,1001000,68.50
2015-10-30,65.849998,68.290001,65.089996,67.099998,1034000,67.099998
2015-10-29,64.040001,65.43,63.740002,64.559998,483300,64.559998
2015-10-28,63.009998,64.760002,62.990002,64.300003,667600,64.300003
2015-10-27,65.459999,65.459999,61.779999,62.490002,903800,62.490002
2015-10-26,65.709999,66.50,65.510002,65.639999,418800,65.639999
2015-10-23,66.43,66.739998,64.540001,66.010002,366100,66.010002
2015-10-22,65.75,66.720001,65.169998,66.050003,390400,66.050003
2015-10-21,66.43,66.660004,65.080002,65.160004,305300,65.160004
2015-10-20,64.550003,66.459999,64.120003,66.089996,444000,66.089996
2015-10-19,64.059998,65.00,63.66,64.629997,276600,64.629997
2015-10-16,66.599998,66.699997,64.099998,64.32,948400,64.32
2015-10-15,65.010002,66.75,64.699997,66.75,580500,66.75
2015-10-14,64.209999,65.089996,63.900002,64.589996,574400,64.589996
2015-10-13,66.599998,66.760002,64.629997,64.669998,475000,64.669998
2015-10-12,68.040001,68.440002,65.339996,66.599998,613400,66.599998
2015-10-09,68.120003,68.68,66.449997,68.080002,585900,68.080002
2015-10-08,66.620003,68.470001,66.279999,67.879997,795800,67.879997
2015-10-07,66.059998,67.25,65.419998,66.529999,823500,66.529999
2015-10-06,65.550003,66.410004,65.040001,65.43,840900,65.43
2015-10-05,62.18,66.25,61.700001,65.860001,1539600,65.860001
2015-10-02,58.43,61.43,58.380001,61.34,1351300,61.34
2015-10-01,59.52,61.029999,58.959999,59.43,800000,59.43
2015-09-30,58.279999,59.279999,58.049999,59.080002,651400,59.080002
2015-09-29,59.639999,59.639999,57.290001,57.509998,728000,57.509998
2015-09-28,60.00,60.419998,59.330002,59.41,552400,59.41
2015-09-25,61.240002,61.240002,60.220001,60.41,613900,60.41
2015-09-24,61.77,61.950001,60.130001,60.650002,806500,60.650002
