Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,27.77,27.790001,27.16,27.309999,746700,27.063685
2015-12-30,27.809999,27.90,27.58,27.780001,540000,27.529447
2015-12-29,27.85,27.940001,27.700001,27.780001,711600,27.529447
2015-12-28,27.379999,27.790001,27.25,27.74,1657700,27.489807
2015-12-24,27.35,27.52,27.32,27.440001,260600,27.192514
2015-12-23,27.18,27.51,27.18,27.43,871800,27.182604
2015-12-22,26.92,27.15,26.469999,27.07,1094200,26.82585
2015-12-21,27.08,27.129999,26.68,26.889999,965500,26.647473
2015-12-18,27.18,27.25,26.67,26.93,1375400,26.687113
2015-12-17,27.129999,27.33,27.00,27.18,765000,26.934859
2015-12-16,26.58,27.10,26.540001,27.059999,1026700,26.81594
2015-12-15,26.16,26.57,26.16,26.43,902900,26.191623
2015-12-14,25.950001,26.27,25.950001,26.16,1083300,25.924058
2015-12-11,25.83,26.190001,25.57,25.969999,987800,25.735771
2015-12-10,26.33,26.540001,25.77,25.870001,916600,25.636674
2015-12-09,26.51,26.809999,26.299999,26.360001,895500,26.122255
2015-12-08,26.530001,26.709999,26.35,26.559999,869500,26.32045
2015-12-07,26.370001,26.620001,26.34,26.59,1311200,26.35018
2015-12-04,26.110001,26.50,26.07,26.360001,953900,26.122255
2015-12-03,26.209999,26.290001,25.889999,26.00,1494700,25.765501
2015-12-02,27.030001,27.030001,26.26,26.27,1730000,26.033066
2015-12-01,27.049999,27.33,26.959999,27.110001,1387900,26.86549
2015-11-30,26.92,27.18,26.92,26.99,975700,26.746572
2015-11-27,26.790001,27.040001,26.77,26.969999,624700,26.726752
2015-11-25,26.959999,26.959999,26.60,26.860001,1041000,26.617745
2015-11-24,27.120001,27.34,26.92,27.25,883800,26.743599
2015-11-23,27.49,27.66,27.24,27.280001,670700,26.773042
2015-11-20,27.389999,27.709999,27.35,27.540001,772100,27.02821
2015-11-19,27.049999,27.360001,26.85,27.33,739500,26.822112
2015-11-18,26.620001,27.02,26.360001,26.959999,1021600,26.458987
2015-11-17,27.040001,27.25,26.52,26.629999,771100,26.13512
2015-11-16,26.43,27.110001,26.370001,27.09,1120500,26.586572
2015-11-13,26.50,26.889999,26.379999,26.43,1123100,25.938837
2015-11-12,27.030001,27.24,26.469999,26.49,1443400,25.997722
2015-11-11,26.77,27.309999,26.65,27.209999,1780700,26.704341
2015-11-10,26.07,26.68,26.07,26.68,1351100,26.184192
2015-11-09,25.469999,26.15,25.440001,26.059999,2050200,25.575713
2015-11-06,26.23,26.75,25.67,25.74,2812000,25.26166
2015-11-05,27.440001,27.75,27.440001,27.52,1203600,27.008582
2015-11-04,27.41,27.780001,27.40,27.48,1650000,26.969324
2015-11-03,27.40,27.48,27.129999,27.379999,1277100,26.871182
2015-11-02,27.48,27.57,27.24,27.459999,919900,26.949695
2015-10-30,27.51,27.690001,27.379999,27.50,758200,26.988953
2015-10-29,27.41,27.58,27.030001,27.41,646400,26.900625
2015-10-28,27.860001,27.99,27.219999,27.639999,1040100,27.12635
2015-10-27,27.77,27.959999,27.60,27.85,1040600,27.332449
2015-10-26,27.57,27.809999,27.299999,27.799999,1153000,27.283377
2015-10-23,27.969999,27.969999,27.469999,27.60,628200,27.087095
2015-10-22,27.84,28.120001,27.639999,28.02,612600,27.49929
2015-10-21,27.870001,28.110001,27.68,27.719999,546500,27.204864
2015-10-20,27.620001,27.940001,27.559999,27.799999,779600,27.283377
2015-10-19,27.299999,27.74,27.299999,27.709999,1081000,27.195049
2015-10-16,27.91,28.049999,27.67,27.809999,636000,27.293191
2015-10-15,27.459999,27.85,27.34,27.809999,668200,27.293191
2015-10-14,27.52,27.709999,27.299999,27.41,1095000,26.900625
2015-10-13,27.440001,27.700001,27.42,27.49,1255200,26.979138
2015-10-12,27.219999,27.610001,27.08,27.50,1115700,26.988953
2015-10-09,27.299999,27.440001,27.139999,27.209999,939900,26.704341
2015-10-08,26.799999,27.379999,26.76,27.33,1122400,26.822112
2015-10-07,26.959999,27.09,26.83,26.870001,1167700,26.370661
2015-10-06,27.18,27.27,26.879999,26.940001,1250200,26.43936
2015-10-05,27.10,27.34,26.959999,27.27,1544300,26.763227
2015-10-02,26.93,26.99,26.57,26.99,1185500,26.48843
2015-10-01,27.049999,27.09,26.48,26.68,1590200,26.184192
2015-09-30,26.629999,27.08,26.34,27.02,2087000,26.517873
2015-09-29,26.32,26.52,26.219999,26.49,1893600,25.997722
2015-09-28,26.16,26.43,26.08,26.280001,1342900,25.791625
2015-09-25,26.049999,26.58,25.860001,26.25,1388500,25.762182
2015-09-24,25.66,26.040001,25.66,25.99,907900,25.507014
2015-09-23,25.49,25.870001,25.450001,25.76,1085900,25.281288
2015-09-22,25.52,25.68,25.219999,25.51,1297100,25.035934
2015-09-21,25.76,25.969999,25.60,25.67,1531300,25.192961
2015-09-18,25.290001,25.950001,25.290001,25.66,1872300,25.183146
2015-09-17,25.379999,26.040001,25.01,25.719999,1390700,25.242031
2015-09-16,25.129999,25.40,25.00,25.360001,1242400,24.888722
2015-09-15,25.00,25.15,24.77,25.049999,1207200,24.584482
2015-09-14,24.99,25.18,24.91,24.959999,1045900,24.496154
2015-09-11,24.49,24.93,24.40,24.91,851100,24.447084
2015-09-10,24.540001,24.959999,24.52,24.60,1461200,24.142845
2015-09-09,24.879999,24.950001,24.51,24.559999,1254500,24.103588
2015-09-08,24.49,24.84,24.34,24.77,1702800,24.309686
2015-09-04,24.43,24.49,24.08,24.209999,1171800,23.760092
2015-09-03,24.360001,24.709999,24.290001,24.66,1713400,24.20173
2015-09-02,24.530001,24.58,24.16,24.299999,1315300,23.848419
2015-09-01,24.540001,24.68,24.15,24.280001,1201200,23.828792
2015-08-31,25.08,25.18,24.629999,24.92,1238700,24.456898
2015-08-28,25.18,25.450001,25.02,25.27,949000,24.800394
2015-08-27,25.059999,25.360001,24.90,25.35,1402600,24.878908
2015-08-26,24.959999,24.99,24.299999,24.90,2186400,24.43727
2015-08-25,25.790001,25.799999,24.690001,24.719999,2333200,24.020167
2015-08-24,25.74,26.09,25.23,25.389999,2808600,24.671199
2015-08-21,26.860001,26.98,26.49,26.50,2078500,25.749775
2015-08-20,27.02,27.33,26.92,27.01,891900,26.245337
2015-08-19,27.01,27.33,26.860001,27.219999,1026700,26.449391
2015-08-18,27.219999,27.379999,27.129999,27.15,622600,26.381373
2015-08-17,27.16,27.459999,27.01,27.35,765200,26.575712
2015-08-14,26.799999,27.219999,26.73,27.15,743600,26.381373
2015-08-13,26.83,26.98,26.58,26.879999,859900,26.119017
2015-08-12,26.379999,26.99,26.379999,26.93,1367500,26.167602
2015-08-11,26.280001,26.67,26.040001,26.52,1507700,25.76921
2015-08-10,26.40,26.709999,26.18,26.23,1367500,25.487419
2015-08-07,25.860001,26.73,25.860001,26.42,1635400,25.67204
2015-08-06,26.17,26.190001,25.700001,25.889999,1822600,25.157044
2015-08-05,25.99,26.23,25.870001,26.120001,985100,25.380534
2015-08-04,26.17,26.309999,25.790001,25.85,819000,25.118178
2015-08-03,26.200001,26.40,26.00,26.17,779300,25.429118
2015-07-31,26.139999,26.32,25.879999,26.110001,686500,25.370817
2015-07-30,25.629999,26.030001,25.48,25.83,1013200,25.098743
2015-07-29,25.389999,25.709999,25.280001,25.700001,958500,24.972425
2015-07-28,25.209999,25.459999,25.01,25.440001,1288200,24.719785
2015-07-27,24.73,25.290001,24.690001,25.190001,796800,24.476863
2015-07-24,24.74,24.85,24.620001,24.74,795900,24.039602
2015-07-23,24.879999,24.889999,24.530001,24.73,1248100,24.029884
2015-07-22,24.889999,25.120001,24.85,24.959999,782200,24.253373
2015-07-21,25.24,25.299999,24.82,24.83,1127400,24.127054
2015-07-20,25.469999,25.469999,25.129999,25.290001,576200,24.574032
2015-07-17,25.66,25.74,25.459999,25.49,1122100,24.768369
2015-07-16,25.299999,25.75,25.18,25.73,1231700,25.001574
2015-07-15,25.10,25.18,24.92,25.18,1163000,24.467145
2015-07-14,25.219999,25.34,25.059999,25.10,1040200,24.38941
2015-07-13,25.40,25.52,25.08,25.200001,1398400,24.48658
2015-07-10,25.049999,25.40,24.809999,25.299999,2452900,24.583747
2015-07-09,25.450001,25.48,24.790001,24.83,2698000,24.127054
2015-07-08,25.58,25.68,25.33,25.379999,1213000,24.661482
2015-07-07,25.07,25.719999,25.040001,25.610001,1374200,24.884972
