Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,32.91,32.91,32.220001,32.240002,162400,32.240002
2015-12-30,32.959999,33.330002,32.73,32.91,157800,32.91
2015-12-29,32.830002,32.990002,32.59,32.93,168300,32.93
2015-12-28,31.83,32.689999,31.780001,32.68,191200,32.68
2015-12-24,31.860001,32.139999,31.690001,31.92,86500,31.92
2015-12-23,31.83,32.080002,31.559999,31.870001,155700,31.870001
2015-12-22,30.959999,31.74,30.780001,31.690001,175200,31.690001
2015-12-21,31.26,31.26,30.65,30.85,246400,30.85
2015-12-18,31.25,31.469999,30.870001,31.10,446000,31.10
2015-12-17,31.700001,31.75,31.389999,31.40,198400,31.40
2015-12-16,31.75,31.809999,31.040001,31.610001,213900,31.610001
2015-12-15,31.76,31.879999,31.200001,31.59,223300,31.59
2015-12-14,31.40,31.73,30.74,31.530001,309400,31.530001
2015-12-11,31.190001,31.549999,31.02,31.379999,274100,31.379999
2015-12-10,31.24,31.799999,30.969999,31.620001,247700,31.620001
2015-12-09,31.93,32.009998,31.200001,31.27,247700,31.27
2015-12-08,31.98,32.290001,31.92,32.029999,178800,32.029999
2015-12-07,32.290001,32.459999,31.889999,32.240002,210800,32.240002
2015-12-04,32.200001,32.580002,32.09,32.27,206700,32.27
2015-12-03,32.619999,32.810001,31.950001,32.23,248900,32.23
2015-12-02,32.540001,32.82,32.450001,32.57,249400,32.57
2015-12-01,32.330002,32.689999,32.200001,32.57,179900,32.57
2015-11-30,32.389999,32.459999,32.029999,32.240002,207200,32.240002
2015-11-27,32.09,32.490002,31.91,32.360001,68000,32.360001
2015-11-25,31.58,32.110001,31.50,32.110001,165700,32.110001
2015-11-24,31.67,31.76,31.17,31.549999,276400,31.549999
2015-11-23,32.16,32.279999,31.34,31.91,468700,31.91
2015-11-20,33.470001,33.650002,33.25,33.330002,311500,33.330002
2015-11-19,33.040001,33.27,32.900002,33.240002,226600,33.240002
2015-11-18,32.970001,33.209999,32.700001,33.169998,274000,33.169998
2015-11-17,32.290001,32.970001,32.25,32.900002,220800,32.900002
