Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,3.34,3.37,3.22,3.24,189700,3.153396
2015-12-30,3.50,3.50,3.26,3.33,262000,3.24099
2015-12-29,3.43,3.49,3.38,3.47,303200,3.377248
2015-12-28,3.43,3.47,3.36,3.42,187400,3.328585
2015-12-24,3.40,3.45,3.31,3.43,152700,3.338318
2015-12-23,3.39,3.47,3.30,3.32,288300,3.231258
2015-12-22,3.33,3.40,3.24,3.39,161500,3.299387
2015-12-21,3.51,3.51,3.20,3.27,251100,3.182594
2015-12-18,3.25,3.46,3.25,3.46,1591200,3.367516
2015-12-17,3.55,3.57,3.27,3.28,224700,3.192327
2015-12-16,3.23,3.59,3.23,3.53,511200,3.435645
2015-12-15,3.24,3.34,3.20,3.23,167100,3.143663
2015-12-14,3.28,3.32,3.21,3.24,385500,3.153396
2015-12-11,3.46,3.53,3.27,3.32,226200,3.231258
2015-12-10,3.55,3.66,3.53,3.55,327600,3.45511
2015-12-09,3.42,3.62,3.40,3.54,437900,3.445377
2015-12-08,3.44,3.54,3.40,3.47,211400,3.377248
2015-12-07,3.43,3.50,3.35,3.48,381000,3.386981
2015-12-04,3.56,3.59,3.45,3.45,228100,3.357783
2015-12-03,3.74,3.79,3.57,3.58,153500,3.484308
2015-12-02,3.79,3.82,3.72,3.76,212000,3.659497
2015-12-01,3.71,3.83,3.70,3.81,173800,3.70816
2015-11-30,3.66,3.77,3.65,3.76,211400,3.659497
2015-11-27,3.76,3.81,3.63,3.64,93200,3.542704
2015-11-25,3.84,3.87,3.76,3.86,199800,3.674096
2015-11-24,3.83,3.86,3.77,3.83,215700,3.645541
2015-11-23,3.82,3.90,3.81,3.85,166800,3.664577
2015-11-20,3.79,3.83,3.77,3.79,190700,3.607467
2015-11-19,3.63,3.83,3.63,3.77,224000,3.58843
2015-11-18,3.55,3.62,3.52,3.61,371500,3.436136
2015-11-17,3.58,3.64,3.52,3.56,276400,3.388544
2015-11-16,3.45,3.61,3.45,3.61,253700,3.436136
2015-11-13,3.49,3.55,3.41,3.46,190500,3.293361
2015-11-12,3.51,3.56,3.48,3.54,264500,3.369508
2015-11-11,3.61,3.64,3.53,3.57,161100,3.398063
2015-11-10,3.69,3.82,3.57,3.60,282600,3.426618
2015-11-09,3.52,3.77,3.50,3.70,362100,3.521802
2015-11-06,3.40,3.56,3.37,3.54,315400,3.369508
2015-11-05,3.64,3.64,3.36,3.40,545500,3.23625
2015-11-04,4.30,4.35,3.52,3.60,468200,3.426618
2015-11-03,4.24,4.28,4.20,4.24,217900,4.035794
2015-11-02,4.23,4.26,4.19,4.25,241200,4.045313
2015-10-30,4.16,4.28,4.09,4.25,261800,4.045313
2015-10-29,4.22,4.25,4.16,4.18,144300,3.978684
2015-10-28,4.13,4.26,4.13,4.26,280100,4.054831
2015-10-27,4.29,4.29,4.11,4.11,280800,3.912056
2015-10-26,4.29,4.34,4.25,4.30,309600,4.092905
2015-10-23,4.31,4.32,4.20,4.31,144400,4.102423
2015-10-22,4.20,4.30,4.16,4.28,161300,4.073868
2015-10-21,4.21,4.24,4.14,4.16,182000,3.959647
2015-10-20,4.16,4.22,4.12,4.20,221000,3.997721
2015-10-19,4.15,4.26,4.11,4.17,587100,3.969166
2015-10-16,4.21,4.21,4.10,4.19,133900,3.988203
2015-10-15,4.03,4.21,3.99,4.19,215300,3.988203
2015-10-14,4.18,4.23,4.03,4.04,263900,3.845427
2015-10-13,4.22,4.30,4.14,4.16,166800,3.959647
2015-10-12,4.15,4.25,4.12,4.25,222400,4.045313
2015-10-09,4.21,4.23,4.09,4.15,225300,3.950129
2015-10-08,3.84,4.20,3.84,4.19,321100,3.988203
2015-10-07,3.76,3.85,3.76,3.85,729200,3.664577
2015-10-06,3.76,3.81,3.73,3.78,251600,3.597949
2015-10-05,3.58,3.83,3.58,3.79,264900,3.607467
2015-10-02,3.47,3.55,3.45,3.55,189700,3.379026
2015-10-01,3.53,3.59,3.48,3.49,207400,3.321916
2015-09-30,3.47,3.59,3.44,3.53,434800,3.359989
2015-09-29,3.44,3.49,3.41,3.47,368300,3.302879
2015-09-28,3.58,3.58,3.43,3.47,304900,3.302879
2015-09-25,3.53,3.63,3.51,3.57,453300,3.398063
2015-09-24,3.56,3.57,3.49,3.51,502200,3.340952
2015-09-23,3.73,3.73,3.60,3.60,281400,3.426618
2015-09-22,3.66,3.75,3.65,3.70,359000,3.521802
2015-09-21,3.82,3.86,3.68,3.70,374900,3.521802
2015-09-18,3.74,3.78,3.66,3.78,1127500,3.597949
2015-09-17,3.65,3.87,3.51,3.79,493300,3.607467
2015-09-16,3.72,3.78,3.64,3.64,436800,3.464692
2015-09-15,3.68,3.85,3.68,3.72,323800,3.540839
2015-09-14,3.42,3.90,3.42,3.67,973800,3.493247
2015-09-11,3.67,3.71,3.38,3.40,709500,3.23625
2015-09-10,3.74,3.80,3.65,3.67,347300,3.493247
2015-09-09,3.83,4.03,3.76,3.76,297400,3.578912
2015-09-08,3.88,3.88,3.71,3.79,340900,3.607467
