Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,17.940001,17.940001,17.809999,17.860001,171900,17.390081
2015-12-30,17.639999,17.93,17.610001,17.870001,132100,17.399818
2015-12-29,17.620001,17.67,17.60,17.66,113000,17.195343
2015-12-28,17.68,17.700001,17.58,17.639999,103800,17.175868
2015-12-24,17.66,17.709999,17.610001,17.629999,39600,17.166131
2015-12-23,17.43,17.68,17.43,17.67,105300,17.20508
2015-12-22,17.32,17.50,17.26,17.43,101900,16.971395
2015-12-21,17.23,17.32,17.15,17.32,132800,16.864288
2015-12-18,16.969999,17.24,16.959999,17.17,148500,16.718235
2015-12-17,16.93,17.040001,16.860001,17.02,131700,16.572182
2015-12-16,16.459999,16.860001,16.459999,16.860001,123200,16.416392
2015-12-15,16.200001,16.450001,16.200001,16.440001,101000,16.007443
2015-12-14,16.559999,16.620001,16.16,16.16,130000,15.73481
2015-12-11,16.75,16.799999,16.65,16.67,99900,16.231391
2015-12-10,16.75,16.940001,16.75,16.82,88600,16.377444
2015-12-09,16.879999,16.969999,16.74,16.75,113700,16.309286
2015-12-08,16.959999,17.059999,16.950001,16.950001,59700,16.385235
2015-12-07,17.10,17.10,17.00,17.01,48200,16.443235
2015-12-04,17.040001,17.23,17.040001,17.18,78200,16.607571
2015-12-03,17.26,17.26,17.08,17.120001,67100,16.54957
2015-12-02,17.25,17.309999,17.18,17.309999,79700,16.733238
2015-12-01,17.16,17.280001,17.16,17.27,63800,16.694572
2015-11-30,17.200001,17.309999,17.139999,17.16,91200,16.588237
2015-11-27,17.049999,17.17,17.02,17.120001,31200,16.54957
2015-11-25,17.08,17.139999,17.030001,17.030001,72000,16.462569
2015-11-24,17.08,17.15,17.059999,17.08,39700,16.510902
2015-11-23,17.120001,17.129999,17.07,17.07,53000,16.501235
2015-11-20,17.040001,17.120001,17.040001,17.059999,40200,16.491568
2015-11-19,17.08,17.08,17.02,17.049999,36800,16.481901
2015-11-18,17.09,17.09,17.01,17.02,73700,16.452902
2015-11-17,17.08,17.10,17.030001,17.059999,53600,16.491568
2015-11-16,17.059999,17.09,17.00,17.07,75300,16.501235
2015-11-13,17.07,17.08,16.99,17.059999,44300,16.491568
2015-11-12,17.07,17.09,17.00,17.07,24000,16.501235
2015-11-11,17.16,17.16,17.07,17.08,53100,16.510902
2015-11-10,17.08,17.120001,16.99,17.10,37800,16.530236
2015-11-09,17.110001,17.110001,16.959999,17.059999,64100,16.491568
2015-11-06,17.379999,17.440001,17.10,17.24,134400,16.547636
2015-11-05,17.440001,17.50,17.389999,17.43,39600,16.730006
2015-11-04,17.42,17.48,17.379999,17.379999,46300,16.682013
2015-11-03,17.389999,17.440001,17.370001,17.440001,60000,16.739605
2015-11-02,17.17,17.370001,17.16,17.360001,111100,16.662818
2015-10-30,17.15,17.190001,17.120001,17.17,97700,16.480448
2015-10-29,17.15,17.219999,17.110001,17.139999,53800,16.451652
2015-10-28,17.190001,17.23,17.129999,17.18,58200,16.490046
2015-10-27,17.200001,17.23,17.15,17.190001,60400,16.499645
2015-10-26,17.09,17.219999,17.09,17.209999,69500,16.51884
2015-10-23,17.209999,17.290001,17.030001,17.110001,132300,16.422858
2015-10-22,17.139999,17.290001,17.139999,17.18,56100,16.490046
2015-10-21,17.190001,17.200001,17.10,17.139999,56300,16.451652
2015-10-20,17.02,17.190001,16.99,17.190001,59300,16.499645
2015-10-19,16.93,17.059999,16.93,17.00,56900,16.317275
2015-10-16,16.90,16.98,16.90,16.98,34200,16.298078
2015-10-15,16.82,16.940001,16.82,16.90,61500,16.221291
2015-10-14,16.860001,16.93,16.809999,16.83,50300,16.154102
2015-10-13,16.91,17.059999,16.85,16.85,46400,16.173299
2015-10-12,16.940001,17.00,16.90,16.959999,37400,16.27888
2015-10-09,16.93,16.950001,16.85,16.92,50300,16.240488
2015-10-08,16.82,16.98,16.790001,16.879999,62600,16.202093
2015-10-07,16.91,17.01,16.85,17.00,88100,16.200174
2015-10-06,16.860001,16.90,16.75,16.85,196500,16.057232
2015-10-05,16.66,16.84,16.66,16.82,54700,16.028643
2015-10-02,16.549999,16.66,16.10,16.65,48900,15.866641
2015-10-01,16.639999,16.709999,16.57,16.59,54700,15.809464
2015-09-30,16.75,16.82,16.559999,16.66,107900,15.876171
2015-09-29,16.67,16.700001,16.559999,16.65,53500,15.866641
2015-09-28,16.74,16.799999,16.65,16.67,40500,15.8857
2015-09-25,16.84,16.93,16.84,16.860001,57000,16.066762
2015-09-24,16.85,16.85,16.74,16.809999,70900,16.019113
2015-09-23,16.780001,16.84,16.709999,16.83,64700,16.038173
2015-09-22,16.66,16.780001,16.66,16.719999,79500,15.933347
2015-09-21,16.809999,16.879999,16.700001,16.719999,38900,15.933347
2015-09-18,16.75,16.860001,16.719999,16.809999,63300,16.019113
2015-09-17,16.620001,16.860001,16.58,16.809999,46100,16.019113
2015-09-16,16.530001,16.709999,16.530001,16.68,99100,15.89523
2015-09-15,16.459999,16.549999,16.440001,16.540001,49000,15.761818
2015-09-14,16.60,16.620001,16.360001,16.360001,38500,15.590286
2015-09-11,16.610001,16.65,16.549999,16.620001,22500,15.838054
2015-09-10,16.66,16.690001,16.549999,16.58,39800,15.799935
2015-09-09,16.700001,16.700001,16.58,16.60,47600,15.818994
