Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,26.68,26.76,26.15,26.15,960100,25.57854
2015-12-30,27.00,27.120001,26.620001,26.709999,609800,26.126301
2015-12-29,26.93,27.139999,26.799999,27.030001,739700,26.43931
2015-12-28,26.549999,26.870001,26.370001,26.860001,744300,26.273025
2015-12-24,26.620001,26.799999,26.51,26.629999,249800,26.04805
2015-12-23,26.379999,26.700001,26.24,26.60,618000,26.018707
2015-12-22,25.959999,26.379999,25.860001,26.15,901700,25.57854
2015-12-21,25.879999,26.209999,25.76,25.90,1349900,25.334003
2015-12-18,26.559999,26.60,25.639999,25.639999,3330700,25.079685
2015-12-17,26.799999,26.889999,26.41,26.610001,531400,26.028488
2015-12-16,26.290001,26.83,26.18,26.700001,1045600,26.116522
2015-12-15,26.00,26.290001,25.85,26.18,793300,25.607885
2015-12-14,26.139999,26.389999,25.68,25.940001,1006200,25.37313
2015-12-11,25.82,26.440001,25.77,26.23,1013900,25.656791
2015-12-10,26.209999,26.290001,25.90,25.969999,972900,25.402473
2015-12-09,26.299999,26.610001,26.00,26.15,644200,25.57854
2015-12-08,26.389999,26.60,26.18,26.450001,505300,25.871985
2015-12-07,27.00,27.139999,26.26,26.51,944600,25.930673
2015-12-04,26.559999,27.209999,26.549999,27.139999,784700,26.546905
2015-12-03,27.40,27.540001,26.459999,26.57,1059600,25.989362
2015-12-02,28.10,28.16,27.32,27.370001,1018300,26.77188
2015-12-01,27.98,28.540001,27.799999,28.219999,1087300,27.603303
2015-11-30,27.90,28.040001,27.66,27.77,991000,27.163139
2015-11-27,27.50,27.90,27.48,27.889999,304900,27.280515
2015-11-25,27.200001,27.610001,27.16,27.549999,546800,26.947945
2015-11-24,26.940001,27.34,26.790001,27.27,645100,26.674065
2015-11-23,27.00,27.25,26.889999,27.139999,536100,26.546905
2015-11-20,26.91,27.07,26.690001,26.99,1088700,26.400183
2015-11-19,26.75,26.959999,26.48,26.700001,837200,26.116522
2015-11-18,26.610001,26.83,26.360001,26.790001,817000,26.204555
2015-11-17,26.58,26.889999,26.389999,26.549999,528900,25.969798
2015-11-16,26.24,26.67,26.01,26.629999,588200,26.04805
2015-11-13,26.719999,26.90,26.24,26.26,1081100,25.686137
2015-11-12,27.049999,27.219999,26.719999,26.76,945800,26.17521
2015-11-11,27.33,27.33,27.049999,27.18,738500,26.586032
2015-11-10,26.83,27.34,26.76,27.290001,872200,26.693628
2015-11-09,26.92,27.290001,26.559999,26.889999,1031300,26.302368
2015-11-06,27.51,27.57,26.870001,27.059999,1190500,26.468653
2015-11-05,27.639999,27.950001,27.559999,27.940001,913800,27.329424
2015-11-04,27.459999,27.65,27.35,27.639999,910900,27.035978
2015-11-03,27.209999,27.459999,27.059999,27.450001,793600,26.850132
2015-11-02,26.809999,27.309999,26.60,27.299999,977900,26.703408
2015-10-30,27.17,27.17,26.790001,26.84,943700,26.253462
2015-10-29,26.66,27.24,26.50,27.10,890300,26.50778
2015-10-28,26.23,26.870001,26.07,26.84,1052300,26.253462
