Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,28.450001,28.48,28.120001,28.32,1452700,28.021686
2015-12-30,28.33,28.48,28.120001,28.27,832100,27.972213
2015-12-29,28.15,28.51,28.030001,28.33,671900,28.03158
2015-12-28,27.82,28.139999,27.65,28.07,583100,27.774319
2015-12-24,27.90,27.92,27.700001,27.82,193500,27.526952
2015-12-23,27.75,27.940001,27.15,27.90,581000,27.60611
2015-12-22,27.639999,27.90,27.549999,27.68,583000,27.388428
2015-12-21,27.639999,27.959999,27.41,27.540001,558700,27.249903
2015-12-18,27.559999,27.690001,27.33,27.51,1695700,27.220218
2015-12-17,28.00,28.030001,27.709999,27.709999,487800,27.418111
2015-12-16,27.790001,27.99,27.639999,27.950001,718800,27.655584
2015-12-15,27.60,27.83,27.41,27.700001,584400,27.408218
2015-12-14,26.959999,27.35,26.959999,27.309999,554600,27.022324
2015-12-11,26.65,27.139999,26.58,27.01,798600,26.725485
2015-12-10,27.139999,27.25,26.790001,26.83,636600,26.547381
2015-12-09,27.60,27.73,26.969999,27.129999,697500,26.84422
2015-12-08,27.09,27.360001,27.02,27.290001,403500,27.002536
2015-12-07,27.07,27.280001,26.959999,27.15,452700,26.86401
2015-12-04,26.91,27.389999,26.860001,27.110001,521500,26.824432
2015-12-03,27.09,27.27,26.719999,26.84,542700,26.557276
2015-12-02,27.74,27.83,27.139999,27.16,772400,26.873905
2015-12-01,27.290001,27.82,27.209999,27.799999,531900,27.507163
2015-11-30,27.16,27.41,27.110001,27.190001,760000,26.903589
2015-11-27,26.82,27.34,26.82,27.120001,396100,26.834327
2015-11-25,26.75,27.00,26.65,26.90,419400,26.616643
2015-11-24,26.67,26.77,26.42,26.68,494200,26.398961
2015-11-23,26.620001,26.969999,26.469999,26.83,859700,26.547381
2015-11-20,26.27,26.780001,26.219999,26.610001,783200,26.329699
2015-11-19,25.809999,26.200001,25.75,26.120001,781400,25.844861
2015-11-18,25.74,25.889999,25.629999,25.780001,554300,25.508442
2015-11-17,25.719999,26.059999,25.68,25.68,386200,25.409495
2015-11-16,25.32,25.809999,25.209999,25.799999,455800,25.52823
2015-11-13,25.219999,25.559999,25.200001,25.34,689600,25.073076
2015-11-12,25.280001,25.530001,25.00,25.219999,520200,24.95434
2015-11-11,25.67,25.77,25.549999,25.66,492300,25.092866
2015-11-10,25.379999,25.68,25.33,25.59,681300,25.024413
2015-11-09,25.469999,25.549999,24.940001,25.32,951500,24.76038
2015-11-06,25.709999,25.959999,25.360001,25.59,1474200,25.024413
