Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,11.93,12.08,11.50,11.66,127200,11.506579
2015-12-30,11.94,12.14,11.79,12.07,86200,11.911184
2015-12-29,12.03,12.11,11.85,11.98,57800,11.822368
2015-12-28,12.08,12.09,11.91,12.01,87300,11.851974
2015-12-24,12.01,12.26,11.85,12.17,19900,12.009868
2015-12-23,12.12,12.30,11.92,12.06,65300,11.901316
2015-12-22,12.11,12.26,11.82,12.13,109400,11.970395
2015-12-21,11.96,12.10,11.68,12.10,162800,11.94079
2015-12-18,12.12,12.15,11.89,11.99,261600,11.832237
2015-12-17,12.16,12.43,12.13,12.19,103300,12.029605
2015-12-16,12.07,12.27,12.00,12.21,75600,12.049342
2015-12-15,11.27,12.12,11.24,12.11,143300,11.950657
2015-12-14,11.00,11.51,11.00,11.27,315800,11.121711
2015-12-11,11.36,11.52,11.00,11.05,218200,10.904605
2015-12-10,11.58,11.99,11.54,11.56,125700,11.407895
2015-12-09,11.82,12.00,11.42,11.76,173700,11.417763
2015-12-08,12.27,12.51,11.90,11.90,200000,11.553688
2015-12-07,13.99,14.00,12.45,12.45,295200,12.087683
2015-12-04,12.61,14.90,12.60,14.17,320500,13.757628
2015-12-03,12.56,12.87,12.48,12.58,120100,12.213899
2015-12-02,12.46,13.00,12.46,12.66,112300,12.291571
2015-12-01,12.53,12.55,12.27,12.50,119800,12.136228
2015-11-30,12.54,12.73,12.49,12.49,81500,12.126518
2015-11-27,12.47,12.60,12.37,12.55,45200,12.184773
2015-11-25,12.45,12.49,12.24,12.37,74000,12.010011
2015-11-24,12.37,12.52,12.07,12.44,69600,12.077973
2015-11-23,12.65,12.65,12.23,12.42,103500,12.058556
2015-11-20,13.03,13.17,12.66,12.74,71500,12.369243
2015-11-19,13.35,13.35,12.91,13.00,103900,12.621677
2015-11-18,13.09,13.45,12.90,13.34,68600,12.951782
2015-11-17,13.08,13.23,12.92,13.06,89600,12.679931
2015-11-16,12.87,13.17,12.80,13.07,86600,12.689639
2015-11-13,12.69,13.07,12.58,12.89,96700,12.514878
2015-11-12,12.95,13.12,12.69,12.85,52200,12.476042
2015-11-11,13.11,13.43,12.98,13.06,85700,12.679931
2015-11-10,12.93,13.29,12.87,13.12,149200,12.738184
2015-11-09,13.41,13.41,12.86,12.94,92800,12.563422
2015-11-06,12.89,13.49,12.89,13.42,70000,13.029454
2015-11-05,13.19,13.26,12.70,12.97,97600,12.59255
2015-11-04,13.32,13.48,13.16,13.20,48900,12.815856
2015-11-03,13.27,13.48,13.09,13.31,60300,12.922656
2015-11-02,12.94,13.49,12.94,13.27,52300,12.88382
2015-10-30,12.85,13.23,12.85,12.95,109600,12.573132
2015-10-29,13.70,13.81,12.88,12.91,141200,12.534296
2015-10-28,13.04,13.84,12.98,13.79,116900,13.388686
2015-10-27,13.05,13.31,12.85,13.00,96600,12.621677
2015-10-26,13.41,13.54,12.94,13.07,89300,12.689639
2015-10-23,13.61,13.68,13.36,13.45,62700,13.058581
2015-10-22,13.26,13.72,13.26,13.49,61800,13.097417
2015-10-21,13.55,13.74,13.23,13.25,55100,12.864401
2015-10-20,13.33,13.56,13.18,13.43,68500,13.039163
2015-10-19,13.23,13.67,13.19,13.40,119900,13.010036
2015-10-16,13.52,13.59,12.93,13.17,86700,12.78673
2015-10-15,12.89,13.56,12.81,13.47,212100,13.077999
2015-10-14,13.66,14.29,12.57,12.82,252500,12.446915
2015-10-13,14.19,14.53,14.14,14.24,120900,13.82559
2015-10-12,14.10,14.19,14.00,14.19,82300,13.777045
2015-10-09,14.33,14.39,13.98,14.00,54700,13.592575
2015-10-08,14.28,14.35,13.94,14.28,108900,13.864426
2015-10-07,14.17,14.40,14.16,14.36,78900,13.942098
2015-10-06,14.13,14.25,14.07,14.13,83200,13.718792
2015-10-05,13.69,14.25,13.69,14.24,79900,13.82559
2015-10-02,13.77,13.79,13.26,13.79,100500,13.213925
2015-10-01,14.30,14.30,13.74,13.83,73700,13.252253
2015-09-30,13.93,14.36,13.83,14.30,110100,13.70262
2015-09-29,14.72,14.72,13.73,13.93,127400,13.348076
2015-09-28,14.73,14.96,14.56,14.69,69200,14.076327
2015-09-25,15.57,15.74,14.75,14.79,64400,14.17215
2015-09-24,14.65,15.59,14.58,15.50,155500,14.85249
2015-09-23,15.06,15.36,14.64,14.74,135500,14.124238
2015-09-22,14.60,15.43,14.60,15.00,218400,14.373377
2015-09-21,14.97,15.08,14.62,14.69,116400,14.076327
2015-09-18,14.88,15.25,14.75,14.86,169900,14.239225
