Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.61,7.69,7.58,7.64,384500,7.481531
2015-12-30,7.60,7.65,7.54,7.61,585700,7.452153
2015-12-29,7.53,7.62,7.52,7.58,464800,7.422775
2015-12-28,7.55,7.59,7.50,7.56,321000,7.40319
2015-12-24,7.57,7.58,7.51,7.56,131100,7.40319
2015-12-23,7.51,7.60,7.51,7.58,388500,7.422775
2015-12-22,7.50,7.53,7.46,7.49,337200,7.334642
2015-12-21,7.45,7.51,7.43,7.50,362200,7.344435
2015-12-18,7.45,7.49,7.43,7.47,393700,7.266094
2015-12-17,7.44,7.49,7.40,7.45,580800,7.24664
2015-12-16,7.31,7.46,7.30,7.45,415200,7.24664
2015-12-15,7.20,7.31,7.20,7.29,391200,7.091007
2015-12-14,7.28,7.30,7.11,7.20,695400,7.003464
2015-12-11,7.40,7.42,7.24,7.28,425400,7.081281
2015-12-10,7.50,7.56,7.42,7.45,379000,7.24664
2015-12-09,7.54,7.59,7.50,7.55,360300,7.34391
2015-12-08,7.49,7.56,7.45,7.55,372700,7.34391
2015-12-07,7.54,7.57,7.49,7.49,374900,7.285548
2015-12-04,7.50,7.60,7.50,7.57,399500,7.363364
2015-12-03,7.66,7.66,7.50,7.50,287700,7.295275
2015-12-02,7.69,7.71,7.60,7.62,319900,7.411999
2015-12-01,7.61,7.74,7.61,7.74,349900,7.528724
2015-11-30,7.65,7.72,7.61,7.62,446300,7.411999
2015-11-27,7.51,7.62,7.51,7.62,46400,7.411999
2015-11-25,7.60,7.63,7.53,7.53,231500,7.324456
2015-11-24,7.54,7.61,7.51,7.60,361800,7.392545
2015-11-23,7.53,7.61,7.53,7.59,330600,7.382818
2015-11-20,7.45,7.54,7.45,7.51,475400,7.305002
2015-11-19,7.40,7.47,7.36,7.42,513300,7.217459
2015-11-18,7.35,7.43,7.34,7.41,387500,7.207732
2015-11-17,7.44,7.48,7.38,7.39,315500,7.139642
2015-11-16,7.38,7.44,7.38,7.44,209200,7.187948
2015-11-13,7.45,7.52,7.39,7.39,150400,7.139642
2015-11-12,7.50,7.56,7.47,7.48,276200,7.226593
2015-11-11,7.61,7.64,7.57,7.57,228500,7.313544
2015-11-10,7.60,7.67,7.58,7.60,232000,7.342528
2015-11-09,7.75,7.78,7.61,7.64,336700,7.381173
2015-11-06,7.95,7.95,7.77,7.82,310500,7.555075
2015-11-05,8.00,8.01,7.94,7.96,149200,7.690332
2015-11-04,8.11,8.11,7.97,7.98,202400,7.709654
2015-11-03,8.08,8.10,8.02,8.07,193000,7.796605
2015-11-02,7.95,8.14,7.92,8.13,319100,7.854573
2015-10-30,7.94,7.99,7.92,7.98,303800,7.709654
2015-10-29,7.93,7.96,7.90,7.91,225200,7.642026
2015-10-28,7.99,8.04,7.93,7.97,250200,7.699993
2015-10-27,7.97,8.03,7.97,7.99,191300,7.719315
2015-10-26,8.01,8.03,7.98,7.98,222800,7.709654
2015-10-23,8.11,8.16,8.03,8.03,235200,7.75796
2015-10-22,8.02,8.11,8.02,8.09,231400,7.815928
2015-10-21,8.02,8.03,7.99,8.01,213700,7.738638
2015-10-20,8.05,8.06,8.01,8.06,217500,7.738638
2015-10-19,7.91,8.04,7.91,8.02,194600,7.700233
2015-10-16,7.78,7.92,7.78,7.92,302100,7.60422
2015-10-15,7.75,7.81,7.74,7.79,288400,7.479403
2015-10-14,7.77,7.82,7.74,7.75,257500,7.440998
2015-10-13,7.84,7.90,7.81,7.82,229200,7.508207
2015-10-12,7.86,7.93,7.86,7.88,155400,7.565815
2015-10-09,7.90,7.95,7.85,7.87,231200,7.556213
2015-10-08,7.79,7.91,7.79,7.91,310300,7.594619
2015-10-07,7.72,7.87,7.71,7.87,459100,7.556213
2015-10-06,7.60,7.71,7.58,7.71,375800,7.402593
2015-10-05,7.46,7.59,7.46,7.59,391100,7.287378
2015-10-02,7.37,7.44,7.36,7.44,254400,7.143358
