Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,16.459999,16.469999,16.040001,16.18,466500,15.999621
2015-12-30,16.59,16.74,16.25,16.469999,589500,16.286387
2015-12-29,16.58,16.700001,16.389999,16.639999,789000,16.454492
2015-12-28,16.299999,16.639999,16.129999,16.58,949600,16.395162
2015-12-24,16.139999,16.84,16.110001,16.389999,485700,16.207279
2015-12-23,15.60,16.209999,15.47,16.190001,661300,16.00951
2015-12-22,15.56,15.64,15.42,15.55,592000,15.376645
2015-12-21,15.23,15.57,15.00,15.52,898700,15.346979
2015-12-18,14.99,15.26,14.87,15.16,1078200,14.990992
2015-12-17,15.41,15.47,14.67,15.02,2012900,14.852553
2015-12-16,15.35,15.59,15.29,15.38,845500,15.20854
2015-12-15,14.85,15.37,14.67,15.25,638200,15.079989
2015-12-14,14.93,14.96,14.47,14.74,980800,14.575674
2015-12-11,14.97,15.10,14.86,14.95,565800,14.783333
2015-12-10,15.38,15.42,15.00,15.18,305900,15.01077
2015-12-09,15.48,15.64,15.20,15.34,596800,15.168986
2015-12-08,15.44,15.59,15.30,15.49,538200,15.317313
2015-12-07,15.67,15.97,15.56,15.69,565800,15.515083
2015-12-04,15.65,15.90,15.51,15.80,550200,15.623857
2015-12-03,15.54,15.73,15.40,15.51,454200,15.33709
2015-12-02,15.53,15.80,15.46,15.50,708600,15.327202
2015-12-01,15.65,15.73,15.42,15.57,309900,15.396421
2015-11-30,15.57,15.73,15.46,15.53,449200,15.356867
2015-11-27,15.43,15.69,15.40,15.58,213600,15.40631
2015-11-25,15.56,15.61,15.42,15.46,260100,15.287648
2015-11-24,15.30,15.55,15.13,15.51,433900,15.33709
2015-11-23,16.07,16.200001,15.55,15.61,637200,15.238205
2015-11-20,16.00,16.209999,15.90,16.17,429500,15.784868
2015-11-19,15.98,16.120001,15.95,16.030001,654400,15.648203
2015-11-18,15.85,16.01,15.77,16.00,275600,15.618917
2015-11-17,16.02,16.18,15.66,15.87,748700,15.492013
2015-11-16,16.07,16.219999,15.85,16.049999,471400,15.667725
2015-11-13,16.32,16.32,15.99,16.110001,529900,15.726297
2015-11-12,15.99,16.780001,15.42,16.389999,2174000,15.999627
2015-11-11,16.10,16.110001,15.35,15.44,1262200,15.072254
2015-11-10,16.049999,16.15,15.64,16.00,1253000,15.618917
2015-11-09,16.35,16.41,16.09,16.18,785100,15.79463
2015-11-06,16.549999,16.68,16.280001,16.360001,531600,15.970343
2015-11-05,16.77,16.84,16.309999,16.540001,424000,16.146056
2015-11-04,16.889999,16.950001,16.639999,16.76,674500,16.360815
2015-11-03,16.26,16.860001,16.07,16.799999,677500,16.399862
2015-11-02,16.24,16.40,16.00,16.24,650000,15.8532
2015-10-30,16.540001,16.540001,16.17,16.219999,548200,15.833676
2015-10-29,16.65,16.690001,16.139999,16.50,438300,16.107008
2015-10-28,16.700001,16.91,16.309999,16.65,451600,16.253435
2015-10-27,16.40,16.620001,16.139999,16.620001,405700,16.22415
2015-10-26,16.559999,16.559999,16.23,16.469999,346500,16.077722
2015-10-23,16.280001,16.50,15.94,16.459999,506700,16.067959
2015-10-22,16.360001,16.42,16.02,16.059999,415300,15.677487
2015-10-21,16.700001,16.85,16.18,16.190001,421100,15.804392
2015-10-20,16.58,16.85,16.450001,16.66,529400,16.263197
2015-10-19,16.48,16.540001,16.26,16.540001,237300,16.146056
2015-10-16,16.75,16.93,16.40,16.57,353900,16.17534
2015-10-15,16.540001,16.870001,16.379999,16.780001,436100,16.380339
2015-10-14,16.389999,16.68,16.299999,16.50,544400,16.107008
