Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,0.51,0.52,0.50,0.50,28500,7.500004
2015-12-30,0.50,0.52,0.50,0.50,40500,7.500004
2015-12-29,0.50,0.53,0.50,0.52,34500,7.800004
2015-12-28,0.49,0.52,0.48,0.51,36000,7.650004
2015-12-24,0.55,0.55,0.49,0.50,10500,7.500004
2015-12-23,0.49,0.55,0.48,0.55,34500,8.250004
2015-12-22,0.50,0.51,0.47,0.49,18000,7.350004
2015-12-21,0.49,0.51,0.47,0.49,30000,7.350004
2015-12-18,0.49,0.51,0.48,0.49,64500,7.350004
2015-12-17,0.48,0.51,0.48,0.49,22500,7.350004
2015-12-16,0.47,0.51,0.47,0.50,33000,7.500004
2015-12-15,0.44,0.50,0.44,0.48,43500,7.200003
2015-12-14,0.43,0.49,0.41,0.44,52500,6.600003
2015-12-11,0.44,0.47,0.42,0.42,46500,6.300003
2015-12-10,0.45,0.50,0.44,0.48,34500,7.200003
2015-12-09,0.43,0.50,0.42,0.46,42000,6.900004
2015-12-08,0.42,0.52,0.40,0.43,67500,6.450003
2015-12-07,0.49,0.49,0.41,0.46,66000,6.900004
2015-12-04,0.51,0.52,0.50,0.51,27000,7.650004
2015-12-03,0.50,0.53,0.50,0.51,30000,7.650004
2015-12-02,0.53,0.54,0.50,0.51,28500,7.650004
2015-12-01,0.54,0.58,0.52,0.54,58500,8.100004
2015-11-30,0.58,0.65,0.55,0.56,189000,8.400004
2015-11-27,0.58,0.60,0.56,0.58,36000,8.700004
2015-11-25,0.67,0.67,0.57,0.62,88500,9.300005
2015-11-24,0.65,0.69,0.60,0.66,93000,9.900005
2015-11-23,0.55,0.70,0.55,0.66,216000,9.900005
2015-11-20,0.47,0.52,0.43,0.52,228000,7.800004
2015-11-19,0.40,0.49,0.36,0.45,244500,6.750003
2015-11-18,0.33,0.39,0.31,0.39,115500,5.850003
2015-11-17,0.31,0.33,0.30,0.33,130500,4.950002
2015-11-16,0.33,0.33,0.30,0.30,124500,4.500002
2015-11-13,0.34,0.36,0.33,0.33,31500,4.950002
2015-11-12,0.35,0.36,0.34,0.34,48000,5.100002
2015-11-11,0.34,0.38,0.34,0.36,58500,5.400003
2015-11-10,0.34,0.35,0.34,0.35,64500,5.250003
2015-11-09,0.37,0.37,0.34,0.35,69000,5.250003
2015-11-06,0.37,0.39,0.35,0.37,84000,5.550003
2015-11-05,0.37,0.45,0.35,0.36,463500,5.400003
2015-11-04,0.43,0.43,0.26,0.26,957000,3.900002
2015-11-03,0.40,0.42,0.38,0.42,85500,6.300003
2015-11-02,0.37,0.43,0.36,0.40,111000,6.000003
2015-10-30,0.36,0.37,0.34,0.37,121500,5.550003
2015-10-29,0.40,0.40,0.34,0.35,195000,5.250003
2015-10-28,0.41,0.41,0.38,0.40,82500,6.000003
2015-10-27,0.46,0.50,0.42,0.43,31500,6.450003
2015-10-26,0.50,0.50,0.47,0.47,16500,7.050004
2015-10-23,0.52,0.52,0.48,0.50,15000,7.500004
2015-10-22,0.50,0.53,0.50,0.51,10500,7.650004
2015-10-21,0.53,0.53,0.47,0.48,24000,7.200003
2015-10-20,0.57,0.59,0.53,0.54,19500,8.100004
2015-10-19,0.58,0.61,0.55,0.56,15000,8.400004
2015-10-16,0.63,0.63,0.56,0.59,27000,8.850005
2015-10-15,0.59,0.64,0.59,0.60,16500,9.000004
2015-10-14,0.58,0.63,0.54,0.61,43500,9.150004
2015-10-13,0.57,0.64,0.56,0.59,16500,8.850005
2015-10-12,0.73,0.74,0.56,0.59,43500,8.850005
2015-10-09,0.64,0.81,0.64,0.73,84000,10.950005
2015-10-08,0.58,0.63,0.50,0.63,70500,9.450005
2015-10-07,0.50,0.59,0.48,0.57,81000,8.550004
2015-10-06,0.39,0.48,0.38,0.47,63000,7.050004
2015-10-05,0.37,0.40,0.35,0.38,31500,5.700003
2015-10-02,0.37,0.37,0.34,0.34,33000,5.100002
2015-10-01,0.40,0.42,0.32,0.34,64500,5.100002
2015-09-30,0.39,0.43,0.39,0.39,24000,5.850003
2015-09-29,0.46,0.46,0.37,0.39,58500,5.850003
2015-09-28,0.47,0.47,0.42,0.42,27000,6.300003
2015-09-25,0.47,0.50,0.45,0.46,15000,6.900004
2015-09-24,0.47,0.49,0.45,0.48,22500,7.200003
2015-09-23,0.50,0.50,0.46,0.46,27000,6.900004
2015-09-22,0.50,0.52,0.47,0.48,22500,7.200003
2015-09-21,0.54,0.54,0.49,0.49,19500,7.350004
2015-09-18,0.50,0.53,0.48,0.52,198000,7.800004
2015-09-17,0.51,0.53,0.49,0.53,33000,7.950004
2015-09-16,0.50,0.56,0.49,0.51,34500,7.650004
2015-09-15,0.50,0.54,0.48,0.51,34500,7.650004
2015-09-14,0.50,0.52,0.48,0.52,22500,7.800004
2015-09-11,0.49,0.54,0.47,0.52,22500,7.800004
2015-09-10,0.52,0.54,0.49,0.49,12000,7.350004
2015-09-09,0.55,0.55,0.52,0.52,16500,7.800004
2015-09-08,0.55,0.55,0.52,0.54,24000,8.100004
2015-09-04,0.55,0.58,0.52,0.53,25500,7.950004
2015-09-03,0.54,0.59,0.54,0.56,27000,8.400004
2015-09-02,0.53,0.55,0.52,0.55,22500,8.250004
2015-09-01,0.51,0.55,0.51,0.53,21000,7.950004
2015-08-31,0.53,0.55,0.49,0.52,34500,7.800004
2015-08-28,0.53,0.56,0.50,0.53,36000,7.950004
2015-08-27,0.50,0.57,0.50,0.55,51000,8.250004
2015-08-26,0.50,0.50,0.46,0.50,45000,7.500004
2015-08-25,0.46,0.48,0.45,0.46,30000,6.900004
2015-08-24,0.44,0.49,0.38,0.46,36000,6.900004
2015-08-21,0.45,0.53,0.45,0.50,34500,7.500004
2015-08-20,0.55,0.55,0.49,0.50,31500,7.500004
2015-08-19,0.59,0.60,0.55,0.55,34500,8.250004
2015-08-18,0.62,0.62,0.57,0.59,42000,8.850005
2015-08-17,0.60,0.63,0.55,0.61,57000,9.150004
2015-08-14,0.56,0.56,0.54,0.55,25500,8.250004
2015-08-13,0.60,0.60,0.51,0.53,43500,7.950004
2015-08-12,0.60,0.60,0.57,0.57,39000,8.550004
2015-08-11,0.67,0.69,0.58,0.59,39000,8.850005
2015-08-10,0.65,0.69,0.61,0.63,66000,9.450005
2015-08-07,0.73,0.77,0.60,0.61,63000,9.150004
2015-08-06,0.77,0.77,0.73,0.77,39000,11.550006
2015-08-05,0.85,0.86,0.75,0.77,42000,11.550006
2015-08-04,0.82,0.85,0.75,0.84,37500,12.600007
2015-08-03,0.77,0.80,0.75,0.80,27000,12.000006
2015-07-31,0.77,0.82,0.75,0.79,51000,11.850006
2015-07-30,0.80,0.82,0.75,0.78,45000,11.700006
2015-07-29,0.80,0.90,0.78,0.79,30000,11.850006
2015-07-28,0.81,0.83,0.75,0.80,45000,12.000006
2015-07-27,0.88,0.88,0.78,0.80,43500,12.000006
2015-07-24,0.91,0.92,0.87,0.87,36000,13.050007
2015-07-23,0.94,0.96,0.90,0.92,24000,13.800007
2015-07-22,0.96,0.96,0.93,0.95,19500,14.250007
2015-07-21,0.94,0.98,0.92,0.96,33000,14.400007
2015-07-20,1.00,1.01,0.92,0.92,61500,13.800007
2015-07-17,1.020001,1.030001,1.00,1.00,37500,15.000007
2015-07-16,1.050001,1.07,1.01,1.01,33000,15.150007
2015-07-15,1.080001,1.110001,1.050001,1.050001,34500,15.750008
2015-07-14,1.100001,1.180001,1.080001,1.110001,37500,16.650008
2015-07-13,1.050001,1.200001,1.040001,1.110001,78000,16.650008
2015-07-10,1.090001,1.100001,1.050001,1.07,40500,16.050007
2015-07-09,1.140001,1.140001,1.020001,1.060001,60000,15.900008
2015-07-08,1.160001,1.240001,1.120001,1.130001,36000,16.950009
2015-07-07,1.310001,1.310001,1.150001,1.190001,63000,17.850009
2015-07-06,1.350001,1.450001,1.260001,1.320001,112500,19.800009
2015-07-02,1.220001,1.360001,1.170001,1.340001,148500,20.10001
2015-07-01,1.07,1.290001,1.01,1.210001,154500,18.150009
2015-06-30,1.120001,1.120001,1.040001,1.07,66000,16.050007
2015-06-29,1.180001,1.190001,1.100001,1.120001,58500,16.800008
2015-06-26,1.220001,1.240001,1.200001,1.200001,109500,18.000009
2015-06-25,1.210001,1.240001,1.190001,1.200001,48000,18.000009
2015-06-24,1.210001,1.260001,1.200001,1.200001,52500,18.000009
2015-06-23,1.210001,1.250001,1.200001,1.200001,54000,18.000009
2015-06-22,1.140001,1.220001,1.140001,1.190001,66000,17.850009
2015-06-19,1.150001,1.250001,1.100001,1.100001,271500,16.500008
2015-06-18,1.160001,1.200001,1.110001,1.170001,63000,17.550008
2015-06-17,1.210001,1.220001,1.150001,1.160001,33000,17.400008
2015-06-16,1.230001,1.250001,1.190001,1.200001,43500,18.000009
2015-06-15,1.220001,1.290001,1.220001,1.230001,55500,18.45001
2015-06-12,1.330001,1.340001,1.220001,1.260001,94500,18.900009
2015-06-11,1.340001,1.390001,1.320001,1.330001,43500,19.950011
