Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,70.519997,70.720001,70.099998,70.239998,12100,70.239998
2015-12-30,71.400002,71.400002,70.790001,70.879997,19200,70.879997
2015-12-29,71.830002,72.050003,71.650002,71.809998,27500,71.809998
2015-12-28,70.559998,70.959999,70.43,70.900002,16800,70.900002
2015-12-24,70.110001,70.50,69.959999,70.349998,13800,70.349998
2015-12-23,70.800003,71.199997,70.629997,71.080002,37200,71.080002
2015-12-22,69.739998,70.25,69.330002,70.209999,28000,70.209999
2015-12-21,69.529999,69.769997,68.959999,69.639999,25100,69.639999
2015-12-18,68.93,69.050003,68.510002,68.889999,63000,68.889999
2015-12-17,70.599998,70.599998,69.470001,69.629997,31700,69.629997
2015-12-16,70.269997,71.129997,69.879997,70.870003,32800,70.870003
2015-12-15,68.650002,69.00,68.389999,68.559998,28700,68.559998
2015-12-14,68.769997,69.029999,67.879997,69.029999,44300,69.029999
2015-12-11,69.150002,69.150002,68.349998,68.739998,27400,68.739998
2015-12-10,71.989998,72.019997,71.510002,71.790001,17000,71.790001
2015-12-09,72.279999,72.93,71.540001,71.870003,20000,71.870003
2015-12-08,71.18,72.029999,71.129997,71.910004,77000,71.910004
2015-12-07,72.440002,72.699997,72.150002,72.610001,23100,72.610001
2015-12-04,72.050003,72.839996,71.860001,72.790001,14800,72.790001
2015-12-03,73.18,73.18,71.489998,72.089996,27600,72.089996
2015-12-02,73.75,73.970001,73.019997,73.419998,15300,73.419998
2015-12-01,73.080002,73.57,73.080002,73.57,10600,73.57
2015-11-30,72.639999,72.650002,72.040001,72.25,11900,72.25
2015-11-27,73.339996,73.339996,72.940002,73.190002,6900,73.190002
2015-11-25,73.480003,73.599998,73.129997,73.480003,16100,73.480003
2015-11-24,73.989998,74.769997,73.989998,74.489998,12300,74.489998
2015-11-23,74.419998,74.860001,74.199997,74.57,11600,74.57
2015-11-20,74.989998,74.989998,74.629997,74.860001,12000,74.860001
2015-11-19,74.940002,75.160004,74.769997,74.989998,10700,74.989998
2015-11-18,74.50,75.220001,74.50,75.059998,10100,75.059998
2015-11-17,72.790001,74.360001,72.790001,74.080002,17600,74.080002
2015-11-16,72.790001,73.669998,72.790001,73.610001,21800,73.610001
2015-11-13,73.00,73.00,72.300003,72.32,17200,72.32
2015-11-12,73.440002,73.540001,72.910004,73.099998,9600,73.099998
2015-11-11,75.139999,75.510002,74.550003,74.739998,10000,74.739998
2015-11-10,74.540001,74.980003,74.379997,74.919998,12500,74.919998
2015-11-09,74.400002,74.589996,73.529999,73.949997,15600,73.949997
2015-11-06,74.050003,74.050003,73.620003,73.989998,13100,73.989998
2015-11-05,74.269997,74.669998,73.980003,74.510002,14000,74.510002
2015-11-04,73.57,73.860001,73.43,73.650002,15300,73.650002
2015-11-03,74.279999,74.889999,74.239998,74.360001,17300,74.360001
2015-11-02,73.660004,74.75,73.660004,74.730003,24600,74.730003
2015-10-30,73.300003,73.459999,72.650002,72.900002,23200,72.900002
2015-10-29,75.75,77.25,74.809998,76.379997,38900,76.379997
2015-10-28,75.25,76.220001,75.120003,76.220001,21100,76.220001
2015-10-27,75.220001,75.529999,75.120003,75.489998,27800,75.489998
2015-10-26,76.709999,76.970001,76.089996,76.739998,26300,76.739998
2015-10-23,77.25,77.919998,77.230003,77.809998,13900,77.809998
2015-10-22,75.739998,76.650002,75.739998,76.489998,20400,76.489998
2015-10-21,75.230003,75.379997,74.580002,74.830002,16100,74.830002
2015-10-20,73.910004,73.93,73.529999,73.739998,12300,73.739998
2015-10-19,73.879997,74.349998,73.639999,74.349998,22200,74.349998
2015-10-16,74.269997,74.82,74.099998,74.660004,64700,74.660004
2015-10-15,72.489998,73.480003,72.050003,73.190002,32500,73.190002
2015-10-14,71.18,71.18,70.110001,70.400002,27500,70.400002
2015-10-13,71.43,72.010002,71.099998,71.279999,17400,71.279999
2015-10-12,72.440002,72.860001,72.18,72.650002,22400,72.650002
2015-10-09,72.650002,72.699997,72.220001,72.349998,11300,72.349998
2015-10-08,72.860001,73.529999,72.290001,73.440002,19900,73.440002
2015-10-07,72.199997,72.68,71.830002,72.68,23100,72.68
2015-10-06,70.169998,70.300003,69.660004,69.989998,14500,69.989998
2015-10-05,70.629997,71.309998,70.50,71.019997,19300,71.019997
2015-10-02,67.220001,69.400002,66.970001,69.400002,28900,69.400002
2015-10-01,67.220001,67.589996,66.900002,67.57,24400,67.57
2015-09-30,63.900002,64.940002,63.77,64.93,22300,64.93
2015-09-29,62.740002,63.220001,62.48,62.959999,38100,62.959999
2015-09-28,64.970001,64.970001,63.580002,63.889999,23300,63.889999
2015-09-25,66.830002,66.959999,65.790001,66.290001,18000,66.290001
2015-09-24,64.040001,64.540001,63.330002,64.540001,17900,64.540001
2015-09-23,64.199997,64.650002,63.610001,64.540001,35700,64.540001
2015-09-22,64.199997,64.550003,63.509998,64.209999,24000,64.209999
2015-09-21,65.519997,65.949997,65.050003,65.660004,30500,65.660004
2015-09-18,65.360001,66.07,64.860001,64.860001,86200,64.860001
2015-09-17,67.269997,68.589996,67.269997,67.510002,21100,67.510002
2015-09-16,66.910004,67.830002,66.82,67.620003,45100,67.620003
2015-09-15,64.93,65.739998,64.75,65.669998,44500,65.669998
2015-09-14,65.550003,65.830002,65.260002,65.830002,28200,65.830002
2015-09-11,65.300003,66.290001,65.300003,66.160004,18600,66.160004
2015-09-10,65.43,65.870003,65.239998,65.43,24000,65.43
2015-09-09,65.540001,65.919998,64.349998,64.389999,29400,64.389999
2015-09-08,63.439999,64.080002,63.130001,63.790001,39200,63.790001
2015-09-04,63.00,63.27,62.610001,62.970001,16000,62.970001
2015-09-03,65.660004,66.43,65.349998,66.050003,19800,66.050003
2015-09-02,65.230003,65.230003,64.239998,65.120003,18700,65.120003
2015-09-01,63.389999,64.059998,63.049999,63.549999,129500,63.549999
2015-08-31,67.699997,68.00,67.269997,67.760002,28100,67.760002
2015-08-28,67.889999,68.459999,67.699997,68.459999,19400,68.459999
2015-08-27,67.82,68.720001,67.480003,68.309998,21300,68.309998
2015-08-26,67.169998,68.150002,65.889999,67.940002,32200,67.940002
2015-08-25,66.160004,66.160004,63.419998,63.419998,100400,63.419998
2015-08-24,63.009998,64.849998,62.349998,63.290001,33000,63.290001
2015-08-21,68.760002,68.959999,66.839996,66.940002,21500,66.940002
