Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.12,7.12,7.04,7.10,12100,6.979626
2015-12-30,7.00,7.06,6.99,7.05,14600,6.930474
2015-12-29,7.05,7.07,7.05,7.07,10300,6.950135
2015-12-28,7.04,7.11,7.04,7.07,21600,6.950135
2015-12-24,7.06,7.10,7.04,7.04,17300,6.920643
2015-12-23,7.07,7.11,7.07,7.11,21100,6.989457
2015-12-22,7.02,7.09,7.01,7.06,10200,6.940304
2015-12-21,6.97,7.02,6.95,7.01,20800,6.891152
2015-12-18,6.93,7.00,6.92,7.00,23900,6.881322
2015-12-17,6.83,6.92,6.83,6.92,12100,6.802678
2015-12-16,6.80,6.83,6.78,6.83,5600,6.714204
2015-12-15,6.67,6.78,6.67,6.77,18600,6.655221
2015-12-14,6.92,6.93,6.71,6.74,34300,6.625729
2015-12-11,6.97,6.97,6.94,6.94,14700,6.822339
2015-12-10,7.01,7.03,6.99,7.03,25000,6.871491
2015-12-09,7.02,7.04,6.97,7.00,8500,6.842168
2015-12-08,7.02,7.03,7.00,7.03,2500,6.871491
2015-12-07,6.96,7.06,6.96,7.01,7600,6.851942
2015-12-04,7.02,7.06,7.02,7.03,19000,6.871491
2015-12-03,7.05,7.05,7.00,7.05,5700,6.89104
2015-12-02,7.04,7.06,7.02,7.05,9800,6.89104
2015-12-01,7.04,7.05,7.01,7.04,25800,6.881266
2015-11-30,6.96,7.00,6.95,7.00,13900,6.842168
2015-11-27,6.99,6.99,6.96,6.99,1200,6.832393
2015-11-25,7.00,7.00,6.96,6.98,8900,6.822619
2015-11-24,6.87,6.97,6.87,6.96,25500,6.80307
2015-11-23,6.91,6.95,6.89,6.91,3500,6.754197
2015-11-20,6.95,6.97,6.94,6.97,11600,6.812844
2015-11-19,6.95,6.95,6.94,6.94,7300,6.783521
2015-11-18,6.86,6.93,6.86,6.93,10400,6.773746
2015-11-17,6.92,6.92,6.87,6.88,23300,6.724873
2015-11-16,6.85,6.92,6.85,6.91,13900,6.754197
2015-11-13,6.91,6.93,6.90,6.92,13300,6.763971
2015-11-12,6.99,6.99,6.81,6.90,11600,6.744422
2015-11-11,7.03,7.03,6.99,6.99,10000,6.832393
2015-11-10,7.02,7.04,7.01,7.02,9800,6.861717
2015-11-09,7.19,7.19,7.01,7.03,11100,6.832393
2015-11-06,7.20,7.25,7.20,7.22,6900,7.017052
2015-11-05,7.27,7.28,7.21,7.21,44600,7.007334
2015-11-04,7.26,7.29,7.26,7.29,2000,7.085085
2015-11-03,7.26,7.31,7.26,7.27,5000,7.065647
2015-11-02,7.34,7.34,7.27,7.31,5800,7.104523
2015-10-30,7.29,7.35,7.25,7.32,7100,7.114242
2015-10-29,7.32,7.35,7.31,7.34,3800,7.13368
2015-10-28,7.30,7.32,7.30,7.32,5700,7.114242
2015-10-27,7.19,7.31,7.19,7.31,10700,7.104523
2015-10-26,7.20,7.25,7.19,7.25,17500,7.046209
2015-10-23,7.14,7.17,7.14,7.16,2600,6.958739
2015-10-22,7.14,7.18,7.14,7.17,2800,6.968458
2015-10-21,7.11,7.18,7.11,7.17,7700,6.968458
2015-10-20,7.12,7.17,7.12,7.17,11700,6.968458
2015-10-19,7.13,7.13,7.13,7.13,500,6.929582
2015-10-16,7.06,7.20,7.06,7.19,6700,6.987896
2015-10-15,7.06,7.10,7.05,7.10,11400,6.900425
2015-10-14,7.02,7.09,7.02,7.06,8000,6.86155
2015-10-13,7.05,7.05,7.05,7.05,3800,6.851831
2015-10-12,7.08,7.12,7.05,7.07,5900,6.832393
2015-10-09,7.08,7.08,7.06,7.08,900,6.842057
2015-10-08,7.03,7.06,7.03,7.06,3100,6.822729
2015-10-07,7.02,7.04,7.01,7.03,12400,6.793738
2015-10-06,7.00,7.03,6.98,7.01,5700,6.77441
2015-10-05,6.97,7.03,6.97,7.01,10900,6.77441
2015-10-02,7.01,7.01,6.95,6.97,12100,6.735754
2015-10-01,7.02,7.02,6.98,7.01,6700,6.77441
2015-09-30,7.00,7.02,6.95,6.95,3800,6.716426
2015-09-29,7.10,7.10,6.93,6.99,7200,6.755081
2015-09-28,7.09,7.15,7.09,7.10,20700,6.861385
2015-09-25,7.16,7.16,7.13,7.15,6800,6.909704
2015-09-24,7.17,7.20,7.17,7.20,19100,6.958024
2015-09-23,7.17,7.20,7.10,7.20,10700,6.958024
2015-09-22,7.19,7.24,7.18,7.20,35600,6.958024
2015-09-21,7.17,7.24,7.15,7.23,39800,6.987016
2015-09-18,6.96,7.17,6.96,7.17,16700,6.929032
2015-09-17,6.98,7.04,6.97,7.03,15100,6.793738
2015-09-16,7.00,7.04,6.96,6.96,13700,6.72609
2015-09-15,7.02,7.05,6.97,6.98,12500,6.745418
2015-09-14,7.11,7.11,7.10,7.10,1700,6.861385
2015-09-11,7.11,7.12,7.09,7.10,7300,6.861385
2015-09-10,7.16,7.16,7.12,7.15,22800,6.871049
2015-09-09,7.20,7.20,7.14,7.16,16100,6.880658
2015-09-08,7.27,7.27,7.21,7.25,8600,6.967147
2015-09-04,7.24,7.29,7.23,7.29,26500,7.005587
2015-09-03,7.26,7.28,7.26,7.26,9000,6.976757
2015-09-02,7.16,7.24,7.15,7.24,10800,6.957537
2015-09-01,6.95,7.28,6.95,7.20,31600,6.919098
2015-08-31,7.15,7.15,7.08,7.14,16000,6.861439
2015-08-28,7.09,7.15,7.03,7.11,5300,6.832609
2015-08-27,7.07,7.20,7.06,7.12,12000,6.842219
2015-08-26,7.10,7.10,7.06,7.06,3300,6.78456
2015-08-25,7.10,7.14,7.05,7.09,8100,6.81339
2015-08-24,7.09,7.09,6.95,7.09,55800,6.81339
2015-08-21,7.09,7.09,6.98,7.01,20700,6.736511
2015-08-20,7.06,7.09,7.04,7.09,32500,6.81339
2015-08-19,7.00,7.11,7.00,7.11,4000,6.832609
2015-08-18,7.14,7.14,7.05,7.06,1200,6.78456
2015-08-17,7.16,7.16,7.11,7.11,3700,6.832609
2015-08-14,7.18,7.21,7.17,7.17,3200,6.890269
2015-08-13,7.19,7.20,7.17,7.18,18400,6.899878
2015-08-12,7.23,7.23,7.16,7.16,13200,6.880658
2015-08-11,7.29,7.32,7.23,7.23,21000,6.909488
2015-08-10,7.30,7.34,7.29,7.29,8300,6.966828
2015-08-07,7.34,7.34,7.29,7.29,4000,6.966828
2015-08-06,7.36,7.36,7.29,7.33,6600,7.005055
2015-08-05,7.24,7.33,7.24,7.33,9300,7.005055
2015-08-04,7.27,7.27,7.24,7.25,4400,6.928601
2015-08-03,7.28,7.28,7.23,7.27,13300,6.947715
2015-07-31,7.25,7.27,7.25,7.26,13400,6.938158
2015-07-30,7.12,7.23,7.12,7.23,18600,6.909488
2015-07-29,7.07,7.20,7.07,7.16,30400,6.842591
2015-07-28,7.13,7.13,7.10,7.11,46200,6.794808
2015-07-27,7.21,7.22,7.15,7.17,15300,6.852148
2015-07-24,7.22,7.22,7.20,7.21,16100,6.890375
2015-07-23,7.23,7.24,7.21,7.21,10000,6.890375
2015-07-22,7.30,7.30,7.24,7.27,31800,6.947715
