Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,9.08,9.12,9.04,9.11,251900,8.934469
2015-12-30,9.03,9.06,9.01,9.06,308800,8.885433
2015-12-29,9.01,9.02,8.97,9.00,226600,8.826589
2015-12-28,9.04,9.06,8.98,9.01,233100,8.836396
2015-12-24,9.07,9.08,9.01,9.02,132900,8.846204
2015-12-23,9.03,9.09,9.01,9.03,260200,8.85601
2015-12-22,8.97,9.05,8.94,9.03,271500,8.85601
2015-12-21,8.90,8.99,8.88,8.98,282600,8.806974
2015-12-18,8.86,8.98,8.85,8.87,301700,8.699093
2015-12-17,8.83,8.90,8.77,8.87,326900,8.699093
2015-12-16,8.70,8.88,8.70,8.85,345500,8.679479
2015-12-15,8.64,8.77,8.63,8.68,680700,8.512755
2015-12-14,8.95,9.00,8.64,8.65,908400,8.483332
2015-12-11,9.08,9.08,8.95,9.00,297300,8.826589
2015-12-10,9.06,9.13,9.05,9.12,165500,8.887394
2015-12-09,9.13,9.18,9.07,9.09,374800,8.85816
2015-12-08,9.10,9.18,9.10,9.13,185900,8.897139
2015-12-07,9.24,9.24,9.13,9.16,215100,8.926374
2015-12-04,9.21,9.29,9.16,9.24,208700,9.004334
2015-12-03,9.29,9.32,9.21,9.21,233900,8.975099
2015-12-02,9.31,9.34,9.27,9.29,301100,9.053058
2015-12-01,9.23,9.30,9.20,9.27,292000,9.033569
2015-11-30,9.18,9.23,9.16,9.23,410000,8.994588
2015-11-27,9.16,9.19,9.13,9.17,25600,8.936119
2015-11-25,9.10,9.18,9.10,9.18,197500,8.945864
2015-11-24,9.10,9.12,9.07,9.08,187400,8.848414
2015-11-23,9.11,9.12,9.08,9.09,269300,8.85816
2015-11-20,9.10,9.15,9.08,9.11,236800,8.877649
2015-11-19,9.09,9.12,9.07,9.11,165400,8.877649
2015-11-18,9.08,9.12,9.05,9.09,195500,8.85816
2015-11-17,9.08,9.13,9.04,9.10,253100,8.867905
2015-11-16,9.04,9.10,9.04,9.08,252800,8.848414
2015-11-13,9.05,9.08,9.01,9.04,192300,8.809435
2015-11-12,9.03,9.07,9.00,9.04,261900,8.809435
2015-11-11,9.02,9.10,9.01,9.08,274200,8.848414
2015-11-10,8.96,9.03,8.96,9.01,253100,8.7802
2015-11-09,9.02,9.07,8.93,8.99,542800,8.704189
2015-11-06,9.18,9.19,9.03,9.05,335700,8.762282
