Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,72.790001,72.900002,71.980003,72.269997,958900,71.78762
2015-12-30,73.580002,73.68,73.110001,73.190002,657900,72.701485
2015-12-29,73.279999,73.599998,73.239998,73.510002,953800,73.019349
2015-12-28,72.830002,73.00,72.580002,72.870003,719500,72.383621
2015-12-24,72.889999,73.129997,72.620003,72.870003,374800,72.383621
2015-12-23,72.389999,73.199997,72.190002,73.07,1197100,72.582283
2015-12-22,71.029999,72.50,70.870003,72.190002,1775200,71.70816
2015-12-21,71.25,71.389999,70.519997,71.050003,1664600,70.575769
2015-12-18,71.269997,71.360001,70.760002,70.779999,2030500,70.307567
2015-12-17,71.629997,72.260002,70.900002,71.610001,2395200,71.132029
2015-12-16,71.519997,72.07,70.870003,71.970001,2410400,71.489627
2015-12-15,71.239998,71.739998,70.870003,71.510002,2407700,71.032698
2015-12-14,70.160004,71.18,70.160004,71.080002,2027200,70.605568
2015-12-11,70.260002,70.559998,69.75,70.129997,1379000,69.661904
2015-12-10,70.599998,71.389999,70.07,70.730003,1729000,70.257906
2015-12-09,70.190002,71.199997,70.010002,70.599998,1788600,70.128768
2015-12-08,70.25,71.010002,69.889999,70.82,1749100,70.347301
2015-12-07,70.099998,70.900002,69.910004,70.510002,1752000,70.039373
2015-12-04,68.68,70.379997,68.550003,70.18,2123100,69.711574
2015-12-03,68.860001,69.529999,68.199997,68.529999,2411000,68.072585
2015-12-02,69.190002,69.589996,68.809998,68.889999,2245100,68.430183
2015-12-01,69.389999,69.989998,69.040001,69.379997,2452400,68.91691
2015-11-30,69.360001,69.449997,68.720001,68.769997,3140300,68.310981
2015-11-27,68.93,69.449997,68.739998,69.269997,1164700,68.807644
2015-11-25,68.059998,69.529999,68.00,69.18,2606800,68.221583
2015-11-24,68.449997,68.870003,67.540001,67.860001,3026500,66.91987
2015-11-23,67.389999,69.190002,67.099998,68.57,5234300,67.620033
2015-11-20,66.919998,66.949997,66.110001,66.25,2128200,65.332175
2015-11-19,66.650002,67.07,66.370003,66.470001,1751000,65.549128
2015-11-18,66.220001,66.470001,65.629997,66.309998,2969500,65.391341
2015-11-17,66.93,67.32,64.650002,66.029999,3204000,65.115221
2015-11-16,66.089996,66.949997,66.080002,66.93,1561200,66.002754
2015-11-13,66.260002,66.699997,65.910004,66.089996,1752700,65.174388
2015-11-12,67.169998,67.459999,66.260002,66.300003,1854200,65.381485
2015-11-11,67.419998,67.980003,67.400002,67.620003,1276900,66.683197
2015-11-10,67.260002,67.699997,67.040001,67.330002,1222200,66.397214
2015-11-09,67.660004,67.760002,66.879997,67.470001,1303500,66.535274
2015-11-06,69.029999,69.029999,67.300003,67.93,1824700,66.9889
2015-11-05,68.620003,69.440002,68.50,69.370003,1493800,68.408953
2015-11-04,68.419998,69.190002,68.309998,68.68,2849500,67.72851
2015-11-03,68.379997,68.970001,67.059998,68.089996,4212200,67.14668
2015-11-02,70.720001,70.860001,70.07,70.610001,2110300,69.631772
2015-10-30,70.779999,71.18,70.50,70.519997,1595700,69.543015
2015-10-29,70.660004,71.129997,70.169998,70.989998,992700,70.006505
2015-10-28,71.099998,71.160004,70.260002,70.919998,1005900,69.937475
2015-10-27,71.290001,71.50,70.720001,71.040001,924300,70.055815
2015-10-26,71.760002,71.919998,71.370003,71.550003,1645700,70.558752
2015-10-23,72.040001,72.300003,71.400002,71.699997,1979500,70.706668
2015-10-22,70.00,72.339996,69.949997,72.010002,2546800,71.012378
2015-10-21,69.120003,69.980003,68.940002,69.610001,1397200,68.645626
2015-10-20,69.639999,69.639999,68.900002,68.970001,1565100,68.014493
2015-10-19,69.730003,70.169998,69.510002,69.610001,2084000,68.645626
2015-10-16,69.489998,69.839996,69.18,69.790001,1039700,68.823133
2015-10-15,68.970001,69.279999,68.629997,69.199997,1325100,68.241302
2015-10-14,69.230003,69.440002,68.559998,68.650002,1004500,67.698927
2015-10-13,69.470001,69.790001,69.220001,69.360001,1330800,68.399089
2015-10-12,69.389999,69.989998,69.279999,69.830002,1253700,68.862579
2015-10-09,69.190002,70.00,69.099998,69.440002,2273700,68.477983
2015-10-08,68.169998,69.260002,67.93,69.239998,1415500,68.280749
2015-10-07,67.760002,68.230003,67.599998,68.220001,1770500,67.274884
2015-10-06,67.980003,68.00,67.489998,67.550003,1822000,66.614168
2015-10-05,67.809998,68.269997,67.389999,68.059998,3953400,67.117097
2015-10-02,65.879997,67.410004,65.599998,67.410004,1854100,66.476108
2015-10-01,66.260002,66.620003,65.029999,66.239998,2916000,65.322311
2015-09-30,67.00,67.25,66.190002,66.550003,2533000,65.628021
2015-09-29,66.50,66.660004,65.989998,66.449997,2561400,65.529401
2015-09-28,67.699997,68.059998,66.440002,66.510002,1987400,65.588575
2015-09-25,67.690002,69.129997,67.43,68.220001,1494700,67.274884
2015-09-24,66.970001,67.349998,66.419998,67.209999,2610400,66.278874
