Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,41.540001,41.689999,40.580002,40.610001,36600,40.259491
2015-12-30,40.959999,41.889999,40.919998,41.599998,30100,41.240944
2015-12-29,40.880001,41.740002,40.880001,41.540001,45900,41.181465
2015-12-28,40.68,41.41,40.299999,40.669998,28900,40.318971
2015-12-24,40.580002,41.400002,40.580002,41.009998,10100,40.656037
2015-12-23,40.43,40.720001,40.080002,40.580002,32400,40.229751
2015-12-22,39.740002,40.16,38.990002,40.110001,25800,39.763807
2015-12-21,40.040001,40.68,39.209999,39.709999,36000,39.367258
2015-12-18,40.810001,41.27,39.709999,39.75,86000,39.406913
2015-12-17,41.759998,41.959999,41.040001,41.09,28200,40.735348
2015-12-16,42.029999,42.48,41.439999,41.669998,72500,41.31034
2015-12-15,41.419998,41.990002,41.25,41.950001,65900,41.587926
2015-12-14,41.25,41.50,41.060001,41.25,36400,40.893967
2015-12-11,41.639999,42.189999,40.810001,41.240002,53500,40.884055
2015-12-10,41.959999,42.299999,41.25,41.939999,33800,41.57801
2015-12-09,42.34,43.360001,41.299999,41.799999,49600,41.439219
2015-12-08,42.040001,43.470001,41.950001,42.369999,81400,42.004299
2015-12-07,41.950001,44.16,41.50,42.529999,143900,42.162918
2015-12-04,42.130001,42.82,41.68,42.50,42000,42.133178
2015-12-03,43.080002,43.27,41.66,42.209999,33000,41.84568
2015-12-02,43.119999,43.349998,42.400002,42.84,34700,42.470243
2015-12-01,43.32,43.709999,42.889999,43.139999,33900,42.767653
2015-11-30,43.060001,43.549999,42.810001,43.310001,34100,42.936188
2015-11-27,42.779999,43.34,42.779999,43.080002,8800,42.708174
2015-11-25,42.93,43.009998,42.290001,42.869999,42200,42.499983
2015-11-24,41.720001,42.860001,41.59,42.720001,36300,42.35128
2015-11-23,41.169998,42.139999,40.990002,42.060001,58600,41.696977
2015-11-20,41.040001,41.990002,40.860001,41.349998,54800,40.993102
2015-11-19,41.009998,41.669998,40.400002,40.790001,40000,40.437938
2015-11-18,39.799999,40.93,39.799999,40.869999,60600,40.517245
2015-11-17,39.27,40.16,39.27,39.73,20400,39.387086
2015-11-16,39.549999,39.91,39.220001,39.720001,90900,39.377174
2015-11-13,39.57,40.169998,39.34,39.450001,59300,39.109503
2015-11-12,40.029999,40.32,39.57,39.73,108900,39.387086
2015-11-11,41.310001,41.310001,40.259998,40.360001,49900,40.011649
2015-11-10,40.41,41.43,40.330002,41.290001,67800,40.933622
2015-11-09,41.049999,41.200001,39.990002,40.41,71300,40.061217
2015-11-06,39.73,41.470001,39.32,41.41,74500,41.052586
2015-11-05,41.119999,41.119999,39.529999,39.860001,52200,39.515965
2015-11-04,41.02,42.080002,40.869999,41.200001,62000,40.844399
2015-11-03,41.619999,41.950001,40.93,41.220001,57000,40.864227
2015-11-02,41.18,42.32,40.889999,41.84,39500,41.478875
2015-10-30,41.459999,41.77,40.84,41.119999,39600,40.765088
2015-10-29,42.23,42.709999,41.360001,41.400002,37400,41.042674
2015-10-28,41.650002,43.23,41.509998,42.759998,82200,42.390932
2015-10-27,40.900002,42.389999,39.919998,41.549999,116900,41.191377
2015-10-26,43.150002,44.369999,41.650002,42.150002,128200,41.7862
2015-10-23,42.610001,43.099998,42.099998,43.099998,35900,42.727998
2015-10-22,41.50,42.639999,41.50,42.389999,44800,42.024127
2015-10-21,41.580002,42.029999,41.07,41.34,52100,40.98319
2015-10-20,40.849998,41.779999,40.740002,41.369999,51500,41.01293
2015-10-19,40.07,41.029999,39.970001,41.009998,70800,40.656037
2015-10-16,41.279999,41.279999,40.060001,40.360001,61400,40.011649
2015-10-15,40.040001,41.25,39.610001,41.23,50600,40.874139
2015-10-14,40.240002,40.52,39.84,40.00,49000,39.654756
2015-10-13,40.119999,40.959999,39.700001,40.290001,49800,39.942253
2015-10-12,40.389999,40.689999,40.220001,40.630001,41700,40.110788
2015-10-09,40.59,40.810001,40.209999,40.509998,60600,39.992319
2015-10-08,40.419998,41.040001,40.369999,40.490002,46700,39.972578
2015-10-07,39.880001,40.68,39.880001,40.360001,51200,39.844238
2015-10-06,40.779999,40.950001,39.169998,39.419998,89000,38.916248
2015-10-05,40.00,41.099998,39.98,40.830002,36800,40.308233
2015-10-02,38.810001,39.939999,37.720001,39.93,75400,39.419733
2015-10-01,38.959999,39.450001,38.709999,39.060001,56400,38.560851
2015-09-30,38.869999,39.549999,38.41,39.009998,142200,38.511487
2015-09-29,38.889999,39.139999,38.16,38.709999,44900,38.215322
2015-09-28,38.720001,39.09,38.27,38.779999,37700,38.284427
2015-09-25,40.09,40.299999,38.919998,38.990002,45200,38.491746
2015-09-24,39.400002,40.220001,39.16,39.830002,56000,39.321012
