Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.82,1.84,1.78,1.82,5319500,1.82
2015-12-30,1.83,1.87,1.81,1.83,5364800,1.83
2015-12-29,1.88,1.92,1.83,1.87,5738000,1.87
2015-12-28,1.92,1.94,1.82,1.83,4893000,1.83
2015-12-24,1.90,1.97,1.90,1.95,4001800,1.95
2015-12-23,1.89,1.94,1.88,1.89,5708600,1.89
2015-12-22,1.87,1.92,1.86,1.90,6370000,1.90
2015-12-21,1.90,1.95,1.87,1.90,8518100,1.90
2015-12-18,1.84,1.94,1.79,1.88,16207900,1.88
2015-12-17,1.86,1.86,1.75,1.78,8303800,1.78
2015-12-16,1.93,1.95,1.83,1.94,11095100,1.94
2015-12-15,1.92,1.92,1.81,1.89,8800100,1.89
2015-12-14,1.99,2.00,1.85,1.87,10603100,1.87
2015-12-11,1.93,2.07,1.91,2.02,11705600,2.02
2015-12-10,1.95,2.02,1.92,1.95,7539000,1.95
2015-12-09,1.97,2.00,1.91,1.96,6454700,1.96
2015-12-08,2.00,2.02,1.89,1.93,7506200,1.93
2015-12-07,2.08,2.11,1.96,2.00,8108400,2.00
2015-12-04,2.03,2.14,2.03,2.13,9924100,2.13
2015-12-03,2.02,2.05,1.94,2.01,9840600,2.01
2015-12-02,2.00,2.05,1.93,1.99,8273500,1.99
2015-12-01,1.93,2.06,1.92,2.05,8190700,2.05
2015-11-30,1.90,1.99,1.89,1.92,7242400,1.92
2015-11-27,1.88,1.91,1.87,1.88,3468500,1.88
2015-11-25,1.91,2.00,1.89,1.93,6866200,1.93
2015-11-24,1.81,1.95,1.79,1.93,12823400,1.93
2015-11-23,1.74,1.80,1.72,1.75,5857300,1.75
2015-11-20,1.87,1.89,1.75,1.75,7990600,1.75
2015-11-19,1.85,1.89,1.82,1.87,7031900,1.87
2015-11-18,1.76,1.82,1.72,1.82,6803800,1.82
2015-11-17,1.84,1.86,1.75,1.75,6847800,1.75
2015-11-16,1.86,1.91,1.83,1.86,6203800,1.86
2015-11-13,1.75,1.84,1.75,1.83,7370100,1.83
2015-11-12,1.71,1.84,1.71,1.79,8044600,1.79
2015-11-11,1.78,1.84,1.74,1.80,8054500,1.80
2015-11-10,1.76,1.80,1.74,1.77,8928400,1.77
2015-11-09,1.76,1.84,1.73,1.83,9969100,1.83
2015-11-06,1.80,1.83,1.74,1.77,10265900,1.77
2015-11-05,1.94,1.95,1.82,1.88,12821900,1.88
2015-11-04,2.06,2.09,1.97,1.98,8148300,1.98
2015-11-03,2.00,2.08,1.97,2.05,8653400,2.05
2015-11-02,2.00,2.10,1.97,2.07,7123700,2.07
2015-10-30,2.08,2.15,2.01,2.01,9918200,2.01
2015-10-29,2.16,2.20,2.03,2.10,10764100,2.10
2015-10-28,2.31,2.40,2.16,2.17,20924300,2.17
2015-10-27,2.25,2.32,2.21,2.28,4943900,2.28
2015-10-26,2.31,2.37,2.26,2.27,9990100,2.27
2015-10-23,2.27,2.35,2.18,2.33,10948700,2.33
2015-10-22,2.11,2.28,2.11,2.25,13034700,2.25
2015-10-21,2.16,2.18,2.10,2.10,7426900,2.10
2015-10-20,2.11,2.22,2.11,2.20,9381100,2.20
2015-10-19,2.12,2.19,2.04,2.07,12856000,2.07
2015-10-16,2.27,2.31,2.15,2.15,13179700,2.15
2015-10-15,2.24,2.29,2.17,2.26,15017800,2.26
2015-10-14,2.15,2.29,2.15,2.27,14739000,2.27
2015-10-13,2.08,2.15,2.07,2.09,7513900,2.09
2015-10-12,2.28,2.31,1.97,2.04,17253500,2.04
2015-10-09,2.24,2.28,2.20,2.24,16652000,2.24
2015-10-08,2.07,2.27,2.07,2.13,11739400,2.13
2015-10-07,2.13,2.19,2.11,2.16,14004100,2.16
2015-10-06,2.07,2.18,2.05,2.15,14515300,2.15
2015-10-05,1.82,2.03,1.82,2.03,11164000,2.03
2015-10-02,1.75,1.84,1.72,1.83,7699600,1.83
2015-10-01,1.75,1.78,1.68,1.68,7079400,1.68
2015-09-30,1.65,1.74,1.62,1.72,9474500,1.72
