Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,37.93,38.130001,37.220001,37.25,137100,36.888058
2015-12-30,38.139999,38.299999,37.990002,38.02,116300,37.650576
2015-12-29,38.32,38.52,37.959999,38.189999,99700,37.818923
2015-12-28,38.02,38.25,37.82,38.119999,157400,37.749603
2015-12-24,38.02,38.380001,37.91,38.09,86200,37.719896
2015-12-23,38.18,38.330002,37.889999,37.990002,71000,37.620869
2015-12-22,37.990002,38.099998,37.369999,38.009998,102800,37.640671
2015-12-21,37.59,37.98,37.18,37.900002,101000,37.531743
2015-12-18,38.740002,38.779999,37.400002,37.419998,401500,37.056404
2015-12-17,39.73,39.830002,38.990002,39.00,86500,38.621054
2015-12-16,39.82,40.150002,39.029999,39.669998,96100,39.284542
2015-12-15,39.380001,39.799999,39.240002,39.540001,95100,39.155808
2015-12-14,39.599998,39.810001,38.959999,39.130001,119000,38.749792
2015-12-11,40.02,40.639999,39.34,39.50,142700,39.116195
2015-12-10,40.68,40.970001,40.50,40.740002,166800,40.344149
2015-12-09,41.119999,41.57,40.68,40.68,166800,40.28473
2015-12-08,41.009998,41.50,40.849998,41.299999,113300,40.898705
2015-12-07,41.290001,41.41,40.860001,41.290001,95200,40.888804
2015-12-04,40.369999,41.330002,40.32,41.279999,66000,40.878899
2015-12-03,41.189999,41.290001,40.259998,40.349998,97600,39.957935
2015-12-02,41.48,41.50,40.880001,40.990002,103600,40.591719
2015-12-01,41.200001,41.470001,41.169998,41.439999,79400,41.037344
2015-11-30,40.959999,41.310001,40.75,41.110001,140000,40.710552
2015-11-27,40.970001,41.369999,40.540001,40.889999,82300,40.492689
2015-11-25,41.009998,41.009998,40.599998,41.00,70900,40.601621
2015-11-24,40.810001,41.049999,40.43,40.950001,92200,40.552107
2015-11-23,40.939999,41.290001,40.889999,41.099998,126400,40.700647
2015-11-20,40.919998,41.27,40.849998,41.02,90200,40.621427
2015-11-19,40.52,40.759998,40.450001,40.700001,60500,40.304536
2015-11-18,39.959999,40.630001,39.650002,40.540001,137000,40.146091
2015-11-17,39.650002,40.560001,39.650002,39.900002,81700,39.51231
2015-11-16,39.650002,40.349998,39.639999,40.299999,95600,39.908421
2015-11-13,39.950001,40.650002,39.799999,39.830002,119000,39.442991
2015-11-12,40.290001,40.540001,40.080002,40.139999,147500,39.749976
2015-11-11,40.900002,41.259998,40.75,40.799999,153900,40.165894
2015-11-10,40.639999,41.200001,40.639999,40.889999,228700,40.254496
2015-11-09,41.130001,41.650002,40.389999,40.68,214200,40.04776
2015-11-06,37.990002,41.439999,37.419998,41.299999,576300,40.658123
2015-11-05,35.50,36.279999,35.490002,35.959999,125600,35.401116
2015-11-04,35.130001,35.59,34.849998,35.50,147700,34.948266
2015-11-03,35.450001,35.529999,34.990002,35.02,261900,34.475727
2015-11-02,35.700001,36.009998,35.380001,35.419998,218000,34.869508
2015-10-30,36.459999,36.709999,35.68,35.720001,143800,35.164848
2015-10-29,36.540001,36.75,36.360001,36.619999,207800,36.050859
2015-10-28,36.110001,36.759998,36.110001,36.68,262500,36.109927
2015-10-27,36.27,36.48,35.98,36.060001,137300,35.499564
2015-10-26,36.52,36.709999,36.27,36.50,133700,35.932725
2015-10-23,36.66,36.689999,36.34,36.549999,219000,35.981947
2015-10-22,36.23,36.59,36.23,36.41,124100,35.844123
2015-10-21,36.380001,36.580002,35.900002,35.950001,84400,35.391273
2015-10-20,36.439999,36.549999,36.349998,36.369999,98100,35.804744
2015-10-19,36.09,36.360001,36.080002,36.25,82100,35.68661
2015-10-16,36.310001,36.400002,35.889999,36.189999,99100,35.627541
2015-10-15,35.77,36.32,35.599998,36.240002,97700,35.676767
2015-10-14,36.439999,36.48,35.720001,35.759998,69800,35.204224
2015-10-13,36.279999,36.740002,36.27,36.369999,165300,35.804744
