Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,18.809999,19.67,18.809999,19.200001,1409200,18.981322
2015-12-30,18.99,19.379999,18.99,19.25,909500,19.030752
2015-12-29,18.92,19.16,18.610001,19.16,913100,18.941777
2015-12-28,19.34,19.540001,18.41,18.559999,1961200,18.34861
2015-12-24,19.799999,19.98,19.459999,19.549999,402100,19.327335
2015-12-23,19.120001,19.889999,19.120001,19.860001,2266800,19.633805
2015-12-22,18.629999,19.07,18.559999,19.030001,1840200,18.813259
2015-12-21,18.17,18.530001,17.85,18.51,1936100,18.299181
2015-12-18,17.940001,18.26,17.709999,18.10,2868200,17.893851
2015-12-17,18.139999,18.860001,17.870001,17.940001,3158000,17.735673
2015-12-16,20.41,20.719999,17.959999,18.17,9196300,17.963053
2015-12-15,21.639999,22.639999,20.120001,20.709999,8563300,20.474123
2015-12-14,25.450001,25.639999,25.07,25.57,1165000,25.27877
2015-12-11,25.700001,25.860001,25.50,25.60,535900,25.308429
2015-12-10,25.77,26.190001,25.700001,26.08,693100,25.782962
2015-12-09,25.66,26.25,25.540001,25.83,760200,25.535809
2015-12-08,26.07,26.209999,25.40,25.68,1812600,25.387518
2015-12-07,27.129999,27.129999,26.389999,26.50,914900,26.198178
2015-12-04,27.66,27.889999,27.139999,27.549999,780100,27.236219
2015-12-03,28.50,28.52,27.77,27.99,642900,27.671208
2015-12-02,28.73,29.059999,28.290001,28.42,749700,28.096311
2015-12-01,29.18,29.33,28.77,28.860001,1012600,28.5313
2015-11-30,28.60,29.26,28.190001,29.25,1189100,28.916857
2015-11-27,28.290001,28.51,28.08,28.440001,214700,28.116083
2015-11-25,28.360001,28.530001,28.17,28.34,523400,28.017222
2015-11-24,27.59,28.559999,27.32,28.41,704000,28.086424
2015-11-23,27.389999,28.00,27.32,27.59,432200,27.275764
2015-11-20,27.700001,27.93,27.41,27.57,494600,27.255991
2015-11-19,27.26,27.629999,27.02,27.549999,569900,27.236219
2015-11-18,26.690001,27.450001,26.690001,27.389999,550300,27.078041
2015-11-17,26.790001,26.959999,26.190001,26.50,606600,26.198178
2015-11-16,26.18,26.82,26.110001,26.799999,671200,26.494761
2015-11-13,26.059999,26.450001,25.73,26.190001,1227800,25.89171
2015-11-12,27.190001,27.40,26.059999,26.17,1229300,25.871937
2015-11-11,28.50,28.540001,27.51,27.610001,1005600,27.295537
2015-11-10,28.030001,28.52,27.790001,28.469999,1213600,28.14574
2015-11-09,28.719999,28.809999,28.110001,28.23,1089900,27.908474
2015-11-06,28.360001,28.82,27.75,28.82,1089700,28.491754
2015-11-05,27.68,28.879999,27.60,28.73,1369400,28.205056
2015-11-04,27.450001,28.309999,27.34,27.68,1976600,27.174242
2015-11-03,27.780001,28.16,26.59,27.82,3938100,27.311683
2015-11-02,28.110001,28.809999,27.709999,28.77,1586300,28.244326
2015-10-30,27.82,28.25,27.60,28.120001,1347800,27.606203
2015-10-29,27.209999,28.08,27.209999,27.719999,969600,27.21351
2015-10-28,26.41,27.790001,26.24,27.389999,1259200,26.88954
2015-10-27,27.110001,27.41,26.530001,27.190001,655900,26.693195
2015-10-26,27.530001,27.85,27.42,27.51,698100,27.007348
2015-10-23,27.75,27.969999,27.41,27.559999,725100,27.056433
2015-10-22,26.709999,28.00,26.540001,27.32,930900,26.820819
2015-10-21,26.459999,27.09,26.23,26.469999,471500,25.986349
