Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,10.52,10.53,10.47,10.51,12200,10.346311
2015-12-30,10.46,10.53,10.43,10.50,20000,10.336466
2015-12-29,10.48,10.53,10.48,10.50,11700,10.336466
2015-12-28,10.45,10.49,10.43,10.49,15400,10.326622
2015-12-24,10.42,10.49,10.42,10.47,5800,10.306934
2015-12-23,10.38,10.48,10.38,10.48,7100,10.316777
2015-12-22,10.28,10.38,10.28,10.38,15000,10.218335
2015-12-21,10.26,10.32,10.26,10.29,34400,10.129737
2015-12-18,10.24,10.27,10.17,10.26,11500,10.100204
2015-12-17,10.18,10.22,10.14,10.21,9300,10.050983
2015-12-16,10.11,10.24,10.11,10.24,10800,10.026372
2015-12-15,10.10,10.11,10.07,10.10,11800,9.889294
2015-12-14,10.14,10.24,10.06,10.07,14800,9.859919
2015-12-11,10.28,10.28,10.14,10.17,10500,9.957833
2015-12-10,10.32,10.36,10.32,10.35,2800,10.134078
2015-12-09,10.28,10.36,10.28,10.35,4600,10.134078
2015-12-08,10.33,10.34,10.31,10.31,15400,10.094913
2015-12-07,10.36,10.37,10.35,10.35,6700,10.134078
2015-12-04,10.33,10.39,10.33,10.39,13300,10.173244
2015-12-03,10.31,10.38,10.31,10.37,13600,10.153661
2015-12-02,10.33,10.38,10.33,10.37,26600,10.153661
2015-12-01,10.30,10.34,10.30,10.34,4000,10.124287
2015-11-30,10.24,10.29,10.24,10.29,20600,10.07533
2015-11-27,10.19,10.20,10.19,10.19,500,9.977415
2015-11-25,10.25,10.25,10.21,10.22,1200,10.00679
2015-11-24,10.23,10.27,10.20,10.26,5900,10.045956
2015-11-23,10.25,10.25,10.21,10.22,12400,10.00679
2015-11-20,10.25,10.27,10.25,10.26,3100,10.045956
2015-11-19,10.25,10.28,10.24,10.28,7300,10.065538
2015-11-18,10.34,10.34,10.28,10.28,6100,10.065538
2015-11-17,10.32,10.41,10.32,10.41,31600,10.136036
2015-11-16,10.33,10.37,10.32,10.37,3000,10.097088
2015-11-13,10.40,10.40,10.38,10.38,1200,10.106825
2015-11-12,10.39,10.43,10.37,10.41,8200,10.136036
2015-11-11,10.50,10.50,10.41,10.41,8900,10.136036
2015-11-10,10.50,10.54,10.50,10.51,5200,10.233404
2015-11-09,10.55,10.55,10.52,10.53,8300,10.252877
2015-11-06,10.61,10.61,10.58,10.59,1500,10.311299
2015-11-05,10.66,10.66,10.61,10.66,7800,10.379456
2015-11-04,10.65,10.67,10.63,10.67,7100,10.389193
2015-11-03,10.64,10.66,10.59,10.66,7300,10.379456
2015-11-02,10.53,10.65,10.53,10.65,14200,10.369719
2015-10-30,10.60,10.60,10.51,10.59,7200,10.311299
2015-10-29,10.58,10.59,10.56,10.58,2800,10.301562
2015-10-28,10.58,10.60,10.58,10.59,700,10.311299
2015-10-27,10.61,10.62,10.55,10.59,7300,10.311299
2015-10-26,10.62,10.64,10.61,10.61,8900,10.330772
2015-10-23,10.62,10.64,10.62,10.63,3000,10.350246
2015-10-22,10.59,10.63,10.59,10.63,4900,10.350246
2015-10-21,10.58,10.62,10.58,10.62,7000,10.340509
2015-10-20,10.54,10.60,10.54,10.60,6800,10.321036
2015-10-19,10.57,10.58,10.54,10.58,4000,10.301562
2015-10-16,10.48,10.55,10.48,10.55,4600,10.272351
2015-10-15,10.48,10.53,10.47,10.52,10600,10.243141
2015-10-14,10.49,10.57,10.49,10.57,3800,10.235351
2015-10-13,10.52,10.58,10.51,10.51,8700,10.177252
2015-10-12,10.53,10.54,10.53,10.54,2500,10.206301
2015-10-09,10.45,10.57,10.45,10.53,19600,10.196618
2015-10-08,10.29,10.44,10.29,10.44,15200,10.109467
2015-10-07,10.29,10.35,10.29,10.32,10600,9.993266
2015-10-06,10.24,10.31,10.24,10.29,5100,9.964217
2015-10-05,10.25,10.28,10.23,10.28,5500,9.954533
2015-10-02,10.21,10.30,10.18,10.25,13200,9.925483
2015-10-01,10.28,10.29,10.22,10.25,3600,9.925483
2015-09-30,10.32,10.34,10.27,10.28,3700,9.954533
2015-09-29,10.26,10.29,10.25,10.29,6200,9.964217
2015-09-28,10.42,10.42,10.29,10.29,8200,9.964217
2015-09-25,10.46,10.50,10.42,10.46,11100,10.128834
2015-09-24,10.45,10.46,10.43,10.43,6900,10.099784
2015-09-23,10.45,10.51,10.42,10.47,7500,10.138518
2015-09-22,10.45,10.46,10.44,10.46,900,10.128834
2015-09-21,10.51,10.52,10.48,10.48,11200,10.148201
2015-09-18,10.42,10.52,10.42,10.49,13000,10.157884
2015-09-17,10.42,10.46,10.37,10.46,9300,10.128834
2015-09-16,10.50,10.50,10.50,10.50,300,10.111404
2015-09-15,10.50,10.51,10.48,10.49,9900,10.101774
2015-09-14,10.46,10.52,10.46,10.51,1800,10.121034
2015-09-11,10.53,10.53,10.53,10.53,500,10.140294
2015-09-10,10.52,10.56,10.51,10.55,3000,10.159554
2015-09-09,10.55,10.56,10.53,10.53,2400,10.140294
2015-09-08,10.57,10.59,10.56,10.58,7200,10.188443
2015-09-04,10.52,10.52,10.52,10.52,500,10.130664
2015-09-03,10.53,10.58,10.51,10.58,6700,10.188443
2015-09-02,10.49,10.53,10.47,10.50,25400,10.111404
2015-09-01,10.46,10.52,10.42,10.51,6400,10.121034
2015-08-31,10.54,10.54,10.48,10.51,5800,10.121034
2015-08-28,10.52,10.58,10.52,10.57,19500,10.178813
2015-08-27,10.48,10.55,10.48,10.52,6000,10.130664
2015-08-26,10.47,10.48,10.34,10.48,3100,10.092144
2015-08-25,10.33,10.41,10.23,10.38,16800,9.995845
2015-08-24,10.35,10.35,9.50,10.18,26300,9.803247
2015-08-21,10.64,10.64,10.50,10.50,4600,10.111404
2015-08-20,10.67,10.67,10.56,10.61,15900,10.217333
2015-08-19,10.66,10.67,10.62,10.63,8100,10.236593
2015-08-18,10.70,10.71,10.60,10.67,8600,10.275113
2015-08-17,10.75,10.77,10.70,10.72,7400,10.323262
2015-08-14,10.73,10.81,10.73,10.81,12200,10.409932
2015-08-13,10.74,10.81,10.74,10.80,1300,10.400302
2015-08-12,10.83,10.85,10.82,10.84,13100,10.382967
2015-08-11,10.89,10.89,10.84,10.84,2500,10.382967
