Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,16.40,17.280001,16.01,16.549999,13100,15.659923
2015-12-30,16.60,16.60,16.15,16.27,16900,15.394983
2015-12-29,16.60,16.639999,16.41,16.639999,1300,15.745083
2015-12-28,16.90,16.90,16.299999,16.549999,5300,15.659923
2015-12-24,16.83,16.83,16.83,16.83,1300,15.924865
2015-12-23,16.299999,16.77,16.299999,16.42,8000,15.536916
2015-12-22,16.40,16.799999,16.200001,16.200001,7700,15.328748
2015-12-21,16.60,16.690001,16.17,16.57,7100,15.678848
2015-12-18,16.639999,16.83,16.209999,16.60,5500,15.707235
2015-12-17,16.610001,17.34,16.610001,16.879999,11000,15.972175
2015-12-16,16.51,16.780001,16.51,16.67,6700,15.77347
2015-12-15,16.75,17.049999,16.15,16.549999,15500,15.659923
2015-12-14,17.200001,17.24,16.540001,16.799999,14600,15.896478
2015-12-11,17.50,17.50,17.200001,17.200001,4200,16.274967
2015-12-10,17.450001,17.52,17.40,17.52,400,16.577757
2015-12-09,17.60,17.610001,17.200001,17.370001,6700,16.435824
2015-12-08,17.68,17.690001,17.50,17.58,8300,16.634529
2015-12-07,17.51,17.67,17.51,17.51,5100,16.568294
2015-12-04,17.549999,17.68,17.549999,17.57,4200,16.625067
2015-12-03,17.700001,17.83,17.52,17.549999,2700,16.606142
2015-12-02,17.65,17.870001,17.59,17.68,5900,16.729152
2015-12-01,17.719999,17.959999,17.50,17.790001,9900,16.833236
2015-11-30,17.99,18.030001,17.41,17.940001,9600,16.975169
2015-11-27,17.90,18.190001,17.90,18.190001,600,17.211724
2015-11-25,17.58,18.00,17.559999,17.860001,3000,16.899471
2015-11-24,17.559999,17.85,17.559999,17.610001,6300,16.662917
2015-11-23,17.43,18.00,17.43,17.90,2200,16.937319
2015-11-20,17.90,17.90,17.799999,17.860001,3700,16.899471
2015-11-19,17.940001,18.10,17.700001,17.99,9500,17.022479
2015-11-18,18.219999,18.24,18.00,18.09,6700,17.117101
2015-11-17,18.200001,18.280001,17.98,18.139999,3700,17.164411
2015-11-16,17.969999,18.219999,17.91,18.09,3800,17.117101
2015-11-13,17.870001,17.889999,17.41,17.889999,15700,16.927857
2015-11-12,17.860001,18.200001,17.860001,18.040001,4400,17.069791
2015-11-11,18.50,18.50,17.77,18.01,12100,17.041404
2015-11-10,18.299999,18.34,18.08,18.24,9500,17.259034
2015-11-09,18.50,18.719999,18.25,18.25,4500,17.268496
2015-11-06,18.42,18.50,18.379999,18.379999,700,17.391504
2015-11-05,19.049999,19.049999,18.40,18.639999,12200,17.637521
2015-11-04,19.10,19.299999,18.799999,18.799999,12500,17.788916
2015-11-03,18.790001,18.950001,18.629999,18.92,11900,17.902463
2015-11-02,18.75,18.790001,18.41,18.65,6000,17.646983
2015-10-30,18.879999,18.969999,18.75,18.790001,6300,17.779455
2015-10-29,18.610001,18.889999,18.610001,18.75,4700,17.741606
2015-10-28,18.58,18.700001,18.43,18.59,9400,17.590211
2015-10-27,18.540001,18.639999,18.40,18.50,4900,17.505051
2015-10-26,19.309999,19.34,18.469999,18.65,6600,17.646983
2015-10-23,19.389999,19.389999,18.809999,18.809999,14900,17.798378
2015-10-22,19.120001,19.16,19.00,19.139999,4500,18.11063
2015-10-21,19.030001,19.25,18.799999,19.16,5600,18.129555
2015-10-20,19.18,19.50,19.00,19.219999,9500,18.186328
2015-10-19,19.049999,19.10,18.73,19.10,8900,18.072783
2015-10-16,19.09,19.09,19.030001,19.09,3300,18.06332
2015-10-15,18.85,19.10,18.700001,19.030001,15100,18.006548
2015-10-14,19.01,19.17,18.719999,19.00,7200,17.97816
2015-10-13,18.870001,19.17,18.610001,19.129999,17200,18.101168
2015-10-12,18.610001,18.870001,18.610001,18.809999,3300,17.798378
2015-10-09,18.51,18.879999,18.51,18.719999,5400,17.713218
2015-10-08,18.290001,18.51,18.290001,18.51,2700,17.514513
2015-10-07,18.35,18.469999,18.26,18.42,10000,17.429353
2015-10-06,18.290001,18.48,18.110001,18.360001,6900,17.372581
2015-10-05,18.530001,18.530001,18.09,18.24,4800,17.259034
2015-10-02,17.799999,18.389999,17.799999,18.25,11900,17.268496
2015-10-01,17.870001,17.959999,17.799999,17.85,6800,16.890009
2015-09-30,18.73,18.73,17.76,17.99,14200,17.022479
2015-09-29,18.01,18.09,17.809999,17.85,13700,16.890009
2015-09-28,18.27,18.27,17.91,18.040001,2800,17.069791
2015-09-25,17.950001,18.209999,17.780001,18.209999,14000,17.230647
2015-09-24,17.950001,18.030001,17.73,17.870001,16600,16.908934
2015-09-23,18.18,18.32,17.90,18.15,17400,17.173874
2015-09-22,18.25,18.43,18.25,18.290001,12400,17.306346
2015-09-21,18.41,18.75,18.200001,18.50,9600,17.505051
2015-09-18,18.76,18.780001,18.219999,18.610001,3500,17.609136
2015-09-17,18.24,18.51,18.24,18.370001,5100,17.382043
2015-09-16,18.33,18.82,18.33,18.49,5200,17.495588
2015-09-15,18.33,18.50,18.129999,18.32,7100,17.334731
2015-09-14,18.60,18.639999,18.129999,18.290001,7300,17.306346
2015-09-11,18.73,18.75,18.51,18.51,7500,17.514513
2015-09-10,18.58,18.84,18.58,18.76,3700,17.751068
2015-09-09,18.780001,19.07,18.65,18.719999,14500,17.713218
2015-09-08,19.059999,19.059999,18.73,19.02,2800,17.997085
2015-09-04,19.15,19.190001,18.530001,18.73,5200,17.722681
2015-09-03,19.00,19.10,18.860001,19.10,17400,18.072783
2015-09-02,19.00,19.219999,18.790001,19.00,3800,17.97816
2015-09-01,19.00,19.26,18.860001,18.90,15100,17.883538
2015-08-31,18.73,19.50,18.309999,19.50,18100,18.45127
2015-08-28,18.690001,18.73,18.280001,18.67,6100,17.665908
2015-08-27,17.58,18.780001,17.58,18.35,6700,17.363118
2015-08-26,19.440001,19.440001,18.41,18.870001,24100,16.953406
2015-08-25,19.34,19.48,18.709999,18.950001,9800,17.025281
2015-08-24,19.35,19.35,18.440001,18.860001,20000,16.944422
2015-08-21,19.65,19.67,19.33,19.49,11600,17.510433
2015-08-20,19.84,19.84,19.200001,19.690001,3400,17.69012
2015-08-19,19.66,19.83,19.35,19.690001,17600,17.69012
2015-08-18,19.60,19.99,19.58,19.690001,17600,17.69012
2015-08-17,19.51,19.93,19.51,19.68,21400,17.681135
2015-08-14,19.559999,19.99,19.559999,19.73,18100,17.726056
2015-08-13,19.379999,19.40,19.35,19.35,3500,17.384653
2015-08-12,19.35,19.379999,19.32,19.370001,7100,17.402622
2015-08-11,19.60,19.60,19.42,19.42,2900,17.447543
2015-08-10,19.42,19.639999,19.32,19.639999,2100,17.645197
2015-08-07,19.389999,19.49,19.389999,19.42,1100,17.447543
2015-08-06,19.41,19.51,19.200001,19.370001,10600,17.402622
2015-08-05,19.610001,19.65,19.360001,19.50,7600,17.519417
2015-08-04,19.73,19.73,19.299999,19.67,15500,17.672151
2015-08-03,19.360001,19.67,19.360001,19.43,4000,17.456527
2015-07-31,19.32,19.700001,19.309999,19.549999,9100,17.564338
2015-07-30,19.629999,19.66,19.309999,19.40,5600,17.429574
2015-07-29,19.50,19.66,19.40,19.48,1900,17.501448
2015-07-28,19.719999,19.75,19.200001,19.48,10600,17.501448
2015-07-27,19.620001,19.870001,19.58,19.58,12600,17.591292
2015-07-24,19.59,19.76,19.450001,19.76,2600,17.75301
2015-07-23,19.860001,19.940001,19.40,19.620001,13200,17.62723
2015-07-22,20.00,20.00,19.700001,19.99,3900,17.959649
2015-07-21,19.700001,19.700001,19.610001,19.65,2000,17.654182
2015-07-20,19.549999,19.67,19.549999,19.67,900,17.672151
2015-07-17,19.700001,19.709999,19.360001,19.66,4200,17.663166
2015-07-16,19.940001,20.01,19.690001,19.719999,14300,17.717072
2015-07-15,19.90,19.98,19.530001,19.83,1900,17.8159
2015-07-14,19.709999,19.870001,19.58,19.870001,2300,17.851838
2015-07-13,19.60,19.75,19.49,19.66,4600,17.663166
2015-07-10,19.49,19.58,19.379999,19.559999,6900,17.573323
2015-07-09,19.59,19.59,19.00,19.49,5500,17.510433
2015-07-08,19.549999,19.60,19.40,19.540001,2100,17.555355
2015-07-07,19.549999,19.73,19.26,19.60,11700,17.609261
2015-07-06,19.60,19.60,19.32,19.540001,4300,17.555355
2015-07-02,19.41,19.60,19.41,19.549999,5100,17.564338
2015-07-01,19.530001,19.559999,19.43,19.559999,3300,17.573323
2015-06-30,19.700001,19.719999,19.51,19.540001,4400,17.555355
2015-06-29,19.51,19.74,19.50,19.65,7800,17.654182
2015-06-26,19.530001,19.65,19.50,19.65,1100,17.654182
2015-06-25,19.60,19.60,19.60,19.60,4400,17.609261
2015-06-24,19.540001,19.65,19.469999,19.60,6600,17.609261
2015-06-23,19.40,19.639999,19.35,19.639999,3700,17.645197
2015-06-22,19.42,19.549999,19.35,19.52,13700,17.537386
2015-06-19,19.48,19.48,19.48,19.48,200,17.501448
2015-06-18,19.49,19.50,19.200001,19.49,3800,17.510433
2015-06-17,19.459999,19.549999,19.26,19.49,2200,17.510433
2015-06-16,19.280001,19.66,19.110001,19.299999,5900,17.33973
2015-06-15,19.690001,19.690001,19.43,19.440001,6400,17.465512
2015-06-12,19.34,19.68,19.34,19.610001,2700,17.618245
2015-06-11,19.66,19.66,19.34,19.389999,8100,17.420589
2015-06-10,19.450001,19.74,19.35,19.700001,6100,17.699104
2015-06-09,19.73,19.73,19.40,19.450001,4900,17.474496
2015-06-08,19.73,19.73,19.530001,19.719999,3700,17.717072
2015-06-05,19.65,19.73,19.559999,19.73,2600,17.726056
2015-06-04,19.85,19.85,19.66,19.700001,2300,17.699104
2015-06-03,19.860001,19.860001,19.65,19.790001,5900,17.779963
2015-06-02,19.67,19.90,19.60,19.90,6800,17.87879
2015-06-01,19.799999,19.799999,19.52,19.73,12000,17.726056
2015-05-29,19.83,19.90,19.75,19.75,2500,17.744025
2015-05-28,19.75,19.809999,19.68,19.719999,7200,17.717072
2015-05-27,19.799999,19.950001,19.690001,19.940001,5500,17.914728
2015-05-26,19.84,19.950001,19.610001,19.860001,10500,17.842853
2015-05-22,19.709999,19.969999,19.709999,19.969999,4800,17.94168
2015-05-21,19.83,19.99,19.559999,19.76,7200,17.75301
2015-05-20,19.51,19.92,19.51,19.85,11300,17.833869
2015-05-19,19.809999,19.85,19.57,19.57,10000,17.582307
