Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,79.050003,79.050003,77.150002,77.260002,52700,76.910262
2015-12-30,80.010002,81.029999,79.489998,79.610001,43200,79.249623
2015-12-29,79.949997,80.910004,79.550003,80.190002,77400,79.826999
2015-12-28,79.220001,80.110001,78.599998,79.639999,56200,79.279486
2015-12-24,79.970001,81.099998,79.620003,79.690002,30100,79.329262
2015-12-23,79.510002,80.360001,78.099998,79.959999,74200,79.598037
2015-12-22,78.419998,79.449997,77.629997,79.209999,52400,78.851432
2015-12-21,77.599998,78.190002,76.75,78.059998,67800,77.706636
2015-12-18,77.25,78.919998,76.739998,76.910004,146100,76.561848
2015-12-17,79.739998,79.739998,77.629997,77.690002,68100,77.338316
2015-12-16,78.540001,79.790001,78.089996,79.620003,32500,79.259579
2015-12-15,78.559998,79.029999,77.519997,78.57,56300,78.214329
2015-12-14,77.790001,78.720001,76.970001,78.059998,63000,77.706636
2015-12-11,78.589996,79.00,77.580002,77.949997,52800,77.597133
2015-12-10,80.720001,80.720001,79.230003,79.910004,38800,79.548268
2015-12-09,81.010002,82.949997,80.360001,80.889999,76900,80.523827
2015-12-08,81.489998,81.910004,80.029999,80.809998,62400,80.444187
2015-12-07,83.50,83.50,81.970001,82.360001,58200,81.987174
2015-12-04,83.540001,83.790001,82.300003,83.470001,40400,83.09215
2015-12-03,85.389999,85.75,83.330002,83.559998,57100,83.181739
2015-12-02,85.18,85.989998,84.82,85.040001,49100,84.655042
2015-12-01,85.279999,85.830002,84.540001,85.400002,85800,85.013413
2015-11-30,85.059998,85.900002,84.230003,85.230003,98900,84.844185
2015-11-27,83.889999,84.900002,83.889999,84.550003,21700,84.167263
2015-11-25,83.889999,84.360001,83.50,84.089996,31400,83.709338
2015-11-24,82.879997,84.459999,82.699997,84.300003,36800,83.918394
2015-11-23,82.57,83.870003,82.57,83.309998,41100,82.93287
2015-11-20,84.190002,84.260002,82.449997,82.790001,41200,82.415228
2015-11-19,83.709999,84.949997,83.440002,83.580002,52600,83.201652
2015-11-18,81.50,84.07,81.139999,83.989998,76200,83.609792
2015-11-17,79.419998,81.519997,78.800003,81.059998,70100,80.693056
