Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.94,8.60,7.81,8.47,477600,8.202639
2015-12-30,8.13,8.25,7.88,7.99,490100,7.73779
2015-12-29,8.56,8.74,8.22,8.29,438200,8.028321
2015-12-28,8.68,8.79,8.32,8.43,905900,8.163902
2015-12-24,9.14,9.35,9.02,9.03,278900,8.425379
2015-12-23,7.95,9.29,7.92,9.05,1151900,8.44404
2015-12-22,7.10,8.19,7.10,7.74,941800,7.221753
2015-12-21,6.94,7.06,6.71,7.03,430300,6.559293
2015-12-18,7.12,7.35,6.78,6.92,770600,6.456658
2015-12-17,7.81,7.90,7.18,7.19,620600,6.70858
2015-12-16,7.61,7.93,7.53,7.84,567100,7.315058
2015-12-15,7.80,8.10,7.64,7.66,458600,7.14711
2015-12-14,8.46,8.58,7.57,7.64,1132200,7.128449
2015-12-11,9.04,9.09,8.41,8.57,420100,7.996179
2015-12-10,9.26,9.77,9.22,9.28,516200,8.658639
2015-12-09,9.09,10.07,8.98,9.44,783900,8.807926
2015-12-08,9.20,9.76,8.70,8.88,418400,8.285423
2015-12-07,10.36,10.45,8.87,9.43,890600,8.798596
2015-12-04,11.49,11.55,10.62,10.75,755300,10.030213
2015-12-03,12.14,12.29,11.61,11.71,285800,10.925934
2015-12-02,12.44,12.48,11.83,12.25,499200,11.429778
2015-12-01,12.38,13.05,11.81,12.50,506200,11.663038
2015-11-30,12.77,12.97,12.37,12.43,240800,11.597726
2015-11-27,12.23,12.79,12.23,12.65,223600,11.802994
2015-11-25,12.26,12.52,12.08,12.36,178500,11.532412
2015-11-24,12.30,12.64,12.20,12.35,282000,11.523082
2015-11-23,12.25,12.86,12.20,12.25,312700,11.429778
2015-11-20,12.47,12.54,12.17,12.33,187000,11.504421
2015-11-19,12.81,12.91,12.44,12.48,228900,11.644377
2015-11-18,12.63,12.90,12.44,12.77,280400,11.91496
2015-11-17,13.32,13.42,12.60,12.62,200200,11.775003
2015-11-16,13.49,13.77,13.20,13.35,237700,12.456125
2015-11-13,12.97,14.34,12.83,13.65,249300,12.736037
