Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.22,8.30,8.22,8.27,45300,8.039363
2015-12-30,8.31,8.31,8.25,8.29,41800,8.058805
2015-12-29,8.34,8.34,8.28,8.31,50000,8.078248
2015-12-28,8.26,8.29,8.21,8.23,53100,8.000478
2015-12-24,8.33,8.44,8.27,8.33,24300,8.097689
2015-12-23,8.30,8.34,8.30,8.32,25700,8.087968
2015-12-22,8.21,8.27,8.18,8.24,53300,8.010199
2015-12-21,8.19,8.24,8.19,8.23,53300,8.000478
2015-12-18,8.26,8.28,8.20,8.22,20400,7.990757
2015-12-17,8.26,8.26,8.20,8.26,39100,8.029642
2015-12-16,8.24,8.28,8.18,8.27,23400,8.039363
2015-12-15,8.08,8.19,8.08,8.17,39100,7.942152
2015-12-14,8.10,8.10,8.04,8.09,38100,7.864383
2015-12-11,8.21,8.21,8.10,8.12,24100,7.893546
2015-12-10,8.22,8.29,8.22,8.27,15400,8.039363
2015-12-09,8.26,8.33,8.23,8.24,93300,8.010199
2015-12-08,8.25,8.32,8.25,8.29,45800,8.058805
2015-12-07,8.36,8.36,8.26,8.30,40000,8.068526
2015-12-04,8.29,8.41,8.29,8.38,46900,8.146295
2015-12-03,8.41,8.41,8.29,8.31,66100,8.078248
2015-12-02,8.45,8.48,8.41,8.41,56000,8.175458
2015-12-01,8.48,8.51,8.44,8.51,81700,8.27267
2015-11-30,8.45,8.46,8.40,8.43,66600,8.194901
2015-11-27,8.44,8.45,8.41,8.45,23700,8.214343
2015-11-25,8.38,8.44,8.34,8.41,95700,8.175458
2015-11-24,8.41,8.44,8.36,8.41,41600,8.175458
2015-11-23,8.42,8.49,8.42,8.44,25300,8.204621
2015-11-20,8.40,8.44,8.38,8.40,75300,8.165737
2015-11-19,8.43,8.43,8.37,8.38,41400,8.146295
2015-11-18,8.35,8.43,8.31,8.42,39200,8.18518
2015-11-17,8.39,8.43,8.31,8.32,57200,8.087968
2015-11-16,8.36,8.43,8.32,8.38,47100,8.146295
2015-11-13,8.36,8.39,8.31,8.34,82200,8.107411
2015-11-12,8.52,8.52,8.33,8.40,68900,8.165737
2015-11-11,8.63,8.63,8.55,8.55,30400,8.311554
2015-11-10,8.62,8.67,8.58,8.61,71300,8.36988
2015-11-09,8.88,8.92,8.79,8.81,21700,8.36016
2015-11-06,8.92,8.92,8.86,8.89,15600,8.436075
2015-11-05,8.85,8.89,8.83,8.89,23800,8.436075
2015-11-04,8.95,8.96,8.84,8.84,30200,8.388628
2015-11-03,8.91,8.96,8.90,8.96,35300,8.502501
2015-11-02,8.86,8.91,8.83,8.89,44800,8.436075
2015-10-30,8.85,8.89,8.82,8.85,28500,8.398118
2015-10-29,8.81,8.82,8.74,8.79,22700,8.341181
2015-10-28,8.75,8.83,8.71,8.82,51600,8.369649
2015-10-27,8.78,8.79,8.72,8.75,35800,8.303223
2015-10-26,8.83,8.83,8.76,8.78,40000,8.331691
2015-10-23,8.80,8.85,8.78,8.81,17400,8.36016
2015-10-22,8.71,8.77,8.68,8.75,54500,8.303223
2015-10-21,8.74,8.74,8.71,8.72,15100,8.274755
2015-10-20,8.71,8.73,8.64,8.68,38800,8.236798
2015-10-19,8.58,8.69,8.58,8.69,37300,8.246286
2015-10-16,8.58,8.65,8.54,8.64,33700,8.19884
2015-10-15,8.52,8.58,8.49,8.58,53800,8.141903
2015-10-14,8.53,8.53,8.48,8.48,18500,8.047009
2015-10-13,8.49,8.58,8.49,8.49,21100,8.056499
2015-10-12,8.58,8.58,8.50,8.52,23400,8.084968
2015-10-09,8.52,8.58,8.50,8.58,40300,8.141903
2015-10-08,8.41,8.52,8.35,8.51,52500,8.075478
2015-10-07,8.41,8.45,8.36,8.40,55600,7.971094
2015-10-06,8.41,8.41,8.32,8.36,54800,7.933136
2015-10-05,8.29,8.39,8.28,8.39,280400,7.961605
2015-10-02,8.16,8.27,8.10,8.27,39700,7.847733
2015-10-01,8.21,8.23,8.12,8.19,47800,7.771817
2015-09-30,8.17,8.22,8.12,8.20,50400,7.781306
2015-09-29,8.15,8.18,8.08,8.12,75200,7.705391
2015-09-28,8.30,8.30,8.10,8.14,45500,7.72437
2015-09-25,8.40,8.45,8.28,8.28,36000,7.857221
2015-09-24,8.41,8.41,8.24,8.33,43100,7.904668
2015-09-23,8.41,8.49,8.39,8.42,16200,7.990073
2015-09-22,8.47,8.47,8.38,8.41,31900,7.980584
2015-09-21,8.55,8.66,8.50,8.53,33600,8.094456
2015-09-18,8.50,8.58,8.44,8.55,32100,8.113435
2015-09-17,8.51,8.60,8.49,8.56,17600,8.122925
2015-09-16,8.54,8.56,8.49,8.55,31300,8.113435
2015-09-15,8.52,8.54,8.50,8.53,12700,8.094456
2015-09-14,8.54,8.54,8.43,8.50,20600,8.065988
2015-09-11,8.46,8.53,8.43,8.52,44800,8.084968
2015-09-10,8.43,8.47,8.36,8.46,62100,8.028031
2015-09-09,8.53,8.53,8.39,8.42,365000,7.990073
2015-09-08,8.44,8.47,8.39,8.46,45200,8.028031
2015-09-04,8.35,8.35,8.31,8.35,29600,7.923648
2015-09-03,8.40,8.41,8.33,8.37,26300,7.942626
2015-09-02,8.37,8.39,8.31,8.37,41200,7.942626
2015-09-01,8.33,8.33,8.18,8.27,82600,7.847733
2015-08-31,8.40,8.44,8.34,8.41,41200,7.980584
