Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.49,7.49,7.43,7.43,8300,7.43
2015-12-30,7.54,7.62,7.46,7.50,26200,7.50
2015-12-29,7.64,7.69,7.62,7.62,14900,7.62
2015-12-28,7.55,7.63,7.55,7.62,5600,7.62
2015-12-24,7.56,7.59,7.56,7.57,1500,7.57
2015-12-23,7.47,7.55,7.47,7.55,8700,7.55
2015-12-22,7.43,7.47,7.07,7.44,19100,7.44
2015-12-21,7.56,7.57,7.14,7.28,19500,7.28
2015-12-18,7.50,7.65,7.50,7.57,7300,7.57
2015-12-17,7.73,7.75,7.45,7.60,12200,7.60
2015-12-16,7.57,7.72,7.47,7.72,18400,7.72
2015-12-15,7.50,7.63,7.47,7.62,14500,7.588
2015-12-14,7.51,7.74,7.40,7.42,13700,7.38884
2015-12-11,7.59,7.61,7.56,7.56,10100,7.528252
2015-12-10,7.88,7.88,7.81,7.81,2600,7.777202
2015-12-09,7.89,7.99,7.85,7.89,7600,7.856866
2015-12-08,7.78,7.79,7.66,7.76,5200,7.727412
2015-12-07,7.96,8.42,7.90,7.90,11000,7.866824
2015-12-04,7.92,7.92,7.85,7.91,1300,7.876782
2015-12-03,8.01,8.08,7.96,7.96,4400,7.926572
2015-12-02,7.91,7.96,7.91,7.92,13700,7.88674
2015-12-01,7.94,7.95,7.94,7.95,1700,7.916614
2015-11-30,7.92,7.96,7.87,7.89,26200,7.856866
2015-11-27,8.16,8.21,8.11,8.11,1700,8.075942
2015-11-25,8.29,8.29,8.16,8.21,8800,8.175522
2015-11-24,8.37,8.43,8.34,8.37,7000,8.33485
2015-11-23,8.41,8.41,8.35,8.35,4700,8.314935
2015-11-20,8.33,8.47,8.33,8.46,800,8.424472
2015-11-19,8.31,8.38,8.27,8.35,11600,8.314935
2015-11-18,8.20,8.29,8.20,8.24,6500,8.205396
2015-11-17,8.11,8.19,8.11,8.12,15000,8.0859
2015-11-16,7.98,8.14,7.98,8.13,11600,8.095858
2015-11-13,8.02,8.06,7.90,8.02,3300,7.98632
2015-11-12,8.09,8.17,8.05,8.15,12100,8.115774
2015-11-11,8.10,8.21,8.10,8.18,31200,8.145648
2015-11-10,8.11,8.16,8.02,8.11,29900,8.075942
2015-11-09,8.21,8.30,8.12,8.12,7400,8.0859
2015-11-06,8.31,8.38,8.30,8.38,4300,8.344808
2015-11-05,8.48,8.48,8.40,8.40,1500,8.364724
2015-11-04,8.56,8.57,8.44,8.44,7900,8.404556
2015-11-03,8.30,8.55,8.30,8.53,8900,8.494178
2015-11-02,8.37,8.37,8.29,8.31,2100,8.275103
2015-10-30,8.18,8.28,8.18,8.26,5400,8.225312
2015-10-29,8.35,8.35,8.22,8.22,9900,8.18548
2015-10-28,8.52,8.52,8.38,8.38,5400,8.344808
2015-10-27,8.45,8.45,8.42,8.42,600,8.38464
2015-10-26,8.45,8.48,8.41,8.42,4700,8.38464
