Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,36.380001,36.380001,35.099998,35.48,310100,35.48
2015-12-30,36.549999,36.549999,36.00,36.209999,73200,36.209999
2015-12-29,34.790001,36.849998,34.790001,36.09,221600,36.09
2015-12-28,35.139999,35.139999,34.25,34.759998,89400,34.759998
2015-12-24,33.290001,35.669998,33.290001,35.139999,74900,35.139999
2015-12-23,32.959999,33.32,32.630001,32.970001,82000,32.970001
2015-12-22,32.369999,32.889999,31.940001,32.650002,56200,32.650002
2015-12-21,32.34,32.950001,32.029999,32.830002,71500,32.830002
2015-12-18,32.91,33.119999,31.780001,31.98,166000,31.98
2015-12-17,33.240002,33.700001,32.950001,33.110001,53300,33.110001
2015-12-16,33.540001,33.560001,32.990002,33.209999,76100,33.209999
2015-12-15,33.740002,33.970001,33.23,33.380001,76400,33.380001
2015-12-14,33.68,34.279999,33.349998,33.689999,100000,33.689999
2015-12-11,34.400002,34.689999,33.549999,33.849998,77000,33.849998
2015-12-10,35.150002,35.299999,34.75,35.00,42000,35.00
2015-12-09,35.52,35.919998,35.119999,35.150002,43200,35.150002
2015-12-08,35.119999,35.720001,34.580002,35.52,41300,35.52
2015-12-07,36.189999,36.50,35.07,35.470001,113700,35.470001
2015-12-04,36.389999,37.130001,36.099998,36.740002,68500,36.740002
2015-12-03,37.00,37.490002,36.209999,36.209999,73100,36.209999
2015-12-02,37.66,38.099998,36.849998,37.130001,61000,37.130001
2015-12-01,36.50,37.720001,36.25,37.689999,71600,37.689999
2015-11-30,36.549999,36.790001,36.009998,36.419998,88500,36.419998
2015-11-27,36.369999,37.080002,36.150002,36.73,22000,36.73
2015-11-25,35.91,36.799999,35.91,36.509998,42000,36.509998
2015-11-24,35.360001,35.990002,35.009998,35.77,176500,35.77
2015-11-23,35.970001,36.07,35.209999,35.720001,85100,35.720001
2015-11-20,35.959999,36.439999,35.759998,35.990002,96400,35.990002
2015-11-19,35.450001,35.939999,34.509998,35.869999,55200,35.869999
2015-11-18,34.610001,35.799999,34.419998,35.470001,104800,35.470001
2015-11-17,35.41,35.630001,34.529999,34.619999,49500,34.619999
2015-11-16,35.040001,35.580002,34.860001,35.490002,41100,35.490002
2015-11-13,34.82,35.599998,34.740002,35.16,48500,35.16
2015-11-12,35.900002,35.900002,35.00,35.00,44300,35.00
2015-11-11,36.009998,36.150002,35.549999,36.00,43500,36.00
2015-11-10,35.23,36.150002,34.970001,36.00,84900,36.00
