Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,8.58,8.60,8.53,8.54,88400,8.375445
2015-12-30,8.55,8.60,8.54,8.55,135000,8.385252
2015-12-29,8.56,8.57,8.51,8.54,120900,8.375445
2015-12-28,8.52,8.57,8.50,8.57,144100,8.404867
2015-12-24,8.48,8.52,8.48,8.51,60200,8.346023
2015-12-23,8.44,8.50,8.42,8.48,87300,8.316601
2015-12-22,8.42,8.44,8.38,8.42,99800,8.257757
2015-12-21,8.46,8.47,8.41,8.42,92200,8.257757
2015-12-18,8.45,8.48,8.42,8.43,111300,8.267565
2015-12-17,8.40,8.47,8.37,8.43,158300,8.267565
2015-12-16,8.29,8.38,8.27,8.38,140500,8.218528
2015-12-15,8.27,8.28,8.25,8.28,52900,8.120454
2015-12-14,8.32,8.32,8.22,8.25,102700,8.091033
2015-12-11,8.35,8.36,8.28,8.31,87800,8.149877
2015-12-10,8.36,8.36,8.28,8.31,68200,8.149877
2015-12-09,8.37,8.37,8.32,8.35,135700,8.189106
2015-12-08,8.32,8.41,8.32,8.40,152800,8.195971
2015-12-07,8.32,8.37,8.32,8.32,143200,8.117914
2015-12-04,8.30,8.33,8.27,8.32,190100,8.117914
2015-12-03,8.44,8.44,8.28,8.30,164200,8.0984
2015-12-02,8.50,8.50,8.42,8.44,111200,8.234999
2015-12-01,8.43,8.50,8.43,8.50,184400,8.293542
2015-11-30,8.44,8.46,8.38,8.42,159200,8.215486
2015-11-27,8.41,8.42,8.38,8.42,39100,8.215486
2015-11-25,8.35,8.39,8.34,8.39,87200,8.186215
2015-11-24,8.33,8.36,8.30,8.33,114900,8.127671
2015-11-23,8.29,8.33,8.28,8.33,79100,8.127671
2015-11-20,8.33,8.35,8.22,8.28,216800,8.078886
2015-11-19,8.32,8.35,8.29,8.31,68100,8.108158
2015-11-18,8.34,8.35,8.28,8.30,84400,8.0984
2015-11-17,8.29,8.34,8.28,8.34,92700,8.137429
2015-11-16,8.28,8.33,8.27,8.30,53800,8.0984
2015-11-13,8.29,8.36,8.27,8.29,152300,8.088643
2015-11-12,8.26,8.32,8.23,8.29,142300,8.088643
2015-11-11,8.24,8.29,8.23,8.29,64200,8.046687
2015-11-10,8.23,8.26,8.19,8.24,131200,7.998154
2015-11-09,8.21,8.23,8.17,8.22,155300,7.978742
2015-11-06,8.32,8.35,8.21,8.23,174500,7.988448
2015-11-05,8.37,8.38,8.32,8.34,70200,8.09522
2015-11-04,8.36,8.38,8.32,8.37,225200,8.124339
2015-11-03,8.34,8.39,8.32,8.38,111000,8.134046
2015-11-02,8.34,8.38,8.33,8.34,126600,8.09522
2015-10-30,8.35,8.36,8.29,8.32,97500,8.075806
2015-10-29,8.26,8.33,8.26,8.33,59600,8.085513
2015-10-28,8.29,8.31,8.27,8.27,61500,8.027275
2015-10-27,8.30,8.31,8.23,8.29,121100,8.046687
2015-10-26,8.27,8.31,8.25,8.27,95000,8.027275
2015-10-23,8.31,8.32,8.25,8.28,109800,8.03698
2015-10-22,8.28,8.32,8.28,8.31,266900,8.066101
2015-10-21,8.30,8.32,8.28,8.29,66400,8.046687
2015-10-20,8.29,8.31,8.26,8.30,145800,8.056394
2015-10-19,8.31,8.31,8.25,8.27,82800,8.027275
2015-10-16,8.28,8.31,8.27,8.27,76500,8.027275
2015-10-15,8.28,8.30,8.25,8.26,64700,8.017568
