Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.15,7.36,7.09,7.25,401000,7.25
2015-12-30,7.30,7.47,7.09,7.18,398500,7.18
2015-12-29,7.23,7.42,7.00,7.38,664300,7.38
2015-12-28,7.74,7.74,7.05,7.13,571800,7.13
2015-12-24,7.79,7.92,7.56,7.85,327100,7.85
2015-12-23,7.82,8.18,7.71,7.74,847200,7.74
2015-12-22,7.45,7.85,7.19,7.76,464100,7.76
2015-12-21,7.16,7.50,6.94,7.43,888100,7.43
2015-12-18,6.20,7.19,6.07,7.17,1622100,7.17
2015-12-17,6.25,6.28,5.76,6.21,730200,6.21
2015-12-16,5.54,6.39,5.49,6.29,650800,6.29
2015-12-15,5.73,5.84,5.38,5.49,571300,5.49
2015-12-14,6.04,6.05,5.51,5.66,891300,5.66
2015-12-11,6.30,6.39,5.89,6.02,508800,6.02
2015-12-10,6.55,6.60,6.15,6.42,531800,6.42
2015-12-09,6.27,6.89,6.23,6.59,739100,6.59
2015-12-08,6.25,6.38,6.11,6.22,528200,6.22
2015-12-07,6.40,6.40,6.11,6.35,549600,6.35
2015-12-04,6.35,6.40,6.02,6.11,389600,6.11
2015-12-03,6.58,6.77,6.26,6.36,502400,6.36
2015-12-02,6.52,6.83,6.33,6.50,555700,6.50
2015-12-01,7.06,7.30,6.46,6.51,707000,6.51
2015-11-30,6.26,7.19,6.26,7.11,743800,7.11
2015-11-27,6.40,6.50,6.03,6.23,255400,6.23
2015-11-25,6.39,6.46,6.31,6.42,329200,6.42
2015-11-24,6.35,6.59,6.27,6.42,372900,6.42
2015-11-23,6.90,6.99,6.28,6.39,703300,6.39
2015-11-20,6.68,6.97,6.59,6.93,509500,6.93
2015-11-19,6.70,6.73,6.40,6.61,372300,6.61
2015-11-18,6.44,6.84,6.44,6.67,494900,6.67
2015-11-17,6.79,6.81,6.30,6.40,558700,6.40
2015-11-16,6.93,7.19,6.71,6.82,828400,6.82
2015-11-13,6.26,7.05,6.26,6.96,1262100,6.96
2015-11-12,6.98,7.06,6.21,6.24,1333300,6.24
2015-11-11,7.81,7.94,7.07,7.12,1089100,7.12
2015-11-10,7.35,8.22,7.07,7.76,2190400,7.76
2015-11-09,9.31,9.70,7.21,7.34,3349300,7.34
2015-11-06,13.66,13.66,5.50,9.08,10818200,9.08
2015-11-05,16.440001,16.469999,15.83,16.219999,363100,16.219999
2015-11-04,16.18,16.610001,16.01,16.469999,266100,16.469999
2015-11-03,15.83,16.48,15.81,16.190001,500800,16.190001
2015-11-02,15.64,15.95,15.43,15.81,376400,15.81
2015-10-30,15.58,15.76,15.29,15.65,218300,15.65
2015-10-29,15.73,16.10,15.40,15.56,266200,15.56
2015-10-28,15.00,16.08,14.99,15.65,308200,15.65
2015-10-27,15.29,15.45,14.81,15.03,225700,15.03
2015-10-26,16.27,16.40,15.14,15.36,320300,15.36
2015-10-23,16.25,16.50,16.040001,16.27,137500,16.27
2015-10-22,15.93,16.43,15.61,16.18,211200,16.18
2015-10-21,16.59,16.74,15.78,15.82,182400,15.82
2015-10-20,16.48,16.959999,16.309999,16.48,218300,16.48
2015-10-19,17.73,17.799999,16.34,16.549999,223700,16.549999
2015-10-16,17.809999,17.83,17.219999,17.75,212700,17.75
2015-10-15,17.809999,17.85,16.879999,17.709999,219900,17.709999
2015-10-14,17.51,17.91,17.15,17.809999,227700,17.809999
2015-10-13,17.34,17.93,17.17,17.60,182500,17.60
2015-10-12,18.00,18.10,17.379999,17.530001,177500,17.530001
2015-10-09,18.030001,18.23,17.780001,18.059999,243400,18.059999
2015-10-08,17.280001,18.01,17.10,17.91,247000,17.91
2015-10-07,16.90,17.610001,16.719999,17.25,377700,17.25
2015-10-06,17.23,17.610001,16.68,16.809999,405000,16.809999
2015-10-05,15.38,17.23,15.35,17.17,403000,17.17
