Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,24.370001,24.74,24.309999,24.42,445300,24.32173
2015-12-30,24.370001,24.469999,24.25,24.41,215700,24.31177
2015-12-29,24.23,24.530001,24.209999,24.450001,255800,24.35161
2015-12-28,24.08,24.18,23.77,24.139999,209500,24.042856
2015-12-24,24.26,24.40,23.98,24.26,117000,24.162374
2015-12-23,24.16,24.450001,23.969999,24.25,452900,24.152414
2015-12-22,24.27,24.27,23.75,24.040001,294600,23.94326
2015-12-21,23.77,24.219999,23.73,24.200001,352500,24.102616
2015-12-18,24.10,24.16,23.709999,23.73,945600,23.634507
2015-12-17,24.540001,24.540001,24.18,24.25,344000,24.152414
2015-12-16,24.200001,24.530001,24.040001,24.49,495600,24.391448
2015-12-15,24.24,24.48,24.00,24.110001,338800,24.012978
2015-12-14,24.540001,24.74,24.02,24.059999,333700,23.963178
2015-12-11,24.92,25.139999,24.42,24.60,406100,24.501006
2015-12-10,25.629999,26.00,25.18,25.290001,208600,25.18823
2015-12-09,26.41,26.530001,25.57,25.620001,276800,25.516902
2015-12-08,26.76,26.940001,26.440001,26.549999,133200,26.443158
2015-12-07,27.280001,27.290001,26.76,26.889999,172500,26.78179
2015-12-04,26.719999,27.690001,26.719999,27.379999,268700,27.269818
2015-12-03,27.389999,27.43,26.66,26.709999,315200,26.602514
2015-12-02,27.129999,27.370001,27.059999,27.26,279100,27.150302
2015-12-01,27.110001,27.23,26.77,27.209999,271900,27.100502
2015-11-30,27.35,27.389999,26.76,26.809999,289400,26.702112
2015-11-27,27.129999,27.42,27.01,27.32,128200,27.21006
2015-11-25,26.83,27.15,26.83,27.120001,214300,27.010866
2015-11-24,26.60,26.969999,26.370001,26.940001,318600,26.731992
2015-11-23,26.440001,26.879999,26.440001,26.790001,344800,26.58315
2015-11-20,26.309999,26.59,26.120001,26.540001,440500,26.335081
2015-11-19,25.950001,26.26,25.870001,26.15,411600,25.948091
2015-11-18,26.33,26.50,25.469999,26.049999,1476500,25.848862
2015-11-17,26.18,26.52,25.799999,25.969999,833300,25.76948
2015-11-16,25.639999,26.50,25.639999,26.08,849000,25.878631
2015-11-13,26.370001,26.700001,25.52,25.690001,502100,25.491643
2015-11-12,27.33,27.33,26.48,26.540001,451300,26.335081
2015-11-11,28.35,28.530001,27.299999,27.559999,394800,27.347204
2015-11-10,28.42,28.639999,28.09,28.290001,431100,28.071569
2015-11-09,28.75,28.75,28.00,28.440001,401900,28.22041
2015-11-06,28.91,28.98,28.49,28.75,206000,28.528016
2015-11-05,28.76,29.08,28.459999,28.99,282800,28.766163
2015-11-04,28.75,29.040001,28.57,28.68,174100,28.458557
2015-11-03,28.969999,28.969999,28.52,28.74,268700,28.518093
2015-11-02,28.690001,29.23,28.450001,28.959999,358600,28.736394
2015-10-30,28.620001,28.870001,28.35,28.549999,234900,28.329559
2015-10-29,28.700001,28.860001,28.459999,28.74,201400,28.518093
2015-10-28,28.51,28.969999,28.24,28.719999,360400,28.498247
