Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,6.19,6.24,6.12,6.18,1175600,6.18
2015-12-30,6.12,6.18,6.08,6.11,1110700,6.11
2015-12-29,6.15,6.22,6.10,6.22,1643600,6.22
2015-12-28,6.27,6.30,6.06,6.11,1490300,6.11
2015-12-24,6.42,6.52,6.40,6.41,662300,6.41
2015-12-23,6.34,6.47,6.25,6.47,4416500,6.47
2015-12-22,6.32,6.35,6.25,6.30,2691900,6.30
2015-12-21,6.33,6.42,6.26,6.31,1708900,6.31
2015-12-18,6.43,6.52,6.30,6.31,5444000,6.31
2015-12-17,6.69,6.76,6.34,6.38,2572400,6.38
2015-12-16,6.63,6.73,6.58,6.60,3013600,6.60
2015-12-15,6.55,6.74,6.50,6.56,3641200,6.56
2015-12-14,6.40,6.51,6.26,6.48,3352200,6.48
2015-12-11,6.64,6.66,6.37,6.37,2434600,6.37
2015-12-10,6.74,6.81,6.62,6.68,1650000,6.68
2015-12-09,6.70,6.94,6.59,6.60,2760100,6.60
2015-12-08,6.69,6.77,6.53,6.59,2170500,6.59
2015-12-07,6.98,7.02,6.65,6.68,1682200,6.68
2015-12-04,7.17,7.20,6.94,7.04,2248200,7.04
2015-12-03,6.98,7.37,6.97,7.33,2836800,7.33
2015-12-02,7.05,7.11,6.89,6.96,2412400,6.96
2015-12-01,7.05,7.14,6.95,7.05,2340600,7.05
2015-11-30,7.35,7.42,7.05,7.05,4003400,7.05
2015-11-27,7.56,7.56,7.28,7.29,1180100,7.29
2015-11-25,7.62,7.68,7.55,7.60,968700,7.60
2015-11-24,7.39,7.65,7.36,7.60,1973600,7.60
2015-11-23,7.74,7.78,7.65,7.67,1637300,7.67
2015-11-20,7.32,7.87,7.28,7.80,2539500,7.80
2015-11-19,7.29,7.37,7.28,7.37,2051400,7.37
2015-11-18,7.11,7.34,7.05,7.34,2320100,7.34
2015-11-17,6.85,7.14,6.80,7.02,4387800,7.02
2015-11-16,6.35,6.59,6.33,6.58,2705900,6.58
2015-11-13,6.28,6.29,6.10,6.16,1732300,6.16
2015-11-12,6.39,6.47,6.23,6.24,2843000,6.24
2015-11-11,6.60,6.79,6.33,6.38,1706400,6.38
2015-11-10,6.70,6.73,6.44,6.50,1667100,6.50
2015-11-09,6.90,6.91,6.75,6.78,1703100,6.78
2015-11-06,6.98,7.04,6.74,6.89,2084500,6.89
2015-11-05,7.04,7.21,6.90,7.18,2348400,7.18
2015-11-04,7.14,7.21,6.98,7.10,1408400,7.10
2015-11-03,7.24,7.30,7.12,7.13,1776900,7.13
2015-11-02,7.03,7.33,7.03,7.33,1225800,7.33
2015-10-30,6.92,7.09,6.89,7.03,3082100,7.03
2015-10-29,7.24,7.36,6.90,6.91,3504100,6.91
2015-10-28,7.10,7.42,7.10,7.31,2574100,7.31
2015-10-27,7.29,7.30,7.00,7.05,2187500,7.05
2015-10-26,7.53,7.54,7.36,7.36,2511200,7.36
2015-10-23,7.56,7.64,7.44,7.55,1575100,7.55
2015-10-22,7.50,7.65,7.40,7.42,1684500,7.42
