Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,19.299999,19.34,18.950001,18.969999,66900,18.854937
2015-12-30,19.450001,19.709999,19.200001,19.27,49200,19.153119
2015-12-29,19.639999,19.809999,19.190001,19.40,85200,19.282329
2015-12-28,19.360001,19.60,19.10,19.549999,61400,19.431419
2015-12-24,19.43,19.50,19.219999,19.379999,14200,19.26245
2015-12-23,19.52,19.57,19.26,19.389999,77800,19.27239
2015-12-22,19.370001,19.51,19.32,19.370001,55500,19.252512
2015-12-21,19.23,19.49,19.049999,19.360001,67300,19.242573
2015-12-18,19.139999,19.309999,19.02,19.15,375000,19.033846
2015-12-17,19.00,19.209999,18.690001,19.15,118700,19.033846
2015-12-16,19.98,19.98,19.440001,19.700001,46000,19.580511
2015-12-15,19.379999,19.620001,19.209999,19.559999,38200,19.441359
2015-12-14,19.02,19.219999,18.84,19.15,54300,19.033846
2015-12-11,18.879999,19.51,18.879999,18.959999,40800,18.844997
2015-12-10,19.540001,19.540001,19.23,19.309999,27600,19.192875
2015-12-09,19.629999,19.870001,19.299999,19.48,31300,19.361844
2015-12-08,19.60,19.82,19.459999,19.57,22800,19.451298
2015-12-07,20.059999,20.16,19.610001,19.709999,34000,19.590448
2015-12-04,20.17,20.43,19.93,20.110001,30600,19.988024
2015-12-03,20.09,20.34,20.02,20.15,40300,20.02778
2015-12-02,20.16,20.469999,20.059999,20.129999,21100,20.007901
2015-12-01,19.950001,20.25,19.90,20.200001,52600,20.077478
2015-11-30,20.18,20.18,19.879999,19.90,37700,19.779296
2015-11-27,20.10,20.16,19.67,20.049999,26900,19.928386
2015-11-25,20.23,20.33,20.00,20.129999,23100,20.007901
2015-11-24,20.48,20.51,20.16,20.280001,57500,20.156993
2015-11-23,20.549999,20.84,20.450001,20.52,24600,20.395537
2015-11-20,20.120001,20.57,20.07,20.51,50100,20.385597
2015-11-19,19.83,20.059999,19.68,19.99,33900,19.868751
2015-11-18,19.799999,19.950001,19.65,19.870001,25000,19.74948
2015-11-17,19.860001,19.950001,19.559999,19.809999,50100,19.689842
2015-11-16,20.139999,20.18,19.620001,19.870001,50600,19.74948
2015-11-13,20.32,20.59,20.16,20.209999,38000,20.087416
2015-11-12,20.219999,20.559999,19.92,20.50,76900,20.375657
2015-11-11,20.35,20.50,20.08,20.40,86200,20.276264
2015-11-10,20.24,20.76,20.17,20.25,40900,20.127174
