Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,47.080002,47.450001,46.549999,46.57,138500,46.031316
2015-12-30,47.450001,47.810001,47.130001,47.310001,147600,46.762758
2015-12-29,47.669998,48.040001,47.349998,47.48,165600,46.93079
2015-12-28,46.959999,47.599998,46.869999,47.470001,123300,46.920907
2015-12-24,46.93,47.34,46.75,47.060001,73200,46.51565
2015-12-23,47.150002,47.349998,46.740002,46.889999,179300,46.347615
2015-12-22,46.220001,47.119999,46.110001,46.939999,127800,46.397035
2015-12-21,45.790001,46.290001,45.509998,46.200001,173900,45.665597
2015-12-18,45.740002,46.16,45.119999,45.639999,1180000,45.112074
2015-12-17,46.299999,46.549999,45.73,45.970001,312100,45.438258
2015-12-16,47.759998,48.060001,46.09,46.330002,388000,45.794095
2015-12-15,48.450001,48.700001,47.560001,47.599998,272400,47.049401
2015-12-14,48.16,48.580002,48.049999,48.139999,150000,47.583156
2015-12-11,48.860001,48.98,48.119999,48.200001,188400,47.642463
2015-12-10,50.599998,51.029999,49.84,49.880001,112600,48.690201
2015-12-09,50.869999,51.310001,50.43,50.650002,133800,49.441835
2015-12-08,51.599998,51.77,51.02,51.09,100000,49.871338
2015-12-07,51.830002,52.360001,51.59,51.849998,98700,50.613208
2015-12-04,50.98,52.02,50.98,51.98,95600,50.740108
2015-12-03,51.610001,51.610001,50.599998,50.91,137600,49.695631
2015-12-02,51.990002,52.16,51.470001,51.560001,133300,50.330128
2015-12-01,51.84,52.16,51.790001,51.950001,97500,50.710825
2015-11-30,51.50,51.779999,51.330002,51.75,162100,50.515595
2015-11-27,50.950001,51.549999,50.889999,51.459999,77800,50.232511
2015-11-25,51.09,51.099998,50.689999,51.07,151300,49.851815
2015-11-24,50.810001,51.439999,50.689999,51.099998,225800,49.881098
2015-11-23,51.700001,51.700001,51.150002,51.200001,187200,49.978715
2015-11-20,51.380001,51.68,51.029999,51.66,172900,50.427741
2015-11-19,51.169998,51.52,50.970001,51.299999,135500,50.076328
2015-11-18,50.669998,51.169998,50.279999,51.150002,164700,49.929908
2015-11-17,50.630001,51.16,50.360001,50.41,200600,49.207558
2015-11-16,50.110001,50.73,49.66,50.599998,94700,49.393024
2015-11-13,50.330002,50.740002,49.900002,50.240002,110300,49.041615
2015-11-12,51.259998,51.59,50.310001,50.389999,109200,49.188035
2015-11-11,51.619999,52.009998,51.310001,51.470001,81000,50.242275
2015-11-10,51.060001,51.610001,51.040001,51.529999,117100,50.300841
2015-11-09,52.00,52.150002,51.150002,51.169998,133700,49.949428
2015-11-06,52.380001,52.82,51.759998,52.169998,99100,50.925575
2015-11-05,52.080002,52.41,51.68,52.259998,142000,51.013428
2015-11-04,52.029999,52.41,51.639999,52.119999,174100,50.876768
2015-11-03,52.049999,52.349998,51.310001,52.099998,198400,50.857245
2015-11-02,53.73,53.73,51.759998,51.93,303900,50.691301
2015-10-30,53.630001,54.18,53.43,54.009998,828400,52.721685
2015-10-29,53.50,53.959999,53.360001,53.740002,180400,52.458128
2015-10-28,52.84,53.91,52.759998,53.869999,201800,52.585025
2015-10-27,53.009998,53.139999,52.400002,52.790001,168200,51.530788
2015-10-26,53.009998,53.279999,52.990002,53.209999,160700,51.940768
2015-10-23,53.310001,53.52,52.689999,53.099998,95400,51.833391
2015-10-22,53.259998,53.68,52.91,53.139999,74100,51.872438
2015-10-21,53.240002,53.459999,52.740002,52.779999,62500,51.521025
2015-10-20,53.029999,53.200001,52.32,53.029999,79500,51.765061
2015-10-19,52.48,53.189999,52.48,52.990002,80900,51.726018
2015-10-16,52.900002,52.990002,52.439999,52.639999,72500,51.384365
2015-10-15,51.310001,52.889999,51.080002,52.849998,218400,51.589355
2015-10-14,51.939999,52.189999,51.09,51.169998,77400,49.949428
2015-10-13,51.790001,52.360001,51.619999,52.040001,94300,50.798678
2015-10-12,51.700001,52.220001,51.470001,52.02,66300,50.779155
2015-10-09,51.290001,51.700001,51.080002,51.650002,145800,50.417982
2015-10-08,50.689999,51.400002,50.599998,51.299999,185300,50.076328
2015-10-07,50.740002,51.439999,49.990002,50.779999,216400,49.568731
2015-10-06,50.25,50.619999,50.07,50.59,152600,49.383265
2015-10-05,49.560001,50.400002,49.560001,50.330002,187900,49.129468
2015-10-02,49.25,49.560001,48.509998,49.349998,139700,48.172841
2015-10-01,50.619999,50.619999,49.48,49.669998,175900,48.485208
2015-09-30,50.779999,51.34,50.130001,50.509998,148200,49.305171
2015-09-29,50.84,50.849998,50.00,50.50,151100,49.295411
2015-09-28,50.939999,51.16,50.580002,50.75,88800,49.539448
2015-09-25,51.68,52.330002,50.970001,51.150002,153900,49.929908
2015-09-24,50.970001,51.41,50.939999,51.349998,101600,50.125135
2015-09-23,51.529999,51.799999,51.189999,51.310001,113500,50.086091
2015-09-22,51.650002,51.990002,51.470001,51.509998,72400,50.281318
2015-09-21,52.07,52.700001,52.07,52.189999,91000,50.945098
2015-09-18,50.25,52.16,50.23,51.889999,463600,50.652255
2015-09-17,50.830002,51.07,50.599998,50.799999,257300,49.588255
2015-09-16,50.560001,50.970001,50.470001,50.900002,133700,49.685871
2015-09-15,50.57,50.889999,50.470001,50.639999,107200,49.432071
2015-09-14,50.400002,50.82,50.290001,50.529999,68300,49.324694
2015-09-11,49.939999,50.540001,49.689999,50.529999,96200,49.324694
2015-09-10,49.509998,50.389999,49.470001,50.110001,136100,48.914715
2015-09-09,49.50,49.84,49.34,49.610001,216100,48.426641
2015-09-08,49.029999,49.400002,48.790001,49.27,131400,48.094751
2015-09-04,49.439999,49.73,48.779999,49.16,151900,47.384118
2015-09-03,50.349998,50.549999,49.75,49.950001,179300,48.145581
2015-09-02,50.189999,50.549999,49.700001,50.279999,158300,48.463658
2015-09-01,50.509998,50.75,49.66,49.759998,175100,47.962442
2015-08-31,51.060001,51.369999,50.689999,50.860001,182500,49.022707
2015-08-28,51.759998,51.93,51.02,51.32,122800,49.466089
2015-08-27,51.98,52.299999,51.400002,52.02,186000,50.140803
2015-08-26,51.279999,51.48,50.459999,51.209999,151600,49.360062
2015-08-25,51.669998,51.669998,50.400002,50.52,288900,48.694989
2015-08-24,51.349998,51.380001,49.380001,50.790001,281100,48.955236
2015-08-21,53.509998,53.82,52.77,53.099998,134200,51.181786
2015-08-20,54.48,54.66,53.950001,54.009998,112800,52.058913
2015-08-19,54.77,55.459999,54.599998,55.00,113400,53.013151
2015-08-18,54.98,55.610001,54.849998,55.369999,77900,53.369784
2015-08-17,54.73,55.240002,54.02,55.119999,162700,53.128815
2015-08-14,54.02,55.029999,54.02,54.970001,89200,52.984236
2015-08-13,53.98,54.470001,53.689999,54.02,88000,52.068553
2015-08-12,54.169998,54.220001,53.450001,54.040001,88800,52.087831
2015-08-11,54.07,54.689999,53.98,54.529999,90300,52.560128
2015-08-10,54.98,55.389999,54.41,54.52,117300,52.550491
2015-08-07,54.59,54.860001,54.369999,54.700001,125300,52.723989
2015-08-06,55.290001,55.369999,54.439999,54.669998,111900,52.69507
2015-08-05,56.060001,56.279999,55.119999,55.200001,144600,53.205927
2015-08-04,55.389999,56.02,54.93,55.919998,195100,53.899915
2015-08-03,53.700001,56.080002,52.720001,55.490002,246400,53.485452
2015-07-31,56.700001,57.169998,56.290001,56.450001,720000,54.410771
2015-07-30,56.09,56.650002,55.939999,56.400002,186300,54.362578
2015-07-29,56.099998,56.650002,55.970001,56.16,202700,54.131246
2015-07-28,56.639999,56.740002,55.919998,56.07,204300,54.044497
2015-07-27,56.25,56.639999,55.849998,56.139999,143800,54.111968
2015-07-24,56.639999,56.700001,56.119999,56.310001,137500,54.275829
2015-07-23,56.650002,57.029999,56.290001,56.369999,103300,54.333659
2015-07-22,56.549999,56.810001,56.450001,56.549999,70100,54.507157
2015-07-21,56.720001,57.110001,56.290001,56.459999,143100,54.420408
2015-07-20,56.599998,56.889999,56.27,56.610001,108700,54.564991
2015-07-17,57.02,57.189999,56.529999,56.66,159600,54.613184
2015-07-16,56.950001,57.110001,56.540001,56.880001,94100,54.825238
2015-07-15,56.209999,56.720001,56.130001,56.689999,107500,54.642099
2015-07-14,56.240002,56.419998,56.049999,56.360001,85900,54.324022
2015-07-13,56.459999,56.709999,56.110001,56.43,87300,54.391493
2015-07-10,56.110001,56.27,55.77,56.029999,120000,54.005942
2015-07-09,56.779999,56.779999,55.43,55.689999,124500,53.678224
2015-07-08,56.18,56.48,55.919998,56.169998,185300,54.140884
2015-07-07,56.209999,56.560001,55.52,56.540001,171100,54.49752
2015-07-06,55.450001,56.169998,55.349998,56.07,289100,54.044497
2015-07-02,56.139999,56.48,55.66,55.790001,167500,53.774613
2015-07-01,56.939999,57.110001,56.029999,56.279999,218100,54.24691
2015-06-30,56.130001,56.150002,55.450001,55.650002,157300,53.639672
2015-06-29,56.400002,56.860001,55.619999,55.669998,119100,53.658946
2015-06-26,56.669998,56.93,56.360001,56.849998,183800,54.796319
2015-06-25,56.790001,56.869999,56.310001,56.52,124200,54.478242
2015-06-24,57.389999,57.459999,56.689999,56.73,125500,54.680655
2015-06-23,57.689999,57.740002,56.950001,57.369999,174600,55.297535
2015-06-22,57.259998,57.799999,56.900002,57.529999,234000,55.451755
2015-06-19,56.349998,57.34,56.169998,57.189999,452700,55.124037
2015-06-18,55.970001,56.599998,55.689999,56.400002,181500,54.362578
2015-06-17,55.939999,56.25,55.599998,55.759998,125500,53.745695
2015-06-16,55.200001,55.779999,55.040001,55.650002,223800,53.639672
2015-06-15,54.939999,55.299999,54.48,55.119999,158300,53.128815
2015-06-12,55.32,55.50,55.110001,55.25,134400,53.25412
2015-06-11,55.43,55.580002,55.169998,55.389999,376600,53.389062
2015-06-10,55.689999,55.759998,55.189999,55.330002,304200,53.331232
2015-06-09,55.529999,55.830002,55.049999,55.279999,272200,53.283035
2015-06-08,56.080002,56.709999,55.830002,56.150002,223200,53.525932
2015-06-05,56.209999,56.259998,55.779999,56.18,89300,53.554529
2015-06-04,56.200001,56.68,56.200001,56.299999,109800,53.66892
2015-06-03,55.799999,56.630001,55.66,56.50,89200,53.859574
2015-06-02,55.560001,55.990002,55.459999,55.700001,96200,53.096961
2015-06-01,56.00,56.380001,55.639999,55.689999,233000,53.087427
2015-05-29,56.119999,56.400002,55.400002,55.68,152400,53.077896
2015-05-28,55.740002,56.150002,55.439999,56.110001,89800,53.487801
2015-05-27,55.50,56.060001,55.07,55.970001,110700,53.354344
2015-05-26,54.630001,55.459999,54.59,55.41,260400,52.820513
2015-05-22,54.810001,55.150002,54.639999,54.790001,86100,52.229489
