Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,25.67,25.879999,25.52,25.530001,370200,25.230774
2015-12-30,25.93,26.08,25.690001,25.719999,318000,25.418546
2015-12-29,25.99,26.07,25.52,25.92,455700,25.616202
2015-12-28,25.85,25.93,25.41,25.790001,347500,25.487727
2015-12-24,25.77,26.16,25.77,25.940001,261000,25.635968
2015-12-23,25.75,25.860001,25.48,25.780001,499900,25.477844
2015-12-22,25.33,25.719999,24.98,25.68,779700,25.379015
2015-12-21,25.129999,25.530001,24.98,25.290001,762700,24.993587
2015-12-18,24.790001,24.99,24.360001,24.969999,4243600,24.677336
2015-12-17,25.77,25.790001,24.719999,24.879999,820600,24.588391
2015-12-16,25.24,25.799999,25.18,25.690001,980300,25.388898
2015-12-15,24.76,25.24,24.549999,25.18,1077800,24.884876
2015-12-14,24.90,24.969999,24.35,24.60,930600,24.311674
2015-12-11,24.90,25.02,24.700001,24.93,796000,24.637806
2015-12-10,24.84,25.34,24.719999,25.16,820300,24.86511
2015-12-09,25.25,25.450001,24.50,24.83,931400,24.538977
2015-12-08,25.48,25.719999,25.190001,25.43,1060100,25.131946
2015-12-07,26.139999,26.16,25.68,25.950001,557200,25.645851
2015-12-04,25.940001,26.379999,25.629999,26.24,499500,25.932451
2015-12-03,26.26,26.35,25.60,25.799999,786800,25.497608
2015-12-02,26.870001,26.969999,25.889999,26.16,643000,25.853389
2015-12-01,26.40,26.969999,26.299999,26.879999,522800,26.56495
2015-11-30,26.719999,26.799999,26.190001,26.23,702400,25.922568
2015-11-27,26.75,26.889999,26.620001,26.73,230600,26.416708
2015-11-25,26.59,26.85,26.530001,26.780001,399000,26.466123
2015-11-24,26.120001,26.620001,26.110001,26.59,442100,26.278349
2015-11-23,26.469999,26.68,26.209999,26.23,858000,25.922568
2015-11-20,26.49,26.65,26.34,26.469999,488200,26.159755
2015-11-19,26.15,26.52,26.139999,26.35,479700,26.041163
2015-11-18,25.67,26.200001,25.639999,26.17,523300,25.863272
2015-11-17,25.799999,26.110001,25.639999,25.74,663700,25.438312
2015-11-16,24.950001,25.709999,24.93,25.68,433000,25.379015
2015-11-13,25.27,25.610001,25.00,25.01,636800,24.716868
2015-11-12,25.84,25.84,25.24,25.27,441900,24.973821
2015-11-11,25.85,26.42,25.790001,26.129999,674800,25.82374
2015-11-10,25.120001,26.00,25.120001,25.82,732500,25.517374
2015-11-09,25.559999,25.559999,24.610001,25.059999,967000,24.766281
2015-11-06,25.540001,25.60,25.08,25.51,915400,25.211008
2015-11-05,25.870001,25.870001,25.15,25.68,1127000,25.379015
2015-11-04,26.02,26.41,25.780001,25.84,662000,25.53714
2015-11-03,25.92,26.25,25.59,25.99,365500,25.685381
2015-11-02,25.75,26.09,25.67,26.02,564300,25.71503
2015-10-30,25.77,26.26,25.51,25.99,665700,25.438312
2015-10-29,25.969999,26.030001,25.27,25.85,1020200,25.301284
2015-10-28,25.92,26.33,25.65,26.25,1257500,25.692793
2015-10-27,26.870001,26.92,25.74,26.07,1616200,25.516613
2015-10-26,27.76,28.129999,27.24,27.610001,991500,27.023925
2015-10-23,27.950001,28.219999,27.299999,27.76,695900,27.17074
2015-10-22,28.25,28.25,27.52,27.860001,606600,27.268618
2015-10-21,28.860001,28.93,28.309999,28.35,599500,27.748217
2015-10-20,28.09,28.84,27.959999,28.75,462300,28.139725
2015-10-19,27.809999,28.40,27.73,28.10,681000,27.503523
2015-10-16,27.58,27.940001,27.200001,27.91,538200,27.317556
2015-10-15,27.35,27.620001,26.969999,27.530001,613700,26.945623
2015-10-14,28.08,28.18,26.940001,27.219999,772500,26.642202
2015-10-13,27.98,28.889999,27.440001,28.09,1222000,27.493735
2015-10-12,27.75,27.790001,27.299999,27.690001,525800,27.102226
2015-10-09,28.209999,28.219999,27.59,27.719999,589900,27.131588
2015-10-08,28.059999,28.27,27.84,28.129999,760200,27.532885
2015-10-07,27.26,28.10,27.209999,28.08,785900,27.483947
2015-10-06,27.32,27.549999,26.950001,27.129999,734800,26.554112
2015-10-05,26.51,27.41,26.24,27.35,618500,26.769443
2015-10-02,26.030001,26.25,25.73,26.23,801700,25.673217
2015-10-01,26.23,26.559999,26.00,26.389999,912100,25.82982
2015-09-30,26.370001,26.41,25.879999,26.18,690100,25.624279
2015-09-29,26.52,26.690001,25.83,26.040001,838600,25.487251
2015-09-28,27.690001,27.809999,26.09,26.42,703300,25.859184
2015-09-25,27.82,28.200001,27.620001,27.809999,567600,27.219678
2015-09-24,27.07,27.58,26.76,27.52,615600,26.935835
2015-09-23,27.50,27.93,27.299999,27.35,541800,26.769443
2015-09-22,27.98,28.02,27.110001,27.440001,573600,26.857533
2015-09-21,28.98,29.25,28.15,28.299999,532100,27.699277
2015-09-18,28.469999,29.09,28.469999,28.75,1377300,28.139725
2015-09-17,28.809999,29.719999,28.809999,29.08,636500,28.46272
2015-09-16,28.73,28.92,28.48,28.879999,417400,28.266965
2015-09-15,28.66,28.82,28.48,28.700001,467700,28.090787
2015-09-14,28.799999,28.85,28.41,28.57,410300,27.963546
2015-09-11,28.280001,28.879999,28.26,28.780001,545700,28.169089
2015-09-10,28.33,28.540001,27.719999,28.290001,745900,27.689491
2015-09-09,29.33,29.379999,28.48,28.700001,410400,28.090787
2015-09-08,28.809999,29.17,28.719999,29.08,826300,28.46272
2015-09-04,28.32,28.799999,28.219999,28.370001,802500,27.767792
2015-09-03,28.35,28.959999,28.299999,28.700001,656100,28.090787
2015-09-02,27.790001,28.50,27.52,28.08,505600,27.483947
2015-09-01,27.93,28.35,27.40,27.52,522300,26.935835
2015-08-31,28.16,28.889999,28.08,28.49,657000,27.885244
2015-08-28,28.540001,28.860001,28.07,28.27,699400,27.669915
2015-08-27,28.34,28.700001,27.76,28.530001,847300,27.924396
2015-08-26,28.01,28.129999,27.129999,28.040001,879500,27.444797
2015-08-25,28.290001,28.68,27.26,27.290001,1377400,26.710718
2015-08-24,27.790001,28.68,24.02,27.959999,1216800,27.366494
2015-08-21,29.879999,30.129999,29.49,29.610001,642900,28.981471
2015-08-20,30.75,31.040001,30.26,30.280001,562200,29.637249
2015-08-19,30.85,31.209999,30.610001,31.07,533100,30.410479
2015-08-18,30.450001,31.15,30.41,31.01,1063700,30.351753
2015-08-17,29.67,30.389999,29.540001,30.18,837900,29.539371
2015-08-14,29.82,29.84,29.459999,29.77,671200,29.138074
2015-08-13,29.559999,30.15,29.450001,29.879999,677300,29.245738
2015-08-12,29.43,29.59,28.860001,29.52,528500,28.893381
2015-08-11,29.190001,29.530001,29.059999,29.48,658600,28.854229
2015-08-10,28.74,29.360001,28.719999,29.209999,1017700,28.58996
2015-08-07,28.309999,28.690001,28.24,28.60,665200,27.99291
2015-08-06,28.540001,28.73,28.08,28.41,1051100,27.806942
2015-08-05,28.99,28.99,28.17,28.360001,822000,27.758005
2015-08-04,29.42,29.440001,28.459999,28.889999,870100,28.276753
2015-08-03,29.559999,29.610001,29.00,29.440001,791900,28.815079
2015-07-31,29.690001,30.15,29.40,29.860001,639400,28.981471
2015-07-30,29.450001,29.690001,29.25,29.57,589600,28.700002
2015-07-29,29.129999,29.65,28.85,29.559999,611700,28.690296
2015-07-28,29.040001,29.33,28.74,29.139999,489100,28.282653
2015-07-27,28.76,29.09,28.60,28.940001,491800,28.088539
2015-07-24,29.620001,29.76,28.629999,28.93,1070600,28.078833
2015-07-23,30.27,30.32,29.41,29.620001,535100,28.748532
2015-07-22,29.610001,30.40,29.51,30.110001,866300,29.224115
2015-07-21,29.84,30.18,29.450001,29.700001,438200,28.826178
2015-07-20,30.02,30.120001,29.43,29.790001,547700,28.913531
2015-07-17,30.40,30.58,29.780001,30.00,759400,29.117351
2015-07-16,30.610001,30.610001,30.15,30.290001,707000,29.39882
2015-07-15,30.98,30.99,30.309999,30.540001,768600,29.641464
2015-07-14,30.790001,31.030001,30.58,30.940001,512300,30.029695
2015-07-13,31.16,31.23,30.59,30.83,670300,29.922931
2015-07-10,30.700001,31.139999,30.540001,31.049999,808200,30.136458
2015-07-09,30.559999,30.74,30.370001,30.52,765400,29.622052
2015-07-08,30.09,30.59,30.01,30.18,956400,29.292056
