Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,3.30,3.39,3.24,3.35,3728800,3.35
2015-12-30,3.37,3.44,3.27,3.32,2240300,3.32
2015-12-29,3.51,3.61,3.37,3.49,2092400,3.49
2015-12-28,3.51,3.51,3.36,3.43,2223600,3.43
2015-12-24,3.69,3.78,3.57,3.57,1281900,3.57
2015-12-23,3.61,3.70,3.56,3.70,2731700,3.70
2015-12-22,3.30,3.54,3.30,3.50,1461100,3.50
2015-12-21,3.29,3.35,3.18,3.31,2261400,3.31
2015-12-18,3.30,3.39,3.23,3.29,3501700,3.29
2015-12-17,3.51,3.54,3.25,3.29,2903400,3.29
2015-12-16,3.61,3.70,3.41,3.51,3040600,3.51
2015-12-15,3.52,3.67,3.50,3.64,2318300,3.64
2015-12-14,3.57,3.62,3.39,3.44,2809400,3.44
2015-12-11,3.79,3.80,3.61,3.62,2821600,3.62
2015-12-10,3.76,3.85,3.74,3.76,2881700,3.76
2015-12-09,3.80,3.85,3.72,3.75,4395600,3.75
2015-12-08,3.78,3.85,3.72,3.77,3976500,3.77
2015-12-07,3.90,3.94,3.74,3.85,3623700,3.85
2015-12-04,4.07,4.10,3.93,4.01,5118100,4.01
2015-12-03,4.26,4.34,4.11,4.12,4720000,4.12
2015-12-02,4.37,4.45,4.17,4.20,3334600,4.20
2015-12-01,4.44,4.49,4.35,4.39,2064000,4.39
2015-11-30,4.37,4.48,4.33,4.43,3408800,4.43
2015-11-27,4.49,4.53,4.28,4.30,1957100,4.30
2015-11-25,4.38,4.58,4.33,4.52,3799800,4.52
2015-11-24,4.39,4.52,4.38,4.45,3153400,4.45
2015-11-23,4.39,4.43,4.27,4.38,4920800,4.38
2015-11-20,4.64,4.66,4.26,4.37,6585100,4.37
2015-11-19,4.92,4.95,4.50,4.61,6560000,4.61
2015-11-18,4.92,5.06,4.82,4.97,6059500,4.97
2015-11-17,5.80,5.80,4.84,4.85,9482600,4.85
2015-11-16,5.63,5.94,5.61,5.91,4089200,5.91
2015-11-13,5.61,5.79,5.55,5.72,3299400,5.72
2015-11-12,5.80,5.94,5.60,5.65,6698500,5.65
2015-11-11,5.95,6.00,5.84,5.91,4652000,5.91
2015-11-10,5.80,5.98,5.49,5.94,11469000,5.94
2015-11-09,5.38,5.45,5.09,5.25,4101400,5.25
2015-11-06,5.30,5.49,5.23,5.39,3132600,5.39
2015-11-05,5.40,5.51,5.27,5.35,2128500,5.35
2015-11-04,5.52,5.61,5.29,5.47,4636500,5.47
2015-11-03,5.07,5.63,5.07,5.51,8072700,5.51
2015-11-02,4.56,5.06,4.56,5.06,2945700,5.06
2015-10-30,4.71,4.75,4.54,4.61,4294000,4.61
2015-10-29,4.75,4.96,4.66,4.66,3372600,4.66
2015-10-28,4.63,4.96,4.63,4.83,3047700,4.83
2015-10-27,4.91,4.93,4.53,4.57,4536300,4.57
2015-10-26,5.50,5.52,5.03,5.04,2455600,5.04
2015-10-23,5.48,5.58,5.36,5.53,2097900,5.53
2015-10-22,5.40,5.58,5.37,5.50,3200500,5.50
2015-10-21,5.35,5.41,5.30,5.33,2467500,5.33
2015-10-20,5.27,5.48,5.23,5.37,4215100,5.37
2015-10-19,5.33,5.42,5.17,5.27,2408300,5.27
2015-10-16,5.42,5.42,5.24,5.38,3792600,5.38
2015-10-15,5.14,5.41,5.09,5.40,4253900,5.40
2015-10-14,4.95,5.20,4.93,5.17,3144000,5.17
2015-10-13,5.04,5.23,4.95,4.95,3212400,4.95
2015-10-12,5.21,5.21,4.98,5.10,1550300,5.10
2015-10-09,5.09,5.24,5.00,5.22,3546600,5.22
2015-10-08,4.93,5.07,4.79,5.03,3297200,5.03
2015-10-07,4.97,5.09,4.75,4.93,3720700,4.93
2015-10-06,4.61,4.88,4.48,4.76,3991200,4.76
2015-10-05,4.50,4.81,4.49,4.71,3812500,4.71
2015-10-02,4.10,4.47,4.03,4.44,5063900,4.44
2015-10-01,4.41,4.66,4.21,4.27,2562000,4.27
2015-09-30,4.33,4.39,4.15,4.30,4537300,4.30
2015-09-29,4.35,4.50,4.21,4.28,2175600,4.28
2015-09-28,4.50,4.54,4.26,4.32,2304200,4.32
2015-09-25,4.85,4.90,4.55,4.59,2486400,4.59
2015-09-24,4.78,4.86,4.65,4.82,2652500,4.82
2015-09-23,4.79,4.85,4.68,4.77,2280700,4.77
2015-09-22,4.66,4.89,4.61,4.79,2122300,4.79
2015-09-21,4.84,4.92,4.76,4.78,2114500,4.78
2015-09-18,5.01,5.02,4.72,4.78,4171900,4.78
2015-09-17,5.07,5.28,4.87,5.12,5836000,5.12
2015-09-16,4.79,5.15,4.77,5.02,5313400,5.02
2015-09-15,4.59,4.85,4.54,4.72,2971000,4.72
2015-09-14,4.59,4.59,4.43,4.54,1641200,4.54
2015-09-11,4.65,4.74,4.47,4.65,2970500,4.65
2015-09-10,4.57,4.82,4.42,4.76,3750100,4.76
2015-09-09,4.81,4.88,4.50,4.54,2737000,4.54
2015-09-08,4.75,4.89,4.60,4.80,3374000,4.80
2015-09-04,4.71,4.79,4.66,4.69,1796400,4.69
2015-09-03,4.76,5.05,4.64,4.80,4025500,4.80
2015-09-02,4.98,5.06,4.63,4.74,4183900,4.74
2015-09-01,4.87,5.05,4.73,4.90,5652000,4.90
2015-08-31,4.59,5.15,4.41,5.08,5475200,5.08
2015-08-28,4.49,4.84,4.41,4.66,4823800,4.66
2015-08-27,3.88,4.56,3.86,4.52,10625200,4.52
2015-08-26,3.61,3.62,3.37,3.46,3356500,3.46
2015-08-25,3.55,3.55,3.37,3.50,3943800,3.50
2015-08-24,3.02,3.62,3.02,3.37,4537100,3.37
