Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,6.63,6.70,6.60,6.60,1907600,6.409798
2015-12-30,6.69,6.71,6.64,6.64,1187200,6.448646
2015-12-29,6.78,6.80,6.69,6.70,1496800,6.506916
2015-12-28,6.76,6.80,6.70,6.78,1137500,6.584611
2015-12-24,6.78,6.80,6.76,6.78,701000,6.584611
2015-12-23,6.79,6.83,6.76,6.79,1968400,6.594323
2015-12-22,6.87,7.03,6.86,6.99,1636800,6.594323
2015-12-21,6.88,6.89,6.80,6.86,1833900,6.471682
2015-12-18,6.86,6.89,6.81,6.83,4881500,6.44338
2015-12-17,6.75,6.86,6.74,6.86,2644800,6.471682
2015-12-16,6.54,6.75,6.52,6.73,4063300,6.34904
2015-12-15,6.46,6.61,6.17,6.52,5708000,6.150928
2015-12-14,6.69,6.72,6.45,6.48,3436700,6.113192
2015-12-11,6.79,6.82,6.66,6.70,3475300,6.320738
2015-12-10,6.80,6.85,6.79,6.83,1453100,6.44338
2015-12-09,6.75,6.85,6.75,6.80,3756800,6.415078
2015-12-08,6.78,6.85,6.73,6.79,4278800,6.405644
2015-12-07,6.89,6.89,6.80,6.80,1919500,6.415078
2015-12-04,6.88,6.94,6.85,6.89,2930200,6.499983
2015-12-03,6.81,6.88,6.80,6.87,3281000,6.481115
2015-12-02,6.95,6.95,6.83,6.83,2249800,6.44338
2015-12-01,7.00,7.05,6.94,6.96,1864400,6.566021
2015-11-30,7.00,7.03,6.96,6.98,2305900,6.584889
2015-11-27,6.87,6.99,6.87,6.99,665600,6.594323
2015-11-25,6.92,6.93,6.84,6.90,1676200,6.509417
2015-11-24,6.90,6.97,6.89,6.94,907700,6.547153
2015-11-23,6.89,6.94,6.87,6.93,1724300,6.537719
2015-11-20,6.90,6.93,6.86,6.89,1445100,6.499983
2015-11-19,6.92,6.96,6.88,6.88,1366100,6.49055
2015-11-18,6.82,6.91,6.81,6.91,1392500,6.518851
2015-11-17,6.86,6.91,6.81,6.83,1372500,6.44338
2015-11-16,6.84,6.90,6.83,6.88,1277900,6.49055
2015-11-13,6.86,6.91,6.82,6.86,1159900,6.471682
2015-11-12,6.92,6.94,6.86,6.87,1257700,6.481115
2015-11-11,6.92,6.95,6.89,6.92,984500,6.528285
2015-11-10,6.72,6.91,6.71,6.90,1998400,6.509417
2015-11-09,6.80,6.82,6.71,6.72,2225400,6.339606
2015-11-06,6.85,6.89,6.78,6.81,3063400,6.424512
2015-11-05,6.93,6.95,6.86,6.92,1871400,6.528285
2015-11-04,7.02,7.05,6.91,6.95,2184300,6.556587
2015-11-03,7.00,7.03,6.93,7.02,2782700,6.622625
2015-11-02,6.92,7.02,6.91,7.02,1964700,6.622625
2015-10-30,6.92,6.95,6.84,6.92,2140500,6.528285
2015-10-29,6.92,6.94,6.84,6.90,1391600,6.509417
2015-10-28,6.91,7.00,6.84,6.96,2562600,6.566021
2015-10-27,7.06,7.06,6.92,6.94,1935900,6.547153
2015-10-26,7.08,7.09,7.05,7.07,1443900,6.669795
2015-10-23,7.06,7.08,7.02,7.06,1315200,6.66036
2015-10-22,7.10,7.11,7.05,7.06,1486300,6.66036
2015-10-21,7.10,7.13,7.06,7.07,1297500,6.669795
2015-10-20,7.07,7.10,7.02,7.08,1284400,6.679228
2015-10-19,7.07,7.11,7.02,7.08,1101900,6.679228
2015-10-16,7.07,7.09,7.03,7.07,1057800,6.669795
2015-10-15,7.04,7.06,6.95,7.05,1865600,6.650927
2015-10-14,7.04,7.11,7.01,7.04,1496000,6.641493
2015-10-13,7.13,7.17,7.01,7.05,1709700,6.650927
2015-10-12,7.10,7.17,7.10,7.15,1040900,6.745266
2015-10-09,7.11,7.13,7.03,7.08,1513200,6.679228
2015-10-08,7.15,7.17,7.08,7.11,1586700,6.70753
2015-10-07,7.05,7.15,7.03,7.14,1411100,6.735832
2015-10-06,7.04,7.07,7.02,7.03,768300,6.632059
2015-10-05,6.90,7.04,6.90,7.03,1827800,6.632059
2015-10-02,6.85,6.98,6.80,6.89,3513800,6.499983
2015-10-01,6.80,6.86,6.76,6.84,1666800,6.452814
2015-09-30,6.80,6.82,6.67,6.81,2869700,6.424512
2015-09-29,6.80,6.86,6.75,6.78,2521200,6.39621
2015-09-28,7.00,7.01,6.77,6.80,2948600,6.415078
2015-09-25,7.12,7.12,7.02,7.03,3160100,6.632059
2015-09-24,7.28,7.37,7.26,7.31,4763200,6.70753
2015-09-23,7.26,7.33,7.25,7.31,2513600,6.70753
2015-09-22,7.21,7.26,7.19,7.23,1948700,6.634123
2015-09-21,7.15,7.29,7.14,7.26,2321700,6.661651
2015-09-18,7.11,7.24,7.11,7.17,6047900,6.579068
2015-09-17,7.03,7.22,7.00,7.17,2379900,6.579068
2015-09-16,7.05,7.06,7.00,7.04,2191100,6.459783
2015-09-15,7.09,7.09,7.01,7.05,1333800,6.468959
2015-09-14,7.12,7.12,7.04,7.09,1019500,6.505662
2015-09-11,6.99,7.12,6.99,7.11,1463300,6.524013
2015-09-10,6.96,7.03,6.95,7.02,3879100,6.441431
2015-09-09,7.05,7.06,6.98,6.99,1664900,6.413903
2015-09-08,7.03,7.06,7.00,7.02,1619500,6.441431
2015-09-04,7.00,7.03,6.92,6.97,1225600,6.395552
2015-09-03,7.07,7.12,7.03,7.05,938000,6.468959
2015-09-02,7.06,7.11,7.02,7.05,1458100,6.468959
2015-09-01,7.06,7.11,7.00,7.03,2472600,6.450607
2015-08-31,7.20,7.20,7.10,7.11,2069500,6.524013
2015-08-28,7.27,7.28,7.17,7.21,1907500,6.615772
2015-08-27,7.19,7.28,7.13,7.25,1980300,6.652475
2015-08-26,7.08,7.18,7.00,7.17,3600600,6.579068
2015-08-25,7.17,7.18,7.05,7.05,2534300,6.468959
2015-08-24,7.02,7.23,5.78,7.06,3724000,6.478134
2015-08-21,7.45,7.48,7.30,7.30,2100700,6.698354
2015-08-20,7.49,7.53,7.45,7.46,1917600,6.845167
2015-08-19,7.51,7.54,7.46,7.52,1777900,6.900222
2015-08-18,7.50,7.54,7.48,7.53,1033600,6.909398
2015-08-17,7.48,7.52,7.46,7.52,1294700,6.900222
2015-08-14,7.44,7.50,7.43,7.49,1017400,6.872695
2015-08-13,7.49,7.53,7.42,7.46,949600,6.845167
2015-08-12,7.44,7.51,7.36,7.48,1890500,6.863519
2015-08-11,7.36,7.50,7.35,7.43,2287000,6.81764
2015-08-10,7.35,7.40,7.33,7.37,2744700,6.762585
2015-08-07,7.41,7.45,7.35,7.35,3507900,6.744233
2015-08-06,7.46,7.47,7.37,7.41,2760800,6.799288
2015-08-05,7.46,7.50,7.42,7.47,2816700,6.854343
2015-08-04,7.47,7.50,7.45,7.49,1421700,6.872695
2015-08-03,7.53,7.54,7.45,7.52,2050600,6.900222
2015-07-31,7.51,7.60,7.49,7.53,2499200,6.909398
2015-07-30,7.48,7.50,7.44,7.47,1193800,6.854343
2015-07-29,7.40,7.50,7.40,7.49,1716800,6.872695
2015-07-28,7.41,7.46,7.38,7.41,2387000,6.799288
2015-07-27,7.38,7.46,7.38,7.39,2335800,6.780936
2015-07-24,7.48,7.52,7.40,7.42,1566500,6.808464
2015-07-23,7.56,7.57,7.46,7.48,1724200,6.863519
2015-07-22,7.58,7.63,7.57,7.57,947000,6.946102
2015-07-21,7.63,7.65,7.58,7.58,1226000,6.955277
2015-07-20,7.64,7.66,7.58,7.62,1438400,6.99198
2015-07-17,7.67,7.67,7.61,7.63,1329100,7.001156
2015-07-16,7.65,7.71,7.64,7.67,2299600,7.03786
2015-07-15,7.65,7.68,7.60,7.64,3034600,7.010332
2015-07-14,7.65,7.69,7.64,7.65,1542400,7.019508
2015-07-13,7.71,7.75,7.63,7.63,2523100,7.001156
2015-07-10,7.65,7.77,7.62,7.70,2148800,7.065387
2015-07-09,7.74,7.76,7.61,7.64,2992500,7.010332
2015-07-08,7.73,7.80,7.72,7.74,2471600,7.10209
