Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.45,14.53,14.43,14.53,100500,14.321088
2015-12-30,14.41,14.51,14.36,14.45,99000,14.242238
2015-12-29,14.36,14.44,14.35,14.41,70700,14.202814
2015-12-28,14.35,14.44,14.35,14.44,49100,14.232382
2015-12-24,14.37,14.41,14.37,14.41,18600,14.202814
2015-12-23,14.38,14.45,14.29,14.34,170900,14.13382
2015-12-22,14.35,14.42,14.35,14.38,47800,14.173245
2015-12-21,14.26,14.41,14.26,14.38,77800,14.173245
2015-12-18,14.26,14.31,14.25,14.28,152600,14.074683
2015-12-17,14.18,14.28,14.18,14.27,193400,14.064827
2015-12-16,14.06,14.22,14.06,14.22,105000,14.015546
2015-12-15,14.11,14.18,14.06,14.06,71400,13.857846
2015-12-14,14.28,14.30,14.06,14.06,79900,13.857846
2015-12-11,14.31,14.40,14.27,14.30,70300,14.094395
2015-12-10,14.36,14.36,14.27,14.29,23200,14.084539
2015-12-09,14.45,14.47,14.36,14.39,148500,14.112137
2015-12-08,14.30,14.45,14.30,14.45,79000,14.170978
2015-12-07,14.22,14.31,14.22,14.31,38600,14.033682
2015-12-04,14.23,14.30,14.20,14.21,52300,13.935613
2015-12-03,14.35,14.35,14.19,14.21,82600,13.935613
2015-12-02,14.33,14.41,14.31,14.35,70900,14.07291
2015-12-01,14.33,14.37,14.26,14.36,74400,14.082716
2015-11-30,14.25,14.34,14.23,14.30,88000,14.023875
2015-11-27,14.21,14.25,14.21,14.23,16300,13.955226
2015-11-25,14.19,14.26,14.19,14.23,26600,13.955226
2015-11-24,14.29,14.31,14.14,14.17,80000,13.896385
2015-11-23,14.16,14.29,14.15,14.29,42600,14.014068
2015-11-20,14.15,14.24,14.11,14.14,143100,13.866965
2015-11-19,14.25,14.27,14.17,14.20,89700,13.925805
2015-11-18,14.20,14.20,14.14,14.18,30900,13.906192
2015-11-17,14.19,14.21,14.16,14.21,46800,13.935613
2015-11-16,14.20,14.25,14.19,14.24,22500,13.965033
2015-11-13,14.20,14.24,14.13,14.21,32200,13.935613
2015-11-12,14.15,14.19,14.10,14.18,47900,13.906192
2015-11-11,14.14,14.21,14.09,14.17,49700,13.825775
2015-11-10,14.11,14.18,14.05,14.18,61600,13.835532
2015-11-09,14.15,14.17,14.03,14.13,103300,13.786747
2015-11-06,14.33,14.33,14.14,14.17,69300,13.825775
2015-11-05,14.43,14.43,14.32,14.38,49700,14.030674
2015-11-04,14.43,14.46,14.35,14.39,86500,14.040431
2015-11-03,14.51,14.51,14.41,14.45,60300,14.098973
2015-11-02,14.54,14.54,14.45,14.48,95900,14.128244
2015-10-30,14.49,14.56,14.43,14.54,93200,14.186787
2015-10-29,14.52,14.61,14.51,14.52,173800,14.167273
2015-10-28,14.45,14.50,14.42,14.48,95400,14.128244
2015-10-27,14.41,14.46,14.38,14.41,65500,14.059945
2015-10-26,14.32,14.43,14.32,14.43,57500,14.079459
2015-10-23,14.28,14.38,14.28,14.35,59700,14.001403
2015-10-22,14.33,14.37,14.29,14.30,58300,13.952617
2015-10-21,14.20,14.44,14.17,14.32,91900,13.972131
2015-10-20,14.18,14.24,14.17,14.18,46000,13.835532
2015-10-19,14.23,14.24,14.15,14.22,69100,13.874561
2015-10-16,14.25,14.25,14.19,14.24,43000,13.894074
2015-10-15,14.19,14.21,14.17,14.20,70400,13.855046
2015-10-14,14.19,14.25,14.15,14.25,71400,13.903831
2015-10-13,14.20,14.22,14.05,14.22,100700,13.874561
2015-10-12,14.22,14.28,14.21,14.25,69200,13.83358
2015-10-09,14.28,14.33,14.18,14.22,62800,13.804457
2015-10-08,14.21,14.31,14.20,14.31,64000,13.891827
2015-10-07,14.22,14.24,14.21,14.22,62400,13.804457
2015-10-06,14.23,14.29,14.20,14.27,67000,13.852996
2015-10-05,14.17,14.23,14.13,14.23,49900,13.814164
2015-10-02,14.13,14.17,14.12,14.14,66800,13.726795
2015-10-01,14.19,14.21,14.10,14.14,58100,13.726795
2015-09-30,14.22,14.24,14.13,14.13,73300,13.717087
2015-09-29,14.17,14.25,14.13,14.23,73900,13.814164
2015-09-28,14.14,14.21,14.10,14.13,66300,13.717087
2015-09-25,14.16,14.16,14.11,14.12,25700,13.707379
2015-09-24,14.17,14.21,14.10,14.12,86500,13.707379
2015-09-23,14.20,14.23,14.13,14.17,24100,13.755918
2015-09-22,14.07,14.19,14.07,14.16,33400,13.74621
2015-09-21,14.24,14.24,14.12,14.13,59700,13.717087
2015-09-18,14.00,14.23,14.00,14.18,70000,13.765626
2015-09-17,13.94,14.14,13.86,14.13,95200,13.717087
2015-09-16,13.89,13.96,13.84,13.87,123400,13.464685
2015-09-15,14.01,14.01,13.91,13.92,62200,13.513224
2015-09-14,14.05,14.07,13.98,14.03,43700,13.620009
2015-09-11,14.05,14.09,14.03,14.08,50700,13.668548
2015-09-10,14.17,14.21,14.09,14.13,69900,13.647192
2015-09-09,14.25,14.25,14.17,14.18,17400,13.695484
2015-09-08,14.25,14.25,14.16,14.17,38700,13.685825
2015-09-04,14.16,14.25,14.12,14.20,25900,13.7148
2015-09-03,14.14,14.16,14.08,14.16,38500,13.676167
2015-09-02,14.10,14.10,14.01,14.08,63100,13.5989
2015-09-01,14.06,14.10,13.99,14.10,64400,13.618217
2015-08-31,13.96,14.06,13.96,14.06,52600,13.579584
2015-08-28,13.95,14.01,13.88,13.99,51200,13.511975
2015-08-27,13.93,14.04,13.86,14.03,113500,13.550608
2015-08-26,14.08,14.08,13.83,13.96,137800,13.483001
2015-08-25,13.94,14.10,13.90,13.98,70500,13.502317
2015-08-24,13.87,13.94,13.83,13.94,109800,13.463683
2015-08-21,14.10,14.16,14.07,14.08,42300,13.5989
2015-08-20,14.03,14.16,14.03,14.13,60900,13.647192
2015-08-19,14.04,14.11,14.03,14.09,58900,13.608559
2015-08-18,14.10,14.13,14.04,14.07,79100,13.589242
2015-08-17,14.11,14.14,14.06,14.07,75500,13.589242
2015-08-14,14.10,14.11,14.06,14.11,52500,13.627875
2015-08-13,14.17,14.17,14.11,14.12,56000,13.637533
2015-08-12,14.23,14.27,14.17,14.19,72400,13.705141
2015-08-11,14.21,14.34,14.21,14.30,68700,13.741843
2015-08-10,14.23,14.26,14.16,14.20,49300,13.645746
2015-08-07,14.17,14.28,14.17,14.20,61800,13.645746
2015-08-06,14.05,14.22,14.01,14.17,45700,13.616917
2015-08-05,14.11,14.11,14.00,14.07,100000,13.52082
2015-08-04,14.20,14.30,14.07,14.07,91800,13.52082
2015-08-03,14.19,14.20,14.15,14.16,42300,13.607307
2015-07-31,14.13,14.21,14.11,14.14,75900,13.588088
2015-07-30,14.11,14.16,14.06,14.16,40600,13.607307
2015-07-29,14.12,14.14,14.02,14.11,69400,13.559258
2015-07-28,14.01,14.10,14.01,14.10,38800,13.549649
2015-07-27,14.08,14.12,14.00,14.03,71700,13.482381
