Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.11,13.20,13.06,13.06,68900,12.856589
2015-12-30,13.14,13.19,13.08,13.11,140700,12.905809
2015-12-29,13.10,13.19,13.10,13.14,43600,12.935343
2015-12-28,13.03,13.17,13.03,13.14,63800,12.935343
2015-12-24,13.01,13.11,12.92,13.05,75400,12.846744
2015-12-23,13.11,13.16,13.01,13.04,84200,12.8369
2015-12-22,13.06,13.12,12.98,13.11,84800,12.905809
2015-12-21,13.12,13.18,13.06,13.13,45000,12.925498
2015-12-18,13.08,13.16,13.00,13.13,70400,12.925498
2015-12-17,12.91,13.09,12.91,13.04,71300,12.8369
2015-12-16,12.80,12.95,12.80,12.92,95500,12.718769
2015-12-15,12.84,12.88,12.73,12.84,43100,12.640015
2015-12-14,12.93,12.98,12.71,12.78,142500,12.580949
2015-12-11,13.11,13.12,12.97,12.98,91700,12.777834
2015-12-10,13.06,13.12,13.00,13.08,48700,12.876277
2015-12-09,13.15,13.19,13.07,13.15,39100,12.876276
2015-12-08,13.17,13.18,13.06,13.15,47300,12.876276
2015-12-07,13.15,13.20,13.14,13.18,24100,12.905652
2015-12-04,13.13,13.19,13.13,13.18,30200,12.905652
2015-12-03,13.27,13.27,13.14,13.15,55000,12.876276
2015-12-02,13.33,13.33,13.25,13.28,35300,13.00357
2015-12-01,13.25,13.31,13.25,13.31,86400,13.032946
2015-11-30,13.21,13.25,13.18,13.22,76400,12.944819
2015-11-27,13.19,13.20,13.15,13.18,21800,12.905652
2015-11-25,12.97,13.19,12.97,13.19,50300,12.915443
2015-11-24,13.07,13.10,12.96,12.97,44500,12.700023
2015-11-23,12.98,13.06,12.95,13.02,37000,12.748983
2015-11-20,13.00,13.03,12.93,12.97,39500,12.700023
2015-11-19,12.96,13.03,12.95,12.95,29500,12.680439
2015-11-18,13.00,13.03,12.92,12.95,54200,12.680439
2015-11-17,13.16,13.20,13.02,13.03,26700,12.758774
2015-11-16,13.16,13.20,13.08,13.09,35300,12.817525
2015-11-13,13.10,13.24,13.08,13.20,41900,12.856693
2015-11-12,13.04,13.11,12.98,13.07,45100,12.730073
2015-11-11,13.00,13.07,12.97,13.02,50700,12.681375
2015-11-10,12.91,12.98,12.89,12.95,40700,12.613195
2015-11-09,13.00,13.00,12.87,12.92,72800,12.583975
2015-11-06,13.20,13.22,13.02,13.07,72000,12.730073
2015-11-05,13.28,13.30,13.23,13.25,40800,12.905392
2015-11-04,13.29,13.33,13.24,13.33,69600,12.983312
2015-11-03,13.23,13.30,13.18,13.29,39300,12.944352
2015-11-02,13.17,13.26,13.17,13.25,39000,12.905392
2015-10-30,13.11,13.17,13.08,13.14,96000,12.798254
2015-10-29,13.04,13.09,13.01,13.08,42500,12.739814
2015-10-28,13.02,13.05,13.01,13.04,84600,12.700854
2015-10-27,13.01,13.01,12.95,13.01,37300,12.671634
2015-10-26,13.02,13.03,12.94,12.96,53800,12.622935
2015-10-23,13.00,13.04,12.92,12.97,55500,12.632675
2015-10-22,12.92,13.01,12.92,12.99,35500,12.652154
2015-10-21,12.90,12.96,12.86,12.94,55600,12.603454
2015-10-20,12.87,12.90,12.87,12.90,65400,12.564495
2015-10-19,12.91,12.93,12.82,12.85,60400,12.515796
2015-10-16,12.93,12.93,12.88,12.92,49400,12.583975
2015-10-15,13.02,13.04,12.93,12.93,33400,12.593715
2015-10-14,12.99,13.07,12.97,12.99,47600,12.652154
2015-10-13,12.95,13.06,12.95,13.05,77800,12.642415
2015-10-12,12.90,13.05,12.89,12.98,27800,12.5746
2015-10-09,12.92,12.94,12.86,12.90,27500,12.497099
2015-10-08,12.90,12.94,12.86,12.91,14500,12.506787
2015-10-07,12.90,12.90,12.86,12.88,31000,12.477724
2015-10-06,12.86,12.89,12.85,12.89,48200,12.487412
2015-10-05,12.83,12.88,12.81,12.83,50400,12.429286
2015-10-02,12.77,12.85,12.77,12.82,40900,12.419598
2015-10-01,12.70,12.80,12.68,12.80,82400,12.400223
2015-09-30,12.63,12.71,12.52,12.70,135400,12.303346
2015-09-29,12.59,12.63,12.51,12.63,85400,12.235532
2015-09-28,12.58,12.65,12.53,12.57,64600,12.177406
2015-09-25,12.63,12.65,12.58,12.58,34800,12.187094
2015-09-24,12.58,12.65,12.58,12.63,47600,12.235532
2015-09-23,12.60,12.64,12.56,12.57,47200,12.177406
2015-09-22,12.60,12.65,12.55,12.56,87100,12.167719
2015-09-21,12.63,12.64,12.53,12.61,28600,12.216157
2015-09-18,12.46,12.64,12.44,12.55,79300,12.158031
2015-09-17,12.36,12.52,12.36,12.48,52200,12.090217
2015-09-16,12.32,12.42,12.32,12.37,36900,11.983653
2015-09-15,12.37,12.37,12.30,12.30,22200,11.915839
2015-09-14,12.46,12.48,12.41,12.45,35400,11.993341
2015-09-11,12.54,12.56,12.45,12.46,46100,12.002974
2015-09-10,12.50,12.59,12.48,12.52,56000,12.060774
2015-09-09,12.55,12.55,12.51,12.53,40900,12.070406
2015-09-08,12.50,12.60,12.40,12.53,124200,12.070406
2015-09-04,12.34,12.51,12.31,12.50,107300,12.041507
2015-09-03,12.30,12.34,12.26,12.34,73300,11.887376
2015-09-02,12.28,12.30,12.22,12.26,33000,11.81031
2015-09-01,12.24,12.29,12.20,12.28,79800,11.829576
2015-08-31,12.18,12.24,12.15,12.21,72000,11.762144
2015-08-28,12.12,12.15,12.05,12.13,81400,11.685078
2015-08-27,12.10,12.13,12.05,12.06,19100,11.617646
2015-08-26,12.10,12.13,12.04,12.04,34800,11.598379
2015-08-25,12.05,12.10,11.97,12.06,289200,11.617646
2015-08-24,12.20,12.20,12.05,12.09,91300,11.646546
2015-08-21,12.23,12.31,12.22,12.22,58000,11.771777
2015-08-20,12.32,12.35,12.23,12.23,43900,11.78141
2015-08-19,12.33,12.38,12.28,12.30,43400,11.848843
2015-08-18,12.37,12.37,12.31,12.31,30700,11.858476
2015-08-17,12.31,12.38,12.27,12.36,79700,11.906642
2015-08-14,12.27,12.36,12.25,12.32,55500,11.868109
2015-08-13,12.36,12.44,12.33,12.41,60300,11.887375
2015-08-12,12.25,12.37,12.25,12.34,112300,11.820323
2015-08-11,12.20,12.27,12.19,12.27,42200,11.753272
2015-08-10,12.17,12.21,12.17,12.18,41000,11.667062
2015-08-07,12.18,12.22,12.15,12.20,47000,11.686219
2015-08-06,12.19,12.19,12.16,12.17,48700,11.657483
2015-08-05,12.26,12.26,12.16,12.16,47100,11.647904
2015-08-04,12.23,12.28,12.17,12.24,112500,11.724534
2015-08-03,12.19,12.27,12.19,12.21,74700,11.695798
2015-07-31,12.11,12.17,12.09,12.16,62600,11.647904
2015-07-30,12.08,12.11,12.07,12.09,45300,11.580852
2015-07-29,12.11,12.11,11.98,12.04,92200,11.532957
2015-07-28,12.08,12.10,12.05,12.08,52700,11.571273
2015-07-27,12.07,12.10,12.05,12.05,65200,11.542536
2015-07-24,12.08,12.10,12.01,12.09,127100,11.580852
2015-07-23,12.03,12.07,11.97,12.04,67500,11.532957
2015-07-22,12.01,12.03,11.96,12.03,35400,11.523378
2015-07-21,12.01,12.01,11.95,11.99,77800,11.485063
2015-07-20,12.02,12.04,11.98,11.98,55300,11.475484
2015-07-17,11.98,12.03,11.97,12.00,31800,11.494642
2015-07-16,11.99,12.02,11.99,12.00,76200,11.494642
2015-07-15,11.99,12.02,11.99,11.99,55700,11.485063
2015-07-14,12.08,12.08,12.02,12.03,100600,11.456326
2015-07-13,12.06,12.10,12.03,12.09,50300,11.513465
2015-07-10,12.07,12.07,12.02,12.05,90000,11.475373
2015-07-09,12.10,12.10,12.05,12.07,38500,11.494418
2015-07-08,12.12,12.15,12.08,12.11,64700,11.532511
2015-07-07,12.06,12.14,12.06,12.12,102300,11.542034
2015-07-06,12.03,12.10,12.02,12.03,46200,11.456326
2015-07-02,12.11,12.11,12.03,12.04,96300,11.465849
2015-07-01,12.12,12.12,12.09,12.11,66200,11.532511
2015-06-30,12.17,12.21,12.02,12.12,115900,11.542034
2015-06-29,12.22,12.22,12.14,12.18,99500,11.599173
2015-06-26,12.25,12.29,12.22,12.22,50700,11.637266
2015-06-25,12.24,12.29,12.19,12.26,50000,11.675358
2015-06-24,12.23,12.28,12.20,12.22,49800,11.637266
2015-06-23,12.19,12.27,12.15,12.27,86600,11.684882
2015-06-22,12.30,12.34,12.27,12.28,91700,11.694404
2015-06-19,12.33,12.35,12.27,12.30,95400,11.713451
2015-06-18,12.35,12.35,12.27,12.31,45900,11.722974
2015-06-17,12.35,12.37,12.24,12.33,85600,11.74202
2015-06-16,12.16,12.35,12.11,12.34,148000,11.751543
2015-06-15,12.12,12.17,12.04,12.16,105800,11.580127
2015-06-12,12.15,12.22,12.06,12.09,167800,11.446803
2015-06-11,12.15,12.19,12.07,12.11,120300,11.465739
2015-06-10,12.14,12.26,12.11,12.17,130700,11.522547
2015-06-09,12.48,12.48,12.17,12.19,238000,11.541483
2015-06-08,12.72,12.73,12.46,12.51,260100,11.844459
2015-06-05,12.78,12.80,12.72,12.74,107000,12.062223
2015-06-04,12.86,12.89,12.82,12.84,31100,12.156903
2015-06-03,12.93,12.93,12.77,12.84,108300,12.156903
2015-06-02,12.90,12.97,12.87,12.93,98900,12.242115
2015-06-01,13.02,13.05,12.96,13.02,54500,12.327327
2015-05-29,12.95,13.04,12.91,13.00,68100,12.308391
2015-05-28,12.95,12.97,12.85,12.92,41400,12.232647
2015-05-27,12.95,12.98,12.81,12.94,124800,12.251582
2015-05-26,12.95,12.96,12.87,12.93,94500,12.242115
2015-05-22,13.07,13.07,12.91,12.94,53400,12.251582
2015-05-21,13.06,13.11,13.03,13.06,42400,12.365199
2015-05-20,13.01,13.08,12.93,13.03,121000,12.336794
2015-05-19,12.98,13.03,12.77,12.95,224200,12.26105
2015-05-18,13.32,13.34,12.98,13.03,153700,12.336794
2015-05-15,13.36,13.42,13.31,13.34,49200,12.630303
2015-05-14,13.31,13.49,13.27,13.41,85500,12.630302
2015-05-13,13.25,13.47,13.15,13.35,91900,12.573791
2015-05-12,13.13,13.25,13.11,13.23,72600,12.460767
2015-05-11,13.48,13.60,13.08,13.17,171400,12.404257
2015-05-08,13.27,13.55,13.19,13.46,176500,12.677395
2015-05-07,13.28,13.35,13.18,13.24,181900,12.470186
2015-05-06,13.30,13.31,13.05,13.28,349200,12.50786
2015-05-05,14.70,14.71,13.43,13.45,525600,12.667976
2015-05-04,14.73,14.74,14.64,14.70,46700,13.845297
2015-05-01,14.64,14.75,14.62,14.71,31100,13.854716
2015-04-30,14.65,14.75,14.60,14.75,49400,13.89239
2015-04-29,14.65,14.70,14.61,14.64,32100,13.788787
2015-04-28,14.61,14.70,14.56,14.69,54900,13.835879
2015-04-27,14.69,14.69,14.60,14.62,31200,13.769949
