Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,22.26,22.35,21.889999,21.92,226000,21.92
2015-12-30,22.27,22.48,22.23,22.379999,218900,22.379999
2015-12-29,22.190001,22.379999,21.950001,22.290001,223900,22.290001
2015-12-28,21.870001,22.120001,21.469999,22.120001,145600,22.120001
2015-12-24,21.84,22.15,21.84,21.90,48400,21.90
2015-12-23,21.950001,22.18,21.76,21.940001,99800,21.940001
2015-12-22,21.27,21.83,21.030001,21.780001,120200,21.780001
2015-12-21,20.90,21.67,20.889999,21.290001,150900,21.290001
2015-12-18,21.18,21.33,20.709999,20.950001,1380200,20.950001
2015-12-17,21.799999,21.860001,21.17,21.27,175500,21.27
2015-12-16,21.290001,21.93,21.24,21.790001,158300,21.790001
2015-12-15,21.030001,21.370001,20.879999,21.040001,177200,21.040001
2015-12-14,20.93,20.93,20.40,20.82,299400,20.82
2015-12-11,21.190001,21.41,21.00,21.02,175000,21.02
2015-12-10,21.40,21.57,21.26,21.41,178200,21.41
2015-12-09,21.639999,21.809999,21.25,21.389999,397400,21.389999
2015-12-08,22.059999,22.18,21.66,21.82,186500,21.82
2015-12-07,22.48,22.559999,22.23,22.379999,116100,22.379999
2015-12-04,22.32,22.780001,22.16,22.52,129500,22.52
2015-12-03,22.709999,22.75,22.16,22.209999,200000,22.209999
2015-12-02,23.870001,23.889999,22.469999,22.59,226600,22.59
2015-12-01,23.42,23.90,23.16,23.84,161500,23.84
2015-11-30,23.719999,23.77,23.25,23.360001,161600,23.360001
2015-11-27,23.809999,23.98,23.66,23.780001,81800,23.780001
2015-11-25,23.299999,23.790001,23.23,23.73,158700,23.73
2015-11-24,22.93,23.32,22.700001,23.25,171700,23.25
2015-11-23,22.709999,23.10,22.709999,23.040001,175300,23.040001
2015-11-20,22.709999,22.959999,22.43,22.690001,159400,22.690001
2015-11-19,22.530001,22.780001,22.40,22.549999,147400,22.549999
2015-11-18,22.23,22.709999,22.17,22.58,160800,22.58
2015-11-17,22.68,22.84,22.190001,22.309999,223500,22.309999
2015-11-16,21.969999,22.700001,21.969999,22.65,98300,22.65
2015-11-13,22.08,22.40,21.950001,22.049999,183600,22.049999
2015-11-12,22.959999,22.98,22.23,22.23,216600,22.23
2015-11-11,23.09,23.60,22.90,23.299999,140100,23.299999
2015-11-10,22.43,23.209999,22.16,23.07,175400,23.07
2015-11-09,22.780001,22.780001,22.23,22.33,416400,22.33
2015-11-06,22.700001,22.879999,22.370001,22.780001,248500,22.780001
