Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.67,1.70,1.65,1.67,282900,1.67
2015-12-30,1.70,1.70,1.67,1.67,279700,1.67
2015-12-29,1.69,1.72,1.66,1.68,293500,1.68
2015-12-28,1.69,1.76,1.68,1.69,172000,1.69
2015-12-24,1.74,1.80,1.68,1.70,131100,1.70
2015-12-23,1.70,1.75,1.69,1.74,583300,1.74
2015-12-22,1.73,1.74,1.67,1.70,329200,1.70
2015-12-21,1.80,1.84,1.73,1.75,497000,1.75
2015-12-18,1.78,1.85,1.77,1.80,380800,1.80
2015-12-17,1.79,1.83,1.76,1.79,292200,1.79
2015-12-16,1.76,1.79,1.74,1.78,115000,1.78
2015-12-15,1.70,1.79,1.65,1.75,136700,1.75
2015-12-14,1.67,1.77,1.63,1.71,237800,1.71
2015-12-11,1.73,1.81,1.68,1.70,306400,1.70
2015-12-10,1.86,1.86,1.75,1.79,367600,1.79
2015-12-09,1.80,1.90,1.76,1.86,427500,1.86
2015-12-08,1.67,1.85,1.67,1.82,303300,1.82
2015-12-07,1.68,1.71,1.58,1.69,337800,1.69
2015-12-04,1.74,1.76,1.70,1.70,307400,1.70
2015-12-03,1.73,1.79,1.71,1.72,240300,1.72
2015-12-02,1.76,1.77,1.70,1.72,200500,1.72
2015-12-01,1.85,1.89,1.73,1.77,213800,1.77
2015-11-30,1.88,1.89,1.82,1.84,157100,1.84
2015-11-27,1.85,1.88,1.82,1.84,23700,1.84
2015-11-25,1.87,1.90,1.82,1.87,215000,1.87
2015-11-24,1.98,2.00,1.85,1.88,226200,1.88
2015-11-23,1.85,2.05,1.82,1.99,408000,1.99
2015-11-20,1.79,1.90,1.76,1.86,287800,1.86
2015-11-19,1.83,1.86,1.76,1.78,272700,1.78
2015-11-18,1.67,1.81,1.67,1.78,449200,1.78
2015-11-17,1.84,1.90,1.63,1.65,695300,1.65
2015-11-16,1.85,1.94,1.80,1.85,226900,1.85
2015-11-13,1.90,1.93,1.81,1.88,363400,1.88
2015-11-12,1.99,2.00,1.90,1.91,482600,1.91
2015-11-11,2.15,2.15,1.98,2.00,333400,2.00
2015-11-10,2.25,2.25,2.07,2.09,454600,2.09
2015-11-09,2.35,2.49,2.26,2.27,475500,2.27
2015-11-06,2.16,2.45,2.13,2.39,986700,2.39
2015-11-05,2.12,2.15,2.06,2.14,236800,2.14
2015-11-04,2.15,2.17,2.06,2.09,224700,2.09
2015-11-03,2.09,2.21,2.07,2.12,458100,2.12
2015-11-02,2.20,2.24,2.05,2.09,295500,2.09
2015-10-30,2.30,2.30,2.10,2.15,539700,2.15
2015-10-29,2.35,2.39,2.24,2.27,322900,2.27
2015-10-28,2.40,2.46,2.31,2.39,247900,2.39
2015-10-27,2.33,2.41,2.29,2.36,216700,2.36
2015-10-26,2.37,2.44,2.29,2.34,169600,2.34
2015-10-23,2.35,2.41,2.28,2.38,144300,2.38
2015-10-22,2.33,2.37,2.26,2.31,178700,2.31
2015-10-21,2.38,2.39,2.31,2.31,136600,2.31
2015-10-20,2.37,2.42,2.30,2.38,195000,2.38
2015-10-19,2.40,2.48,2.37,2.39,225100,2.39
2015-10-16,2.32,2.45,2.26,2.44,325900,2.44
2015-10-15,2.19,2.37,2.19,2.32,366400,2.32
2015-10-14,2.23,2.28,2.20,2.20,322900,2.20
2015-10-13,2.38,2.40,2.24,2.24,259000,2.24
2015-10-12,2.47,2.56,2.37,2.38,265600,2.38
2015-10-09,2.46,2.54,2.41,2.47,234500,2.47
2015-10-08,2.50,2.52,2.46,2.50,329100,2.50
2015-10-07,2.51,2.58,2.45,2.50,269700,2.50
2015-10-06,2.37,2.63,2.37,2.53,326600,2.53
2015-10-05,2.24,2.39,2.21,2.39,290400,2.39
2015-10-02,2.14,2.29,2.11,2.27,255000,2.27
2015-10-01,2.19,2.25,2.12,2.16,433100,2.16
2015-09-30,2.24,2.28,2.15,2.21,146000,2.21
2015-09-29,2.26,2.31,2.20,2.23,185000,2.23
2015-09-28,2.31,2.33,2.26,2.28,214400,2.28
2015-09-25,2.44,2.47,2.30,2.33,334000,2.33
2015-09-24,2.41,2.45,2.33,2.45,309100,2.45
2015-09-23,2.38,2.52,2.38,2.46,287600,2.46
2015-09-22,2.40,2.47,2.38,2.41,274600,2.41
2015-09-21,2.44,2.47,2.40,2.47,190600,2.47
2015-09-18,2.41,2.47,2.40,2.43,513400,2.43
2015-09-17,2.51,2.52,2.38,2.44,224100,2.44
2015-09-16,2.33,2.49,2.32,2.48,309300,2.48
2015-09-15,2.26,2.37,2.26,2.36,163500,2.36
2015-09-14,2.25,2.34,2.22,2.29,341500,2.29
2015-09-11,2.30,2.30,2.17,2.26,485400,2.26
2015-09-10,2.32,2.46,2.23,2.34,363400,2.34
2015-09-09,2.50,2.52,2.32,2.35,571500,2.35
2015-09-08,2.47,2.57,2.47,2.51,439100,2.51
2015-09-04,2.50,2.56,2.43,2.46,471400,2.46
2015-09-03,2.49,2.64,2.44,2.56,357800,2.56
2015-09-02,2.57,2.65,2.48,2.51,401100,2.51
2015-09-01,2.71,2.81,2.53,2.59,502100,2.59
2015-08-31,2.84,2.86,2.76,2.78,189400,2.78
2015-08-28,2.77,2.89,2.76,2.84,260800,2.84
2015-08-27,2.82,2.97,2.76,2.80,621200,2.80
2015-08-26,2.57,2.83,2.52,2.79,708200,2.79
2015-08-25,2.51,2.59,2.40,2.51,576200,2.51
2015-08-24,2.35,2.55,2.35,2.43,495700,2.43
2015-08-21,2.25,2.50,2.25,2.45,573200,2.45
2015-08-20,2.41,2.47,2.29,2.29,573900,2.29
2015-08-19,2.45,2.50,2.41,2.46,330000,2.46
2015-08-18,2.51,2.52,2.30,2.48,460100,2.48
2015-08-17,2.51,2.62,2.48,2.54,445500,2.54
2015-08-14,2.48,2.58,2.43,2.55,282200,2.55
2015-08-13,2.53,2.60,2.40,2.42,380500,2.42
2015-08-12,2.44,2.58,2.38,2.53,652300,2.53
2015-08-11,2.50,2.56,2.45,2.49,825300,2.49
2015-08-10,2.38,2.63,2.38,2.58,717300,2.58
2015-08-07,2.02,2.36,1.90,2.36,1670500,2.36
2015-08-06,2.21,2.46,2.11,2.21,471200,2.21
2015-08-05,2.16,2.38,2.11,2.24,431900,2.24
2015-08-04,2.23,2.24,2.12,2.19,193900,2.19
2015-08-03,2.45,2.45,2.23,2.26,557100,2.26
2015-07-31,2.35,2.54,2.35,2.47,394600,2.47
2015-07-30,2.33,2.39,2.31,2.37,323300,2.37
2015-07-29,2.37,2.39,2.30,2.38,149900,2.38
2015-07-28,2.29,2.41,2.26,2.40,508400,2.40
2015-07-27,2.44,2.44,2.29,2.30,344600,2.30
2015-07-24,2.51,2.53,2.45,2.49,341200,2.49
2015-07-23,2.65,2.69,2.52,2.53,495700,2.53
2015-07-22,2.83,2.86,2.64,2.66,611500,2.66
2015-07-21,2.85,2.99,2.77,2.87,546700,2.87
2015-07-20,3.09,3.10,2.78,2.80,499900,2.80
2015-07-17,2.84,3.16,2.83,3.09,924600,3.09
2015-07-16,2.80,2.87,2.77,2.82,603000,2.82
2015-07-15,2.92,2.99,2.79,2.79,336700,2.79
2015-07-14,2.85,2.96,2.82,2.91,379600,2.91
2015-07-13,2.78,2.91,2.78,2.87,424600,2.87
2015-07-10,2.90,2.94,2.78,2.79,397900,2.79
