Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,22.16,22.58,21.76,21.780001,30000,21.59366
2015-12-30,21.969999,22.32,21.809999,22.26,23300,22.069553
2015-12-29,21.42,22.08,21.40,22.07,30200,21.881178
2015-12-28,21.860001,21.860001,21.15,21.34,18700,21.157424
2015-12-24,22.51,22.51,21.82,21.92,14300,21.732462
2015-12-23,21.52,22.24,21.52,22.16,15400,21.970408
2015-12-22,20.99,21.51,20.41,21.450001,21800,21.266483
2015-12-21,21.08,21.10,20.60,20.91,20500,20.731102
2015-12-18,20.799999,21.10,20.59,20.98,65500,20.800503
2015-12-17,20.549999,20.98,20.42,20.90,15100,20.721188
2015-12-16,20.360001,20.559999,20.00,20.440001,37400,20.265124
2015-12-15,20.40,20.66,20.02,20.129999,37200,19.957775
2015-12-14,20.540001,20.639999,19.93,20.33,25700,20.156065
2015-12-11,21.00,21.16,20.379999,20.610001,23700,20.43367
2015-12-10,21.40,21.43,21.129999,21.190001,9800,21.008708
2015-12-09,21.34,22.10,21.34,21.379999,16800,21.197081
2015-12-08,21.65,21.719999,21.35,21.40,14200,21.21691
2015-12-07,22.15,22.24,21.559999,21.84,30400,21.653146
2015-12-04,21.92,22.290001,21.809999,22.25,12500,22.059638
2015-12-03,22.290001,22.290001,21.67,21.91,34100,21.722547
2015-12-02,22.030001,22.34,21.959999,22.27,20200,21.920836
2015-12-01,22.00,22.200001,21.91,22.110001,14800,21.763344
2015-11-30,21.540001,22.110001,21.540001,21.950001,41700,21.605853
2015-11-27,21.65,21.67,21.290001,21.60,11500,21.26134
2015-11-25,21.76,22.08,21.370001,21.52,36600,21.182595
2015-11-24,21.82,22.10,21.459999,21.73,34400,21.389301
2015-11-23,22.15,22.34,21.77,21.85,12600,21.507421
2015-11-20,21.93,22.33,21.93,22.24,22000,21.891305
2015-11-19,21.719999,21.799999,21.540001,21.780001,13800,21.438519
2015-11-18,21.139999,22.049999,21.139999,21.99,15200,21.645225
2015-11-17,21.34,21.75,21.15,21.219999,14000,20.887297
2015-11-16,21.51,21.700001,21.290001,21.51,17100,21.172751
2015-11-13,21.459999,21.92,21.379999,21.67,15200,21.330243
2015-11-12,21.93,21.93,21.459999,21.65,15200,21.310556
2015-11-11,22.24,22.379999,21.90,22.00,11800,21.655069
2015-11-10,21.92,22.280001,21.84,22.209999,20100,21.861775
2015-11-09,22.60,22.60,21.68,22.059999,18900,21.714127
2015-11-06,21.709999,22.67,21.709999,22.65,18800,22.294877
2015-11-05,23.07,23.07,21.280001,21.68,123600,21.340086
2015-11-04,23.35,23.58,23.00,23.219999,20400,22.85594
2015-11-03,23.68,23.690001,23.110001,23.15,37800,22.787038
2015-11-02,22.809999,23.790001,22.809999,23.60,21500,23.229983
2015-10-30,23.10,23.25,22.639999,22.68,13900,22.324407
2015-10-29,23.35,23.65,22.549999,23.17,28700,22.806725
2015-10-28,23.459999,23.790001,22.57,23.540001,34400,23.170924
2015-10-27,23.27,23.52,22.860001,23.299999,70300,22.934685
2015-10-26,22.879999,23.33,22.60,23.24,32900,22.875627
2015-10-23,22.030001,22.940001,21.66,22.85,23700,22.491742
2015-10-22,21.360001,22.42,21.280001,21.92,39900,21.576323
2015-10-21,22.08,22.08,21.299999,21.32,20000,20.98573
2015-10-20,21.870001,22.219999,21.57,21.93,26600,21.586166
2015-10-19,22.059999,22.299999,21.780001,21.98,20000,21.635382
2015-10-16,22.85,22.90,21.620001,22.290001,32300,21.940523
2015-10-15,21.58,22.82,21.40,22.73,29700,22.373623
2015-10-14,22.17,22.17,21.290001,21.450001,19900,21.113693
2015-10-13,22.219999,22.84,22.02,22.02,38200,21.674755
2015-10-12,22.370001,22.370001,21.809999,22.200001,28100,21.851934
2015-10-09,22.84,23.16,22.129999,22.24,22700,21.891305
2015-10-08,22.030001,23.00,21.73,22.719999,58100,22.363779
2015-10-07,21.389999,22.35,21.27,21.91,32600,21.566479
2015-10-06,20.809999,21.50,20.809999,21.200001,19900,20.867612
2015-10-05,19.82,20.82,19.82,20.799999,32200,20.473882
2015-10-02,19.639999,19.75,19.370001,19.60,24300,19.292698
2015-10-01,19.780001,20.08,19.290001,19.879999,35100,19.568307
2015-09-30,19.780001,20.08,19.52,19.540001,35100,19.233639
2015-09-29,19.98,20.10,19.440001,19.68,26800,19.371443
2015-09-28,20.120001,20.34,19.75,19.85,40400,19.538778
2015-09-25,21.040001,21.15,20.17,20.219999,48600,19.902976
2015-09-24,21.620001,21.620001,20.889999,20.950001,40700,20.621532
2015-09-23,21.58,21.77,21.32,21.450001,26200,21.113693
2015-09-22,21.59,21.93,21.469999,21.629999,33500,21.290869
2015-09-21,21.719999,22.01,21.60,21.799999,37200,21.458204
2015-09-18,21.299999,21.68,21.27,21.610001,42000,21.271184
2015-09-17,21.190001,21.74,21.10,21.58,30100,21.241653
2015-09-16,20.940001,21.389999,20.700001,21.33,24300,20.995573
2015-09-15,20.860001,21.059999,20.620001,21.040001,21200,20.710121
2015-09-14,20.59,20.67,20.139999,20.66,32900,20.336078
2015-09-11,20.07,20.450001,19.82,20.41,30400,20.089998
2015-09-10,20.219999,20.43,20.049999,20.24,16000,19.922663
2015-09-09,20.02,20.35,19.940001,20.25,18200,19.775015
2015-09-08,19.969999,20.129999,19.780001,19.92,19700,19.452756
2015-09-04,19.620001,19.92,19.620001,19.75,14600,19.286743
2015-09-03,20.549999,20.549999,19.870001,19.940001,24300,19.472287
2015-09-02,20.709999,20.709999,20.219999,20.43,25100,19.950793
2015-09-01,21.33,21.549999,20.209999,20.469999,33600,19.989854
2015-08-31,20.860001,21.690001,20.860001,21.690001,33700,21.181239
2015-08-28,20.43,20.99,20.43,20.91,14300,20.419534
2015-08-27,20.309999,20.67,20.280001,20.52,21100,20.038683
2015-08-26,20.209999,20.23,19.780001,20.23,15600,19.755484
2015-08-25,20.50,20.50,19.59,19.75,28600,19.286743
2015-08-24,19.809999,20.24,19.17,19.950001,50000,19.482053
2015-08-21,20.66,21.209999,20.66,21.049999,47200,20.55625
2015-08-20,20.940001,21.299999,20.889999,21.040001,26500,20.546486
2015-08-19,20.950001,21.280001,20.73,21.040001,21200,20.546486
2015-08-18,21.280001,21.280001,20.85,21.15,20500,20.653904
2015-08-17,21.18,21.43,21.00,21.360001,19500,20.85898
2015-08-14,20.780001,21.280001,20.780001,21.200001,15000,20.702733
2015-08-13,21.219999,21.219999,20.709999,20.879999,13100,20.390237
2015-08-12,20.98,21.33,20.709999,21.27,29300,20.771091
2015-08-11,21.030001,21.24,20.709999,20.780001,31200,20.292584
2015-08-10,20.870001,21.25,20.60,21.16,25600,20.66367
2015-08-07,20.969999,20.969999,20.49,20.709999,43800,20.224225
2015-08-06,19.74,21.15,19.709999,21.09,80300,20.595312
2015-08-05,18.209999,18.26,18.049999,18.120001,25500,17.694977
2015-08-04,17.879999,18.02,17.610001,17.879999,24700,17.460605
2015-08-03,17.58,17.68,17.34,17.68,32200,17.265298
2015-07-31,17.41,17.780001,17.280001,17.51,71000,17.099285
2015-07-30,17.440001,17.610001,17.24,17.43,24800,17.021162
2015-07-29,17.50,17.610001,17.379999,17.379999,17200,16.972333
2015-07-28,17.73,17.73,17.00,17.33,30300,16.923507
2015-07-27,17.58,17.74,17.450001,17.57,25100,17.157877
2015-07-24,17.959999,17.99,17.58,17.629999,33700,17.216469
2015-07-23,18.129999,18.200001,17.85,17.870001,26100,17.450841
2015-07-22,18.40,18.559999,18.00,18.07,16200,17.646149
2015-07-21,18.120001,18.49,17.879999,18.379999,33800,17.948877
2015-07-20,18.030001,18.370001,17.860001,18.24,47500,17.812162
2015-07-17,17.90,18.120001,17.67,17.90,74700,17.480137
2015-07-16,18.41,18.66,17.77,17.82,102400,17.402013
2015-07-15,18.889999,18.92,18.35,18.41,27500,17.978174
2015-07-14,19.049999,19.049999,18.66,18.85,29500,18.407854
2015-07-13,19.18,19.57,19.01,19.09,37800,18.642224
2015-07-10,19.049999,19.52,18.879999,19.18,51400,18.730114
2015-07-09,18.969999,19.219999,18.860001,18.860001,20700,18.41762
2015-07-08,19.299999,19.299999,18.66,18.76,40100,18.319965
2015-07-07,19.290001,19.540001,19.01,19.459999,27400,19.003545
2015-07-06,19.25,19.52,19.10,19.379999,30000,18.925421
2015-07-02,19.40,19.559999,19.34,19.51,28300,19.052373
2015-07-01,20.07,20.07,19.309999,19.530001,25200,19.071904
2015-06-30,19.389999,19.98,19.389999,19.950001,21900,19.482053
2015-06-29,20.02,20.16,19.290001,19.41,54300,18.954718
2015-06-26,20.02,20.549999,19.93,20.48,74800,19.99962
2015-06-25,20.00,20.42,19.85,20.02,29400,19.550411
2015-06-24,20.120001,20.379999,19.959999,20.01,44200,19.540645
2015-06-23,19.82,20.27,19.74,20.23,15300,19.755484
2015-06-22,19.700001,20.09,19.700001,19.98,24400,19.511348
2015-06-19,19.969999,20.18,19.639999,19.65,55500,19.189088
2015-06-18,19.90,20.23,19.82,20.02,28900,19.550411
2015-06-17,19.92,20.35,19.75,19.91,26200,19.44299
2015-06-16,19.799999,19.879999,19.32,19.860001,41600,19.394164
2015-06-15,19.84,20.030001,19.530001,19.84,29900,19.374632
2015-06-12,20.059999,20.41,19.860001,19.940001,25300,19.472287
2015-06-11,20.530001,20.75,19.91,20.209999,40700,19.735953
2015-06-10,20.059999,20.889999,20.00,20.719999,41100,20.077743
2015-06-09,20.10,20.27,20.02,20.120001,12000,19.496343
