Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.18,14.25,14.16,14.18,62000,13.992177
2015-12-30,14.03,14.18,14.02,14.18,97100,13.992177
2015-12-29,14.07,14.12,14.02,14.04,110400,13.854031
2015-12-28,14.04,14.15,14.02,14.13,90000,13.942839
2015-12-24,14.02,14.08,14.02,14.07,18300,13.883634
2015-12-23,14.02,14.09,14.01,14.02,51800,13.834297
2015-12-22,14.08,14.08,14.01,14.04,71300,13.854031
2015-12-21,14.08,14.14,14.05,14.06,98700,13.873767
2015-12-18,14.04,14.15,14.03,14.08,81500,13.893501
2015-12-17,13.98,14.08,13.98,14.02,91800,13.834297
2015-12-16,13.97,14.03,13.91,13.97,88600,13.784959
2015-12-15,14.02,14.05,13.94,14.04,83500,13.789892
2015-12-14,14.15,14.15,13.95,14.04,69200,13.789892
2015-12-11,14.11,14.16,14.10,14.13,40900,13.878289
2015-12-10,14.23,14.25,14.07,14.08,62400,13.829179
2015-12-09,14.28,14.29,14.10,14.20,41600,13.947041
2015-12-08,14.08,14.34,14.07,14.24,92600,13.986329
2015-12-07,14.08,14.16,14.03,14.03,44300,13.78007
2015-12-04,14.07,14.18,14.07,14.09,58200,13.839001
2015-12-03,14.17,14.17,14.04,14.04,58800,13.789892
2015-12-02,14.24,14.24,14.16,14.18,41800,13.927398
2015-12-01,14.17,14.27,14.15,14.22,83400,13.966685
2015-11-30,14.24,14.24,14.08,14.12,88000,13.868466
2015-11-27,14.22,14.29,14.19,14.20,26100,13.947041
2015-11-25,14.18,14.27,14.17,14.25,54900,13.996151
2015-11-24,14.29,14.29,14.16,14.21,52500,13.956863
2015-11-23,14.21,14.30,14.19,14.26,46500,14.005973
2015-11-20,14.12,14.23,14.06,14.21,42400,13.956863
2015-11-19,14.07,14.15,14.01,14.14,53200,13.888111
2015-11-18,14.10,14.10,14.02,14.07,49300,13.819357
2015-11-17,14.19,14.21,14.07,14.16,52000,13.843912
2015-11-16,14.19,14.24,14.15,14.17,37000,13.853689
2015-11-13,14.18,14.29,14.08,14.21,51800,13.892796
2015-11-12,14.04,14.16,14.02,14.16,26000,13.843912
2015-11-11,13.98,14.06,13.95,14.03,34200,13.716814
2015-11-10,14.02,14.05,13.90,14.04,78800,13.726591
2015-11-09,14.11,14.11,13.95,13.99,82600,13.677707
2015-11-06,14.15,14.19,14.10,14.15,110500,13.834135
2015-11-05,14.19,14.25,14.14,14.21,34600,13.892796
2015-11-04,14.24,14.28,14.18,14.24,50000,13.922126
2015-11-03,14.32,14.32,14.24,14.25,49900,13.931903
2015-11-02,14.34,14.44,14.23,14.29,60100,13.97101
2015-10-30,14.40,14.41,14.24,14.30,81000,13.980787
2015-10-29,14.26,14.39,14.26,14.37,76700,14.049224
2015-10-28,14.20,14.36,14.20,14.30,85400,13.980787
2015-10-27,14.29,14.29,14.19,14.20,77900,13.883019
2015-10-26,14.20,14.27,14.16,14.24,46300,13.922126
2015-10-23,14.34,14.34,14.11,14.18,74200,13.863466
2015-10-22,14.31,14.34,14.17,14.21,71400,13.892796
2015-10-21,14.21,14.30,14.15,14.29,73500,13.97101
2015-10-20,14.17,14.24,14.12,14.23,45500,13.8488
2015-10-19,14.16,14.19,14.06,14.17,40400,13.790407
2015-10-16,14.07,14.21,14.07,14.14,30200,13.761211
2015-10-15,14.11,14.12,14.04,14.08,37100,13.702818
2015-10-14,14.02,14.22,14.00,14.11,75000,13.732014
2015-10-13,14.11,14.15,14.01,14.01,66600,13.634694
2015-10-12,14.10,14.23,14.07,14.21,41700,13.829336
2015-10-09,14.15,14.21,14.05,14.05,60200,13.673622
2015-10-08,14.10,14.20,14.06,14.14,51100,13.761211
2015-10-07,14.11,14.18,14.01,14.13,176000,13.751479
2015-10-06,14.05,14.22,14.04,14.09,120600,13.712551
2015-10-05,13.96,14.02,13.93,14.00,59400,13.624961
2015-10-02,13.95,13.97,13.91,13.93,84500,13.556837
2015-10-01,13.88,13.95,13.88,13.92,35800,13.547105
2015-09-30,13.88,13.90,13.85,13.87,55000,13.498444
2015-09-29,13.94,13.97,13.87,13.92,59400,13.547105
2015-09-28,14.04,14.05,13.88,13.91,49700,13.537372
2015-09-25,14.02,14.05,13.95,13.99,64200,13.615229
2015-09-24,14.12,14.12,13.96,14.00,49800,13.624961
2015-09-23,14.10,14.10,14.01,14.05,30400,13.673622
2015-09-22,13.87,14.09,13.87,14.09,72100,13.712551
2015-09-21,13.88,13.93,13.82,13.87,71400,13.498444
2015-09-18,13.86,13.98,13.78,13.83,75800,13.459515
2015-09-17,13.78,13.92,13.73,13.89,90100,13.517908
2015-09-16,13.86,13.88,13.69,13.76,112900,13.391391
2015-09-15,13.94,13.96,13.86,13.91,46500,13.474113
2015-09-14,14.00,14.04,13.97,14.01,47600,13.57098
2015-09-11,13.98,14.03,13.98,14.02,19000,13.580667
2015-09-10,14.03,14.04,13.95,14.00,26100,13.561293
2015-09-09,13.99,14.02,13.95,14.00,10900,13.561293
2015-09-08,13.95,14.00,13.88,14.00,43100,13.561293
