Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.67,14.67,14.52,14.54,16600,14.337237
2015-12-30,14.47,14.65,14.47,14.56,17900,14.356959
2015-12-29,14.42,14.51,14.42,14.45,14800,14.248492
2015-12-28,14.41,14.51,14.36,14.45,33500,14.248492
2015-12-24,14.34,14.42,14.34,14.40,18400,14.199189
2015-12-23,14.41,14.44,14.33,14.35,23600,14.149887
2015-12-22,14.37,14.40,14.28,14.40,16600,14.199189
2015-12-21,14.30,14.39,14.30,14.34,13900,14.140027
2015-12-18,14.30,14.36,14.30,14.34,6800,14.140027
2015-12-17,14.23,14.36,14.23,14.30,19100,14.100584
2015-12-16,14.24,14.24,14.11,14.22,30900,14.0217
2015-12-15,14.06,14.25,14.06,14.24,22100,14.041421
2015-12-14,14.14,14.19,14.05,14.09,14000,13.893513
2015-12-11,14.20,14.25,14.15,14.20,7800,14.001979
2015-12-10,14.05,14.17,14.03,14.17,10500,13.972397
2015-12-09,14.20,14.20,14.09,14.13,21600,13.86196
2015-12-08,14.16,14.20,14.15,14.19,8700,13.920821
2015-12-07,14.17,14.17,14.12,14.14,10200,13.87177
2015-12-04,14.08,14.17,14.08,14.17,22000,13.901201
2015-12-03,14.14,14.15,14.04,14.08,12800,13.812908
2015-12-02,14.21,14.22,14.10,14.17,16100,13.901201
2015-12-01,14.22,14.22,14.12,14.16,10200,13.89139
2015-11-30,14.08,14.12,14.02,14.11,8500,13.842339
2015-11-27,14.00,14.05,14.00,14.04,3600,13.773667
2015-11-25,14.02,14.03,13.97,13.97,5700,13.704995
2015-11-24,13.91,14.01,13.91,13.97,12800,13.704995
2015-11-23,14.02,14.04,13.67,13.93,24100,13.665754
2015-11-20,13.99,14.02,13.98,13.99,11900,13.724615
2015-11-19,14.00,14.00,13.95,13.96,18300,13.695184
2015-11-18,13.91,13.99,13.91,13.97,4200,13.704995
2015-11-17,13.91,14.00,13.86,13.93,17000,13.665754
2015-11-16,13.91,13.98,13.91,13.95,15200,13.685374
2015-11-13,13.95,13.98,13.89,13.96,10900,13.695184
2015-11-12,13.91,13.93,13.83,13.92,13300,13.655943
2015-11-11,13.78,13.95,13.78,13.94,11800,13.604929
2015-11-10,13.82,13.88,13.75,13.75,29000,13.419496
2015-11-09,13.84,13.92,13.75,13.92,53000,13.58541
2015-11-06,13.92,13.99,13.90,13.93,34800,13.59517
2015-11-05,13.94,14.08,13.94,14.03,33600,13.692766
2015-11-04,13.91,14.00,13.91,14.00,22500,13.663487
2015-11-03,13.94,13.98,13.92,13.96,17800,13.624448
2015-11-02,13.96,13.99,13.84,13.91,24500,13.57565
2015-10-30,13.84,13.94,13.78,13.89,21900,13.556131
2015-10-29,13.79,13.85,13.79,13.84,10200,13.507333
2015-10-28,13.84,13.88,13.75,13.84,19100,13.507333
2015-10-27,13.78,13.82,13.76,13.77,22400,13.439016
2015-10-26,13.78,13.84,13.76,13.82,23000,13.487813
2015-10-23,13.73,13.81,13.73,13.81,27800,13.478054
2015-10-22,13.78,13.82,13.78,13.80,35300,13.468294
2015-10-21,13.69,13.81,13.69,13.81,16400,13.478054
2015-10-20,13.68,13.77,13.66,13.72,20000,13.390217
2015-10-19,13.61,13.68,13.61,13.67,10500,13.341419
2015-10-16,13.64,13.70,13.62,13.66,13500,13.331659
2015-10-15,13.67,13.70,13.67,13.70,12500,13.370698
2015-10-14,13.67,13.70,13.64,13.69,9500,13.360938
2015-10-13,13.59,13.65,13.59,13.61,5900,13.282861
2015-10-12,13.63,13.67,13.63,13.66,10100,13.26139
2015-10-09,13.70,13.70,13.63,13.68,18000,13.280807
2015-10-08,13.66,13.70,13.66,13.70,30500,13.300223
2015-10-07,13.60,13.66,13.60,13.66,8800,13.26139
2015-10-06,13.62,13.66,13.59,13.59,10400,13.193433
2015-10-05,13.64,13.68,13.59,13.59,20200,13.193433
2015-10-02,13.62,13.70,13.62,13.69,24200,13.290514
2015-10-01,13.62,13.62,13.53,13.62,26600,13.222557
2015-09-30,13.54,13.59,13.50,13.57,16300,13.174016
2015-09-29,13.49,13.54,13.48,13.50,27100,13.106059
2015-09-28,13.54,13.58,13.46,13.48,21800,13.086642
2015-09-25,13.53,13.56,13.50,13.53,19800,13.135183
2015-09-24,13.50,13.54,13.50,13.52,6700,13.125476
2015-09-23,13.46,13.52,13.46,13.47,19100,13.076935
2015-09-22,13.45,13.50,13.38,13.49,70600,13.09635
2015-09-21,13.49,13.51,13.38,13.45,25300,13.057518
2015-09-18,13.44,13.54,13.43,13.49,13900,13.09635
2015-09-17,13.37,13.46,13.34,13.42,50800,13.028393
