Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,13.92,13.95,13.68,13.75,11300,13.75
2015-12-30,13.86,14.08,13.85,13.96,8700,13.96
2015-12-29,13.89,14.05,13.75,13.82,7100,13.82
2015-12-28,13.85,14.01,13.85,14.01,10800,13.74
2015-12-24,13.90,13.90,13.86,13.86,2300,13.59289
2015-12-23,14.01,14.06,13.80,13.88,3500,13.612505
2015-12-22,13.94,14.00,13.87,14.00,1400,13.730192
2015-12-21,13.88,14.00,13.75,14.00,15900,13.730192
2015-12-18,13.70,13.88,13.70,13.80,22300,13.534047
2015-12-17,13.49,13.89,13.48,13.60,17600,13.337902
2015-12-16,13.55,13.55,13.29,13.44,9000,13.180984
2015-12-15,13.10,13.28,13.07,13.27,7100,13.014261
2015-12-14,13.35,13.35,13.08,13.12,24600,12.867152
2015-12-11,13.70,13.70,13.31,13.37,15500,13.112334
2015-12-10,13.69,13.83,13.64,13.65,18600,13.386937
2015-12-09,13.72,13.89,13.72,13.75,10000,13.48501
2015-12-08,13.67,13.83,13.67,13.69,1600,13.426166
2015-12-07,13.89,13.89,13.67,13.70,9000,13.435974
2015-12-04,13.64,13.77,13.64,13.65,7200,13.386937
2015-12-03,13.74,13.79,13.62,13.67,22600,13.406552
2015-12-02,13.89,13.94,13.77,13.78,18200,13.514432
2015-12-01,13.89,13.89,13.64,13.69,16700,13.426166
2015-11-30,14.02,14.03,13.85,13.91,8600,13.641927
2015-11-27,14.18,14.27,13.92,14.03,9700,13.759614
2015-11-25,13.75,14.15,13.75,14.00,10300,13.730192
2015-11-24,14.21,14.24,13.75,13.76,17200,13.494818
2015-11-23,14.18,14.21,14.06,14.08,12800,13.808651
2015-11-20,14.40,14.43,13.98,14.15,31000,13.877301
2015-11-19,14.54,14.54,14.21,14.45,26200,14.17152
2015-11-18,14.30,14.53,14.26,14.53,16100,14.249978
2015-11-17,14.26,14.31,14.14,14.31,20000,14.034219
2015-11-16,14.44,14.53,14.26,14.26,44400,13.985182
2015-11-13,14.43,14.43,14.20,14.33,36200,14.053833
2015-11-12,14.03,14.37,13.87,14.32,15100,14.044025
2015-11-11,13.84,14.02,13.84,14.01,5300,13.74
2015-11-10,13.68,14.04,13.62,13.95,32300,13.681156
2015-11-09,13.62,13.70,13.60,13.63,14000,13.367323
2015-11-06,13.50,13.62,13.44,13.55,6700,13.288865
2015-11-05,13.51,13.63,13.51,13.63,4000,13.367323
2015-11-04,13.64,13.69,13.34,13.57,20000,13.308479
2015-11-03,13.57,13.69,13.57,13.62,21300,13.357516
2015-11-02,13.50,13.56,13.41,13.55,9800,13.288865
2015-10-30,13.70,13.70,13.46,13.65,17200,13.122141
2015-10-29,13.65,13.72,13.60,13.70,19600,13.170208
2015-10-28,13.45,13.57,13.45,13.56,27100,13.035622
2015-10-27,13.35,13.44,13.33,13.44,6800,12.920262
2015-10-26,13.36,13.45,13.32,13.32,10800,12.804903
2015-10-23,13.33,13.45,13.31,13.37,8300,12.852969
2015-10-22,13.23,13.47,13.23,13.38,20000,12.862583
2015-10-21,13.17,13.24,13.17,13.20,6100,12.689543
2015-10-20,13.23,13.29,13.22,13.26,7600,12.747223
2015-10-19,13.37,13.40,13.22,13.26,17300,12.747223
2015-10-16,13.39,13.39,13.38,13.38,2000,12.862583
2015-10-15,13.42,13.45,13.35,13.41,10500,12.891422
2015-10-14,13.31,13.45,13.31,13.41,8400,12.891422
2015-10-13,13.39,13.41,13.31,13.31,9400,12.79529
2015-10-12,13.36,13.42,13.36,13.42,5800,12.901036
2015-10-09,13.41,13.41,13.32,13.34,9600,12.82413
2015-10-08,13.37,13.41,13.33,13.41,17600,12.891422
2015-10-07,13.20,13.24,13.19,13.23,7200,12.718383
2015-10-06,13.16,13.20,13.16,13.20,7400,12.689543
2015-10-05,13.18,13.20,13.17,13.20,8000,12.689543
2015-10-02,13.24,13.24,13.14,13.19,5900,12.67993
2015-10-01,13.19,13.19,13.10,13.14,7500,12.631864
2015-09-30,13.24,13.24,13.15,13.20,7900,12.689543
2015-09-29,13.15,13.31,13.15,13.17,9600,12.660704
2015-09-28,13.15,13.15,13.10,13.14,12200,12.631864
2015-09-25,13.37,13.37,13.15,13.23,6400,12.718383
