Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,12.33,12.66,12.22,12.59,10141000,12.500836
2015-12-30,12.73,13.07,12.35,12.38,9897900,12.292323
2015-12-29,13.35,13.44,12.76,13.03,8141900,12.937719
2015-12-28,13.53,13.57,12.82,12.98,9519500,12.888073
2015-12-24,13.98,14.11,13.59,13.93,5709500,13.831346
2015-12-23,13.07,13.97,12.99,13.96,14590100,13.861133
2015-12-22,12.54,12.88,12.45,12.69,9509700,12.600127
2015-12-21,12.54,12.77,12.11,12.52,13683700,12.431332
2015-12-18,12.78,12.99,12.40,12.47,27418600,12.381686
2015-12-17,13.79,13.97,12.65,12.78,18589200,12.68949
2015-12-16,14.47,14.48,13.48,13.78,15943200,13.682408
2015-12-15,14.27,14.50,13.93,14.46,12914000,14.357592
2015-12-14,14.16,14.23,13.41,13.96,14612600,13.861133
2015-12-11,14.38,14.50,14.10,14.34,11234100,14.238442
2015-12-10,14.43,14.96,14.26,14.74,10257700,14.635609
2015-12-09,14.89,15.44,14.41,14.50,15728700,14.397309
2015-12-08,14.25,14.98,14.07,14.92,18275100,14.814334
2015-12-07,15.54,15.54,14.68,14.78,15175300,14.675325
2015-12-04,16.219999,16.379999,15.70,16.120001,10742400,16.005836
2015-12-03,16.85,16.93,16.290001,16.549999,14461800,16.432789
2015-12-02,17.41,17.67,16.58,16.67,11031700,16.55194
2015-12-01,17.57,17.690001,17.32,17.629999,8820200,17.505141
2015-11-30,17.57,17.860001,17.370001,17.51,11798400,17.385992
2015-11-27,17.85,18.00,17.389999,17.440001,3696100,17.316488
2015-11-25,18.219999,18.40,17.83,18.110001,6277000,17.981743
2015-11-24,17.790001,18.719999,17.67,18.50,11708700,18.36898
2015-11-23,17.389999,17.700001,17.17,17.530001,9373300,17.40585
2015-11-20,17.60,17.860001,17.299999,17.42,8416900,17.296629
2015-11-19,17.709999,17.860001,17.17,17.639999,9794800,17.51507
2015-11-18,17.940001,18.469999,17.290001,17.90,11540300,17.773229
2015-11-17,17.65,17.92,17.290001,17.709999,6618300,17.584574
2015-11-16,17.209999,17.93,16.959999,17.870001,9262100,17.743443
2015-11-13,17.120001,17.40,16.68,17.139999,8965600,16.968965
2015-11-12,16.940001,17.610001,16.68,17.200001,10661200,17.028368
2015-11-11,18.700001,18.82,16.99,17.299999,14112500,17.127369
2015-11-10,18.26,18.85,18.190001,18.780001,8711100,18.592602
2015-11-09,18.280001,18.74,18.07,18.360001,10110500,18.176793
2015-11-06,18.68,18.889999,17.73,18.290001,15275300,18.107491
2015-11-05,18.99,19.950001,18.129999,19.00,19123200,18.810406
2015-11-04,19.620001,19.85,18.870001,19.40,9137100,19.206414
2015-11-03,19.25,20.09,19.24,19.66,12060400,19.46382
2015-11-02,18.17,19.23,18.139999,19.01,10944600,18.820306
2015-10-30,17.809999,18.73,17.379999,18.379999,15400300,18.196592
2015-10-29,17.48,18.709999,17.370001,17.549999,16921300,17.374874
2015-10-28,17.24,18.07,17.049999,17.68,12690200,17.503578
2015-10-27,17.440001,17.440001,16.73,17.110001,11897200,16.939266
2015-10-26,18.26,18.299999,17.58,17.59,7277800,17.414476
2015-10-23,18.299999,18.629999,17.98,18.299999,8455300,18.11739
2015-10-22,18.200001,18.620001,18.040001,18.48,9018800,18.295594
2015-10-21,18.41,18.469999,17.969999,18.02,8139600,17.840185
2015-10-20,18.27,18.74,18.110001,18.559999,7885900,18.374796
2015-10-19,18.93,19.110001,18.030001,18.280001,9449500,18.097591
2015-10-16,19.52,19.58,18.82,19.280001,8142600,19.087612
2015-10-15,18.76,19.459999,18.690001,19.43,9403800,19.236115
2015-10-14,18.459999,19.040001,18.440001,18.91,8545600,18.721304
2015-10-13,18.799999,19.33,18.49,18.59,10355600,18.404497
2015-10-12,19.559999,19.610001,18.41,18.959999,13787200,18.770804
2015-10-09,20.43,20.440001,19.389999,19.59,14168000,19.394518
2015-10-08,19.10,20.389999,19.02,20.18,17094900,19.978631
2015-10-07,19.59,20.33,18.42,19.17,26600100,18.978709
2015-10-06,18.120001,19.280001,18.00,19.17,25583600,18.978709
2015-10-05,17.08,18.129999,17.00,18.049999,17565700,17.869885
2015-10-02,15.16,16.690001,15.00,16.66,11643500,16.493756
2015-10-01,15.79,16.190001,15.14,15.31,14181300,15.157227
2015-09-30,15.14,15.59,15.00,15.40,13709300,15.246328
2015-09-29,14.86,15.18,14.71,14.97,10994800,14.82062
2015-09-28,15.48,15.55,14.75,14.76,9936700,14.612715
2015-09-25,15.67,16.049999,15.39,15.75,13876900,15.592836
2015-09-24,15.09,15.68,15.04,15.45,12053700,15.29583
2015-09-23,15.75,15.95,15.25,15.30,12545000,15.147327
2015-09-22,15.75,16.299999,15.54,15.66,12251600,15.503734
2015-09-21,16.02,16.530001,15.67,16.110001,13935300,15.949245
2015-09-18,16.23,16.33,15.57,15.84,26980000,15.681938
2015-09-17,16.23,16.98,16.129999,16.43,19681500,16.266051
2015-09-16,15.62,16.24,15.62,16.209999,16637100,16.048245
2015-09-15,15.47,15.85,15.35,15.45,15514000,15.29583
2015-09-14,14.99,15.48,14.81,15.41,15451800,15.256229
2015-09-11,14.75,15.14,14.59,15.09,15640600,14.939422
2015-09-10,15.03,15.42,14.74,14.98,18710400,14.830519
2015-09-09,16.42,16.879999,14.86,14.91,33904100,14.761218
2015-09-08,16.58,16.629999,16.040001,16.32,13711000,16.157148
2015-09-04,16.59,16.709999,16.24,16.360001,15418700,16.19675
2015-09-03,16.940001,17.59,16.65,16.870001,13572500,16.701661
2015-09-02,17.110001,17.139999,16.15,16.870001,14667800,16.701661
2015-09-01,16.719999,17.219999,16.459999,16.85,17820400,16.68186
2015-08-31,16.41,17.360001,15.82,17.290001,18458600,17.11747
2015-08-28,15.89,17.10,15.87,16.65,21004800,16.483855
2015-08-27,14.93,16.129999,14.87,15.97,22410500,15.810641
2015-08-26,14.32,14.67,14.07,14.65,13567300,14.503812
2015-08-25,15.10,15.10,14.03,14.04,13423400,13.8999
2015-08-24,14.51,15.24,14.29,14.39,22372800,14.246408
2015-08-21,16.030001,16.280001,15.70,15.73,18816400,15.573035
2015-08-20,16.17,16.57,15.95,16.129999,14230900,15.969044
2015-08-19,17.34,17.48,16.08,16.23,19827100,16.068046
2015-08-18,17.33,17.799999,17.26,17.48,8966200,17.305573
2015-08-17,17.15,17.389999,16.90,17.360001,15390900,17.186771
2015-08-14,18.00,18.27,17.360001,17.40,12877300,17.018467
2015-08-13,18.790001,18.870001,17.98,18.02,10108900,17.624873
2015-08-12,18.84,19.219999,18.540001,19.059999,12432300,18.642067
2015-08-11,18.48,18.92,18.110001,18.879999,14193500,18.466014
2015-08-10,18.42,19.09,18.15,18.98,11948200,18.563822
2015-08-07,19.370001,19.91,18.25,18.40,11654700,17.99654
2015-08-06,19.049999,19.74,17.860001,19.450001,21784200,19.023517
2015-08-05,20.82,21.059999,19.74,19.790001,16224000,19.356062
2015-08-04,20.709999,20.99,20.280001,20.51,9375600,20.060274
2015-08-03,20.700001,21.219999,20.469999,20.57,11247500,20.118958
2015-07-31,21.68,21.76,20.93,21.01,8947500,20.54931
2015-07-30,21.860001,21.940001,21.469999,21.860001,8454800,21.380672
2015-07-29,21.16,21.870001,20.91,21.76,12555700,21.282865
2015-07-28,20.77,21.57,20.440001,21.200001,11840500,20.735145
2015-07-27,21.10,21.219999,20.57,20.690001,9137000,20.236327
2015-07-24,22.059999,22.10,21.10,21.41,13124600,20.940539
2015-07-23,22.360001,22.48,21.719999,22.10,12029000,21.61541
2015-07-22,23.07,23.110001,22.23,22.34,11190200,21.850147
2015-07-21,23.370001,23.59,23.10,23.17,9206200,22.661947
2015-07-20,23.59,23.60,23.059999,23.24,8700400,22.730412
2015-07-17,24.200001,24.24,23.549999,23.57,6230600,23.053176
2015-07-16,24.65,24.68,24.16,24.27,6634000,23.737828
2015-07-15,24.969999,25.10,24.209999,24.40,8365100,23.864976
2015-07-14,24.719999,25.25,24.620001,25.08,9034300,24.530066
2015-07-13,24.379999,24.77,24.32,24.73,5953300,24.18774
2015-07-10,24.98,25.23,24.35,24.459999,6841800,23.92366
2015-07-09,25.219999,25.379999,24.75,24.780001,9405400,24.236645
2015-07-08,25.52,25.66,24.540001,24.73,7133500,24.18774
