Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,12.25,13.02,12.20,12.22,16200,12.22
2015-12-30,12.27,12.57,12.16,12.27,17700,12.27
2015-12-29,12.28,12.45,12.25,12.27,16900,12.27
2015-12-28,12.27,12.36,12.26,12.27,17600,12.27
2015-12-24,12.25,12.35,12.19,12.25,33900,12.25
2015-12-23,12.34,12.39,12.24,12.25,12000,12.25
2015-12-22,12.24,12.33,12.14,12.17,12500,12.17
2015-12-21,12.50,12.50,12.14,12.34,25800,12.34
2015-12-18,12.55,12.69,12.37,12.37,32300,12.37
2015-12-17,12.66,12.87,12.40,12.54,12000,12.54
2015-12-16,13.31,13.31,12.47,12.66,16900,12.66
2015-12-15,12.60,12.98,12.40,12.79,21400,12.79
2015-12-14,13.21,13.75,12.45,12.48,46000,12.48
2015-12-11,13.39,13.92,13.05,13.10,24800,13.10
2015-12-10,13.87,14.05,13.40,13.69,20600,13.69
2015-12-09,14.82,14.82,13.91,14.06,33600,14.06
2015-12-08,14.75,14.76,14.53,14.63,25200,14.63
2015-12-07,14.67,15.01,14.67,14.87,14300,14.87
2015-12-04,14.88,14.96,14.50,14.67,10100,14.67
2015-12-03,14.50,14.90,14.35,14.50,45200,14.50
2015-12-02,14.30,14.96,14.30,14.61,11200,14.61
2015-12-01,14.32,14.44,14.18,14.27,8200,14.27
2015-11-30,14.40,14.40,14.00,14.34,29100,14.34
2015-11-27,14.88,14.88,13.89,14.40,9200,14.40
2015-11-25,14.24,14.65,14.05,14.11,14900,14.11
2015-11-24,14.06,14.21,13.96,14.15,6200,14.15
2015-11-23,14.11,14.24,13.92,14.12,22300,14.12
2015-11-20,14.10,14.26,13.62,14.08,15100,14.08
2015-11-19,14.31,14.47,13.96,14.13,6100,14.13
2015-11-18,14.47,14.50,14.33,14.33,14300,14.33
2015-11-17,14.32,14.50,14.31,14.49,6600,14.49
2015-11-16,14.46,14.50,14.20,14.50,9400,14.50
2015-11-13,14.35,14.50,14.10,14.43,8400,14.43
2015-11-12,14.41,14.49,14.35,14.38,7100,14.38
2015-11-11,14.50,14.50,14.24,14.49,13900,14.49
2015-11-10,14.29,14.50,14.26,14.40,15200,14.40
2015-11-09,14.47,14.70,14.10,14.43,15800,14.43
2015-11-06,14.66,14.90,14.01,14.50,22200,14.50
2015-11-05,14.55,15.20,14.00,14.33,75600,14.33
2015-11-04,12.87,13.20,12.47,13.08,26400,13.08
2015-11-03,12.84,12.92,12.82,12.83,9400,12.83
2015-11-02,12.48,12.92,12.47,12.82,6200,12.82
2015-10-30,12.50,12.59,12.40,12.57,11000,12.57
2015-10-29,12.63,12.66,12.14,12.47,9600,12.47
2015-10-28,12.27,12.87,12.27,12.59,14200,12.59
2015-10-27,12.98,12.98,12.01,12.18,17500,12.18
2015-10-26,13.20,13.30,12.39,12.48,21900,12.48
2015-10-23,13.16,13.77,13.11,13.12,12600,13.12
2015-10-22,13.16,13.83,13.06,13.07,13900,13.07
2015-10-21,13.31,13.54,13.01,13.02,20400,13.02
2015-10-20,13.33,13.50,13.22,13.25,35900,13.25
2015-10-19,13.35,13.75,13.10,13.27,32700,13.27
2015-10-16,13.11,13.69,13.11,13.26,8900,13.26
2015-10-15,13.45,13.69,13.12,13.40,35900,13.40
2015-10-14,13.19,13.61,13.15,13.18,36200,13.18
2015-10-13,14.04,14.04,13.12,13.18,23900,13.18
2015-10-12,13.37,13.65,13.10,13.37,11000,13.37
2015-10-09,13.29,13.66,13.15,13.21,12000,13.21
2015-10-08,13.52,14.05,13.05,13.30,11200,13.30
2015-10-07,13.06,14.16,13.06,13.60,16300,13.60
2015-10-06,13.50,14.19,12.89,13.43,11300,13.43
2015-10-05,13.72,14.25,13.50,13.50,15200,13.50
2015-10-02,13.85,14.20,13.27,13.96,6500,13.96
2015-10-01,14.31,14.40,13.53,13.98,16400,13.98
2015-09-30,13.69,15.20,13.36,14.31,39500,14.31
2015-09-29,14.90,14.90,13.59,13.69,26400,13.69
2015-09-28,15.23,15.75,14.67,15.00,22400,15.00
2015-09-25,16.09,16.41,15.40,15.58,39900,15.58
2015-09-24,16.200001,16.26,15.80,16.049999,18500,16.049999
2015-09-23,16.200001,16.469999,16.01,16.200001,28000,16.200001
2015-09-22,15.65,16.32,15.65,16.209999,27100,16.209999
2015-09-21,17.17,17.67,15.67,16.030001,54600,16.030001
2015-09-18,17.790001,18.200001,17.16,17.190001,142300,17.190001
2015-09-17,18.15,18.24,17.84,18.15,59600,18.15
2015-09-16,18.35,18.74,17.98,18.129999,39900,18.129999
2015-09-15,18.75,18.75,18.200001,18.49,51300,18.49
2015-09-14,18.98,19.00,18.50,18.549999,15200,18.549999
2015-09-11,19.00,19.00,18.620001,18.84,8900,18.84
2015-09-10,19.02,19.860001,18.75,19.09,28800,19.09
2015-09-09,19.90,20.120001,18.780001,19.34,22800,19.34
2015-09-08,19.950001,20.01,19.50,19.889999,21600,19.889999
2015-09-04,19.66,20.129999,19.66,19.780001,7200,19.780001
2015-09-03,20.379999,20.379999,19.68,19.99,28700,19.99
2015-09-02,19.639999,20.469999,19.620001,20.379999,29200,20.379999
2015-09-01,20.50,20.50,19.049999,19.65,31600,19.65
2015-08-31,19.76,20.690001,19.01,20.540001,69600,20.540001
2015-08-28,20.42,20.74,19.959999,20.40,34100,20.40
2015-08-27,19.65,20.99,19.09,20.42,70000,20.42
2015-08-26,19.25,19.799999,18.50,19.68,32200,19.68
2015-08-25,19.40,19.889999,18.360001,18.940001,34800,18.940001
2015-08-24,18.209999,19.299999,17.50,19.040001,25700,19.040001
2015-08-21,18.00,19.24,18.00,19.139999,20900,19.139999
2015-08-20,20.120001,20.120001,17.58,18.139999,79100,18.139999
2015-08-19,19.629999,21.50,19.26,20.120001,235800,20.120001
2015-08-18,17.35,19.40,17.35,19.129999,77500,19.129999
2015-08-17,18.00,18.16,16.459999,17.07,78300,17.07
2015-08-14,14.19,18.17,14.12,16.82,174700,16.82
2015-08-13,13.44,14.18,13.44,14.07,88400,14.07
2015-08-12,12.77,13.45,12.77,13.45,45900,13.45
2015-08-11,12.30,12.91,12.25,12.75,48200,12.75
2015-08-10,12.01,12.11,12.00,12.05,7800,12.05
2015-08-07,12.17,12.22,11.82,11.82,1900,11.82
2015-08-06,12.11,12.18,11.80,12.09,2000,12.09
2015-08-05,12.24,12.24,12.04,12.04,6700,12.04
2015-08-04,12.16,12.16,11.75,11.97,9700,11.97
2015-08-03,11.97,11.99,11.03,11.98,3800,11.98
2015-07-31,12.00,12.00,11.98,11.99,14200,11.99
2015-07-30,11.85,12.00,11.50,11.95,6500,11.95
2015-07-29,11.95,12.00,11.67,11.85,15000,11.85
2015-07-28,11.42,11.93,11.04,11.85,16400,11.85
2015-07-27,11.60,11.60,11.25,11.43,9800,11.43
2015-07-24,11.80,11.80,11.60,11.74,30300,11.74
2015-07-23,11.98,11.98,11.25,11.81,34700,11.81
2015-07-22,12.00,12.09,11.90,11.90,48400,11.90
2015-07-21,11.98,12.00,11.56,11.93,7600,11.93
2015-07-20,11.99,12.09,11.70,11.77,1300,11.77
2015-07-17,11.98,12.24,11.55,12.09,17100,12.09
2015-07-16,11.86,12.10,11.74,12.00,2400,12.00
2015-07-15,11.98,12.07,11.92,12.00,2500,12.00
2015-07-14,11.97,12.03,11.78,11.95,14800,11.95
2015-07-13,12.24,12.47,11.66,12.12,30700,12.12
2015-07-10,12.19,12.35,11.96,12.23,8000,12.23
2015-07-09,12.00,12.35,11.50,12.33,20400,12.33
2015-07-08,12.14,12.32,11.75,11.98,15700,11.98
2015-07-07,12.11,12.52,12.08,12.29,27100,12.29
2015-07-06,12.41,12.48,12.15,12.25,9900,12.25
2015-07-02,12.77,12.95,12.45,12.50,40500,12.50
2015-07-01,12.36,12.99,12.00,12.88,153600,12.88
2015-06-30,11.99,12.35,11.99,12.20,82700,12.20
2015-06-29,12.07,12.07,11.26,11.90,82900,11.90
2015-06-26,10.65,12.01,10.65,11.99,185700,11.99
2015-06-25,10.23,10.64,10.23,10.55,4500,10.55
2015-06-24,10.40,10.64,10.40,10.41,2900,10.41
2015-06-23,10.49,11.00,10.04,10.40,603300,10.40
2015-06-22,9.99,10.79,9.67,10.01,19600,10.01
2015-06-19,9.40,10.00,9.40,10.00,29100,10.00
2015-06-18,9.61,9.77,9.46,9.77,2600,9.77
2015-06-17,9.48,9.78,9.44,9.47,8000,9.47
2015-06-16,9.78,9.80,9.35,9.45,12200,9.45
2015-06-15,9.51,9.72,9.21,9.54,14200,9.54
2015-06-12,9.61,9.78,9.58,9.75,8900,9.75
2015-06-11,9.57,9.79,9.50,9.63,17000,9.63
2015-06-10,9.05,9.74,9.05,9.52,15600,9.52
2015-06-09,9.43,9.65,9.09,9.51,3500,9.51
2015-06-08,9.51,9.61,9.42,9.55,2600,9.55
2015-06-05,9.44,9.80,9.44,9.45,8000,9.45
2015-06-04,9.63,9.77,9.41,9.47,52100,9.47
2015-06-03,9.50,9.74,9.24,9.50,89800,9.50
2015-06-02,9.58,9.76,9.48,9.57,4700,9.57
2015-06-01,9.61,9.79,9.50,9.63,8100,9.63
2015-05-29,9.50,9.75,9.50,9.70,11600,9.70
2015-05-28,9.70,9.75,9.41,9.74,1300,9.74
2015-05-27,9.73,9.74,9.56,9.64,2600,9.64
2015-05-26,9.55,9.74,9.51,9.73,2100,9.73
2015-05-22,9.35,9.67,9.28,9.67,7800,9.67
2015-05-21,9.56,9.61,9.50,9.52,12100,9.52
2015-05-20,9.50,9.60,9.49,9.60,3800,9.60
2015-05-19,9.70,9.75,9.50,9.52,5900,9.52
2015-05-18,9.73,9.76,9.50,9.76,6500,9.76
2015-05-15,9.50,9.77,9.50,9.65,15000,9.65
2015-05-14,9.50,9.85,9.27,9.52,8900,9.52
2015-05-13,8.62,9.61,8.50,9.60,18800,9.60
2015-05-12,9.39,9.78,9.31,9.64,64100,9.64
2015-05-11,8.85,9.34,8.85,9.25,55400,9.25
2015-05-08,8.45,8.96,8.45,8.80,30600,8.80
2015-05-07,8.40,8.50,8.40,8.45,7400,8.45
2015-05-06,8.48,8.48,8.38,8.38,500,8.38
2015-05-05,8.59,8.59,8.35,8.49,500,8.49
2015-05-04,8.74,8.74,8.40,8.40,2900,8.40
2015-05-01,8.29,8.74,8.29,8.74,7300,8.74
2015-04-30,8.36,8.44,7.89,8.30,3800,8.30
2015-04-29,8.27,8.28,8.26,8.27,800,8.27
2015-04-28,8.22,8.45,8.22,8.33,700,8.33
2015-04-27,8.05,8.24,8.00,8.24,5800,8.24
2015-04-24,8.24,8.74,8.01,8.09,17500,8.09
2015-04-23,8.75,8.80,8.20,8.26,9700,8.26
2015-04-22,8.41,8.78,8.41,8.51,2700,8.51
2015-04-21,8.29,8.36,8.22,8.36,2800,8.36
2015-04-20,8.41,8.42,8.32,8.41,4500,8.41
2015-04-17,8.35,8.39,8.34,8.37,4700,8.37
2015-04-16,8.92,8.92,8.36,8.44,10900,8.44
2015-04-15,8.56,8.95,8.42,8.55,1300,8.55
2015-04-14,8.21,9.17,8.21,8.61,33500,8.61
2015-04-13,7.88,8.55,7.86,8.09,12400,8.09
2015-04-10,7.94,8.10,7.76,7.93,15100,7.93
2015-04-09,7.47,8.00,7.47,7.94,22500,7.94
2015-04-08,7.61,7.65,7.28,7.28,5500,7.28
2015-04-07,7.64,7.70,7.39,7.43,17000,7.43
2015-04-06,7.44,7.77,7.25,7.52,12100,7.52
2015-04-02,7.39,7.60,7.34,7.51,11200,7.51
2015-04-01,7.28,7.50,7.25,7.32,20200,7.32
2015-03-31,7.09,7.94,6.89,7.35,16000,7.35
2015-03-30,7.11,7.72,6.96,7.02,24000,7.02
2015-03-27,7.22,7.41,6.38,7.30,14600,7.30
2015-03-26,7.26,7.51,7.03,7.32,49100,7.32
2015-03-25,7.76,7.76,7.38,7.38,12800,7.38
2015-03-24,8.00,8.00,7.75,7.77,12200,7.77
2015-03-23,7.98,8.20,7.93,8.01,16100,8.01
2015-03-20,8.20,8.20,7.78,8.09,27500,8.09
2015-03-19,7.95,8.36,7.90,8.20,48100,8.20
2015-03-18,7.46,8.22,7.46,7.87,21300,7.87
2015-03-17,7.63,7.71,7.23,7.51,23800,7.51
2015-03-16,7.89,7.99,7.62,7.64,15200,7.64
2015-03-13,8.09,8.09,7.82,7.93,12700,7.93
2015-03-12,7.90,8.40,7.78,7.92,31900,7.92
2015-03-11,9.50,9.50,7.81,8.10,127500,8.10
2015-03-10,9.91,9.92,9.50,9.50,3300,9.50
2015-03-09,9.74,9.97,9.74,9.82,5000,9.82
2015-03-06,9.98,9.98,9.86,9.87,3900,9.87
2015-03-05,10.09,10.09,9.83,9.88,3600,9.88
2015-03-04,10.39,10.39,9.81,10.13,10200,10.13
2015-03-03,9.96,10.10,9.96,10.03,5400,10.03
2015-03-02,9.94,10.04,9.90,9.90,28200,9.90
2015-02-27,10.01,10.02,9.91,9.94,9800,9.94
2015-02-26,9.81,10.04,9.80,9.90,10800,9.90
2015-02-25,10.00,10.01,9.91,9.91,4200,9.91
2015-02-24,9.95,10.08,9.95,10.05,2600,10.05
2015-02-23,9.98,10.07,9.98,10.00,13000,10.00
2015-02-20,9.82,9.95,9.82,9.95,400,9.95
2015-02-19,9.90,9.90,9.90,9.90,400,9.90
2015-02-18,10.00,10.12,9.81,10.09,4300,10.09
2015-02-17,9.98,9.99,9.86,9.99,1500,9.99
2015-02-13,10.08,10.08,10.01,10.04,2600,10.04
2015-02-12,10.06,10.14,9.80,10.10,4200,10.10
2015-02-11,10.05,10.14,10.05,10.14,3400,10.14
2015-02-10,10.01,10.16,9.63,10.16,8900,10.16
2015-02-09,10.03,10.09,9.92,10.09,3900,10.09
2015-02-06,10.16,10.34,10.06,10.18,2900,10.18
2015-02-05,10.14,10.14,9.83,9.93,10600,9.93
2015-02-04,10.03,10.39,10.03,10.38,4200,10.38
2015-02-03,9.86,10.50,9.78,10.01,12200,10.01
2015-02-02,10.24,10.24,9.77,9.94,13200,9.94
2015-01-30,10.24,10.24,10.20,10.20,500,10.20
2015-01-29,10.52,10.52,10.00,10.00,15100,10.00
2015-01-28,10.00,10.52,10.00,10.52,17600,10.52
2015-01-27,10.00,10.26,9.87,9.95,15200,9.95
2015-01-26,10.28,10.63,10.10,10.10,8600,10.10
2015-01-23,10.30,10.71,10.25,10.66,9700,10.66
2015-01-22,10.50,10.50,10.35,10.35,3000,10.35
2015-01-21,10.61,10.79,10.35,10.48,9100,10.48
2015-01-20,10.85,10.85,10.70,10.85,5900,10.85
2015-01-16,11.07,11.07,10.85,10.93,700,10.93
2015-01-15,10.88,11.46,10.80,10.91,113800,10.91
2015-01-14,10.99,11.07,10.85,10.95,3200,10.95
2015-01-13,11.17,11.17,10.71,11.11,4100,11.11
2015-01-12,10.82,10.95,10.71,10.71,6600,10.71
2015-01-09,10.89,11.16,10.80,11.00,13800,11.00
2015-01-08,11.65,11.65,10.70,11.20,50500,11.20
2015-01-07,10.80,11.65,10.80,11.47,46400,11.47
2015-01-06,10.95,11.40,10.53,10.95,18600,10.95
2015-01-05,10.28,11.25,10.10,10.74,33600,10.74
2015-01-02,9.88,9.93,9.76,9.92,16200,9.92
2014-12-31,10.10,10.10,9.50,9.93,195400,9.93
2014-12-30,9.62,10.35,9.45,10.02,31600,10.02
2014-12-29,9.84,9.93,9.61,9.72,21700,9.72
2014-12-26,10.48,10.57,9.66,9.89,6300,9.89
2014-12-24,10.79,10.79,9.81,9.91,26200,9.91
2014-12-23,9.53,10.00,9.51,9.92,33700,9.92
2014-12-22,10.22,10.89,9.51,9.84,27700,9.84
2014-12-19,11.88,11.88,10.20,10.20,26400,10.20
2014-12-18,11.04,11.95,10.70,11.20,68400,11.20
2014-12-17,10.27,11.95,10.10,11.95,23800,11.95
2014-12-16,10.27,11.40,10.10,10.75,23500,10.75
2014-12-15,9.29,10.40,9.11,9.99,13300,9.99
2014-12-12,9.39,9.58,9.11,9.30,7200,9.30
2014-12-11,9.33,9.67,9.11,9.67,5800,9.67
2014-12-10,9.47,9.65,9.47,9.65,1200,9.65
2014-12-09,9.52,9.52,9.36,9.44,1200,9.44
2014-12-08,9.44,9.46,9.35,9.35,2000,9.35
2014-12-05,9.38,9.50,9.29,9.47,5700,9.47
2014-12-04,9.49,9.68,9.33,9.37,40700,9.37
2014-12-03,9.50,9.57,9.50,9.56,1100,9.56
2014-12-02,9.59,9.68,9.43,9.55,5500,9.55
