Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,31.91,32.299999,31.77,31.809999,8154300,31.622809
2015-12-30,32.50,32.650002,32.200001,32.23,5057200,32.040337
2015-12-29,32.439999,32.700001,32.330002,32.549999,6388200,32.358454
2015-12-28,32.360001,32.360001,31.950001,32.169998,5420300,31.980689
2015-12-24,32.57,32.709999,32.439999,32.48,2798200,32.288866
2015-12-23,32.470001,32.73,32.279999,32.599998,6807100,32.408159
2015-12-22,31.959999,32.380001,31.610001,32.220001,11468400,32.030398
2015-12-21,31.620001,31.799999,31.190001,31.68,10920100,31.493575
2015-12-18,32.130001,32.25,31.25,31.290001,19331700,31.10587
2015-12-17,33.830002,33.849998,32.360001,32.380001,15959800,32.189456
2015-12-16,33.169998,33.77,32.68,33.610001,13682900,33.412218
2015-12-15,32.639999,33.080002,32.560001,32.84,13666800,32.646748
2015-12-14,32.130001,32.52,31.389999,31.879999,14990100,31.692397
2015-12-11,32.810001,33.049999,31.93,32.080002,16133000,31.891222
2015-12-10,33.50,33.900002,33.279999,33.419998,10674500,33.223333
2015-12-09,33.799999,34.310001,33.09,33.369999,13211200,33.173628
2015-12-08,34.23,34.349998,33.84,34.060001,10613400,33.85957
2015-12-07,35.279999,35.310001,34.419998,34.68,8389200,34.475921
2015-12-04,34.66,35.580002,34.41,35.32,13205400,35.112154
2015-12-03,35.049999,35.220001,34.290001,34.450001,15021200,34.247275
2015-12-02,35.360001,35.400002,34.720001,34.889999,10996500,34.684684
2015-12-01,34.599998,35.349998,34.599998,35.27,18594200,35.062449
2015-11-30,33.810001,34.529999,33.700001,34.299999,17416300,34.098156
2015-11-27,33.630001,33.919998,33.48,33.779999,3014600,33.581215
2015-11-25,33.619999,33.75,33.439999,33.610001,6210000,33.412218
2015-11-24,33.27,33.779999,33.18,33.59,7954500,33.392335
2015-11-23,33.919998,34.139999,33.57,33.639999,7963000,33.44204
2015-11-20,34.330002,34.529999,33.779999,33.91,8624100,33.710451
2015-11-19,34.279999,34.439999,33.950001,34.169998,8947800,33.96892
