Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,4.55,4.62,4.50,4.52,61900,4.464472
2015-12-30,4.47,4.63,4.47,4.55,55400,4.494103
2015-12-29,4.63,4.71,4.40,4.56,83700,4.50398
2015-12-28,4.90,4.96,4.75,4.77,86200,4.711401
2015-12-24,5.16,5.22,4.86,5.10,68700,5.037346
2015-12-23,4.30,5.18,4.30,5.17,262100,5.106487
2015-12-22,4.10,4.49,4.10,4.23,181700,4.178034
2015-12-21,4.14,4.14,3.91,4.06,104500,4.010123
2015-12-18,4.04,4.17,4.02,4.14,54200,4.08914
2015-12-17,3.90,4.17,3.90,4.01,116000,3.960737
2015-12-16,4.15,4.30,3.95,3.95,55300,3.901474
2015-12-15,4.03,4.18,3.90,4.13,95200,4.079263
2015-12-14,4.35,4.35,4.00,4.08,128700,4.029877
2015-12-11,4.43,4.48,4.30,4.30,72500,4.247175
2015-12-10,4.50,4.67,4.38,4.42,155900,4.3657
2015-12-09,5.02,5.14,4.37,4.54,301200,4.484226
2015-12-08,5.39,5.44,5.03,5.15,107900,5.086732
2015-12-07,5.50,5.87,5.36,5.48,210700,5.412678
2015-12-04,5.51,5.76,5.31,5.51,245200,5.44231
2015-12-03,5.97,5.97,5.55,5.61,91600,5.541081
2015-12-02,6.12,6.15,5.81,5.85,67800,5.778133
2015-12-01,6.12,6.24,6.02,6.08,51300,6.005307
2015-11-30,5.90,6.23,5.82,6.23,37000,6.153465
2015-11-27,6.20,6.24,5.91,6.02,32500,5.946044
2015-11-25,6.02,6.28,6.02,6.24,42000,6.163341
2015-11-24,5.74,6.15,5.65,6.02,95600,5.946044
2015-11-23,6.11,6.23,5.53,5.74,342600,5.669484
2015-11-20,6.87,6.98,6.00,6.11,229800,6.034939
2015-11-19,7.38,7.38,6.68,6.87,199700,6.785602
2015-11-18,7.35,7.60,6.75,7.42,161700,7.328845
2015-11-17,7.82,8.07,6.31,7.40,176000,7.309091
2015-11-16,7.60,7.79,7.31,7.72,80900,7.62516
2015-11-13,7.73,7.88,7.44,7.50,76900,7.407863
2015-11-12,8.06,8.11,7.52,7.73,94900,7.635037
2015-11-11,8.34,8.34,8.00,8.21,44100,8.10914
2015-11-10,8.50,8.61,8.21,8.29,37400,8.188157
2015-11-09,9.09,9.09,8.50,8.51,44300,8.405455
2015-11-06,8.80,9.16,8.30,8.97,47000,8.859804
2015-11-05,9.25,9.68,8.77,8.80,128800,8.691892
2015-11-04,9.48,9.48,9.06,9.12,45800,9.007961
2015-11-03,8.85,9.56,8.85,9.37,85700,9.254889
2015-11-02,8.62,9.25,8.60,8.96,101400,8.849926
2015-10-30,9.00,9.10,8.15,8.76,173100,8.652384
2015-10-29,9.28,9.54,8.87,9.00,82600,8.889435
2015-10-28,9.21,9.50,9.14,9.39,56000,9.274644
2015-10-27,9.42,9.60,9.35,9.35,47200,9.235136
2015-10-26,10.15,10.15,9.51,9.59,67200,9.472187
2015-10-23,10.07,10.12,9.75,9.92,75000,9.798133
2015-10-22,9.95,10.58,9.75,9.97,59100,9.847519
2015-10-21,9.83,10.16,9.76,9.85,102300,9.728993
2015-10-20,10.10,10.34,9.80,9.89,131600,9.768502
2015-10-19,10.76,10.91,10.61,10.73,44100,10.598182
2015-10-16,11.15,11.39,10.57,10.79,84400,10.657445
2015-10-15,11.36,11.40,10.93,11.11,63500,10.973513
2015-10-14,11.95,11.96,11.26,11.30,74800,11.16118
2015-10-13,12.01,12.10,11.78,11.95,34500,11.803194
2015-10-12,12.11,12.31,11.87,12.17,39500,12.020492
2015-10-09,11.82,12.13,11.76,12.13,8400,11.980983
