Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,34.18,34.509998,33.82,33.990002,171800,33.990002
2015-12-30,34.82,34.970001,34.310001,34.380001,158900,34.380001
2015-12-29,34.939999,35.189999,34.57,34.860001,183300,34.860001
2015-12-28,34.639999,34.91,34.07,34.619999,136700,34.619999
2015-12-24,34.43,35.09,34.43,34.740002,80900,34.740002
2015-12-23,34.400002,34.73,34.119999,34.540001,201200,34.540001
2015-12-22,33.48,34.380001,32.84,34.049999,274400,34.049999
2015-12-21,33.580002,34.060001,33.040001,33.419998,338500,33.419998
2015-12-18,34.50,34.560001,33.169998,33.240002,790900,33.240002
2015-12-17,35.639999,35.77,34.400002,34.52,231600,34.52
2015-12-16,34.790001,35.689999,34.669998,35.529999,337200,35.529999
2015-12-15,33.299999,34.75,33.299999,34.490002,431800,34.490002
2015-12-14,33.59,33.59,32.509998,33.009998,588900,33.009998
2015-12-11,33.860001,34.040001,33.41,33.599998,285600,33.599998
2015-12-10,34.279999,34.75,34.049999,34.41,295800,34.41
2015-12-09,35.560001,35.900002,33.799999,34.080002,689400,34.080002
2015-12-08,36.32,36.889999,35.709999,35.830002,246000,35.830002
2015-12-07,36.939999,37.259998,36.540001,36.990002,269400,36.990002
2015-12-04,36.529999,37.360001,36.200001,37.150002,233500,37.150002
2015-12-03,36.860001,37.50,36.060001,36.349998,356000,36.349998
2015-12-02,37.970001,37.970001,36.580002,36.790001,397000,36.790001
2015-12-01,37.389999,38.16,37.18,37.970001,288700,37.970001
2015-11-30,37.560001,37.59,37.049999,37.310001,369400,37.310001
2015-11-27,37.59,37.759998,37.279999,37.389999,95300,37.389999
2015-11-25,36.900002,37.68,36.700001,37.619999,250500,37.619999
2015-11-24,36.029999,36.860001,35.82,36.77,216900,36.77
2015-11-23,35.860001,36.689999,35.790001,36.189999,263800,36.189999
2015-11-20,35.689999,36.049999,35.400002,35.990002,285300,35.990002
2015-11-19,35.369999,35.599998,35.119999,35.400002,461100,35.400002
2015-11-18,34.799999,35.400002,34.669998,35.330002,422700,35.330002
2015-11-17,34.099998,35.799999,34.099998,34.93,384200,34.93
2015-11-16,34.099998,34.98,33.799999,34.919998,573300,34.919998
2015-11-13,34.91,35.25,34.150002,34.189999,546900,34.189999
2015-11-12,35.959999,35.98,34.91,34.970001,424300,34.970001
2015-11-11,35.349998,36.650002,35.209999,36.380001,486700,36.380001
2015-11-10,34.32,35.450001,34.139999,35.310001,448700,35.310001
2015-11-09,35.220001,35.470001,33.740002,34.299999,343000,34.299999
2015-11-06,35.169998,35.50,34.50,35.110001,444100,35.110001
2015-11-05,35.919998,35.919998,35.00,35.41,445100,35.41
2015-11-04,36.009998,36.43,35.439999,35.810001,410000,35.810001
2015-11-03,35.02,36.099998,34.360001,35.889999,763700,35.889999
2015-11-02,35.18,35.779999,35.02,35.16,721900,35.16
2015-10-30,34.889999,36.27,34.130001,35.259998,1285600,35.259998
2015-10-29,36.77,37.740002,35.360001,35.450001,1265000,35.450001
2015-10-28,38.790001,39.68,37.77,39.259998,796400,39.259998
2015-10-27,40.23,40.23,38.119999,38.709999,672800,38.709999
2015-10-26,40.310001,40.650002,39.389999,40.470001,457300,40.470001
2015-10-23,40.150002,40.66,39.290001,40.389999,370800,40.389999
2015-10-22,40.599998,40.599998,39.200001,39.939999,380800,39.939999
2015-10-21,40.84,41.330002,40.00,40.720001,319300,40.720001
2015-10-20,40.23,41.200001,40.23,40.720001,245700,40.720001
2015-10-19,39.439999,40.490002,39.299999,40.23,371700,40.23
2015-10-16,39.389999,39.869999,38.740002,39.549999,344800,39.549999
2015-10-15,38.540001,39.349998,38.060001,39.290001,332000,39.290001
2015-10-14,39.470001,39.650002,37.970001,38.360001,560600,38.360001
2015-10-13,39.84,41.16,39.459999,39.560001,434600,39.560001
2015-10-12,39.959999,40.290001,39.43,40.110001,338100,40.110001
2015-10-09,39.900002,40.049999,39.240002,39.869999,379200,39.869999
2015-10-08,38.900002,40.029999,38.790001,39.810001,400100,39.810001
2015-10-07,37.959999,38.919998,37.580002,38.880001,367800,38.880001
2015-10-06,38.84,39.259998,37.610001,37.709999,497400,37.709999
2015-10-05,37.490002,39.130001,37.220001,38.959999,375000,38.959999
2015-10-02,36.759998,37.18,36.00,37.139999,351200,37.139999
2015-10-01,36.560001,37.290001,36.259998,37.110001,447400,37.110001
2015-09-30,36.490002,36.970001,36.049999,36.52,464500,36.52
2015-09-29,36.619999,37.029999,35.599998,36.09,590800,36.09
2015-09-28,38.43,38.43,35.740002,36.48,727800,36.48
2015-09-25,38.32,38.869999,37.990002,38.490002,408300,38.490002
2015-09-24,37.080002,38.09,36.419998,37.98,502900,37.98
2015-09-23,37.419998,38.139999,37.259998,37.490002,518100,37.490002
2015-09-22,37.77,37.84,36.630001,37.259998,682700,37.259998
2015-09-21,39.299999,39.48,38.00,38.16,581800,38.16
2015-09-18,38.709999,39.799999,38.709999,39.029999,847100,39.029999
2015-09-17,38.740002,40.18,38.66,39.470001,802600,39.470001
2015-09-16,39.009998,39.07,38.400002,38.830002,603200,38.830002
2015-09-15,38.93,39.240002,38.68,39.09,269000,39.09
2015-09-14,38.880001,39.200001,38.41,38.82,567800,38.82
2015-09-11,38.25,38.91,38.16,38.91,744800,38.91
2015-09-10,38.990002,39.610001,36.119999,37.84,2636200,37.84
2015-09-09,42.490002,42.490002,41.34,41.52,310700,41.52
2015-09-08,41.580002,42.41,41.220001,42.200001,236000,42.200001
2015-09-04,41.150002,41.650002,40.630001,40.959999,180000,40.959999
2015-09-03,41.759998,42.189999,41.41,41.759998,231400,41.759998
2015-09-02,40.84,41.380001,40.310001,41.380001,255900,41.380001
2015-09-01,41.380001,41.82,40.119999,40.380001,507600,40.380001
2015-08-31,41.41,42.400002,41.209999,42.139999,280500,42.139999
2015-08-28,41.57,42.139999,41.200001,41.700001,362000,41.700001
2015-08-27,40.900002,42.009998,40.02,41.59,475700,41.59
2015-08-26,39.830002,40.59,38.950001,40.529999,459500,40.529999
2015-08-25,40.91,41.110001,39.299999,39.34,622100,39.34
2015-08-24,41.279999,41.279999,40.209999,40.209999,743700,40.209999
2015-08-21,43.330002,43.650002,42.34,42.880001,524700,42.880001
2015-08-20,44.939999,45.369999,43.73,44.049999,605300,44.049999
2015-08-19,45.509998,46.02,44.970001,45.369999,428600,45.369999
2015-08-18,44.459999,46.25,44.459999,45.66,593400,45.66
2015-08-17,43.18,44.470001,42.849998,44.43,345200,44.43
2015-08-14,43.150002,43.52,42.810001,43.349998,268600,43.349998
2015-08-13,42.450001,43.939999,41.959999,43.400002,521700,43.400002
2015-08-12,42.68,43.169998,41.18,42.380001,499400,42.380001
2015-08-11,43.029999,43.709999,42.889999,43.279999,349200,43.279999
2015-08-10,42.700001,43.41,42.57,43.200001,310800,43.200001
2015-08-07,42.119999,42.490002,41.900002,42.459999,463900,42.459999
2015-08-06,42.619999,42.919998,42.029999,42.189999,407000,42.189999
2015-08-05,43.400002,43.610001,42.209999,42.529999,283000,42.529999
2015-08-04,43.880001,44.049999,43.049999,43.139999,244700,43.139999
2015-08-03,44.919998,45.150002,43.639999,44.040001,396400,44.040001
2015-07-31,45.139999,45.330002,44.099998,45.099998,563800,45.099998
2015-07-30,45.419998,45.57,43.669998,44.93,772200,44.93
2015-07-29,45.290001,46.150002,44.360001,45.740002,718600,45.740002
2015-07-28,46.110001,46.279999,44.91,46.07,825000,46.07
2015-07-27,45.919998,46.299999,45.470001,45.650002,352200,45.650002
2015-07-24,47.209999,47.48,45.560001,46.189999,611300,46.189999
2015-07-23,47.810001,48.00,46.18,47.25,601500,47.25
2015-07-22,46.860001,48.130001,46.860001,47.619999,407700,47.619999
2015-07-21,46.75,47.619999,46.450001,47.009998,350000,47.009998
2015-07-20,47.52,47.540001,46.25,46.73,416200,46.73
2015-07-17,48.009998,48.119999,47.200001,47.52,278500,47.52
2015-07-16,47.860001,48.18,47.439999,47.880001,348000,47.880001
2015-07-15,49.060001,49.110001,47.52,47.720001,602400,47.720001
2015-07-14,48.549999,49.25,48.25,49.150002,425200,49.150002
2015-07-13,48.860001,48.950001,48.439999,48.619999,338800,48.619999
2015-07-10,48.130001,48.84,47.77,48.619999,318600,48.619999
2015-07-09,48.099998,48.490002,47.919998,47.98,686800,47.98
2015-07-08,47.150002,47.639999,47.119999,47.43,685000,47.43
2015-07-07,46.810001,47.68,46.09,47.619999,526500,47.619999
2015-07-06,46.759998,47.889999,46.299999,46.880001,484900,46.880001
2015-07-02,47.52,48.029999,47.009998,47.220001,226300,47.220001
2015-07-01,47.509998,47.75,46.669998,47.369999,348200,47.369999
2015-06-30,47.25,47.919998,46.630001,47.09,450400,47.09
