Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.09,1.09,1.03,1.06,1138800,1.055691
2015-12-30,1.14,1.14,1.08,1.10,907000,1.095528
2015-12-29,1.15,1.18,1.14,1.16,1220100,1.155285
2015-12-28,1.12,1.16,1.12,1.15,1565100,1.145325
2015-12-24,1.08,1.12,1.08,1.12,680300,1.115447
2015-12-23,1.03,1.08,1.03,1.08,910100,1.07561
2015-12-22,1.05,1.07,1.03,1.04,678500,1.035772
2015-12-21,1.02,1.05,1.01,1.04,1201000,1.035772
2015-12-18,0.95,1.04,0.93,0.96,1979300,0.956098
2015-12-17,0.977,0.984,0.928,0.93,902900,0.92622
2015-12-16,0.98,1.00,0.953,0.975,1054800,0.971037
2015-12-15,0.97,0.989,0.945,0.96,1084300,0.956098
2015-12-14,0.945,0.97,0.94,0.96,895700,0.956098
2015-12-11,0.94,0.974,0.926,0.95,1047800,0.946138
2015-12-10,0.95,0.97,0.93,0.94,986000,0.936179
2015-12-09,0.911,0.959,0.891,0.959,1136100,0.955102
2015-12-08,0.92,0.93,0.88,0.92,725600,0.91626
2015-12-07,0.952,0.958,0.88,0.93,988800,0.92622
2015-12-04,0.90,0.951,0.90,0.95,1253100,0.946138
2015-12-03,0.911,0.92,0.893,0.92,630900,0.91626
2015-12-02,0.88,0.91,0.87,0.91,577300,0.906301
2015-12-01,0.871,0.911,0.871,0.91,712500,0.906301
2015-11-30,0.862,0.89,0.862,0.89,674600,0.886382
2015-11-27,0.86,0.885,0.84,0.87,295900,0.866463
2015-11-25,0.862,0.895,0.862,0.895,516900,0.891362
2015-11-24,0.85,0.89,0.844,0.875,875600,0.871443
2015-11-23,0.849,0.859,0.83,0.84,455300,0.836585
2015-11-20,0.85,0.88,0.82,0.84,493700,0.836585
2015-11-19,0.862,0.889,0.845,0.875,688400,0.871443
2015-11-18,0.847,0.855,0.813,0.851,888900,0.847541
2015-11-17,0.855,0.87,0.811,0.85,856700,0.846545
2015-11-16,0.89,0.898,0.843,0.87,461600,0.866463
2015-11-13,0.83,0.883,0.821,0.87,904200,0.866463
2015-11-12,0.84,0.867,0.812,0.845,596200,0.841565
2015-11-11,0.805,0.856,0.805,0.85,594800,0.846545
2015-11-10,0.84,0.849,0.803,0.825,528100,0.821646
2015-11-09,0.831,0.854,0.802,0.83,1013100,0.826626
2015-11-06,0.82,0.82,0.79,0.82,780700,0.816667
2015-11-05,0.873,0.873,0.817,0.839,1167000,0.835589
2015-11-04,0.885,0.891,0.85,0.85,888800,0.846545
2015-11-03,0.88,0.905,0.864,0.87,823800,0.866463
2015-11-02,0.89,0.934,0.87,0.91,739400,0.906301
2015-10-30,0.91,0.918,0.892,0.90,418200,0.896341
2015-10-29,0.93,0.93,0.90,0.92,763500,0.91626
2015-10-28,0.957,0.995,0.91,0.921,1187700,0.917256
2015-10-27,0.925,0.948,0.92,0.92,511800,0.91626
2015-10-26,0.97,0.97,0.916,0.92,596000,0.91626
2015-10-23,1.00,1.00,0.94,0.94,755700,0.936179
2015-10-22,0.955,0.99,0.948,0.96,266900,0.956098
2015-10-21,1.00,1.00,0.95,0.956,507200,0.952114
2015-10-20,0.96,1.03,0.96,0.99,569100,0.985976
2015-10-19,1.00,1.03,0.933,0.965,897800,0.961077
2015-10-16,1.06,1.07,1.02,1.02,437100,1.015854
2015-10-15,1.05,1.08,1.04,1.06,1061700,1.055691
2015-10-14,0.988,1.05,0.98,1.05,1756700,1.045732
2015-10-13,0.952,1.01,0.943,0.953,559900,0.949126
2015-10-12,1.01,1.03,0.952,0.96,660300,0.956098
2015-10-09,0.956,1.00,0.951,0.988,1202600,0.983984
2015-10-08,0.94,0.99,0.92,0.93,835200,0.92622
2015-10-07,0.93,0.965,0.91,0.952,798500,0.94813
2015-10-06,0.965,0.989,0.91,0.91,884000,0.906301
2015-10-05,0.96,0.994,0.935,0.94,707600,0.936179
2015-10-02,0.90,0.961,0.89,0.935,869800,0.931199
2015-10-01,0.878,0.895,0.86,0.86,280100,0.856504
2015-09-30,0.863,0.89,0.85,0.875,223600,0.871443
2015-09-29,0.85,0.919,0.85,0.86,399000,0.856504
2015-09-28,0.92,0.92,0.85,0.85,517300,0.846545
2015-09-25,0.935,0.95,0.92,0.925,253100,0.92124
2015-09-24,0.906,0.97,0.906,0.93,919800,0.92622
2015-09-23,0.899,0.93,0.87,0.87,291000,0.866463
2015-09-22,0.90,0.912,0.871,0.885,415400,0.881402
2015-09-21,0.95,0.979,0.913,0.914,456300,0.910285
2015-09-18,0.97,0.99,0.909,0.96,1938200,0.956098
2015-09-17,0.91,0.96,0.841,0.95,899300,0.946138
2015-09-16,0.84,0.914,0.821,0.91,921200,0.906301
2015-09-15,0.843,0.86,0.81,0.81,317400,0.806707
2015-09-14,0.82,0.86,0.802,0.855,533700,0.851524
2015-09-11,0.79,0.84,0.771,0.84,524000,0.836585
2015-09-10,0.82,0.827,0.79,0.79,573800,0.786789
2015-09-09,0.85,0.86,0.80,0.807,556400,0.803719
2015-09-08,0.838,0.864,0.823,0.845,308200,0.841565
2015-09-04,0.848,0.86,0.815,0.835,319100,0.831606
2015-09-03,0.822,0.86,0.813,0.84,277100,0.836585
