Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,7.21,7.41,7.14,7.37,110900,7.37
2015-12-30,7.18,7.26,7.08,7.16,121600,7.16
2015-12-29,7.31,7.45,7.14,7.24,78700,7.24
2015-12-28,7.54,7.56,7.35,7.40,119200,7.095
2015-12-24,7.51,7.62,7.49,7.57,46800,7.257994
2015-12-23,7.45,7.63,7.40,7.58,72400,7.267581
2015-12-22,7.37,7.52,7.35,7.43,58200,7.123764
2015-12-21,7.35,7.52,7.30,7.34,59000,7.037473
2015-12-18,7.36,7.38,7.27,7.35,127900,7.047061
2015-12-17,7.40,7.53,7.33,7.34,55700,7.037473
2015-12-16,7.38,7.47,7.12,7.36,117400,7.056649
2015-12-15,7.42,7.43,7.32,7.34,70900,7.037473
2015-12-14,7.82,7.88,7.36,7.37,204000,7.066237
2015-12-11,8.02,8.06,7.82,7.83,89700,7.507277
2015-12-10,8.03,8.16,7.95,7.97,79900,7.641507
2015-12-09,8.10,8.21,8.05,8.06,65900,7.727798
2015-12-08,8.10,8.15,8.07,8.09,35000,7.756561
2015-12-07,8.15,8.17,8.10,8.14,27300,7.804501
2015-12-04,8.28,8.39,8.06,8.18,119000,7.842852
2015-12-03,8.44,8.46,8.18,8.24,58900,7.900378
2015-12-02,8.47,8.50,8.36,8.47,25300,8.120899
2015-12-01,8.34,8.58,8.34,8.47,133100,8.120899
2015-11-30,8.30,8.39,8.16,8.36,74400,8.015432
2015-11-27,8.17,8.40,8.17,8.40,49400,8.053784
2015-11-25,8.15,8.27,8.15,8.21,53100,7.871615
2015-11-24,8.16,8.21,8.13,8.16,104300,7.823676
2015-11-23,7.95,8.15,7.95,8.15,65300,7.814088
2015-11-20,7.98,8.04,7.95,7.97,23500,7.641507
2015-11-19,8.06,8.10,7.95,8.00,78300,7.67027
2015-11-18,8.06,8.16,8.05,8.09,16900,7.756561
2015-11-17,8.23,8.23,8.05,8.08,53000,7.746973
2015-11-16,8.16,8.27,8.01,8.25,69300,7.909966
2015-11-13,8.17,8.35,8.11,8.25,23600,7.909966
2015-11-12,8.30,8.35,8.23,8.29,75300,7.948318
2015-11-11,8.26,8.32,8.20,8.27,29000,7.929143
2015-11-10,8.24,8.29,8.21,8.25,17200,7.909966
2015-11-09,8.33,8.55,8.20,8.29,36100,7.948318
2015-11-06,8.31,8.50,8.31,8.49,40400,8.140074
2015-11-05,8.28,8.37,8.14,8.31,27400,7.967494
2015-11-04,8.35,8.35,8.22,8.27,18000,7.929143
2015-11-03,8.26,8.49,8.26,8.38,40600,8.034608
2015-11-02,8.35,8.36,8.30,8.33,16500,7.986669
2015-10-30,8.18,8.38,8.09,8.32,49800,7.977081
2015-10-29,8.24,8.24,8.10,8.15,17900,7.814088
2015-10-28,8.28,8.28,8.16,8.22,34800,7.881203
2015-10-27,8.34,8.36,8.20,8.24,37100,7.900378
2015-10-26,8.41,8.41,8.25,8.30,20800,7.957906
2015-10-23,8.47,8.47,8.36,8.38,9600,8.034608
2015-10-22,8.46,8.48,8.38,8.46,15900,8.111311
2015-10-21,8.69,8.71,8.51,8.54,30200,8.058578
2015-10-20,8.79,8.79,8.68,8.71,23500,8.218994
2015-10-19,8.82,8.88,8.74,8.75,24900,8.256739
2015-10-16,8.87,8.97,8.82,8.86,25400,8.360538
2015-10-15,8.77,9.15,8.75,8.97,528200,8.464338
2015-10-14,8.24,8.27,8.21,8.21,123900,7.747181
2015-10-13,8.19,8.23,8.19,8.21,33900,7.747181
2015-10-12,8.19,8.24,8.15,8.20,52100,7.737744
2015-10-09,8.22,8.25,8.12,8.18,125800,7.718872
2015-10-08,8.15,8.24,8.10,8.21,38800,7.747181
2015-10-07,8.05,8.23,8.05,8.23,79700,7.766053
2015-10-06,7.99,8.07,7.98,8.02,56200,7.567892
2015-10-05,8.05,8.15,7.97,8.02,122800,7.567892
2015-10-02,8.16,8.23,8.03,8.06,12100,7.605637
2015-10-01,8.24,8.24,8.03,8.13,17600,7.671691
2015-09-30,8.14,8.29,8.10,8.21,71700,7.747181
2015-09-29,8.48,8.50,8.07,8.12,149600,7.662254
2015-09-28,8.85,8.89,8.36,8.39,106800,7.917034
2015-09-25,8.94,8.98,8.81,8.85,32100,8.351102
2015-09-24,8.92,8.98,8.88,8.95,20300,8.445465
2015-09-23,8.95,9.01,8.90,8.93,4800,8.426593
2015-09-22,8.94,9.01,8.93,8.93,18400,8.426593
2015-09-21,8.99,8.99,8.93,8.97,25700,8.464338
2015-09-18,8.93,9.08,8.93,8.99,20700,8.48321
2015-09-17,9.00,9.05,8.95,8.97,7200,8.464338
2015-09-16,8.95,9.01,8.91,8.96,12600,8.454901
2015-09-15,8.92,8.99,8.91,8.92,16900,8.417156
2015-09-14,8.99,9.00,8.88,8.93,28200,8.426593
2015-09-11,9.02,9.04,8.99,9.00,26800,8.492646
2015-09-10,8.99,9.09,8.95,9.06,39700,8.549264
2015-09-09,9.00,9.06,8.97,9.00,59600,8.492646
2015-09-08,9.24,9.27,8.96,9.01,93900,8.502083
2015-09-04,9.19,9.32,9.19,9.19,26000,8.671935
2015-09-03,9.29,9.32,9.26,9.31,17100,8.785171
2015-09-02,9.36,9.41,9.25,9.31,20700,8.785171
2015-09-01,9.37,9.40,9.23,9.37,101000,8.841788
