Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,15.85,15.86,15.78,15.82,21500,15.606583
2015-12-30,15.72,15.81,15.70,15.78,27700,15.567122
2015-12-29,15.74,15.78,15.70,15.74,23700,15.527662
2015-12-28,15.78,15.84,15.71,15.80,43300,15.586853
2015-12-24,15.62,15.75,15.62,15.72,27100,15.507932
2015-12-23,15.72,15.84,15.50,15.55,107500,15.340226
2015-12-22,15.69,15.72,15.63,15.72,24400,15.507932
2015-12-21,15.61,15.76,15.61,15.70,22500,15.488202
2015-12-18,15.68,15.73,15.60,15.60,48500,15.389551
2015-12-17,15.54,15.64,15.53,15.63,39100,15.419146
2015-12-16,15.42,15.52,15.36,15.52,63200,15.310631
2015-12-15,15.35,15.40,15.35,15.40,23100,15.192249
2015-12-14,15.55,15.57,15.33,15.35,52400,15.142924
2015-12-11,15.56,15.80,15.51,15.52,89600,15.310631
2015-12-10,15.48,15.52,15.45,15.52,63300,15.310631
2015-12-09,15.59,15.63,15.51,15.60,33800,15.185344
2015-12-08,15.52,15.64,15.49,15.63,39700,15.214547
2015-12-07,15.56,15.61,15.49,15.52,56500,15.107471
2015-12-04,15.58,15.61,15.52,15.61,60300,15.195078
2015-12-03,15.64,15.64,15.50,15.57,37400,15.156141
2015-12-02,15.80,15.82,15.64,15.64,78500,15.224281
2015-12-01,15.80,15.81,15.72,15.74,42200,15.321623
2015-11-30,15.70,15.71,15.57,15.70,50600,15.282686
2015-11-27,15.72,15.72,15.63,15.68,8900,15.263218
2015-11-25,15.67,15.74,15.63,15.68,24200,15.263218
2015-11-24,15.75,15.77,15.62,15.68,33200,15.263218
2015-11-23,15.75,15.80,15.69,15.69,35000,15.272951
2015-11-20,15.79,15.81,15.65,15.75,37300,15.331357
2015-11-19,15.80,15.83,15.74,15.83,12900,15.40923
2015-11-18,15.65,15.75,15.64,15.72,17000,15.302155
2015-11-17,15.69,15.74,15.61,15.69,25000,15.272951
2015-11-16,15.73,15.83,15.73,15.76,20000,15.341091
2015-11-13,15.62,15.73,15.58,15.73,43400,15.311888
2015-11-12,15.73,15.73,15.57,15.59,24700,15.17561
2015-11-11,15.64,15.75,15.63,15.75,30400,15.259324
2015-11-10,15.66,15.66,15.54,15.58,35100,15.09462
2015-11-09,15.73,15.73,15.51,15.61,99500,15.123685
2015-11-06,15.98,15.98,15.73,15.78,86600,15.288389
2015-11-05,16.08,16.08,15.98,16.02,27200,15.520913
2015-11-04,16.049999,16.059999,16.00,16.030001,20600,15.530601
2015-11-03,16.00,16.059999,15.99,16.030001,31100,15.530601
2015-11-02,16.059999,16.07,16.01,16.059999,23500,15.559666
2015-10-30,15.96,15.98,15.92,15.95,36200,15.453093
2015-10-29,15.95,15.95,15.88,15.92,17900,15.424028
2015-10-28,15.88,15.97,15.86,15.94,29400,15.443404
2015-10-27,15.88,15.96,15.80,15.96,34900,15.462782
2015-10-26,15.74,15.97,15.74,15.83,54600,15.336832
