Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.87,14.92,14.82,14.87,69700,14.647386
2015-12-30,14.73,14.85,14.73,14.80,66100,14.578434
2015-12-29,14.70,14.87,14.65,14.83,110300,14.607985
2015-12-28,14.78,14.79,14.67,14.73,80800,14.509482
2015-12-24,14.74,14.74,14.69,14.74,26700,14.519332
2015-12-23,14.60,14.77,14.57,14.74,125300,14.519332
2015-12-22,14.51,14.63,14.51,14.56,105800,14.342028
2015-12-21,14.65,14.76,14.51,14.51,188100,14.292776
2015-12-18,14.62,14.80,14.62,14.65,95900,14.430679
2015-12-17,14.50,14.73,14.50,14.61,68800,14.391278
2015-12-16,14.44,14.54,14.43,14.51,83500,14.292776
2015-12-15,14.46,14.51,14.46,14.47,56600,14.253375
2015-12-14,14.59,14.59,14.36,14.44,54500,14.223823
2015-12-11,14.68,14.73,14.53,14.55,74400,14.332177
2015-12-10,14.58,14.68,14.54,14.67,60000,14.45038
2015-12-09,14.77,14.77,14.57,14.65,116100,14.346952
2015-12-08,14.68,14.77,14.59,14.74,114100,14.43509
2015-12-07,14.75,14.75,14.62,14.62,100100,14.317573
2015-12-04,14.62,14.78,14.62,14.74,82500,14.43509
2015-12-03,14.73,14.74,14.62,14.66,59200,14.356745
2015-12-02,14.76,14.85,14.76,14.79,54200,14.484056
2015-12-01,14.78,14.84,14.72,14.82,66400,14.513435
2015-11-30,14.67,14.74,14.66,14.72,42900,14.415505
2015-11-27,14.66,14.74,14.66,14.72,13700,14.415505
2015-11-25,14.74,14.74,14.62,14.65,70400,14.346952
2015-11-24,14.68,14.72,14.62,14.67,71200,14.366539
2015-11-23,14.67,14.69,14.62,14.65,46500,14.346952
2015-11-20,14.56,14.64,14.53,14.62,53100,14.317573
2015-11-19,14.49,14.58,14.47,14.52,41700,14.219642
2015-11-18,14.51,14.53,14.47,14.49,40000,14.190262
2015-11-17,14.52,14.55,14.48,14.48,60400,14.180468
2015-11-16,14.51,14.55,14.47,14.52,39400,14.219642
2015-11-13,14.32,14.51,14.31,14.51,94800,14.209849
2015-11-12,14.34,14.46,14.27,14.31,79300,14.013986
2015-11-11,14.36,14.41,14.33,14.40,61800,14.026716
2015-11-10,14.29,14.43,14.29,14.41,81200,14.036457
2015-11-09,14.41,14.41,14.32,14.40,57900,14.026716
2015-11-06,14.61,14.64,14.46,14.47,121800,14.094902
2015-11-05,14.60,14.69,14.57,14.69,78600,14.309198
2015-11-04,14.58,14.65,14.56,14.64,56100,14.260495
2015-11-03,14.65,14.70,14.57,14.62,69000,14.241013
2015-11-02,14.57,14.63,14.50,14.63,70600,14.250754
2015-10-30,14.48,14.55,14.47,14.55,30300,14.172828
2015-10-29,14.42,14.53,14.27,14.51,126700,14.133865
2015-10-28,14.45,14.50,14.38,14.47,54200,14.094902
2015-10-27,14.51,14.55,14.38,14.41,113700,14.036457
2015-10-26,14.41,14.56,14.37,14.53,122700,14.153346
2015-10-23,14.37,14.48,14.34,14.36,85300,13.987753
2015-10-22,14.41,14.47,14.36,14.44,55600,14.065679
2015-10-21,14.28,14.42,14.23,14.41,60500,14.036457
2015-10-20,14.24,14.32,14.21,14.28,136000,13.909827
2015-10-19,14.27,14.30,14.21,14.26,70600,13.890346
2015-10-16,14.26,14.34,14.22,14.28,80000,13.909827
2015-10-15,14.27,14.29,14.22,14.22,83100,13.851383
2015-10-14,14.28,14.34,14.26,14.27,84700,13.900087
2015-10-13,14.26,14.34,14.24,14.26,53000,13.890346
2015-10-12,14.42,14.43,14.33,14.36,57100,13.912749
2015-10-09,14.34,14.45,14.33,14.45,39300,13.999946
2015-10-08,14.35,14.40,14.30,14.38,46700,13.932127
2015-10-07,14.28,14.35,14.22,14.35,85300,13.903061
2015-10-06,14.15,14.27,14.14,14.27,62700,13.825553
2015-10-05,14.27,14.29,14.18,14.18,92900,13.738356
2015-10-02,14.28,14.35,14.25,14.29,46600,13.84493
2015-10-01,14.26,14.27,14.18,14.26,79000,13.815864
2015-09-30,14.14,14.27,14.13,14.21,128100,13.767421
2015-09-29,14.12,14.20,14.09,14.14,60800,13.699602
2015-09-28,14.17,14.21,14.08,14.08,86400,13.64147
2015-09-25,14.20,14.22,14.17,14.18,28400,13.738356
2015-09-24,14.22,14.28,14.17,14.19,50400,13.748044
2015-09-23,14.22,14.26,14.21,14.21,20000,13.767421
2015-09-22,14.18,14.27,14.13,14.23,88800,13.786798
2015-09-21,14.26,14.26,14.15,14.20,57800,13.757733
2015-09-18,14.10,14.27,14.10,14.26,48900,13.815864
2015-09-17,13.98,14.13,13.96,14.13,49900,13.689913
2015-09-16,13.96,14.01,13.95,13.98,38100,13.544584
2015-09-15,14.00,14.05,13.96,13.97,75200,13.534897
2015-09-14,14.22,14.22,14.01,14.02,68100,13.58334
2015-09-11,14.11,14.24,14.11,14.18,35900,13.738356
2015-09-10,14.24,14.37,14.19,14.20,74300,13.683131
2015-09-09,14.35,14.42,14.28,14.28,67600,13.760219
2015-09-08,14.28,14.37,14.26,14.36,109900,13.837307
2015-09-04,14.13,14.32,14.13,14.30,53400,13.779491
2015-09-03,14.06,14.22,14.06,14.19,33700,13.673494
2015-09-02,14.13,14.15,14.06,14.06,46000,13.548227
2015-09-01,14.15,14.17,14.07,14.07,65200,13.557862
2015-08-31,14.09,14.19,14.06,14.12,85600,13.606043
2015-08-28,14.07,14.18,14.04,14.13,40200,13.615679
2015-08-27,14.09,14.13,14.04,14.13,26400,13.615679
2015-08-26,14.20,14.20,14.02,14.04,73000,13.528955
2015-08-25,14.13,14.18,14.10,14.15,51300,13.63495
2015-08-24,14.29,14.29,14.13,14.13,110400,13.615679
2015-08-21,14.29,14.33,14.23,14.25,70800,13.731311
2015-08-20,14.26,14.29,14.23,14.26,58800,13.740947
2015-08-19,14.24,14.27,14.19,14.27,62600,13.750583
2015-08-18,14.30,14.30,14.24,14.25,55200,13.731311
2015-08-17,14.27,14.33,14.24,14.33,51000,13.808399
2015-08-14,14.20,14.28,14.20,14.27,58000,13.750583
2015-08-13,14.30,14.32,14.23,14.26,57300,13.740947
2015-08-12,14.28,14.35,14.28,14.33,40500,13.808399
2015-08-11,14.30,14.38,14.30,14.37,60500,13.772745
2015-08-10,14.30,14.31,14.24,14.30,30400,13.705655
2015-08-07,14.25,14.30,14.24,14.25,61500,13.657733
2015-08-06,14.25,14.37,14.23,14.23,73200,13.638564
2015-08-05,14.29,14.40,14.19,14.23,83200,13.638564
2015-08-04,14.09,14.35,14.08,14.27,282100,13.676902
2015-08-03,14.02,14.09,13.99,14.09,85500,13.504383
2015-07-31,13.94,13.99,13.93,13.98,61700,13.398954
2015-07-30,13.96,13.96,13.92,13.94,70800,13.360617
2015-07-29,13.90,13.93,13.85,13.93,89500,13.351033
2015-07-28,13.84,13.94,13.83,13.90,104100,13.322279
2015-07-27,13.87,13.89,13.85,13.87,22600,13.293526
2015-07-24,13.83,13.90,13.83,13.85,53200,13.274358
2015-07-23,13.80,13.87,13.75,13.86,81700,13.283942
2015-07-22,13.83,13.83,13.77,13.77,69600,13.197683
2015-07-21,13.83,13.88,13.79,13.79,83800,13.216851
2015-07-20,13.91,13.97,13.85,13.87,81900,13.293526
2015-07-17,13.93,13.96,13.89,13.92,76700,13.341448
2015-07-16,13.91,13.96,13.87,13.96,122600,13.379786
2015-07-15,13.96,13.97,13.94,13.96,39200,13.379786
2015-07-14,13.95,14.00,13.87,13.94,79400,13.360617
2015-07-13,13.94,13.98,13.92,13.95,54400,13.370201
2015-07-10,14.03,14.06,14.00,14.04,54200,13.382662
2015-07-09,14.07,14.10,14.02,14.07,64500,13.411257
2015-07-08,14.06,14.10,14.00,14.06,149900,13.401726
2015-07-07,14.01,14.11,13.99,14.08,110300,13.420789
2015-07-06,13.95,13.98,13.92,13.97,89600,13.315939
2015-07-02,13.89,13.94,13.89,13.93,70400,13.277812
2015-07-01,13.86,13.91,13.82,13.89,87000,13.239685
2015-06-30,13.84,13.89,13.81,13.84,61800,13.192026
2015-06-29,13.98,14.00,13.85,13.87,102400,13.220621
2015-06-26,13.97,13.99,13.95,13.96,59500,13.306407
2015-06-25,14.04,14.04,13.95,14.00,65800,13.344534
2015-06-24,14.00,14.02,13.94,14.02,85400,13.363598
