Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,14.51,14.59,14.48,14.55,79300,14.339571
2015-12-30,14.38,14.46,14.38,14.43,49000,14.221307
2015-12-29,14.33,14.39,14.30,14.39,69100,14.181885
2015-12-28,14.37,14.40,14.32,14.33,66100,14.122753
2015-12-24,14.30,14.44,14.30,14.35,32800,14.142464
2015-12-23,14.28,14.31,14.25,14.26,84600,14.053765
2015-12-22,14.29,14.31,14.20,14.23,44300,14.024199
2015-12-21,14.28,14.32,14.25,14.25,31000,14.04391
2015-12-18,14.31,14.32,14.24,14.29,51800,14.083331
2015-12-17,14.19,14.25,14.16,14.25,110200,14.04391
2015-12-16,14.03,14.16,13.99,14.12,100500,13.91579
2015-12-15,13.97,14.03,13.92,14.02,80400,13.817237
2015-12-14,14.22,14.22,13.90,13.92,157000,13.718682
2015-12-11,14.24,14.29,14.16,14.21,62200,14.004488
2015-12-10,14.28,14.30,14.26,14.26,46400,13.982807
2015-12-09,14.26,14.30,14.25,14.26,42100,13.982807
2015-12-08,14.27,14.28,14.25,14.28,74100,14.002418
2015-12-07,14.25,14.27,14.22,14.22,34200,13.943585
2015-12-04,14.14,14.24,14.11,14.21,127900,13.933779
2015-12-03,14.25,14.25,14.06,14.14,120200,13.86514
2015-12-02,14.26,14.31,14.25,14.25,55600,13.973001
2015-12-01,14.24,14.26,14.17,14.22,125700,13.943585
2015-11-30,14.24,14.24,14.12,14.22,118300,13.943585
2015-11-27,14.23,14.28,14.21,14.25,28100,13.973001
2015-11-25,14.12,14.20,14.12,14.19,72800,13.914167
2015-11-24,14.18,14.21,14.10,14.12,101700,13.845528
2015-11-23,14.14,14.17,14.08,14.14,100500,13.86514
2015-11-20,14.02,14.13,14.01,14.13,127400,13.855334
2015-11-19,14.02,14.04,13.94,13.96,71100,13.688639
2015-11-18,14.01,14.03,13.93,13.96,67200,13.688639
2015-11-17,14.00,14.03,13.96,13.96,85300,13.688639
2015-11-16,14.04,14.05,13.98,14.01,35200,13.737667
2015-11-13,13.92,14.01,13.89,13.99,108400,13.718055
2015-11-12,13.92,14.00,13.90,13.98,76800,13.708249
2015-11-11,13.91,13.91,13.85,13.90,71300,13.629804
2015-11-10,13.76,13.91,13.74,13.91,87200,13.63961
2015-11-09,13.92,13.92,13.80,13.87,135600,13.530768
2015-11-06,14.08,14.08,13.92,13.98,207800,13.638077
2015-11-05,14.10,14.17,14.07,14.14,180200,13.794164
2015-11-04,14.10,14.13,14.01,14.12,105300,13.774653
2015-11-03,14.12,14.17,14.04,14.10,183900,13.755143
2015-11-02,14.05,14.10,14.02,14.05,98500,13.706365
2015-10-30,14.01,14.06,13.97,14.05,56700,13.706365
2015-10-29,13.95,14.01,13.94,14.01,81400,13.667344
2015-10-28,13.96,13.99,13.92,13.98,88100,13.638077
2015-10-27,13.94,13.96,13.89,13.96,37800,13.618566
2015-10-26,13.86,13.92,13.85,13.91,61100,13.569789
2015-10-23,13.85,13.86,13.83,13.86,47900,13.521012
2015-10-22,13.85,13.86,13.81,13.85,146700,13.511257
2015-10-21,13.76,13.85,13.76,13.82,90100,13.48199
2015-10-20,13.75,13.77,13.73,13.77,75200,13.433214
2015-10-19,13.76,13.79,13.73,13.75,98700,13.413703
2015-10-16,13.77,13.78,13.73,13.75,58000,13.413703
2015-10-15,13.74,13.79,13.72,13.72,68000,13.384437
2015-10-14,13.75,13.77,13.73,13.76,104900,13.423458
2015-10-13,13.77,13.78,13.73,13.76,116500,13.423458
2015-10-12,13.85,13.85,13.82,13.83,66100,13.422483
2015-10-09,13.82,13.85,13.81,13.81,50200,13.403073
2015-10-08,13.86,13.87,13.81,13.84,77100,13.432189
2015-10-07,13.85,13.85,13.79,13.83,77700,13.422483
2015-10-06,13.82,13.82,13.79,13.81,75900,13.403073
2015-10-05,13.82,13.82,13.77,13.79,53800,13.383662
2015-10-02,13.82,13.85,13.78,13.80,50200,13.393367
2015-10-01,13.79,13.81,13.74,13.80,89700,13.393367
2015-09-30,13.68,13.77,13.67,13.77,84100,13.364252
2015-09-29,13.66,13.69,13.65,13.68,51300,13.276903
2015-09-28,13.63,13.71,13.61,13.65,116600,13.247787
2015-09-25,13.65,13.68,13.63,13.63,38400,13.228376
2015-09-24,13.69,13.69,13.63,13.63,36300,13.228376
2015-09-23,13.67,13.68,13.63,13.66,33400,13.257492
2015-09-22,13.59,13.67,13.58,13.67,56600,13.267198
2015-09-21,13.61,13.63,13.56,13.57,33500,13.170144
2015-09-18,13.49,13.60,13.47,13.59,42700,13.189555
2015-09-17,13.40,13.52,13.38,13.51,72600,13.111913
2015-09-16,13.39,13.39,13.32,13.39,74900,12.995449
2015-09-15,13.45,13.45,13.38,13.39,60300,12.995449
2015-09-14,13.47,13.48,13.44,13.44,39100,13.043975
2015-09-11,13.45,13.49,13.45,13.46,28500,13.063386
2015-09-10,13.54,13.58,13.52,13.54,69200,13.07212
2015-09-09,13.54,13.56,13.53,13.56,61900,13.09143
2015-09-08,13.60,13.60,13.54,13.55,93400,13.081775
2015-09-04,13.54,13.60,13.51,13.60,71100,13.130047
2015-09-03,13.53,13.54,13.46,13.54,54900,13.07212
2015-09-02,13.48,13.50,13.43,13.49,63800,13.023848
2015-09-01,13.49,13.49,13.44,13.47,57600,13.004539
2015-08-31,13.40,13.45,13.39,13.44,62400,12.975575
2015-08-28,13.42,13.43,13.37,13.41,73000,12.946612
2015-08-27,13.35,13.43,13.31,13.42,88700,12.956267
2015-08-26,13.38,13.40,13.32,13.36,83800,12.89834
2015-08-25,13.46,13.51,13.37,13.42,100100,12.956267
2015-08-24,13.59,13.59,13.42,13.45,151900,12.98523
2015-08-21,13.63,13.66,13.60,13.60,68700,13.130047
2015-08-20,13.65,13.68,13.62,13.66,64300,13.187973
2015-08-19,13.67,13.69,13.61,13.67,28600,13.197628
2015-08-18,13.66,13.68,13.63,13.68,33400,13.207283
2015-08-17,13.66,13.69,13.64,13.65,48000,13.178319
2015-08-14,13.66,13.67,13.62,13.67,52300,13.197628
2015-08-13,13.64,13.68,13.61,13.66,59300,13.187973
2015-08-12,13.68,13.70,13.64,13.67,45400,13.197628
2015-08-11,13.60,13.74,13.60,13.74,60400,13.196662
2015-08-10,13.52,13.59,13.51,13.58,65000,13.042989
2015-08-07,13.58,13.58,13.52,13.53,51000,12.994966
2015-08-06,13.52,13.59,13.49,13.51,46900,12.975758
2015-08-05,13.72,13.73,13.49,13.50,198800,12.966153
2015-08-04,13.77,13.77,13.72,13.72,78300,13.177453
2015-08-03,13.76,13.80,13.69,13.74,80100,13.196662
2015-07-31,13.67,13.78,13.67,13.75,59500,13.206267
2015-07-30,13.66,13.70,13.60,13.65,36500,13.110221
2015-07-29,13.63,13.69,13.61,13.68,71000,13.139035
2015-07-28,13.61,13.66,13.61,13.63,42700,13.091012
2015-07-27,13.61,13.66,13.59,13.62,32000,13.081408
2015-07-24,13.63,13.65,13.58,13.60,43000,13.062199
2015-07-23,13.59,13.64,13.58,13.62,58000,13.081408
2015-07-22,13.66,13.69,13.61,13.62,60600,13.081408
2015-07-21,13.72,13.72,13.63,13.68,69600,13.139035
2015-07-20,13.77,13.77,13.72,13.72,51000,13.177453
2015-07-17,13.74,13.75,13.69,13.75,43300,13.206267
2015-07-16,13.69,13.76,13.68,13.73,49100,13.187057
2015-07-15,13.68,13.71,13.66,13.70,50500,13.158244
2015-07-14,13.67,13.71,13.62,13.71,72900,13.167849
2015-07-13,13.75,13.75,13.66,13.69,26600,13.148639
2015-07-10,13.75,13.83,13.72,13.83,74300,13.214911
2015-07-09,13.76,13.79,13.72,13.78,62200,13.167135
2015-07-08,13.78,13.79,13.75,13.75,47700,13.138469
2015-07-07,13.68,13.80,13.66,13.80,81700,13.186246
2015-07-06,13.57,13.63,13.53,13.60,57600,12.995141
2015-07-02,13.62,13.66,13.46,13.51,172100,12.909144
2015-07-01,13.55,13.69,13.55,13.64,109800,13.033362
2015-06-30,13.51,13.60,13.51,13.58,86000,12.97603
2015-06-29,13.65,13.68,13.52,13.52,28800,12.918699
2015-06-26,13.75,13.75,13.63,13.63,47300,13.023806
2015-06-25,13.75,13.78,13.74,13.77,42600,13.15758
2015-06-24,13.77,13.79,13.73,13.78,48900,13.167135
2015-06-23,13.70,13.80,13.67,13.77,66300,13.15758
2015-06-22,13.76,13.77,13.70,13.74,79000,13.128914
2015-06-19,13.74,13.78,13.73,13.77,56000,13.15758
2015-06-18,13.79,13.82,13.68,13.72,178600,13.109804
2015-06-17,13.80,13.83,13.79,13.83,38200,13.214911
2015-06-16,13.83,13.85,13.80,13.82,68600,13.205356
2015-06-15,13.86,13.87,13.81,13.83,78500,13.214911
2015-06-12,13.84,13.90,13.81,13.85,87900,13.234022
2015-06-11,13.76,13.87,13.76,13.87,338400,13.253132
2015-06-10,13.76,13.91,13.75,13.82,119400,13.137514
2015-06-09,13.90,13.91,13.77,13.80,168100,13.118502
2015-06-08,13.98,13.98,13.89,13.95,143200,13.261094
2015-06-05,13.99,14.02,13.93,13.96,186100,13.2706
2015-06-04,14.07,14.08,14.02,14.05,104100,13.356156
2015-06-03,14.06,14.09,14.03,14.05,129000,13.356156
2015-06-02,14.09,14.11,14.07,14.10,117100,13.403687
2015-06-01,14.02,14.16,14.00,14.13,139600,13.432205
2015-05-29,13.94,14.04,13.94,13.97,65900,13.280107
2015-05-28,14.01,14.05,13.92,13.93,139700,13.242082
2015-05-27,14.01,14.07,14.01,14.02,67300,13.327638
2015-05-26,14.02,14.04,14.00,14.02,57900,13.327638
2015-05-22,14.05,14.06,14.00,14.02,97600,13.327638
2015-05-21,14.05,14.09,14.04,14.05,92500,13.356156
2015-05-20,14.07,14.07,14.04,14.04,62400,13.346649
2015-05-19,14.07,14.11,14.04,14.07,114200,13.375168
2015-05-18,14.20,14.20,14.05,14.10,92600,13.403687
2015-05-15,14.10,14.25,14.10,14.20,79800,13.498748
2015-05-14,14.05,14.13,14.05,14.08,65300,13.384674
2015-05-13,14.06,14.11,14.05,14.05,113600,13.356156
2015-05-12,14.02,14.13,13.98,14.12,134200,13.352353
2015-05-11,14.11,14.11,14.02,14.07,96300,13.305071
2015-05-08,14.10,14.12,14.06,14.12,47900,13.352353
2015-05-07,14.01,14.06,14.01,14.06,59700,13.295615
2015-05-06,14.16,14.19,14.02,14.02,80800,13.25779
2015-05-05,14.20,14.23,14.16,14.19,54900,13.418547
2015-05-04,14.25,14.27,14.18,14.20,90400,13.428004
2015-05-01,14.35,14.35,14.22,14.25,76100,13.475285
2015-04-30,14.32,14.35,14.30,14.34,67900,13.560393
2015-04-29,14.36,14.37,14.32,14.35,59500,13.569849
2015-04-28,14.32,14.40,14.31,14.39,49300,13.607675
2015-04-27,14.38,14.40,14.33,14.35,63000,13.569849
2015-04-24,14.31,14.40,14.30,14.40,76300,13.61713
2015-04-23,14.33,14.35,14.28,14.32,71500,13.54148
2015-04-22,14.34,14.34,14.31,14.33,38400,13.550936
2015-04-21,14.30,14.37,14.29,14.36,83000,13.579305
2015-04-20,14.30,14.32,14.29,14.29,88400,13.513111
2015-04-17,14.26,14.33,14.26,14.29,113200,13.513111
2015-04-16,14.25,14.30,14.24,14.30,47200,13.522567
2015-04-15,14.29,14.31,14.26,14.27,53500,13.494199
2015-04-14,14.20,14.29,14.20,14.29,56200,13.513111
2015-04-13,14.23,14.25,14.17,14.17,49000,13.399635
2015-04-10,14.27,14.33,14.25,14.31,92400,13.462047
2015-04-09,14.29,14.30,14.23,14.30,58200,13.452639
2015-04-08,14.29,14.30,14.25,14.30,62200,13.452639
2015-04-07,14.25,14.30,14.24,14.30,80900,13.452639
2015-04-06,14.31,14.34,14.23,14.27,51300,13.424417
2015-04-02,14.33,14.33,14.24,14.29,48400,13.443231
2015-04-01,14.37,14.39,14.33,14.36,78200,13.509083
2015-03-31,14.21,14.32,14.21,14.32,25900,13.471454
2015-03-30,14.26,14.26,14.20,14.20,40400,13.358564
2015-03-27,14.19,14.26,14.17,14.26,30700,13.415009
2015-03-26,14.15,14.19,14.14,14.17,55600,13.330342
2015-03-25,14.23,14.23,14.15,14.19,58800,13.349157
2015-03-24,14.20,14.25,14.16,14.25,41100,13.405602
2015-03-23,14.20,14.23,14.16,14.20,32500,13.358564
2015-03-20,14.13,14.17,14.10,14.17,82400,13.330342
2015-03-19,14.21,14.21,14.07,14.08,65400,13.245675
2015-03-18,14.05,14.20,13.99,14.20,65500,13.358564
2015-03-17,14.11,14.11,13.99,14.03,105600,13.198638
2015-03-16,14.16,14.16,14.07,14.11,50600,13.273897
2015-03-13,14.15,14.16,14.11,14.13,48400,13.292713
2015-03-12,14.12,14.14,14.08,14.13,58000,13.292713
2015-03-11,14.15,14.15,14.07,14.08,58700,13.245675
2015-03-10,14.17,14.21,14.16,14.21,37700,13.298357
2015-03-09,14.11,14.17,14.06,14.17,100600,13.260923
2015-03-06,14.18,14.19,14.03,14.07,157400,13.167338
2015-03-05,14.25,14.26,14.22,14.26,58900,13.345149
2015-03-04,14.15,14.25,14.15,14.25,50300,13.335791
2015-03-03,14.17,14.19,14.13,14.15,49400,13.242206
2015-03-02,14.18,14.20,14.12,14.16,89700,13.251564
2015-02-27,14.16,14.18,14.12,14.18,53100,13.270282
2015-02-26,14.19,14.22,14.08,14.14,98200,13.232848
2015-02-25,14.23,14.27,14.17,14.18,119800,13.270282
2015-02-24,14.17,14.21,14.14,14.20,41800,13.288998
2015-02-23,14.21,14.24,14.16,14.17,56700,13.260923
2015-02-20,14.10,14.19,14.09,14.18,144000,13.270282
2015-02-19,14.05,14.15,14.04,14.05,127200,13.148622
2015-02-18,13.93,14.07,13.91,14.06,180200,13.15798
2015-02-17,14.11,14.13,13.90,13.90,161800,13.008245
2015-02-13,14.21,14.25,14.11,14.11,125700,13.204772
2015-02-12,14.22,14.28,14.20,14.21,78100,13.298357
2015-02-11,14.37,14.37,14.24,14.26,89300,13.345149
2015-02-10,14.43,14.44,14.40,14.41,101200,13.416273
2015-02-09,14.52,14.55,14.45,14.45,151600,13.453515
2015-02-06,14.55,14.57,14.50,14.50,66000,13.500067
2015-02-05,14.61,14.65,14.60,14.60,50600,13.593171
2015-02-04,14.71,14.71,14.60,14.64,72400,13.630413
2015-02-03,14.74,14.80,14.72,14.73,82900,13.714205
2015-02-02,14.77,14.80,14.73,14.76,129200,13.742137
2015-01-30,14.69,14.76,14.68,14.76,106000,13.742137
2015-01-29,14.60,14.69,14.59,14.66,83200,13.649033
2015-01-28,14.55,14.65,14.55,14.63,42200,13.621102
2015-01-27,14.45,14.55,14.45,14.55,76400,13.546619
2015-01-26,14.44,14.47,14.42,14.44,55000,13.444204
2015-01-23,14.47,14.50,14.42,14.43,90100,13.434894
2015-01-22,14.38,14.50,14.38,14.44,66900,13.444204
2015-01-21,14.47,14.52,14.36,14.38,315300,13.388342
2015-01-20,14.48,14.55,14.44,14.50,136000,13.500067
2015-01-16,14.52,14.57,14.45,14.45,112400,13.453515
2015-01-15,14.45,14.52,14.43,14.51,150600,13.509377
2015-01-14,14.46,14.47,14.43,14.43,52900,13.434894
2015-01-13,14.50,14.55,14.39,14.40,218600,13.406963
2015-01-12,14.54,14.57,14.49,14.52,65800,13.449791
2015-01-09,14.43,14.53,14.43,14.53,69900,13.459054
2015-01-08,14.50,14.51,14.42,14.45,76000,13.38495
2015-01-07,14.54,14.61,14.47,14.49,360500,13.422002
2015-01-06,14.48,14.59,14.48,14.54,72300,13.468317
2015-01-05,14.38,14.49,14.37,14.49,114700,13.422002
2015-01-02,14.34,14.38,14.29,14.36,26500,13.301584
2014-12-31,14.29,14.36,14.26,14.33,70200,13.273795
2014-12-30,14.25,14.25,14.20,14.25,60700,13.199692
2014-12-29,14.23,14.24,14.20,14.23,47200,13.181165
2014-12-26,14.26,14.27,14.20,14.23,31600,13.181165
2014-12-24,14.21,14.27,14.21,14.27,23400,13.218218
2014-12-23,14.27,14.30,14.21,14.25,86600,13.199692
2014-12-22,14.23,14.27,14.16,14.20,55300,13.15245
2014-12-19,14.24,14.26,14.21,14.24,44600,13.189499
2014-12-18,14.23,14.28,14.23,14.25,49500,13.198762
2014-12-17,14.14,14.29,14.12,14.26,66300,13.208024
2014-12-16,14.17,14.22,14.15,14.15,38000,13.106138
2014-12-15,14.20,14.25,14.12,14.12,43200,13.078352
2014-12-12,14.16,14.24,14.16,14.21,41600,13.161712
2014-12-11,14.26,14.29,14.16,14.16,74400,13.115401
2014-12-10,14.28,14.35,14.27,14.32,70000,13.195056
2014-12-09,14.29,14.30,14.24,14.30,77700,13.176628
2014-12-08,14.28,14.30,14.24,14.28,61800,13.158199
2014-12-05,14.33,14.33,14.26,14.28,36800,13.158199
2014-12-04,14.33,14.38,14.30,14.37,60600,13.241129
2014-12-03,14.26,14.33,14.26,14.33,89100,13.204271
2014-12-02,14.13,14.24,14.13,14.23,70400,13.112126
2014-12-01,14.13,14.15,14.10,14.10,67200,12.99234
2014-11-28,14.07,14.12,14.06,14.06,45600,12.955482
2014-11-26,14.08,14.11,14.07,14.07,33600,12.964696
2014-11-25,14.11,14.11,14.07,14.10,85000,12.99234
2014-11-24,14.05,14.08,14.03,14.06,42100,12.955482
2014-11-21,14.09,14.09,14.03,14.03,47900,12.927838
2014-11-20,14.05,14.12,14.03,14.04,69400,12.937053
2014-11-19,14.10,14.12,14.03,14.03,59000,12.927838
2014-11-18,14.13,14.17,14.09,14.09,61300,12.983125
2014-11-17,14.25,14.26,14.12,14.12,59900,13.010768
2014-11-14,14.16,14.23,14.16,14.23,22200,13.112126
2014-11-13,14.23,14.25,14.16,14.16,31500,13.047626
2014-11-12,14.18,14.24,14.14,14.20,46700,13.084483
2014-11-11,14.25,14.29,14.24,14.28,67000,13.090012
2014-11-10,14.27,14.29,14.23,14.29,52400,13.099179
2014-11-07,14.28,14.30,14.24,14.28,48300,13.090012
2014-11-06,14.21,14.28,14.19,14.26,52800,13.071679
2014-11-05,14.19,14.30,14.16,14.23,79900,13.044178
2014-11-04,14.17,14.25,14.09,14.24,112100,13.053345
2014-11-03,14.19,14.19,14.11,14.16,53200,12.980012
2014-10-31,14.19,14.19,14.07,14.16,53100,12.980012
2014-10-30,14.19,14.23,14.14,14.19,54200,13.007512
2014-10-29,14.07,14.19,14.07,14.17,72200,12.989179
2014-10-28,14.09,14.11,14.06,14.08,45500,12.906679
2014-10-27,14.06,14.10,14.05,14.08,31500,12.906679
2014-10-24,14.05,14.12,14.05,14.11,45800,12.934178
2014-10-23,14.04,14.10,14.01,14.05,67000,12.879179
2014-10-22,14.04,14.05,13.99,14.00,139600,12.833345
2014-10-21,14.04,14.04,13.98,14.01,57300,12.842512
2014-10-20,14.07,14.07,13.99,14.02,151200,12.851679
2014-10-17,14.08,14.14,14.06,14.07,56000,12.897512
2014-10-16,14.01,14.05,13.98,14.04,204800,12.870012
2014-10-15,13.98,14.07,13.98,14.06,100400,12.888346
2014-10-14,13.96,13.98,13.95,13.96,32900,12.796679
2014-10-13,13.95,13.97,13.90,13.92,47800,12.760012
2014-10-10,14.03,14.04,13.90,13.94,64900,12.778345
2014-10-09,14.13,14.14,14.07,14.07,100700,12.829679
2014-10-08,14.05,14.12,14.03,14.10,89500,12.857035
2014-10-07,13.98,14.02,13.96,14.02,61700,12.784087
2014-10-06,13.89,13.97,13.89,13.95,49700,12.720257
2014-10-03,13.90,13.94,13.85,13.85,72400,12.629073
2014-10-02,13.96,13.96,13.84,13.89,73100,12.665547
