Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,16.40,16.41,16.040001,16.059999,140800,16.059999
2015-12-30,16.58,16.67,16.42,16.42,116000,16.42
2015-12-29,16.58,16.719999,16.40,16.610001,100500,16.610001
2015-12-28,16.52,16.52,16.280001,16.469999,99000,16.469999
2015-12-24,16.49,16.66,16.450001,16.52,59200,16.52
2015-12-23,16.459999,16.65,16.42,16.530001,95100,16.530001
2015-12-22,16.33,16.450001,16.139999,16.41,121300,16.41
2015-12-21,16.17,16.379999,16.09,16.309999,138000,16.309999
2015-12-18,16.360001,16.360001,16.00,16.09,436600,16.09
2015-12-17,16.74,16.85,16.459999,16.469999,183400,16.469999
2015-12-16,16.709999,16.83,16.530001,16.74,101300,16.74
2015-12-15,16.459999,16.68,16.440001,16.59,117000,16.59
2015-12-14,16.58,16.85,16.299999,16.360001,181600,16.360001
2015-12-11,16.559999,16.780001,16.389999,16.610001,281700,16.610001
2015-12-10,16.85,17.00,16.76,16.809999,150900,16.809999
2015-12-09,16.98,17.18,16.879999,16.90,160800,16.90
2015-12-08,17.01,17.190001,16.860001,17.08,147900,17.08
2015-12-07,17.360001,17.42,17.049999,17.08,239600,17.08
2015-12-04,17.389999,17.610001,17.370001,17.469999,252700,17.469999
2015-12-03,17.639999,17.700001,17.299999,17.43,195100,17.43
2015-12-02,17.59,17.709999,17.57,17.620001,504300,17.620001
2015-12-01,17.59,17.77,17.43,17.52,292700,17.52
2015-11-30,17.50,17.559999,17.42,17.50,333900,17.50
2015-11-27,17.450001,17.60,17.219999,17.440001,344200,17.440001
2015-11-25,17.50,17.50,17.280001,17.41,196800,17.41
2015-11-24,17.450001,17.49,17.32,17.40,256200,17.40
2015-11-23,16.98,17.58,16.98,17.49,751300,17.49
2015-11-20,17.00,17.120001,16.90,17.00,444900,17.00
2015-11-19,16.83,16.99,16.790001,16.90,332500,16.90
2015-11-18,16.940001,17.01,16.719999,16.82,462600,16.82
2015-11-17,17.02,17.049999,16.83,16.85,114700,16.85
2015-11-16,16.870001,16.99,16.76,16.98,136800,16.98
2015-11-13,17.01,17.17,16.83,16.85,181700,16.85
2015-11-12,17.219999,17.389999,17.059999,17.139999,191700,17.139999
2015-11-11,17.48,17.50,17.34,17.370001,104500,17.370001
2015-11-10,17.26,17.50,17.23,17.469999,221000,17.469999
2015-11-09,17.450001,17.530001,17.24,17.25,140800,17.25
2015-11-06,17.389999,17.610001,17.34,17.549999,262700,17.549999
2015-11-05,17.25,17.450001,17.049999,17.379999,315900,17.379999
2015-11-04,17.459999,17.459999,17.219999,17.23,256900,17.23
2015-11-03,17.389999,17.49,17.200001,17.379999,305800,17.379999
2015-11-02,17.58,17.77,17.030001,17.49,527800,17.49
2015-10-30,17.27,17.43,17.15,17.200001,275400,17.200001
2015-10-29,17.280001,17.469999,17.09,17.309999,214200,17.309999
2015-10-28,17.030001,17.440001,16.950001,17.40,654600,17.40
2015-10-27,17.950001,17.950001,16.15,16.91,461100,16.91
2015-10-26,17.41,17.60,17.290001,17.440001,257800,17.440001
2015-10-23,17.440001,17.60,17.290001,17.379999,336300,17.379999
2015-10-22,17.280001,17.43,17.16,17.379999,200600,17.379999
2015-10-21,17.559999,17.60,17.200001,17.200001,122200,17.200001
2015-10-20,17.33,17.620001,17.24,17.60,185000,17.60
2015-10-19,17.16,17.379999,17.129999,17.24,238400,17.24
2015-10-16,17.50,17.540001,17.10,17.209999,194000,17.209999
2015-10-15,17.23,17.50,17.00,17.48,249900,17.48
2015-10-14,17.389999,17.48,17.10,17.120001,269800,17.120001
2015-10-13,17.32,17.549999,17.32,17.42,310800,17.42
2015-10-12,17.82,17.83,17.24,17.41,413100,17.41
2015-10-09,17.67,17.879999,17.58,17.73,188400,17.73
2015-10-08,17.52,17.719999,17.450001,17.66,266000,17.66
2015-10-07,17.17,17.51,17.17,17.459999,353500,17.459999
2015-10-06,17.700001,17.75,16.85,17.08,371600,17.08
2015-10-05,16.50,17.809999,16.50,17.68,566600,17.68
2015-10-02,16.299999,16.40,16.129999,16.40,254300,16.40
2015-10-01,15.99,16.530001,15.99,16.389999,622500,16.389999
2015-09-30,15.87,15.99,15.77,15.91,859900,15.91
2015-09-29,15.79,15.85,15.67,15.80,218000,15.80
2015-09-28,15.77,15.91,15.74,15.74,240600,15.74
2015-09-25,15.87,15.87,15.65,15.74,184600,15.74
2015-09-24,15.67,15.87,15.59,15.75,208000,15.75
2015-09-23,15.61,15.87,15.54,15.78,216800,15.78
2015-09-22,15.46,15.64,15.41,15.53,163600,15.53
2015-09-21,15.49,15.82,15.49,15.61,160900,15.61
2015-09-18,15.63,15.74,15.36,15.41,293400,15.41
2015-09-17,15.82,15.90,15.77,15.78,187000,15.78
2015-09-16,15.89,15.92,15.79,15.84,278400,15.84
2015-09-15,15.75,15.88,15.61,15.84,184400,15.84
2015-09-14,15.65,15.85,15.60,15.72,131200,15.72
2015-09-11,15.25,15.65,15.25,15.65,277200,15.65
