Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,24.639999,24.799999,24.40,24.459999,6149200,24.459999
2015-12-30,24.82,25.00,24.57,24.809999,1625300,24.809999
2015-12-29,24.549999,24.93,24.290001,24.92,2141500,24.92
2015-12-28,25.52,25.60,24.33,24.440001,3642500,24.440001
2015-12-24,25.58,25.790001,25.43,25.629999,416100,25.629999
2015-12-23,25.219999,25.700001,25.139999,25.57,994400,25.57
2015-12-22,25.139999,25.25,24.809999,25.120001,1082100,25.120001
2015-12-21,25.309999,25.41,24.790001,25.08,1970100,25.08
2015-12-18,25.469999,26.110001,25.059999,25.10,2883400,25.10
2015-12-17,26.76,26.799999,25.59,25.60,2817100,25.60
2015-12-16,26.809999,27.00,26.389999,26.719999,2289500,26.719999
2015-12-15,26.700001,26.91,26.67,26.709999,3951600,26.709999
2015-12-14,26.84,26.92,26.379999,26.68,6228500,26.68
2015-12-11,26.780001,27.139999,26.530001,26.60,9751400,26.60
2015-12-10,26.50,27.110001,26.360001,27.02,10542400,27.02
2015-12-09,26.120001,26.65,26.10,26.459999,8821700,26.459999
2015-12-08,26.08,26.34,25.92,26.280001,7275500,26.280001
2015-12-07,26.549999,26.58,26.15,26.190001,5693100,26.190001
2015-12-04,26.530001,26.780001,26.450001,26.469999,2239500,26.469999
2015-12-03,27.09,27.26,26.35,26.51,8909400,26.51
2015-12-02,27.219999,27.459999,27.200001,27.23,3062200,27.23
2015-12-01,27.17,27.459999,27.120001,27.26,3965500,27.26
2015-11-30,27.309999,27.35,27.059999,27.110001,2331000,27.110001
2015-11-27,27.200001,27.35,27.139999,27.23,760700,27.23
2015-11-25,26.99,27.299999,26.91,27.219999,2657600,27.219999
2015-11-24,27.00,27.09,26.83,26.98,1790400,26.98
2015-11-23,27.10,27.200001,26.889999,27.08,2011500,27.08
2015-11-20,27.219999,27.379999,27.07,27.129999,1646000,27.129999
2015-11-19,26.82,27.110001,26.67,27.07,3760400,27.07
2015-11-18,26.860001,26.98,26.690001,26.790001,2567300,26.790001
2015-11-17,26.43,27.10,26.43,26.790001,1319900,26.790001
2015-11-16,26.43,27.10,26.42,26.99,2225200,26.99
2015-11-13,26.74,26.860001,26.08,26.42,3102400,26.42
