Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,18.23,18.32,18.209999,18.24,21800,18.24
2015-12-30,18.34,18.370001,18.27,18.360001,37300,18.360001
2015-12-29,18.280001,18.41,18.280001,18.370001,249300,18.370001
2015-12-28,17.93,18.030001,17.92,18.030001,42700,18.030001
2015-12-24,17.77,17.940001,17.77,17.889999,29700,17.889999
2015-12-23,17.76,17.98,17.76,17.860001,93800,17.860001
2015-12-22,17.610001,17.719999,17.52,17.66,52200,17.66
2015-12-21,17.889999,17.90,17.76,17.83,68900,17.83
2015-12-18,18.00,18.00,17.870001,17.93,73100,17.93
2015-12-17,18.59,18.66,18.43,18.450001,105100,18.450001
2015-12-16,18.790001,18.940001,18.73,18.90,27700,18.90
2015-12-15,18.620001,18.75,18.610001,18.65,31600,18.65
2015-12-14,18.879999,18.92,18.629999,18.799999,68600,18.799999
2015-12-11,18.719999,18.74,18.540001,18.66,43100,18.66
2015-12-10,18.98,19.030001,18.90,19.00,45900,19.00
2015-12-09,18.75,18.92,18.629999,18.700001,24000,18.700001
2015-12-08,18.75,18.83,18.68,18.83,34300,18.83
2015-12-07,19.07,19.08,18.950001,19.08,34600,19.08
2015-12-04,18.889999,19.18,18.889999,19.16,48100,19.16
2015-12-03,18.99,18.99,18.690001,18.82,31400,18.82
2015-12-02,19.25,19.26,19.02,19.15,43600,19.15
2015-12-01,19.52,19.639999,19.48,19.639999,142800,19.639999
2015-11-30,19.34,19.42,19.309999,19.379999,26100,19.379999
2015-11-27,19.09,19.27,19.09,19.23,17600,19.23
2015-11-25,19.60,19.66,19.57,19.639999,26600,19.639999
2015-11-24,19.93,20.17,19.93,20.110001,1013000,20.110001
2015-11-23,19.950001,20.02,19.870001,19.93,37400,19.93
2015-11-20,19.940001,20.120001,19.940001,20.030001,138800,20.030001
2015-11-19,19.65,19.67,19.549999,19.620001,30100,19.620001
2015-11-18,19.57,19.610001,19.450001,19.60,31600,19.60
2015-11-17,19.73,19.860001,19.66,19.77,98900,19.77
2015-11-16,19.389999,19.59,19.370001,19.59,67100,19.59
2015-11-13,19.65,19.719999,19.58,19.60,46300,19.60
2015-11-12,19.540001,19.66,19.43,19.51,40300,19.51
